	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills
												
fert	0.190	-0.130	-0.0363	-0.696	-0.643	-0.638	-0.652	-2.142	-2.528	-0.614	-0.790	-0.857
	(1.925)	(1.417)	(1.457)	(0.872)	(0.720)	(0.725)	(2.905)	(2.170)	(2.186)	(0.715)	(0.608)	(0.616)
motherage		-0.223	-0.126		-0.0753	-0.0611		-0.828	-0.824		0.00136	-0.00127
		(0.441)	(0.430)		(0.213)	(0.210)		(0.649)	(0.624)		(0.173)	(0.173)
motheragesq		0.0161	0.0132		0.00437	0.00399		0.0328	0.0336		0.00318	0.00335
		(0.0163)	(0.0159)		(0.00782)	(0.00766)		(0.0248)	(0.0241)		(0.00695)	(0.00692)
motheragecub		-0.000233	-0.000204		-6.39e-05	-6.03e-05		-0.000402	-0.000416		-6.90e-05	-7.10e-05
		(0.000207)	(0.000202)		(9.53e-05)	(9.33e-05)		(0.000310)	(0.000302)		(9.13e-05)	(9.10e-05)
agefirstbirth		0.181**	0.185**		0.00484	0.00448		0.139	0.113		0.0119	0.00698
		(0.0903)	(0.0928)		(0.0431)	(0.0436)		(0.117)	(0.120)		(0.0332)	(0.0336)
miss_motherage		1.025	2.739		-0.311	-0.0339		-2.967	-2.221		0.485	0.517
		(4.616)	(4.572)		(2.468)	(2.479)		(6.495)	(6.369)		(2.127)	(2.160)
miss_agefirstbirth		5.027*	5.208*		-0.0994	-0.102		2.798	2.092		-0.0427	-0.172
		(3.025)	(3.121)		(1.478)	(1.496)		(3.411)	(3.524)		(0.958)	(0.973)
_mother_edu1		-7.233***	-6.943***		-2.371***	-2.310***		-7.501***	-7.072***		-1.832***	-1.760***
		(1.002)	(0.992)		(0.329)	(0.328)		(1.242)	(1.213)		(0.441)	(0.442)
_mother_edu2		-6.969***	-6.803***		-1.904***	-1.874***		-6.576***	-6.293***		-1.875***	-1.840***
		(0.866)	(0.865)		(0.310)	(0.310)		(1.045)	(1.045)		(0.427)	(0.430)
_mother_edu3		-4.895***	-4.638***		-1.192***	-1.143***		-4.510***	-4.237***		-0.968***	-0.934**
		(0.671)	(0.669)		(0.238)	(0.239)		(0.893)	(0.891)		(0.364)	(0.366)
_mother_edu4		-3.500***	-3.291***		-1.327***	-1.283***		-3.065***	-2.770***		-1.125***	-1.092***
		(0.715)	(0.711)		(0.254)	(0.255)		(0.910)	(0.912)		(0.370)	(0.373)
_mother_edu5		-2.154***	-2.040***		-0.551**	-0.526**		-1.271	-1.060		-0.323	-0.309
		(0.617)	(0.614)		(0.226)	(0.226)		(0.830)	(0.834)		(0.336)	(0.339)
_mother_edu7		-6.395***	-6.159***		-1.107***	-1.050***		-6.339***	-5.888***		-1.162**	-1.100**
		(1.474)	(1.474)		(0.362)	(0.361)		(1.538)	(1.543)		(0.538)	(0.541)
height			1.146			0.492			2.101			0.862
			(2.522)			(0.731)			(3.078)			(0.950)
bmi			-0.124***			-0.0227*			-0.134**			-0.0145
			(0.0423)			(0.0120)			(0.0526)			(0.0152)
miss_height			-0.111			0.524			0.737			1.424
			(4.520)			(1.304)			(5.333)			(1.625)
miss_bmi			-4.553***			-0.740			-2.898			-0.582
			(1.552)			(0.513)			(1.787)			(0.604)
Constant	58.27***	57.60***	57.04***	11.48***	12.62***	12.13***	59.73***	72.28***	73.33***	11.52***	12.01***	11.26***
	(5.074)	(8.872)	(9.487)	(2.265)	(4.412)	(4.473)	(10.12)	(13.74)	(13.56)	(2.476)	(3.809)	(3.869)
												
Observations	4,579	4,579	4,579	4,247	4,247	4,247	3,437	3,437	3,437	3,157	3,157	3,157
R-squared		0.091	0.095	0.002	0.067	0.070	0.013	0.100	0.099		0.042	0.036
Robust standard errors in parentheses												
*** p<0.01, ** p<0.05, * p<0.1												
