	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills
																
fert	-0.659***	-0.625***	-0.514**	-0.514**	-0.127*	-0.112*	-0.0711	-0.0711	-1.121***	-1.061***	-0.910***	-0.920***	-0.0656	-0.0422	0.00772	0.00933
	(0.216)	(0.217)	(0.211)	(0.211)	(0.0674)	(0.0672)	(0.0664)	(0.0664)	(0.272)	(0.265)	(0.265)	(0.265)	(0.0808)	(0.0815)	(0.0820)	(0.0820)
motherage	2.847***	2.787**	2.619**	2.619**	0.354	0.336	0.240	0.240	1.717	1.953*	2.031*	2.008*	0.445	0.446	0.443	0.445
	(1.096)	(1.097)	(1.059)	(1.059)	(0.301)	(0.300)	(0.295)	(0.295)	(1.056)	(1.078)	(1.058)	(1.066)	(0.301)	(0.312)	(0.316)	(0.312)
motheragesq	-0.191**	-0.186**	-0.184**	-0.184**	-0.0125	-0.0113	-0.00881	-0.00881	-0.130*	-0.138*	-0.152**	-0.150**	-0.0106	-0.00925	-0.0109	-0.0111
	(0.0753)	(0.0754)	(0.0728)	(0.0728)	(0.0200)	(0.0199)	(0.0198)	(0.0198)	(0.0773)	(0.0772)	(0.0756)	(0.0758)	(0.0219)	(0.0222)	(0.0221)	(0.0220)
motheragecub	0.00308**	0.00299**	0.00304***	0.00304***	0.000153	0.000135	0.000119	0.000119	0.00225*	0.00233*	0.00262**	0.00258**	5.16e-05	2.58e-05	6.36e-05	6.68e-05
	(0.00121)	(0.00121)	(0.00117)	(0.00117)	(0.000319)	(0.000317)	(0.000314)	(0.000314)	(0.00127)	(0.00126)	(0.00124)	(0.00124)	(0.000360)	(0.000364)	(0.000359)	(0.000359)
agefirstbirth	0.277***	0.270***	0.160***	0.160***	0.0728***	0.0714***	0.0346***	0.0346***	0.372***	0.358***	0.180***	0.173***	0.0964***	0.0923***	0.0481***	0.0502***
	(0.0384)	(0.0387)	(0.0406)	(0.0406)	(0.0120)	(0.0120)	(0.0123)	(0.0123)	(0.0503)	(0.0500)	(0.0529)	(0.0530)	(0.0147)	(0.0148)	(0.0160)	(0.0161)
miss_motherage	-4.313	-2.757	-2.439	-2.439	1.268	1.624	1.786	1.786	-2.722	-1.754	-2.354	-2.179	1.787	2.052	2.025	1.983
	(3.841)	(3.871)	(3.728)	(3.728)	(1.678)	(1.738)	(1.734)	(1.734)	(4.303)	(4.481)	(4.438)	(4.483)	(1.681)	(1.742)	(1.779)	(1.755)
miss_agefirstbirth	7.594***	7.458***	4.320***	4.320***	2.031***	2.006***	0.934**	0.934**	9.222***	8.920***	4.052***	3.654**	2.302***	2.215***	1.003**	1.129**
	(1.131)	(1.142)	(1.204)	(1.204)	(0.360)	(0.361)	(0.368)	(0.368)	(1.374)	(1.387)	(1.471)	(1.513)	(0.405)	(0.408)	(0.438)	(0.450)
_mother_edu1			-6.900***	-6.900***			-2.426***	-2.426***			-7.682***	-7.698***			-1.981***	-1.973***
			(0.930)	(0.930)			(0.301)	(0.301)			(1.091)	(1.086)			(0.389)	(0.389)
_mother_edu2			-6.837***	-6.837***			-1.978***	-1.978***			-6.757***	-6.757***			-1.871***	-1.870***
			(0.866)	(0.866)			(0.298)	(0.298)			(1.042)	(1.040)			(0.405)	(0.405)
_mother_edu3			-4.739***	-4.739***			-1.149***	-1.149***			-4.420***	-4.415***			-0.954***	-0.955***
			(0.679)	(0.679)			(0.239)	(0.239)			(0.886)	(0.883)			(0.347)	(0.348)
_mother_edu4			-3.384***	-3.384***			-1.188***	-1.188***			-2.842***	-2.831***			-1.028***	-1.036***
			(0.719)	(0.719)			(0.251)	(0.251)			(0.930)	(0.927)			(0.358)	(0.359)
_mother_edu5			-2.192***	-2.192***			-0.559**	-0.559**			-1.450*	-1.443*			-0.334	-0.334
			(0.634)	(0.634)			(0.225)	(0.225)			(0.827)	(0.824)			(0.324)	(0.325)
_mother_edu7			-5.985***	-5.985***			-1.120***	-1.120***			-6.499***	-6.427***			-1.372***	-1.386***
			(1.467)	(1.467)			(0.353)	(0.353)			(1.340)	(1.346)			(0.457)	(0.458)
height		3.136	1.687	1.687		1.052	0.519	0.519		5.735*	2.369	2.472		1.681*	0.837	0.799
		(2.547)	(2.442)	(2.442)		(0.731)	(0.711)	(0.711)		(3.088)	(2.899)	(2.904)		(0.892)	(0.891)	(0.888)
bmi		-0.139***	-0.133***	-0.133***		-0.0229*	-0.0214*	-0.0214*		-0.130**	-0.141***	-0.139***		-0.0171	-0.0191	-0.0195
		(0.0430)	(0.0424)	(0.0424)		(0.0121)	(0.0118)	(0.0118)		(0.0541)	(0.0531)	(0.0531)		(0.0149)	(0.0148)	(0.0147)
miss_height		2.508	0.685	0.685		1.100	0.587	0.587		5.926	1.154	1.381		2.834*	1.599	1.515
		(4.588)	(4.413)	(4.413)		(1.331)	(1.284)	(1.284)		(5.353)	(5.057)	(5.068)		(1.579)	(1.553)	(1.547)
miss_bmi		-4.882***	-4.371***	-4.371***		-0.967**	-0.847**	-0.847**		-4.048**	-3.398**	-3.300**		-1.150**	-0.998**	-1.020**
		(1.490)	(1.459)	(1.459)		(0.448)	(0.428)	(0.428)		(1.631)	(1.578)	(1.586)		(0.508)	(0.505)	(0.504)
Constant	5.082	4.581	14.84	14.84	-4.999	-5.997	-1.410	-1.410	37.30***	29.10*	44.10***	43.29***	4.866	2.290	6.432	6.568
	(18.44)	(19.01)	(18.18)	(18.18)	(5.056)	(5.162)	(5.039)	(5.039)	(14.19)	(14.89)	(14.38)	(14.34)	(4.312)	(4.616)	(4.626)	(4.623)
																
Observations	4,579	4,579	4,579	4,579	4,247	4,247	4,247	4,247	3,437	3,437	3,437	3,437	3,157	3,157	3,157	3,157
R-squared	0.089	0.097	0.123	0.123	0.072	0.076	0.115	0.115	0.093	0.102	0.141	0.141	0.078	0.083	0.116	0.116
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
