	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																															
fert	0.112	-0.0256	-0.219	-0.562	-0.592	-0.602	0.484	0.142	-0.289	-8.390	-8.571	-8.684	-0.313	-0.313	-0.329	-0.547*	-0.550*	-0.545*	0.0773	0.0765	0.0743	-1.545	-1.714	-1.269	-1.015*	-1.063*	-0.960	-3.338	-3.820	-3.226	4.005	3.454	4.308	-0.509	-0.533	-0.572	-0.421	-0.446	-0.474	0.0335	0.0365	0.0391	-2.677	-2.826	-2.414	-0.120	-0.181	-0.117	-17.45*	-17.49*	-16.14**	-6.495	-6.845	-6.246	0.958***	0.950***	0.927***	0.650*	0.661*	0.662*	-0.0879***	-0.0868***	-0.0879***
	(1.381)	(1.382)	(1.325)	(0.571)	(0.566)	(0.525)	(4.417)	(4.359)	(4.189)	(5.758)	(5.755)	(5.498)	(0.322)	(0.322)	(0.321)	(0.313)	(0.312)	(0.312)	(0.0645)	(0.0643)	(0.0643)	(2.253)	(2.260)	(2.389)	(0.578)	(0.581)	(0.632)	(7.186)	(7.301)	(7.271)	(4.335)	(4.471)	(5.234)	(0.526)	(0.525)	(0.557)	(0.527)	(0.530)	(0.555)	(0.108)	(0.109)	(0.110)	(2.348)	(2.360)	(2.197)	(0.466)	(0.463)	(0.425)	(9.150)	(9.153)	(7.627)	(6.561)	(6.634)	(6.344)	(0.334)	(0.329)	(0.327)	(0.394)	(0.391)	(0.378)	(0.0326)	(0.0322)	(0.0323)
motherage	-9.892	-9.821	-8.902	-2.664*	-2.727*	-2.412	-19.38	-19.79	-16.47	-5.485	-5.779	-4.499	0.811	0.790	0.822	1.390	1.403	1.402	-0.224	-0.230	-0.219	-18.21**	-18.62**	-17.34**	-0.355	-0.481	-0.0739	-21.18	-22.04	-17.91	13.99	12.91	15.39	-2.790*	-2.815*	-2.882*	1.335	1.362	1.303	-0.220	-0.221	-0.228	-18.39	-18.91	-21.05*	-0.196	-0.334	-0.412	-44.64	-45.13	-53.32	-4.253	-5.124	-4.930	0.945	0.933	0.932	0.630	0.659	0.692	0.0851	0.0883	0.0955
	(6.266)	(6.219)	(5.968)	(1.563)	(1.563)	(1.550)	(16.39)	(16.27)	(16.08)	(9.102)	(9.122)	(9.090)	(1.077)	(1.077)	(1.077)	(0.964)	(0.964)	(0.962)	(0.162)	(0.162)	(0.161)	(8.936)	(8.774)	(8.362)	(2.542)	(2.549)	(2.461)	(24.67)	(24.61)	(24.27)	(13.57)	(13.49)	(13.05)	(1.519)	(1.515)	(1.515)	(1.342)	(1.335)	(1.346)	(0.237)	(0.236)	(0.239)	(11.74)	(11.72)	(11.39)	(8.275)	(8.247)	(7.495)	(44.11)	(44.07)	(43.37)	(47.36)	(47.47)	(43.02)	(5.720)	(5.710)	(5.297)	(4.905)	(4.902)	(4.534)	(0.836)	(0.834)	(0.769)
motheragesq	0.297	0.295	0.258	0.0944*	0.0965*	0.0837	0.633	0.645	0.508	0.160	0.169	0.110	-0.0290	-0.0283	-0.0298	-0.0503	-0.0508	-0.0506	0.00642	0.00662	0.00614	0.599*	0.615**	0.562*	0.0142	0.0187	0.00399	0.671	0.702	0.563	-0.520	-0.482	-0.585	0.0912*	0.0921*	0.0955*	-0.0599	-0.0608	-0.0580	0.00588	0.00595	0.00604	0.653	0.676	0.762*	0.0417	0.0499	0.0498	1.703	1.723	2.046	0.300	0.352	0.334	-0.0413	-0.0405	-0.0403	-0.0253	-0.0270	-0.0277	-0.00645	-0.00663	-0.00742
	(0.214)	(0.212)	(0.204)	(0.0552)	(0.0552)	(0.0548)	(0.575)	(0.571)	(0.564)	(0.328)	(0.330)	(0.328)	(0.0391)	(0.0391)	(0.0391)	(0.0346)	(0.0346)	(0.0345)	(0.00577)	(0.00576)	(0.00574)	(0.312)	(0.307)	(0.291)	(0.0880)	(0.0883)	(0.0853)	(0.863)	(0.862)	(0.846)	(0.476)	(0.474)	(0.458)	(0.0534)	(0.0532)	(0.0532)	(0.0465)	(0.0462)	(0.0467)	(0.00821)	(0.00819)	(0.00830)	(0.438)	(0.437)	(0.424)	(0.855)	(0.856)	(0.854)	(1.635)	(1.633)	(1.601)	(5.554)	(5.591)	(5.551)	(0.647)	(0.646)	(0.654)	(0.522)	(0.523)	(0.535)	(0.0830)	(0.0832)	(0.0852)
motheragecub	-0.00292	-0.00290	-0.00242	-0.00105*	-0.00107*	-0.000901	-0.00639	-0.00649	-0.00471	-0.00138	-0.00147	-0.000652	0.000286	0.000278	0.000298	0.000548	0.000554	0.000550	-6.12e-05	-6.34e-05	-5.74e-05	-0.00636*	-0.00656*	-0.00590*	-0.000185	-0.000238	-6.84e-05	-0.00668	-0.00703	-0.00551	0.00614	0.00570	0.00700	-0.000980	-0.000989*	-0.00104*	0.000783	0.000796	0.000758	-5.13e-05	-5.21e-05	-5.21e-05	-0.00709	-0.00738	-0.00845*	-0.000791	-0.000911	-0.000884	-0.0198	-0.0201	-0.0240	-0.00449	-0.00525	-0.00505	0.000486	0.000474	0.000469	0.000269	0.000292	0.000293	0.000103	0.000105	0.000119
	(0.00233)	(0.00231)	(0.00222)	(0.000619)	(0.000619)	(0.000616)	(0.00638)	(0.00635)	(0.00626)	(0.00372)	(0.00374)	(0.00373)	(0.000446)	(0.000446)	(0.000447)	(0.000391)	(0.000391)	(0.000390)	(6.43e-05)	(6.43e-05)	(6.42e-05)	(0.00346)	(0.00340)	(0.00322)	(0.000977)	(0.000981)	(0.000948)	(0.00965)	(0.00964)	(0.00943)	(0.00530)	(0.00528)	(0.00510)	(0.000599)	(0.000597)	(0.000597)	(0.000513)	(0.000510)	(0.000517)	(9.08e-05)	(9.05e-05)	(9.20e-05)	(0.00528)	(0.00527)	(0.00513)	(0.00102)	(0.00103)	(0.00126)	(0.0197)	(0.0197)	(0.0192)	(0.00676)	(0.00681)	(0.00812)	(0.000749)	(0.000755)	(0.000889)	(0.000645)	(0.000651)	(0.000771)	(0.000116)	(0.000118)	(0.000138)
agefirstbirth	0.325***	0.313***	0.181**	0.0444	0.0411	0.00206	1.226***	1.184***	0.746***	-0.0329	-0.0542	-0.271	-0.0338*	-0.0335	-0.0340*	-0.0426**	-0.0432**	-0.0388**	0.00489	0.00486	0.00384	0.347***	0.332**	0.171	0.0508	0.0462	0.00748	1.452***	1.409***	0.958***	0.749***	0.698***	0.440*	-0.0424	-0.0444	-0.0447	-0.0447	-0.0466*	-0.0441	0.00162	0.00185	0.000533	0.178	0.180	0.00972	0.0854***	0.0845***	0.0419	0.731	0.721	0.288	0.175	0.168	-0.0503	0.0177	0.0165	0.0146	-0.0110	-0.0114	-0.00541	-0.00430	-0.00432	-0.00500*
	(0.0909)	(0.0919)	(0.0857)	(0.0345)	(0.0345)	(0.0315)	(0.284)	(0.282)	(0.265)	(0.339)	(0.342)	(0.317)	(0.0205)	(0.0206)	(0.0200)	(0.0197)	(0.0198)	(0.0192)	(0.00400)	(0.00401)	(0.00389)	(0.128)	(0.130)	(0.129)	(0.0322)	(0.0324)	(0.0324)	(0.393)	(0.400)	(0.371)	(0.237)	(0.245)	(0.262)	(0.0281)	(0.0281)	(0.0275)	(0.0279)	(0.0281)	(0.0269)	(0.00562)	(0.00570)	(0.00521)	(0.147)	(0.148)	(0.134)	(0.0306)	(0.0305)	(0.0302)	(0.514)	(0.511)	(0.440)	(0.347)	(0.348)	(0.321)	(0.0226)	(0.0222)	(0.0221)	(0.0232)	(0.0230)	(0.0221)	(0.00274)	(0.00279)	(0.00279)
miss_motherage	-111.5*	-109.8*	-99.24*	-26.35*	-26.75*	-23.08	-203.3	-206.1	-168.1	-53.52	-55.53	-40.92	4.818	4.682	4.934	11.93	12.01	11.83	-2.480*	-2.517*	-2.427*	-179.7**	-184.6**	-172.8**	-6.102	-7.413	-3.290	-224.0	-232.8	-189.0	121.0	110.1	132.4	-28.30**	-28.53**	-29.01**	9.177	9.505	9.058	-2.616	-2.639	-2.715	-146.8	-149.3	-160.9																		
	(60.63)	(60.23)	(57.55)	(14.53)	(14.52)	(14.38)	(153.6)	(152.3)	(150.7)	(82.22)	(82.34)	(82.27)	(9.642)	(9.640)	(9.644)	(8.778)	(8.780)	(8.761)	(1.476)	(1.475)	(1.462)	(82.99)	(81.42)	(77.96)	(23.97)	(24.06)	(23.26)	(229.9)	(229.3)	(227.3)	(125.6)	(124.9)	(121.4)	(14.10)	(14.06)	(14.07)	(12.58)	(12.50)	(12.57)	(2.222)	(2.213)	(2.239)	(113.1)	(112.9)	(110.2)																		
miss_agefirstbirth	9.264***	8.859***	5.025*	1.064	0.961	-0.191	36.82***	35.53***	22.44**	-4.968	-5.635	-12.09	-1.034	-1.026	-1.047	-1.330**	-1.347**	-1.206*	0.177	0.176	0.148	8.592**	8.162**	3.803	0.936	0.809	-0.260	38.79***	37.57***	25.33**	19.30***	17.88**	10.57	-0.992	-1.050	-1.056	-1.014	-1.069	-0.984	0.0829	0.0897	0.0526	5.227	5.371	1.206	2.136**	2.150**	1.077	17.73	17.46	7.746	4.749	4.811	-0.900	0.500	0.462	0.372	-0.0245	-0.0484	0.0974	-0.105	-0.107	-0.126
	(3.034)	(3.061)	(2.846)	(1.186)	(1.183)	(1.075)	(9.671)	(9.595)	(8.971)	(11.69)	(11.77)	(10.93)	(0.695)	(0.699)	(0.674)	(0.673)	(0.676)	(0.651)	(0.138)	(0.138)	(0.133)	(3.722)	(3.780)	(3.761)	(0.939)	(0.946)	(0.940)	(11.49)	(11.71)	(10.77)	(6.892)	(7.122)	(7.579)	(0.820)	(0.821)	(0.798)	(0.814)	(0.820)	(0.783)	(0.166)	(0.168)	(0.153)	(3.973)	(3.992)	(3.572)	(0.855)	(0.850)	(0.821)	(14.11)	(14.03)	(11.86)	(9.362)	(9.375)	(8.503)	(0.647)	(0.640)	(0.627)	(0.665)	(0.660)	(0.631)	(0.0783)	(0.0807)	(0.0800)
height		3.915	2.501		1.197*	0.724		15.78**	10.65		7.578*	4.545		-0.116	-0.124		0.222	0.282		0.00764	-0.000335		6.415**	3.187		1.442	0.773		12.76	6.360		14.70***	9.314*		0.546	0.672		0.365	0.499		-0.0507	-0.0729		1.996	-1.466		1.170	0.382		4.032	-0.897		8.352	3.443		0.515	0.416		0.0285	0.140		-0.0102	-0.0180
		(2.551)	(2.457)		(0.716)	(0.700)		(7.246)	(6.999)		(4.604)	(4.603)		(0.523)	(0.526)		(0.464)	(0.467)		(0.0741)	(0.0741)		(3.062)	(2.958)		(0.887)	(0.884)		(8.636)	(8.630)		(5.089)	(5.022)		(0.606)	(0.620)		(0.524)	(0.529)		(0.0826)	(0.0845)		(3.838)	(3.753)		(1.246)	(1.247)		(13.52)	(13.06)		(8.225)	(7.938)		(0.939)	(0.931)		(0.757)	(0.759)		(0.138)	(0.140)
miss_height		1.966	0.665		0.949	0.602		19.10	15.52		7.739	5.507		-0.466	-0.489		0.525	0.545		-0.0616	-0.0702		6.199	2.391		1.803	1.001		17.94	10.40		20.30**	14.53*		0.861	1.001		0.869	0.993		-0.107	-0.127		-0.546	-5.084		0.720	-0.265		7.417	1.311		6.620	0.869		0.922	0.805		0.403	0.547		0.0166	0.00419
		(4.615)	(4.417)		(1.302)	(1.254)		(13.08)	(12.67)		(9.106)	(8.864)		(0.936)	(0.936)		(0.836)	(0.838)		(0.130)	(0.130)		(5.497)	(5.331)		(1.525)	(1.506)		(15.16)	(15.04)		(8.820)	(8.657)		(1.048)	(1.068)		(0.916)	(0.928)		(0.149)	(0.151)		(6.548)	(6.358)		(2.103)	(2.087)		(23.25)	(22.32)		(13.75)	(13.27)		(1.583)	(1.573)		(1.274)	(1.268)		(0.234)	(0.234)
_mother_edu1			-7.003***			-2.373***			-23.61***			-13.45***			0.384*			0.251			-0.0371			-7.678***			-1.806***			-18.41***			-13.75***			0.484*			0.311			-0.0494			-8.293***			-2.401***			-26.73***			-11.74***			0.771			0.965***			0.0814**
			(0.964)			(0.305)			(3.074)			(1.877)			(0.214)			(0.188)			(0.0344)			(1.211)			(0.427)			(4.083)			(2.267)			(0.284)			(0.254)			(0.0479)			(2.124)			(0.607)			(7.340)			(4.068)			(0.512)			(0.361)			(0.0383)
_mother_edu2			-6.965***			-1.963***			-19.82***			-9.113***			0.416*			0.217			-0.0270			-6.845***			-1.761***			-20.03***			-9.546***			0.290			0.153			0.00721			-8.865***			-2.030***			-28.62***			-8.769**			0.693			0.947**			0.148***
			(0.869)			(0.292)			(3.027)			(1.774)			(0.217)			(0.185)			(0.0334)			(1.044)			(0.406)			(3.746)			(2.051)			(0.256)			(0.218)			(0.0412)			(2.239)			(0.655)			(7.735)			(4.155)			(0.535)			(0.387)			(0.0473)
_mother_edu3			-4.896***			-1.205***			-12.38***			-6.948***			0.290			-0.0119			-0.0519*			-4.555***			-0.935***			-12.92***			-5.455***			0.0865			0.00796			-0.0285			-6.183***			-1.432**			-24.65***			-6.038			0.779			0.743**			0.0932***
			(0.675)			(0.232)			(2.404)			(1.396)			(0.179)			(0.150)			(0.0282)			(0.888)			(0.346)			(3.217)			(1.712)			(0.224)			(0.187)			(0.0349)			(2.097)			(0.603)			(7.293)			(3.904)			(0.508)			(0.353)			(0.0352)
_mother_edu4			-3.507***			-1.251***			-10.71***			-6.516***			0.287			0.0223			-0.0119			-3.031***			-1.013***			-12.08***			-5.502***			0.506**			0.123			0.0163			-4.920**			-1.292**			-18.91***			-7.446*			1.127**			0.818**			0.104***
			(0.724)			(0.247)			(2.511)			(1.546)			(0.190)			(0.160)			(0.0307)			(0.924)			(0.355)			(3.284)			(1.847)			(0.232)			(0.194)			(0.0372)			(2.132)			(0.599)			(7.296)			(3.919)			(0.518)			(0.361)			(0.0399)
_mother_edu5			-2.280***			-0.570***			-4.586**			-3.494***			0.458***			0.0153			-0.00763			-1.575*			-0.292			-3.870			-2.285			0.304			0.0866			0.00501			-1.838			-0.906			-14.36**			-2.741			0.853*			0.846**			0.131***
			(0.631)			(0.221)			(2.257)			(1.347)			(0.173)			(0.144)			(0.0276)			(0.838)			(0.324)			(3.001)			(1.611)			(0.215)			(0.178)			(0.0336)			(2.062)			(0.578)			(6.984)			(3.849)			(0.500)			(0.347)			(0.0382)
_mother_edu7			-6.098***			-1.150***			-16.17***			-11.23***			0.311			0.133			0.0291			-6.421***			-1.100**			-17.51***			-13.28***			0.714**			0.613*			-0.0328			-6.102***			-1.137			-22.19**			-10.49**			0.673			0.718*			0.197***
			(1.474)			(0.359)			(4.501)			(2.354)			(0.295)			(0.266)			(0.0547)			(1.576)			(0.519)			(5.090)			(2.990)			(0.357)			(0.333)			(0.0601)			(2.315)			(0.692)			(8.673)			(4.643)			(0.567)			(0.423)			(0.0569)
Constant	163.1***	156.3***	158.4***	28.89**	27.72**	28.37**	229.8	209.7	212.8	199.4**	189.6**	197.0**	1.333	1.688	1.123	-6.799	-7.234	-7.469	2.436	2.474	2.461	215.4***	209.5***	212.2***	14.59	13.63	12.79	242.6	232.6	228.8	-37.92	-49.02	-50.19	33.01**	32.42**	32.64**	-5.761	-6.613	-6.492	2.480	2.577	2.753	221.8*	222.1*	248.2**	2.991	1.517	5.673	426.0	424.1	519.7	106.6**	95.55**	116.4***	0.291	-0.470	-0.943	2.758	2.630	1.415	0.373*	0.381	0.346
	(60.53)	(59.28)	(57.02)	(13.60)	(13.54)	(13.38)	(153.9)	(152.1)	(150.6)	(86.95)	(86.15)	(85.48)	(9.900)	(9.877)	(9.850)	(8.879)	(8.848)	(8.797)	(1.537)	(1.529)	(1.505)	(78.63)	(75.91)	(73.23)	(22.54)	(22.61)	(21.93)	(220.3)	(219.0)	(216.5)	(122.3)	(122.1)	(120.6)	(14.88)	(14.80)	(14.79)	(13.36)	(13.24)	(13.27)	(2.425)	(2.411)	(2.413)	(115.5)	(115.8)	(112.6)	(3.275)	(3.922)	(3.789)	(439.2)	(439.9)	(433.0)	(42.49)	(48.38)	(44.79)	(2.150)	(2.682)	(2.655)	(2.474)	(2.862)	(2.762)	(0.210)	(0.291)	(0.293)
																																																															
Observations	4,579	4,579	4,579	4,247	4,247	4,247	4,190	4,190	4,190	4,233	4,233	4,233	4,316	4,316	4,316	4,316	4,316	4,316	4,316	4,316	4,316	3,437	3,437	3,437	3,157	3,157	3,157	3,110	3,110	3,110	3,141	3,141	3,141	3,217	3,217	3,217	3,217	3,217	3,217	3,217	3,217	3,217	1,581	1,581	1,581	1,407	1,407	1,407	1,390	1,390	1,390	1,401	1,401	1,401	1,442	1,442	1,442	1,442	1,442	1,442	1,442	1,442	1,442
R-squared	0.086	0.090	0.118	0.058	0.058	0.094	0.112	0.115	0.152				0.012	0.013	0.014			0.002				0.093	0.098	0.137	0.025	0.021	0.062	0.136	0.137	0.163	0.038	0.050	0.081	0.002		0.003	0.017	0.014	0.016	0.019	0.018	0.022	0.072	0.074	0.123	0.078	0.081	0.113	0.029	0.029	0.071			0.028							0.042	0.043	0.054
Robust standard errors in parentheses																																																															
*** p<0.01, ** p<0.05, * p<0.1																																																															
