	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																															
fert	2.665	2.473	2.289	-0.129	-0.147	-0.212	-0.618	-1.177	-1.737	-2.779	-3.058	-3.662	0.281	0.309	0.300	0.102	0.119	0.118	0.0814	0.0795	0.0754	2.286	1.298	1.945	0.134	0.0432	0.218	-3.448	-5.456	-4.105	2.077	1.194	2.297	0.496	0.433	0.378	0.280	0.234	0.221	-0.0414	-0.0353	-0.0344	-1.139	-1.071	-1.393	0.350	0.238	-0.0700	-11.13	-9.881	-11.98	1.891	1.409	0.355	0.462	0.499	0.381	0.743*	0.751*	0.773**	-0.0459	-0.0427*	-0.0466*
	(2.103)	(2.108)	(2.010)	(0.488)	(0.485)	(0.472)	(5.664)	(5.506)	(5.267)	(2.969)	(3.009)	(2.822)	(0.447)	(0.457)	(0.448)	(0.457)	(0.459)	(0.451)	(0.0959)	(0.0962)	(0.0923)	(2.875)	(3.069)	(3.001)	(0.744)	(0.760)	(0.745)	(8.530)	(8.966)	(9.408)	(4.493)	(4.574)	(3.947)	(0.751)	(0.736)	(0.764)	(0.746)	(0.724)	(0.736)	(0.0987)	(0.0975)	(0.0996)	(3.113)	(3.257)	(2.828)	(0.449)	(0.476)	(0.463)	(10.95)	(11.06)	(9.389)	(5.528)	(5.515)	(5.458)	(0.499)	(0.494)	(0.397)	(0.404)	(0.393)	(0.383)	(0.0291)	(0.0259)	(0.0263)
motherage	-17.70*	-17.42*	-15.95*	-3.854*	-3.850*	-3.031	-27.55	-26.10	-19.62	-2.493	-2.730	1.299	1.050	1.025	1.011	2.532*	2.545*	2.472*	-0.219	-0.225	-0.238	-23.64*	-22.88**	-20.47*	1.429	1.370	2.440	6.059	4.990	8.864	7.956	7.395	12.60	-5.355***	-5.380***	-5.484***	0.0507	0.0348	-0.0301	-0.542*	-0.539*	-0.528*	-4.588	-4.710	-4.358	-0.168	-0.347	0.0694	2.177	3.035	1.489	102.1***	106.0***	98.13***	-5.479	-5.592	-5.141	-3.157	-3.066	-2.969	-0.365	-0.399	-0.487
	(9.917)	(9.653)	(9.146)	(2.330)	(2.326)	(2.297)	(28.57)	(27.92)	(27.54)	(12.79)	(12.82)	(12.41)	(1.677)	(1.680)	(1.673)	(1.449)	(1.450)	(1.452)	(0.261)	(0.260)	(0.263)	(12.09)	(11.55)	(10.85)	(3.224)	(3.258)	(3.188)	(34.22)	(33.86)	(33.32)	(18.17)	(18.26)	(17.72)	(2.049)	(2.033)	(2.060)	(1.762)	(1.748)	(1.778)	(0.313)	(0.311)	(0.316)	(18.85)	(17.39)	(17.03)	(8.279)	(8.625)	(7.886)	(93.15)	(94.59)	(87.78)	(34.33)	(34.41)	(32.96)	(3.515)	(3.506)	(3.541)	(2.801)	(2.812)	(2.829)	(0.691)	(0.687)	(0.705)
motheragesq	0.505	0.490	0.440	0.145*	0.144*	0.115	0.915	0.844	0.624	0.0461	0.0444	-0.102	-0.0243	-0.0225	-0.0223	-0.0835*	-0.0834*	-0.0809	0.00415	0.00429	0.00468	0.755*	0.729*	0.633*	-0.0389	-0.0364	-0.0767	-0.333	-0.313	-0.429	-0.302	-0.285	-0.491	0.179**	0.179**	0.185***	-0.0125	-0.0126	-0.00984	0.0166	0.0166	0.0160	0.164	0.188	0.179	0.0325	0.0459	0.0228	-0.107	-0.147	0.00638	-3.646***	-3.755***	-3.511***	0.196	0.199	0.183	0.108	0.105	0.103	0.0103	0.0112	0.0142
	(0.340)	(0.331)	(0.313)	(0.0807)	(0.0806)	(0.0793)	(0.982)	(0.963)	(0.945)	(0.454)	(0.455)	(0.440)	(0.0581)	(0.0581)	(0.0579)	(0.0505)	(0.0505)	(0.0505)	(0.00927)	(0.00924)	(0.00932)	(0.421)	(0.404)	(0.377)	(0.110)	(0.111)	(0.108)	(1.178)	(1.167)	(1.143)	(0.630)	(0.633)	(0.612)	(0.0705)	(0.0699)	(0.0709)	(0.0605)	(0.0601)	(0.0613)	(0.0108)	(0.0108)	(0.0110)	(3.777)	(3.645)	(3.432)	(1.100)	(1.104)	(1.094)	(11.34)	(11.42)	(11.34)	(1.260)	(1.260)	(1.198)	(0.127)	(0.127)	(0.129)	(0.103)	(0.103)	(0.104)	(0.0238)	(0.0237)	(0.0243)
motheragecub	-0.00471	-0.00451	-0.00392	-0.00162*	-0.00160*	-0.00127	-0.00927	-0.00832	-0.00579	8.15e-05	0.000180	0.00194	0.000123	9.57e-05	9.88e-05	0.000880	0.000874	0.000846	-2.05e-05	-2.15e-05	-2.50e-05	-0.00772*	-0.00743*	-0.00625	0.000384	0.000354	0.000828	0.00504	0.00495	0.00610	0.00396	0.00380	0.00630	-0.00194**	-0.00194**	-0.00201***	0.000276	0.000282	0.000248	-0.000166	-0.000166	-0.000159	-0.00127	-0.00175	-0.00178	-0.000619	-0.000836	-0.000545	0.00205	0.00257	-0.000333	0.0431***	0.0441***	0.0412***	-0.00231	-0.00233	-0.00213	-0.00124	-0.00121	-0.00120	-9.86e-05	-0.000107	-0.000142
	(0.00371)	(0.00361)	(0.00342)	(0.000891)	(0.000890)	(0.000873)	(0.0108)	(0.0106)	(0.0104)	(0.00507)	(0.00508)	(0.00492)	(0.000640)	(0.000640)	(0.000637)	(0.000560)	(0.000560)	(0.000559)	(0.000104)	(0.000103)	(0.000104)	(0.00465)	(0.00446)	(0.00417)	(0.00120)	(0.00121)	(0.00118)	(0.0129)	(0.0128)	(0.0126)	(0.00697)	(0.00699)	(0.00675)	(0.000773)	(0.000768)	(0.000779)	(0.000663)	(0.000658)	(0.000672)	(0.000119)	(0.000119)	(0.000121)	(0.0107)	(0.00942)	(0.00816)	(0.00180)	(0.00177)	(0.00199)	(0.0151)	(0.0152)	(0.0169)	(0.0151)	(0.0151)	(0.0142)	(0.00151)	(0.00151)	(0.00153)	(0.00123)	(0.00124)	(0.00124)	(0.000268)	(0.000267)	(0.000274)
agefirstbirth	0.507***	0.489***	0.355**	0.0635*	0.0613*	0.0142	1.136***	1.065***	0.574	0.343*	0.312	0.0406	0.0126	0.0159	0.0113	-0.00190	-4.97e-05	0.00179	0.00505	0.00486	0.00389	0.584***	0.510**	0.370*	0.0964**	0.0895**	0.0567	1.429***	1.296**	0.903	0.641**	0.578**	0.349	0.0135	0.00941	0.00364	-0.00410	-0.00694	-0.00422	-0.000293	0.000104	-0.000648	0.177	0.163	-0.0186	0.0962***	0.0913**	0.0352	1.123**	1.136**	0.493	0.649**	0.631**	0.389	-0.00130	-0.000559	-0.0108	-0.0111	-0.0114	-0.00493	-0.00262	-0.00247	-0.00349
	(0.149)	(0.150)	(0.142)	(0.0338)	(0.0338)	(0.0331)	(0.391)	(0.385)	(0.371)	(0.206)	(0.212)	(0.199)	(0.0288)	(0.0296)	(0.0287)	(0.0290)	(0.0294)	(0.0282)	(0.00611)	(0.00616)	(0.00583)	(0.186)	(0.198)	(0.196)	(0.0442)	(0.0451)	(0.0441)	(0.511)	(0.534)	(0.556)	(0.278)	(0.287)	(0.253)	(0.0425)	(0.0416)	(0.0424)	(0.0420)	(0.0407)	(0.0408)	(0.00558)	(0.00553)	(0.00555)	(0.184)	(0.189)	(0.176)	(0.0361)	(0.0366)	(0.0394)	(0.546)	(0.550)	(0.534)	(0.284)	(0.284)	(0.293)	(0.0284)	(0.0283)	(0.0273)	(0.0260)	(0.0258)	(0.0266)	(0.00320)	(0.00316)	(0.00321)
miss_motherage	-202.1**	-200.5**	-182.3**	-32.31	-32.45	-22.95	-277.8	-271.9	-192.8	-21.94	-26.57	19.40	11.58	11.65	11.64	25.03*	25.29*	24.49*	-3.148	-3.215	-3.336	-233.6**	-224.5**	-203.9**	16.89	16.88	26.82	10.90	-6.116	38.85	99.09	94.36	139.0	-52.21***	-52.82***	-53.11***	1.208	0.708	0.295	-5.859**	-5.804**	-5.748**										1,032***	1,079***	974.7***	-52.53	-54.09	-48.07	-31.87	-30.94	-29.41	-4.436	-4.833	-5.837
	(95.36)	(92.87)	(87.80)	(22.26)	(22.20)	(21.98)	(275.0)	(267.7)	(265.0)	(117.6)	(117.9)	(114.2)	(15.93)	(15.98)	(15.94)	(13.74)	(13.76)	(13.81)	(2.370)	(2.372)	(2.402)	(113.3)	(108.0)	(102.5)	(31.21)	(31.55)	(30.92)	(327.2)	(322.6)	(319.9)	(173.0)	(174.0)	(170.8)	(19.43)	(19.27)	(19.50)	(16.64)	(16.53)	(16.75)	(2.911)	(2.886)	(2.932)										(335.3)	(336.4)	(321.2)	(34.19)	(34.03)	(34.50)	(26.86)	(26.96)	(27.26)	(6.804)	(6.774)	(6.946)
miss_agefirstbirth	15.03***	14.46***	10.54**	2.027*	1.959*	0.546	35.64***	33.46***	18.80	8.684	7.710	-0.675	0.473	0.578	0.443	0.0656	0.124	0.180	0.164	0.158	0.128	15.72***	13.77**	9.832*	2.501**	2.307*	1.330	40.90***	37.20**	26.22*	16.31**	14.55*	7.945	0.488	0.374	0.179	0.00882	-0.0715	0.000903	-0.0125	-0.00130	-0.0262	6.671	6.706	1.893	3.413***	3.324***	1.827	39.76***	40.06***	22.50	20.81***	20.49***	13.69*	-0.752	-0.742	-1.082	-0.626	-0.630	-0.483	-0.126	-0.124	-0.159
	(4.825)	(4.860)	(4.573)	(1.112)	(1.112)	(1.081)	(12.85)	(12.62)	(12.10)	(6.739)	(6.909)	(6.454)	(0.961)	(0.989)	(0.953)	(0.980)	(0.990)	(0.949)	(0.206)	(0.207)	(0.195)	(5.166)	(5.536)	(5.459)	(1.242)	(1.269)	(1.237)	(14.38)	(15.08)	(15.68)	(7.826)	(8.053)	(7.081)	(1.221)	(1.197)	(1.223)	(1.203)	(1.168)	(1.168)	(0.161)	(0.160)	(0.160)	(4.847)	(4.975)	(4.517)	(1.124)	(1.123)	(1.171)	(15.31)	(15.48)	(14.92)	(7.841)	(7.802)	(8.092)	(0.807)	(0.806)	(0.770)	(0.689)	(0.683)	(0.707)	(0.1000)	(0.0990)	(0.0983)
height		6.458*	4.848		0.799	0.222		28.03**	21.63*		10.96*	7.544		-1.237*	-1.237		-0.673	-0.629		0.0632	0.0604		12.22***	7.175*		1.060	-0.0713		23.48*	13.23		10.35	2.946		0.785	0.837		0.566	0.700		-0.0756	-0.0999		13.39**	8.743		1.276	0.385		26.62	16.52		2.814	-2.074		0.428	0.327		0.470	0.599		-0.0440	-0.0540
		(3.906)	(3.763)		(1.001)	(0.984)		(11.71)	(11.28)		(6.617)	(6.511)		(0.751)	(0.753)		(0.654)	(0.655)		(0.110)	(0.110)		(4.477)	(4.163)		(1.232)	(1.221)		(13.52)	(13.54)		(7.751)	(7.579)		(0.864)	(0.860)		(0.724)	(0.708)		(0.116)	(0.116)		(5.338)	(5.325)		(1.840)	(1.830)		(17.52)	(17.19)		(10.63)	(10.59)		(1.156)	(1.151)		(0.982)	(0.986)		(0.191)	(0.193)
miss_height		9.653	7.334		1.289	0.654		57.06***	49.46**		15.06	11.69		-2.217*	-2.200*		-0.989	-0.929		0.0521	0.0557		15.46**	9.452		0.397	-0.839		42.25*	28.99		12.35	4.858		1.697	1.677		1.372	1.490		-0.153	-0.164		17.14*	11.68		0.299	-0.289		51.26*	39.57		-4.105	-7.462		1.162	0.939		0.709	0.771		-4.50e-05	-0.00531
		(6.790)	(6.501)		(1.809)	(1.771)		(20.47)	(19.75)		(11.80)	(11.32)		(1.303)	(1.303)		(1.142)	(1.145)		(0.191)	(0.190)		(7.756)	(7.238)		(2.150)	(2.118)		(23.53)	(23.35)		(13.42)	(12.91)		(1.474)	(1.467)		(1.246)	(1.234)		(0.200)	(0.200)		(9.221)	(9.076)		(3.131)	(3.089)		(30.29)	(29.18)		(17.93)	(17.55)		(2.002)	(1.979)		(1.673)	(1.680)		(0.323)	(0.321)
_mother_edu1			-7.111***			-2.536***			-24.50***			-16.07***			0.346			0.124			-0.0164			-7.436***			-1.653***			-15.04**			-14.78***			0.526			0.146			-0.0498			-6.995***			-2.357***			-34.32***			-4.867			1.390**			0.905			0.0863
			(1.386)			(0.447)			(4.754)			(2.687)			(0.309)			(0.268)			(0.0440)			(1.625)			(0.603)			(5.945)			(3.023)			(0.377)			(0.322)			(0.0525)			(2.594)			(0.761)			(8.265)			(4.687)			(0.585)			(0.582)			(0.0527)
_mother_edu2			-8.269***			-2.033***			-22.86***			-9.995***			0.399			0.133			0.0312			-6.284***			-1.100*			-17.98***			-7.502**			0.266			0.113			0.0231			-7.090**			-1.330			-37.86***			0.496			0.874			0.785			0.150**
			(1.387)			(0.454)			(5.157)			(2.788)			(0.343)			(0.285)			(0.0535)			(1.479)			(0.621)			(5.910)			(3.043)			(0.372)			(0.308)			(0.0565)			(2.783)			(0.833)			(8.750)			(5.029)			(0.612)			(0.607)			(0.0679)
_mother_edu3			-4.777***			-1.098***			-13.43***			-6.367***			0.314			0.0127			-0.0134			-3.468***			-0.0519			-9.596*			-5.161*			0.194			-0.0221			-0.0136			-4.215			-0.727			-29.78***			3.226			0.968*			0.528			0.0936*
			(0.991)			(0.352)			(3.837)			(2.133)			(0.259)			(0.214)			(0.0361)			(1.284)			(0.543)			(5.207)			(2.693)			(0.331)			(0.278)			(0.0487)			(2.570)			(0.752)			(8.097)			(4.630)			(0.569)			(0.567)			(0.0503)
_mother_edu4			-2.882***			-1.398***			-12.89***			-6.828***			0.480*			0.137			0.0487			-2.113			-0.402			-10.12*			-6.226**			0.696**			0.0834			0.0315			-3.022			-0.709			-25.01***			1.831			1.911***			0.676			0.0996*
			(1.005)			(0.368)			(3.920)			(2.225)			(0.265)			(0.218)			(0.0384)			(1.313)			(0.565)			(5.263)			(2.900)			(0.344)			(0.291)			(0.0530)			(2.607)			(0.755)			(8.040)			(4.616)			(0.587)			(0.577)			(0.0549)
_mother_edu5			-2.345***			-0.417			-4.647			-3.835*			0.594**			0.0224			0.0207			-0.157			0.383			0.834			-1.629			0.500			-0.0112			-0.00806			-0.460			-0.428			-18.68**			5.918			1.327**			0.692			0.156***
			(0.907)			(0.340)			(3.644)			(2.080)			(0.255)			(0.209)			(0.0365)			(1.254)			(0.522)			(4.911)			(2.583)			(0.319)			(0.265)			(0.0462)			(2.447)			(0.721)			(7.407)			(4.426)			(0.555)			(0.558)			(0.0522)
_mother_edu7			-4.957**			-1.499***			-21.87***			-12.03***			0.808**			0.318			0.0741			-6.545***			-0.973			-19.93***			-12.36***			0.997**			0.622			-0.0543			-5.473*			-1.150			-43.53***			-0.588			1.378**			0.860			0.179**
			(2.114)			(0.517)			(6.684)			(3.377)			(0.403)			(0.357)			(0.0751)			(2.063)			(0.707)			(7.062)			(3.972)			(0.476)			(0.447)			(0.0618)			(3.090)			(0.893)			(9.517)			(5.622)			(0.666)			(0.667)			(0.0702)
Constant	233.3***	223.1***	221.3***	39.08*	38.00*	35.68*	344.3	294.7	277.9	134.1	124.0	107.2	-10.63	-8.872	-8.945	-21.78*	-21.06	-20.59	2.066	2.041	2.208	278.6**	259.6**	251.8**	-3.619	-4.444	-9.651	43.08	37.25	25.88	45.67	38.77	25.76	47.71**	47.14**	47.42**	1.417	1.010	1.143	5.103*	5.158*	5.188*	60.62***	39.90**	60.54***	2.471	1.100	7.685*	41.83	-6.314	69.26	-970.6***	-1,020***	-891.8***	54.78	55.49	49.11	32.27	30.65	27.83	4.678	5.172	6.162
	(87.18)	(83.35)	(79.55)	(20.27)	(20.26)	(20.01)	(252.9)	(245.8)	(244.0)	(117.5)	(117.4)	(113.4)	(14.84)	(14.83)	(14.76)	(12.93)	(12.87)	(12.87)	(2.345)	(2.323)	(2.327)	(112.4)	(106.3)	(101.5)	(28.55)	(29.00)	(28.39)	(332.6)	(329.6)	(329.4)	(160.2)	(161.0)	(155.5)	(18.75)	(18.59)	(18.83)	(16.45)	(16.34)	(16.55)	(2.798)	(2.799)	(2.840)	(18.41)	(19.45)	(17.65)	(2.907)	(4.181)	(4.480)	(67.90)	(69.45)	(66.71)	(335.8)	(335.6)	(322.2)	(34.33)	(34.28)	(34.90)	(26.98)	(27.27)	(27.74)	(6.815)	(6.807)	(6.984)
																																																															
Observations	2,330	2,330	2,330	2,137	2,137	2,137	2,109	2,109	2,109	2,130	2,130	2,130	2,182	2,182	2,182	2,182	2,182	2,182	2,182	2,182	2,182	1,760	1,760	1,760	1,598	1,598	1,598	1,572	1,572	1,572	1,588	1,588	1,588	1,638	1,638	1,638	1,638	1,638	1,638	1,638	1,638	1,638	802	802	802	710	710	710	705	705	705	710	710	710	735	735	735	735	735	735	735	735	735
R-squared	0.031	0.040	0.078	0.093	0.093	0.137	0.119	0.125	0.162	0.080	0.080	0.113	0.027	0.026	0.033	0.050	0.050	0.051			0.004	0.054	0.091	0.121	0.094	0.099	0.138	0.148	0.148	0.179	0.065	0.072	0.110	0.004	0.013	0.031	0.034	0.040	0.046	0.038	0.040	0.048	0.099	0.111	0.148	0.110	0.118	0.156	0.167	0.176	0.207	0.138	0.143	0.171	0.064	0.062	0.101	0.034	0.033	0.037	0.079	0.082	0.095
Robust standard errors in parentheses																																																															
*** p<0.01, ** p<0.05, * p<0.1																																																															
