	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																															
fert	-1.647	-1.692	-1.806	-1.113	-1.145	-1.099	3.769	3.534	3.776	-14.61	-14.67	-14.61	-0.632	-0.645	-0.668	-1.204***	-1.213***	-1.219***	0.0801	0.0799	0.0802	-5.147*	-5.054	-4.795	-2.263**	-2.305**	-2.364**	-6.092	-5.723	-5.301	7.268	7.447	8.388	-1.156	-1.149	-1.194	-1.185	-1.209	-1.281	0.104	0.108	0.114	-3.745	-3.500	-3.178	0.176	0.0686	0.175	-18.84**	-18.13**	-18.38**	-7.277	-7.842	-6.325	0.947**	0.924**	0.969**	0.490	0.521	0.563	-0.121***	-0.121***	-0.134***
	(2.028)	(2.044)	(2.022)	(1.049)	(1.039)	(0.978)	(6.630)	(6.617)	(6.194)	(11.40)	(11.36)	(11.27)	(0.501)	(0.498)	(0.509)	(0.436)	(0.423)	(0.451)	(0.0923)	(0.0915)	(0.0947)	(3.001)	(3.077)	(3.155)	(0.994)	(1.029)	(1.131)	(12.71)	(12.69)	(12.73)	(8.171)	(8.587)	(11.10)	(0.842)	(0.857)	(1.002)	(0.889)	(0.924)	(1.100)	(0.186)	(0.191)	(0.192)	(2.648)	(2.572)	(2.593)	(0.670)	(0.640)	(0.649)	(8.288)	(8.008)	(7.665)	(6.710)	(6.665)	(6.955)	(0.433)	(0.415)	(0.453)	(0.592)	(0.564)	(0.572)	(0.0349)	(0.0360)	(0.0424)
motherage	-0.0461	-0.326	1.537	-0.370	-0.438	-0.119	-6.781	-7.586	-5.585	-2.147	-2.282	0.298	0.891	0.875	0.908	0.786	0.807	0.973	-0.300	-0.304	-0.255	-7.127	-7.841	-6.456	-2.625	-2.794	-1.921	-66.28**	-67.89**	-62.44*	18.51	15.60	19.34	1.256	1.160	1.154	3.190	3.219	3.331	-0.0768	-0.0769	-0.0869	-29.06*	-27.08*	-27.94*	-0.616	-0.765	-1.018	-27.28	-26.17	-27.70	-5.974	-7.406	-8.614	-0.636	-0.848	-0.764	-2.367	-2.041	-2.011	-0.0866	-0.0814	-0.155
	(6.874)	(6.860)	(6.845)	(2.086)	(2.078)	(2.059)	(17.72)	(17.62)	(17.67)	(13.94)	(13.98)	(14.25)	(1.399)	(1.401)	(1.411)	(1.372)	(1.374)	(1.379)	(0.186)	(0.186)	(0.183)	(11.08)	(10.99)	(10.91)	(4.472)	(4.491)	(4.583)	(33.09)	(32.93)	(33.22)	(22.61)	(22.31)	(21.34)	(2.462)	(2.456)	(2.420)	(2.441)	(2.452)	(2.428)	(0.390)	(0.390)	(0.390)	(16.18)	(16.03)	(16.01)	(7.760)	(8.187)	(10.94)	(117.5)	(122.1)	(155.7)	(61.11)	(64.75)	(79.39)	(4.227)	(4.239)	(4.243)	(3.447)	(3.488)	(3.471)	(0.771)	(0.777)	(0.769)
motheragesq	-0.00479	0.00723	-0.0697	0.00462	0.00800	-0.00617	0.218	0.256	0.141	0.0424	0.0491	-0.0613	-0.0436	-0.0427	-0.0439	-0.0379	-0.0385	-0.0437	0.0111	0.0112*	0.00937	0.222	0.248	0.194	0.0850	0.0925	0.0620	2.390**	2.449**	2.241*	-0.640	-0.526	-0.680	-0.0540	-0.0503	-0.0495	-0.132	-0.133	-0.135	0.00175	0.00169	0.00182	1.071*	0.988	1.012*	0.0587	0.0658	0.0704	1.033	0.973	0.967	0.462	0.532	0.572	0.0164	0.0248	0.0198	0.0937	0.0807	0.0800	-0.00155	-0.00176	0.000126
	(0.243)	(0.242)	(0.243)	(0.0738)	(0.0736)	(0.0732)	(0.629)	(0.626)	(0.626)	(0.510)	(0.513)	(0.523)	(0.0507)	(0.0508)	(0.0512)	(0.0493)	(0.0494)	(0.0496)	(0.00677)	(0.00678)	(0.00677)	(0.395)	(0.392)	(0.389)	(0.157)	(0.158)	(0.160)	(1.178)	(1.173)	(1.178)	(0.809)	(0.799)	(0.767)	(0.0882)	(0.0880)	(0.0869)	(0.0870)	(0.0874)	(0.0868)	(0.0138)	(0.0138)	(0.0139)	(0.615)	(0.608)	(0.606)	(1.401)	(1.377)	(1.273)	(14.98)	(14.57)	(13.58)	(8.172)	(8.160)	(7.386)	(0.161)	(0.162)	(0.162)	(0.128)	(0.130)	(0.131)	(0.0281)	(0.0284)	(0.0282)
motheragecub	2.64e-05	-0.000120	0.000843	-6.37e-05	-0.000108	7.93e-05	-0.00250	-0.00297	-0.00128	-0.000363	-0.000449	0.000978	0.000551	0.000539	0.000554	0.000473	0.000477	0.000529	-0.000128*	-0.000130*	-0.000108	-0.00240	-0.00270	-0.00202	-0.00101	-0.00110	-0.000762	-0.0276**	-0.0283**	-0.0258*	0.00695	0.00557	0.00754	0.000681	0.000636	0.000620	0.00163	0.00163	0.00164	-1.39e-05	-1.29e-05	-1.23e-05	-0.0126*	-0.0116	-0.0115	-0.000975	-0.00106	-0.00104	-0.0104	-0.00956	-0.00867	-0.00767	-0.00856	-0.00888*	-0.000228	-0.000330	-0.000246	-0.00126	-0.00110	-0.00111	6.09e-05	6.34e-05	4.90e-05
	(0.00271)	(0.00270)	(0.00272)	(0.000819)	(0.000818)	(0.000815)	(0.00699)	(0.00697)	(0.00697)	(0.00580)	(0.00584)	(0.00597)	(0.000573)	(0.000575)	(0.000579)	(0.000554)	(0.000555)	(0.000558)	(7.72e-05)	(7.73e-05)	(7.76e-05)	(0.00451)	(0.00449)	(0.00444)	(0.00177)	(0.00177)	(0.00180)	(0.0134)	(0.0134)	(0.0134)	(0.00921)	(0.00910)	(0.00877)	(0.00101)	(0.00101)	(0.000997)	(0.00100)	(0.00100)	(0.001000)	(0.000158)	(0.000158)	(0.000158)	(0.00748)	(0.00740)	(0.00739)	(0.00283)	(0.00252)	(0.00152)	(0.0179)	(0.0149)	(0.00780)	(0.0102)	(0.00866)	(0.00473)	(0.00199)	(0.00200)	(0.00200)	(0.00156)	(0.00158)	(0.00160)	(0.000334)	(0.000337)	(0.000335)
agefirstbirth	0.213*	0.213*	0.0896	0.0221	0.0188	-0.0136	1.456***	1.446***	1.075***	-0.426	-0.434	-0.611	-0.0630**	-0.0650**	-0.0628**	-0.0848***	-0.0871***	-0.0815***	0.00507	0.00518	0.00390	0.162	0.167	0.0322	0.00306	-0.00291	-0.0386	1.363**	1.380**	0.957*	0.918**	0.902**	0.593	-0.0739*	-0.0743*	-0.0662	-0.0878*	-0.0900*	-0.0815*	0.00298	0.00335	0.000749	0.135	0.181	-0.00131	0.0896*	0.0875**	0.0528	0.451	0.523	0.255	-0.145	-0.144	-0.278	0.0310	0.0289	0.0244	-0.0116	-0.0134	-0.00379	-0.00766*	-0.00778*	-0.00831**
	(0.127)	(0.130)	(0.121)	(0.0621)	(0.0620)	(0.0566)	(0.416)	(0.417)	(0.378)	(0.668)	(0.671)	(0.645)	(0.0315)	(0.0315)	(0.0311)	(0.0277)	(0.0272)	(0.0279)	(0.00569)	(0.00567)	(0.00567)	(0.161)	(0.167)	(0.143)	(0.0529)	(0.0552)	(0.0503)	(0.651)	(0.659)	(0.548)	(0.415)	(0.441)	(0.466)	(0.0431)	(0.0446)	(0.0435)	(0.0451)	(0.0476)	(0.0469)	(0.00927)	(0.00973)	(0.00797)	(0.190)	(0.184)	(0.164)	(0.0464)	(0.0444)	(0.0425)	(0.569)	(0.543)	(0.482)	(0.435)	(0.422)	(0.386)	(0.0325)	(0.0312)	(0.0304)	(0.0379)	(0.0357)	(0.0327)	(0.00408)	(0.00425)	(0.00415)
miss_motherage	-16.03	-16.56	-1.048	-12.15	-12.12	-9.161	-103.0	-101.7	-83.22	-45.97	-46.06	-23.02	0.760	0.720	1.018	4.155	4.151	5.533	-2.606	-2.609	-2.197	-82.75	-90.37	-78.02	-31.32	-32.23	-24.04	-601.7**	-619.2**	-570.1*	159.3	132.9	165.2	7.162	6.278	6.206	22.82	23.36	24.60	-1.010	-1.054	-1.181	-268.1*	-249.3*	-236.9										-19.52	-21.20	-20.06	-32.08	-29.88	-30.47	-1.662	-1.633	-2.415
	(63.75)	(63.69)	(63.20)	(19.31)	(19.19)	(18.85)	(163.9)	(162.8)	(164.0)	(124.3)	(124.2)	(125.5)	(12.62)	(12.62)	(12.70)	(12.75)	(12.78)	(12.77)	(1.685)	(1.686)	(1.640)	(101.8)	(100.9)	(100.2)	(41.44)	(41.67)	(42.56)	(304.1)	(302.2)	(305.6)	(205.3)	(202.5)	(193.0)	(22.46)	(22.37)	(22.04)	(22.36)	(22.42)	(22.15)	(3.626)	(3.606)	(3.601)	(151.9)	(150.9)	(152.4)										(41.18)	(41.14)	(41.20)	(34.16)	(34.48)	(34.23)	(7.577)	(7.614)	(7.501)
miss_agefirstbirth	5.510	5.484	1.975	-0.0628	-0.171	-1.074	43.02***	42.59***	31.69**	-19.54	-19.78	-24.77	-1.930*	-1.990*	-1.940*	-2.821***	-2.888***	-2.697***	0.204	0.207	0.175	2.403	2.525	-0.865	-0.778	-0.944	-1.802	33.74*	34.24*	23.39	23.98*	23.56*	15.01	-1.749	-1.760	-1.508	-2.169	-2.234	-1.972	0.168	0.179	0.115	3.402	4.882	0.840	1.697	1.660	0.920	4.171	6.137	0.557	-5.461	-5.268	-8.247	1.433	1.371	1.251	0.619	0.559	0.808	-0.122	-0.126	-0.139
	(4.347)	(4.422)	(4.122)	(2.178)	(2.169)	(1.972)	(14.50)	(14.49)	(13.07)	(23.52)	(23.56)	(22.55)	(1.085)	(1.083)	(1.060)	(0.951)	(0.929)	(0.952)	(0.198)	(0.197)	(0.196)	(4.819)	(5.024)	(4.335)	(1.585)	(1.653)	(1.511)	(19.75)	(19.95)	(16.69)	(12.47)	(13.23)	(14.07)	(1.291)	(1.336)	(1.307)	(1.353)	(1.427)	(1.413)	(0.279)	(0.293)	(0.241)	(5.168)	(4.981)	(4.445)	(1.235)	(1.180)	(1.090)	(15.96)	(15.15)	(13.40)	(11.63)	(11.32)	(10.19)	(0.919)	(0.885)	(0.850)	(1.081)	(1.030)	(0.938)	(0.109)	(0.115)	(0.112)
height		0.928	-0.103		1.305	0.956		5.681	-0.0913		2.724	1.146		0.691	0.754		0.784	0.986		-0.0326	-0.0343		1.482	0.649		1.876	1.871		3.407	0.931		15.01**	11.74		0.516	0.754		0.379	0.630		-0.0838	-0.104		-8.497	-9.219*		1.023	1.011		-19.58	-18.71		13.05	10.69		0.600	0.449		-0.628	-0.615		-0.00518	-0.00106
		(3.162)	(3.130)		(1.033)	(1.006)		(8.797)	(8.419)		(6.711)	(6.962)		(0.754)	(0.757)		(0.720)	(0.723)		(0.102)	(0.101)		(4.247)	(4.354)		(1.466)	(1.482)		(10.95)	(11.20)		(7.158)	(7.508)		(0.976)	(1.044)		(0.927)	(1.002)		(0.133)	(0.144)		(5.666)	(5.482)		(1.732)	(1.690)		(19.11)	(18.63)		(11.84)	(10.79)		(1.403)	(1.394)		(1.193)	(1.173)		(0.192)	(0.202)
miss_height		-4.139	-4.485		0.755	0.600		-12.10	-14.99		2.092	1.459		1.020	1.073		1.932	2.040		-0.141	-0.147		0.0854	-0.545		3.414	3.481		-0.419	-2.248		19.35	16.95		0.645	0.943		0.948	1.223		-0.180	-0.200		-17.29*	-17.74*		0.794	0.904		-33.25	-31.89		13.57	11.66		0.984	0.825		-0.304	-0.291		0.0151	0.0108
		(5.969)	(5.834)		(1.909)	(1.849)		(15.91)	(15.65)		(14.81)	(15.03)		(1.352)	(1.359)		(1.279)	(1.290)		(0.179)	(0.180)		(7.856)	(7.970)		(2.545)	(2.569)		(20.55)	(20.48)		(13.41)	(14.27)		(1.780)	(1.890)		(1.748)	(1.880)		(0.266)	(0.276)		(9.570)	(9.223)		(2.907)	(2.834)		(32.80)	(31.83)		(20.07)	(18.52)		(2.354)	(2.342)		(2.031)	(1.991)		(0.328)	(0.339)
_mother_edu1			-7.302***			-2.191***			-21.98***			-11.18***			0.263			0.228			-0.0740			-6.329***			-1.239*			-17.40**			-14.82***			0.534			0.690			-0.0859			-8.624**			-2.339**			-7.415			-18.80***			-0.676			0.946**			0.109
			(1.306)			(0.396)			(3.476)			(2.532)			(0.310)			(0.276)			(0.0533)			(2.032)			(0.697)			(7.008)			(5.268)			(0.558)			(0.565)			(0.0983)			(3.551)			(1.073)			(10.93)			(6.018)			(0.663)			(0.460)			(0.0773)
_mother_edu2			-6.732***			-1.997***			-14.35***			-10.17***			0.173			-0.0647			-0.0874*			-6.736***			-1.879***			-17.78***			-12.90***			0.370			0.271			-0.0339			-9.463***			-2.106*			-4.191			-16.85***			-0.350			0.974**			0.170**
			(1.283)			(0.394)			(3.477)			(2.699)			(0.331)			(0.291)			(0.0519)			(1.525)			(0.493)			(4.827)			(3.135)			(0.407)			(0.371)			(0.0605)			(3.500)			(1.088)			(10.86)			(5.467)			(0.682)			(0.462)			(0.0820)
_mother_edu3			-6.008***			-1.395***			-10.02***			-8.526***			0.0743			-0.287			-0.0940*			-5.124***			-1.418***			-12.24***			-6.095**			-0.0421			0.0332			-0.0641			-7.251**			-1.831*			-5.462			-14.72***			-0.483			0.770**			0.108
			(1.053)			(0.330)			(2.774)			(2.387)			(0.281)			(0.240)			(0.0498)			(1.305)			(0.385)			(4.027)			(2.438)			(0.351)			(0.298)			(0.0515)			(3.356)			(1.030)			(10.36)			(5.025)			(0.625)			(0.368)			(0.0736)
_mother_edu4			-4.915***			-1.155***			-6.330**			-7.605**			-0.0445			-0.369			-0.0801			-3.741***			-1.489***			-10.86***			-4.734**			0.314			0.149			-0.0134			-5.480			-1.713*			-2.094			-17.28***			-0.410			0.728*			0.124
			(1.167)			(0.398)			(3.202)			(3.413)			(0.314)			(0.266)			(0.0536)			(1.339)			(0.370)			(4.071)			(2.347)			(0.349)			(0.290)			(0.0516)			(3.392)			(0.992)			(10.25)			(5.086)			(0.634)			(0.382)			(0.0785)
_mother_edu5			-2.986***			-0.770**			-2.686			-4.066*			0.134			-0.255			-0.0413			-2.826**			-0.722**			-5.563			-3.013			0.0381			0.106			0.00309			-2.643			-1.275			-0.392			-12.80***			-0.440			0.830**			0.117
			(0.987)			(0.309)			(2.551)			(2.211)			(0.269)			(0.226)			(0.0474)			(1.224)			(0.331)			(3.625)			(2.054)			(0.324)			(0.269)			(0.0476)			(3.352)			(0.961)			(9.848)			(4.957)			(0.601)			(0.335)			(0.0780)
_mother_edu7			-8.219***			-0.775			-6.141			-11.08***			-0.757*			-0.550			-0.0131			-5.531**			-0.569			-8.791			-15.27***			0.233			0.624			-0.00854			-5.751			-0.975			8.366			-22.32***			-0.662			0.356			0.253**
			(2.164)			(0.509)			(5.324)			(2.834)			(0.395)			(0.418)			(0.0733)			(2.543)			(0.783)			(8.161)			(5.845)			(0.673)			(0.646)			(0.115)			(3.596)			(1.150)			(12.48)			(6.143)			(0.694)			(0.496)			(0.0990)
Constant	75.76	78.22	76.70	20.33	18.51	19.61	99.68	92.35	116.3	231.0*	227.4*	224.9*	5.044	4.100	3.479	5.996	4.711	2.666	2.156	2.227	1.947	149.0	152.4	152.7	41.68	40.26	34.64	620.2**	626.4**	601.9**	-88.99	-89.76	-104.9	-0.684	-0.710	-1.147	-14.06	-15.09	-16.69	0.531	0.695	0.963	344.0**	337.2**	336.8**	5.998	5.154	7.678	101.9*	128.6*	140.1**	147.9***	130.5**	145.9***	15.99	16.88	16.49	31.90	30.35	29.50	2.364	2.336	3.086
	(63.42)	(63.46)	(63.10)	(19.19)	(19.02)	(18.38)	(159.9)	(159.6)	(159.4)	(127.6)	(128.0)	(124.7)	(12.48)	(12.51)	(12.45)	(12.18)	(12.21)	(12.16)	(1.759)	(1.762)	(1.676)	(95.04)	(93.86)	(93.11)	(38.45)	(38.58)	(39.25)	(290.3)	(287.7)	(287.0)	(197.3)	(195.5)	(188.3)	(23.69)	(23.42)	(23.06)	(24.22)	(24.11)	(23.87)	(4.059)	(3.982)	(3.893)	(152.8)	(151.0)	(153.2)	(4.656)	(5.854)	(5.412)	(58.02)	(71.13)	(62.46)	(46.14)	(58.13)	(53.98)	(41.17)	(41.00)	(41.14)	(34.40)	(34.44)	(34.34)	(7.560)	(7.571)	(7.476)
																																																															
Observations	2,249	2,249	2,249	2,110	2,110	2,110	2,081	2,081	2,081	2,103	2,103	2,103	2,134	2,134	2,134	2,134	2,134	2,134	2,134	2,134	2,134	1,677	1,677	1,677	1,559	1,559	1,559	1,538	1,538	1,538	1,553	1,553	1,553	1,579	1,579	1,579	1,579	1,579	1,579	1,579	1,579	1,579	779	779	779	697	697	697	685	685	685	691	691	691	707	707	707	707	707	707	707	707	707
R-squared	0.109	0.113	0.139	0.000		0.038	0.105	0.115	0.155										0.011	0.012	0.020	0.023	0.028	0.059				0.147	0.150	0.173													0.110	0.124	0.168	0.116	0.120	0.141		0.015	0.024			0.033				0.055	0.055	0.054	0.052	0.053	0.050
Robust standard errors in parentheses																																																															
*** p<0.01, ** p<0.05, * p<0.1																																																															
