	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																				
fert	-0.143	-0.713	-0.820	-0.263	-0.344	-0.330	11.08	6.705	6.702	-5.296	-5.610	-5.409	-4.466	-4.660*	-4.649*	-1.898**	-2.037**	-2.026**	2.557	0.506	0.697	0.315	-0.514	-0.604	-4.201	-3.424	-3.241	0.187	0.171	0.264	-15.12	-14.31*	-13.40*	-14.74**	-11.68*	-12.14**
	(3.387)	(2.399)	(2.385)	(0.660)	(0.516)	(0.514)	(8.758)	(6.168)	(6.157)	(4.625)	(3.867)	(3.859)	(3.098)	(2.708)	(2.727)	(0.839)	(0.817)	(0.816)	(9.604)	(7.348)	(7.351)	(4.056)	(3.651)	(3.711)	(3.652)	(3.360)	(3.360)	(0.901)	(0.841)	(0.847)	(9.795)	(7.437)	(7.523)	(7.443)	(5.970)	(6.137)
motherage		-16.46	-16.18		-3.109	-3.145		-44.58	-44.57		3.586	3.034		-17.53	-17.55		-9.003	-9.028		-100.6**	-101.2**		-1.217	-1.020		-57.10**	-54.77**		-16.65**	-15.96**		-51.35	-44.64		-53.84	-57.18
		(12.50)	(12.52)		(4.598)	(4.587)		(38.07)	(38.06)		(26.33)	(26.24)		(15.93)	(15.93)		(6.813)	(6.797)		(44.76)	(44.79)		(29.16)	(29.19)		(23.13)	(23.33)		(8.219)	(8.120)		(62.27)	(61.48)		(49.11)	(49.29)
motheragesq		0.578	0.571		0.0872	0.0880		1.441	1.441		-0.143	-0.130		0.590	0.591		0.302	0.302		3.505**	3.509**		0.0286	0.0278		2.119**	2.024**		0.637**	0.608**		1.908	1.629		2.171	2.310
		(0.445)	(0.445)		(0.159)	(0.159)		(1.330)	(1.330)		(0.923)	(0.920)		(0.571)	(0.571)		(0.235)	(0.235)		(1.592)	(1.595)		(1.058)	(1.058)		(0.847)	(0.854)		(0.311)	(0.307)		(2.324)	(2.295)		(1.874)	(1.881)
motheragecub		-0.00656	-0.00651		-0.000887	-0.000892		-0.0153	-0.0153		0.00216	0.00207		-0.00652	-0.00652		-0.00348	-0.00348		-0.0395**	-0.0394**		-0.000552	-0.000585		-0.0249**	-0.0237**		-0.00775**	-0.00739**		-0.0194	-0.0159		-0.0269	-0.0287
		(0.00518)	(0.00517)		(0.00180)	(0.00179)		(0.0151)	(0.0151)		(0.0105)	(0.0105)		(0.00672)	(0.00672)		(0.00266)	(0.00265)		(0.0186)	(0.0186)		(0.0124)	(0.0124)		(0.0100)	(0.0101)		(0.00378)	(0.00373)		(0.0279)	(0.0275)		(0.0228)	(0.0229)
agefirstbirth		0.191	0.176		0.0396	0.0415		1.348***	1.347***		-0.0386	-0.00976		0.0788	0.0803		-0.00221	-0.000265		1.233***	1.269***		0.406**	0.391*		0.0128	0.0280		0.0788	0.0850*		0.212	0.272		-0.331	-0.361
		(0.140)	(0.141)		(0.0342)	(0.0342)		(0.394)	(0.390)		(0.243)	(0.243)		(0.135)	(0.138)		(0.0410)	(0.0414)		(0.379)	(0.384)		(0.204)	(0.209)		(0.177)	(0.178)		(0.0507)	(0.0513)		(0.483)	(0.490)		(0.337)	(0.346)
_mother_edu1		1.663	1.528		-1.132*	-1.123*		-6.595	-6.597		6.519**	6.643**		-1.963	-1.943		-1.018*	-1.010*		-4.687	-4.570		1.840	1.781		-3.232	-3.017		-1.142	-1.075		-9.374	-8.777		6.761*	6.438
		(2.148)	(2.133)		(0.590)	(0.593)		(6.386)	(6.374)		(3.075)	(3.065)		(2.013)	(2.033)		(0.610)	(0.612)		(5.261)	(5.279)		(2.887)	(2.906)		(1.986)	(1.965)		(0.735)	(0.737)		(7.576)	(7.535)		(4.108)	(4.209)
_mother_edu2		2.612	2.509		-0.529	-0.524		-3.329	-3.330		8.084***	8.164***		-1.239	-1.221		-0.622	-0.616		-1.686	-1.610		8.235***	8.190***		-1.731	-1.544		-1.117*	-1.042		-12.52*	-11.84*		7.820**	7.459*
		(2.093)	(2.082)		(0.557)	(0.558)		(5.945)	(5.935)		(2.999)	(2.981)		(1.877)	(1.900)		(0.541)	(0.542)		(5.045)	(5.052)		(2.500)	(2.518)		(1.719)	(1.704)		(0.652)	(0.644)		(7.020)	(6.999)		(3.976)	(4.075)
_mother_edu3		4.157*	4.046*		0.00897	0.0160		0.700	0.698		10.65***	10.74***		0.928	0.945		-0.457	-0.456		0.734	0.723		9.226***	9.216***		0.282	0.499		-1.013	-0.957		-9.425	-8.930		6.966*	6.707
		(2.191)	(2.182)		(0.561)	(0.563)		(6.186)	(6.174)		(3.236)	(3.227)		(2.095)	(2.118)		(0.574)	(0.574)		(5.606)	(5.600)		(2.837)	(2.852)		(1.865)	(1.866)		(0.652)	(0.645)		(7.652)	(7.604)		(4.168)	(4.206)
_mother_edu4		5.622***	5.537***		0.202	0.205		1.647	1.647		12.77***	12.80***		1.225	1.243		0.162	0.168		4.676	4.757		10.37***	10.33***		3.377*	3.542*		-0.724	-0.651		-6.678	-6.021		9.182**	8.835**
		(2.103)	(2.088)		(0.536)	(0.537)		(5.792)	(5.789)		(2.913)	(2.897)		(1.916)	(1.938)		(0.550)	(0.552)		(5.164)	(5.175)		(2.503)	(2.521)		(1.910)	(1.909)		(0.675)	(0.666)		(7.858)	(7.846)		(4.029)	(4.098)
_mother_edu5		8.912***	8.897***		0.807	0.803		5.178	5.180		14.86***	14.79***		3.861*	3.874*		0.705	0.704		9.626	9.569		12.53***	12.54***		5.395	5.374		0.312	0.317		-6.884	-6.911		21.85***	21.83***
		(2.305)	(2.301)		(0.576)	(0.575)		(6.130)	(6.138)		(3.120)	(3.116)		(2.263)	(2.274)		(0.629)	(0.629)		(6.175)	(6.155)		(3.103)	(3.111)		(3.984)	(3.953)		(1.139)	(1.117)		(11.72)	(11.42)		(5.809)	(5.898)
height			3.839			-0.507			0.122			-7.532			-0.609			-0.792			-15.06			6.130			-6.880			-2.116			-20.78			10.11
			(3.762)			(1.259)			(11.58)			(7.018)			(4.575)			(1.421)			(11.81)			(7.139)			(5.922)			(1.927)			(21.74)			(12.64)
Constant	57.31***	204.0*	195.8*	10.77***	41.63	42.68	106.4***	536.6	536.4	134.0***	15.04	31.74	65.74***	241.1	242.4	13.38***	119.3*	121.1*	104.5***	1,086**	1,120**	101.3***	104.4	92.85	102.1***	566.4***	557.8***	4.521	166.5**	164.1**	220.6***	184.4	162.7	141.0***	554.1	566.3
	(7.570)	(109.2)	(109.6)	(1.381)	(39.94)	(39.99)	(18.15)	(417.1)	(417.2)	(10.58)	(290.2)	(290.4)	(9.075)	(159.6)	(159.0)	(2.753)	(66.85)	(66.87)	(33.71)	(457.3)	(457.7)	(21.01)	(251.8)	(253.3)	(21.68)	(196.6)	(198.3)	(5.506)	(78.63)	(77.93)	(59.74)	(590.8)	(583.5)	(28.83)	(410.6)	(413.8)
																																				
Observations	1,194	1,194	1,194	1,128	1,128	1,128	1,111	1,111	1,111	1,121	1,121	1,121	1,198	1,198	1,198	1,126	1,126	1,126	1,113	1,113	1,113	1,122	1,122	1,122	521	521	521	467	467	467	459	459	459	463	463	463
R-squared	0.089	0.156	0.156	0.071	0.119	0.120		0.138	0.139	0.043	0.068	0.073	0.054	0.077	0.077				0.102	0.199	0.199	0.071	0.127	0.127	0.127	0.199	0.204	0.111	0.153	0.155	0.142	0.181	0.193			
Robust standard errors in parentheses																																				
*** p<0.01, ** p<0.05, * p<0.1																																				
