	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																				
fert	-2.069	-2.391	-2.548	-0.828	-0.901	-0.921	2.927	1.926	1.631	-13.49	-13.92*	-14.11*	-2.916	-2.362	-2.443	-1.665***	-1.583***	-1.606***	-6.643	-6.094	-6.408	2.293	3.086	2.884	-1.712	-1.356	-1.503	-0.445	-0.247	-0.394	-19.70**	-17.29*	-17.40*	-9.895	-9.489	-9.629
	(1.729)	(1.678)	(1.689)	(0.863)	(0.796)	(0.790)	(7.302)	(7.016)	(6.882)	(8.429)	(7.837)	(7.795)	(2.013)	(1.971)	(1.990)	(0.566)	(0.551)	(0.559)	(6.050)	(6.017)	(6.134)	(3.507)	(3.829)	(3.914)	(3.462)	(3.425)	(3.417)	(0.875)	(0.916)	(0.933)	(10.00)	(9.388)	(9.592)	(6.455)	(6.272)	(6.695)
motherage		-13.01	-13.32		-6.594***	-6.657***		-62.16**	-62.93**		-35.99**	-36.45**		-18.05	-17.90		-4.894	-4.877		-62.28	-62.02		3.364	3.475		-23.73*	-24.06*		0.323	0.0421		-7.157	-16.86		-8.330	18.59
		(8.967)	(8.959)		(2.239)	(2.229)		(29.15)	(28.79)		(14.98)	(14.87)		(11.97)	(11.81)		(3.561)	(3.559)		(43.04)	(42.55)		(18.54)	(18.38)		(13.60)	(13.58)		(5.735)	(5.785)		(72.25)	(53.26)		(41.53)	(31.70)
motheragesq		0.417	0.427		0.245***	0.247***		2.380**	2.409**		1.302**	1.319**		0.578	0.571		0.192	0.191		2.250	2.240		-0.132	-0.137		0.879*	0.894*		0.0220	0.0356		0.244	0.603		0.549	-0.448
		(0.330)	(0.330)		(0.0828)	(0.0825)		(1.055)	(1.044)		(0.558)	(0.555)		(0.442)	(0.436)		(0.130)	(0.130)		(1.563)	(1.546)		(0.694)	(0.689)		(0.524)	(0.524)		(0.219)	(0.221)		(7.531)	(2.030)		(3.807)	(1.213)
motheragecub		-0.00445	-0.00458		-0.00291***	-0.00293***		-0.0294**	-0.0297**		-0.0153**	-0.0156**		-0.00620	-0.00611		-0.00244	-0.00243		-0.0266	-0.0264		0.00154	0.00161		-0.0101	-0.0103		-0.000494	-0.000680		-0.00117	-0.00552		-0.00868*	0.00337
		(0.00396)	(0.00396)		(0.000993)	(0.000989)		(0.0124)	(0.0123)		(0.00677)	(0.00673)		(0.00532)	(0.00526)		(0.00155)	(0.00155)		(0.0185)	(0.0183)		(0.00843)	(0.00837)		(0.00653)	(0.00653)		(0.00270)	(0.00273)		(0.0102)	(0.0251)		(0.00483)	(0.0149)
agefirstbirth		-0.0299	-0.0146		0.0165	0.0174		0.269	0.269		0.333	0.331		0.134*	0.139*		0.0287	0.0276		0.950***	0.933***		0.133	0.126		0.0670	0.0757		0.0358	0.0364		0.779**	0.741*		-0.0176	0.00351
		(0.126)	(0.125)		(0.0339)	(0.0330)		(0.343)	(0.338)		(0.256)	(0.249)		(0.0748)	(0.0756)		(0.0249)	(0.0252)		(0.247)	(0.250)		(0.125)	(0.127)		(0.102)	(0.102)		(0.0327)	(0.0330)		(0.379)	(0.389)		(0.196)	(0.206)
miss_motherage		-134.4*	-136.6*		-56.63***	-57.09***		-514.2**	-520.2**		-304.5**	-308.3**		-186.1*	-186.5*		-43.97	-43.85		-575.2	-572.5		19.04	19.20		-167.0	-168.2									
		(79.98)	(80.01)		(19.65)	(19.57)		(261.8)	(258.4)		(130.5)	(129.7)		(105.8)	(104.2)		(31.81)	(31.79)		(385.5)	(380.5)		(161.1)	(159.6)		(120.5)	(120.5)									
_mother_edu1		-6.851***	-6.583***		-2.304***	-2.268***		-23.81***	-23.37***		-15.61***	-15.36***		-7.381***	-7.031***		-1.697***	-1.662***		-15.72***	-15.39***		-13.78***	-13.37***		-8.476***	-8.279***		-2.415***	-2.360***		-26.31***	-26.75***		-12.41***	-11.90***
		(1.115)	(1.115)		(0.345)	(0.349)		(3.602)	(3.579)		(2.128)	(2.156)		(1.189)	(1.179)		(0.408)	(0.417)		(4.144)	(4.194)		(2.251)	(2.255)		(1.925)	(1.930)		(0.634)	(0.638)		(7.408)	(7.441)		(3.951)	(3.987)
_mother_edu2		-6.609***	-6.614***		-1.991***	-1.990***		-18.92***	-18.90***		-11.92***	-11.91***		-6.627***	-6.531***		-1.830***	-1.815***		-17.80***	-17.63***		-9.756***	-9.591***		-9.107***	-9.103***		-2.321***	-2.312***		-30.88***	-30.86***		-11.22***	-11.04**
		(0.983)	(0.986)		(0.316)	(0.317)		(3.181)	(3.168)		(1.920)	(1.923)		(1.078)	(1.080)		(0.401)	(0.402)		(4.056)	(4.077)		(2.163)	(2.152)		(2.126)	(2.128)		(0.690)	(0.695)		(7.950)	(7.934)		(4.279)	(4.288)
_mother_edu3		-5.374***	-5.362***		-1.270***	-1.264***		-12.36***	-12.26***		-9.087***	-9.025***		-5.062***	-4.986***		-1.193***	-1.188***		-13.08***	-13.04***		-5.529***	-5.456***		-5.789***	-5.765***		-1.585**	-1.604**		-25.12***	-25.29***		-6.582*	-6.508*
		(0.799)	(0.802)		(0.264)	(0.264)		(2.542)	(2.535)		(1.792)	(1.788)		(0.884)	(0.885)		(0.302)	(0.303)		(3.321)	(3.338)		(1.755)	(1.743)		(1.933)	(1.933)		(0.625)	(0.630)		(7.289)	(7.284)		(3.846)	(3.873)
_mother_edu4		-3.872***	-3.894***		-1.220***	-1.220***		-10.10***	-10.09***		-8.532***	-8.518***		-3.479***	-3.471***		-1.348***	-1.344***		-12.30***	-12.25***		-5.784***	-5.742***		-4.702**	-4.719**		-1.408**	-1.442**		-19.90***	-19.93***		-7.882**	-7.962**
		(0.834)	(0.835)		(0.283)	(0.282)		(2.636)	(2.620)		(2.069)	(2.051)		(0.932)	(0.934)		(0.313)	(0.314)		(3.378)	(3.399)		(1.925)	(1.920)		(1.982)	(1.983)		(0.622)	(0.627)		(7.354)	(7.355)		(3.907)	(3.933)
_mother_edu5		-2.669***	-2.668***		-0.632***	-0.630***		-5.737***	-5.703***		-4.459***	-4.440***		-1.894**	-1.920**		-0.572**	-0.578**		-4.268	-4.338		-2.785*	-2.841*		-1.229	-1.221		-0.948	-0.990		-14.86**	-14.99**		-2.892	-3.126
		(0.675)	(0.678)		(0.227)	(0.228)		(2.093)	(2.086)		(1.399)	(1.397)		(0.824)	(0.825)		(0.274)	(0.275)		(3.040)	(3.058)		(1.633)	(1.624)		(1.910)	(1.911)		(0.605)	(0.612)		(7.076)	(7.087)		(3.809)	(3.833)
_mother_edu7		-5.445***	-5.284***		-1.288***	-1.260***		-17.57***	-17.16***		-12.70***	-12.47***		-6.314***	-6.081***		-0.934*	-0.906		-15.19***	-14.91***		-14.77***	-14.45***		-5.998***	-5.821***		-1.477**	-1.379*		-22.66**	-23.12***		-11.71**	-11.23**
		(1.520)	(1.539)		(0.391)	(0.393)		(4.781)	(4.785)		(2.456)	(2.471)		(1.644)	(1.663)		(0.552)	(0.555)		(5.150)	(5.182)		(2.999)	(2.999)		(2.192)	(2.203)		(0.728)	(0.734)		(8.837)	(8.850)		(4.820)	(4.898)
height			4.044			0.933			15.94*			9.887*			4.085			1.041			12.35			9.939*			-0.519			1.170			4.004			12.85
			(2.820)			(0.817)			(8.520)			(5.389)			(3.307)			(1.118)			(11.15)			(5.739)			(3.961)			(1.440)			(15.36)			(8.197)
miss_height			3.375			1.274			24.91			16.07			3.734			1.634			20.68			14.57			-3.091			1.158			12.17			16.63
			(4.999)			(1.481)			(15.45)			(10.68)			(5.891)			(1.896)			(19.37)			(10.04)			(6.727)			(2.370)			(25.58)			(13.35)
Constant	63.57***	196.9***	193.4***	17.29***	63.51***	62.63***	89.65***	866.0***	851.9***	173.8***	542.3***	533.6***	66.45***	268.6**	261.2**	12.97***	61.50*	59.69*	122.9***	638.7*	628.7*	108.3***	69.52	53.62	74.08***	243.9**	246.5**	8.112*	-6.844	-6.709	188.1***	159.2***	153.4***	141.8***	139.3***	119.9***
	(5.206)	(75.07)	(74.24)	(1.931)	(19.28)	(19.10)	(16.69)	(335.6)	(329.1)	(18.61)	(182.3)	(180.3)	(8.242)	(113.6)	(110.7)	(2.169)	(33.95)	(33.95)	(23.02)	(364.0)	(354.7)	(12.80)	(155.9)	(154.7)	(17.53)	(124.1)	(123.9)	(4.507)	(52.96)	(53.26)	(38.17)	(54.99)	(56.37)	(31.11)	(36.64)	(38.68)
																																				
Observations	3,664	3,664	3,664	3,394	3,394	3,394	3,352	3,352	3,352	3,384	3,384	3,384	2,793	2,793	2,793	2,561	2,561	2,561	2,524	2,524	2,524	2,550	2,550	2,550	1,325	1,325	1,325	1,177	1,177	1,177	1,162	1,162	1,162	1,171	1,171	1,171
R-squared	0.071	0.091	0.089	0.050	0.082	0.081	0.118	0.155	0.157				0.077	0.129	0.131				0.124	0.163	0.163	0.066	0.109	0.113	0.094	0.157	0.158	0.062	0.112	0.107		0.070	0.070			
Robust standard errors in parentheses																																				
*** p<0.01, ** p<0.05, * p<0.1																																				
