	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																				
fert	-1.249	-1.388	-1.435	-0.137	-0.171	-0.185	5.303	4.150	3.859	-5.745**	-6.160**	-6.267**	-2.759	-2.409	-2.413	-1.438***	-1.400***	-1.392***	-3.731	-3.034	-3.091	0.440	0.835	0.667	-4.571	-4.076	-3.855	-0.760	-0.580	-0.536	-19.34	-16.17	-15.43	-17.21**	-15.02*	-16.07**
	(1.611)	(1.612)	(1.621)	(0.434)	(0.433)	(0.430)	(7.021)	(6.866)	(6.783)	(2.848)	(2.861)	(2.881)	(1.830)	(1.745)	(1.751)	(0.464)	(0.470)	(0.472)	(5.353)	(5.355)	(5.380)	(2.466)	(2.209)	(2.254)	(4.189)	(3.885)	(3.856)	(1.334)	(1.351)	(1.344)	(15.36)	(13.69)	(13.69)	(8.651)	(7.733)	(7.835)
motherage		-12.72	-12.72		-4.881**	-4.898**		-13.53	-13.94		-21.54	-21.69		-8.781	-8.766		-5.524	-5.541		-52.16	-52.05		-18.83	-18.49		-38.31**	-38.92**		-4.372	-4.325		-51.05	-50.09		-22.78	-24.05
		(8.216)	(8.217)		(2.390)	(2.386)		(25.00)	(24.82)		(13.97)	(13.97)		(10.33)	(10.35)		(4.287)	(4.285)		(34.68)	(34.73)		(18.21)	(18.27)		(17.77)	(17.61)		(7.356)	(7.316)		(59.83)	(59.32)		(44.40)	(45.54)
motheragesq		0.410	0.409		0.181**	0.182**		0.701	0.715		0.789	0.794		0.272	0.272		0.218	0.218		1.941	1.937		0.681	0.670		1.480**	1.496**		0.208	0.206		1.952	1.897		1.148	1.222
		(0.306)	(0.306)		(0.0860)	(0.0858)		(0.898)	(0.893)		(0.517)	(0.517)		(0.386)	(0.387)		(0.154)	(0.154)		(1.279)	(1.281)		(0.689)	(0.691)		(0.670)	(0.663)		(0.278)	(0.277)		(2.318)	(2.298)		(1.675)	(1.719)
motheragecub		-0.00441	-0.00441		-0.00213**	-0.00214**		-0.0104	-0.0106		-0.00935	-0.00941		-0.00285	-0.00284		-0.00273	-0.00274		-0.0231	-0.0230		-0.00795	-0.00782		-0.0177**	-0.0179**		-0.00283	-0.00279		-0.0219	-0.0211		-0.0160	-0.0170
		(0.00371)	(0.00371)		(0.00101)	(0.00101)		(0.0106)	(0.0105)		(0.00622)	(0.00621)		(0.00471)	(0.00472)		(0.00180)	(0.00180)		(0.0154)	(0.0155)		(0.00845)	(0.00847)		(0.00822)	(0.00813)		(0.00341)	(0.00340)		(0.0290)	(0.0288)		(0.0204)	(0.0210)
agefirstbirth		-0.101	-0.0992		0.0531*	0.0532*		0.252	0.253		0.581***	0.582***		0.180**	0.180**		0.0661***	0.0665***		1.174***	1.171***		0.234*	0.227		0.117	0.124		0.0384	0.0400		0.764	0.791		-0.0434	-0.0814
		(0.162)	(0.161)		(0.0286)	(0.0286)		(0.394)	(0.393)		(0.221)	(0.222)		(0.0848)	(0.0849)		(0.0240)	(0.0241)		(0.264)	(0.265)		(0.138)	(0.138)		(0.123)	(0.123)		(0.0431)	(0.0429)		(0.483)	(0.484)		(0.268)	(0.273)
_mother_edu1		-1.327	-1.355		-0.735*	-0.748*		-2.585	-2.840		1.755	1.664		-0.628	-0.630		-0.863*	-0.859*		-2.569	-2.590		3.650	3.584		-3.406*	-3.389*		-1.104*	-1.101*		-8.656	-8.624		-0.580	-0.637
		(1.605)	(1.614)		(0.390)	(0.392)		(5.037)	(5.033)		(2.242)	(2.245)		(1.467)	(1.473)		(0.513)	(0.514)		(4.152)	(4.152)		(2.371)	(2.371)		(1.813)	(1.798)		(0.618)	(0.616)		(7.200)	(7.143)		(4.048)	(4.107)
_mother_edu2		0.103	0.0736		0.126	0.115		5.612	5.390		5.190**	5.112**		1.162	1.159		-0.257	-0.250		2.486	2.444		7.725***	7.596***		-0.328	-0.196		-0.418	-0.400		-2.475	-2.192		3.632	3.210
		(1.541)	(1.551)		(0.351)	(0.352)		(4.843)	(4.837)		(2.077)	(2.085)		(1.419)	(1.428)		(0.470)	(0.472)		(3.858)	(3.864)		(2.163)	(2.168)		(1.642)	(1.635)		(0.578)	(0.576)		(6.784)	(6.724)		(3.703)	(3.776)
_mother_edu3		1.531	1.498		0.139	0.125		7.619	7.337		5.945***	5.845***		2.639*	2.636*		-0.471	-0.465		3.219	3.178		7.468***	7.340***		0.368	0.536		-0.297	-0.279		3.363	3.666		2.379	1.956
		(1.566)	(1.577)		(0.362)	(0.363)		(4.891)	(4.886)		(2.208)	(2.214)		(1.474)	(1.487)		(0.495)	(0.497)		(4.103)	(4.115)		(2.417)	(2.424)		(1.765)	(1.762)		(0.602)	(0.598)		(7.099)	(7.042)		(3.976)	(4.051)
_mother_edu4		2.647*	2.615*		0.643*	0.631*		12.12***	11.86***		8.878***	8.785***		4.283***	4.278***		0.267	0.277		10.84***	10.78***		10.54***	10.35***		3.982**	4.162**		0.0369	0.0610		8.483	8.884		7.027*	6.459*
		(1.514)	(1.523)		(0.340)	(0.342)		(4.603)	(4.604)		(2.060)	(2.065)		(1.421)	(1.433)		(0.473)	(0.477)		(3.954)	(3.971)		(2.205)	(2.211)		(1.677)	(1.680)		(0.601)	(0.600)		(7.160)	(7.116)		(3.646)	(3.722)
_mother_edu5		5.215***	5.185***		1.285***	1.272***		17.83***	17.55***		13.23***	13.13***		6.164***	6.160***		0.797	0.805		14.74***	14.69***		13.02***	12.87***		5.117**	5.198**		1.028	1.034		23.20***	23.28***		10.36**	10.08*
		(1.599)	(1.607)		(0.390)	(0.391)		(4.922)	(4.919)		(2.328)	(2.331)		(1.619)	(1.627)		(0.525)	(0.528)		(4.788)	(4.799)		(2.653)	(2.653)		(2.312)	(2.296)		(0.762)	(0.760)		(8.685)	(8.596)		(5.131)	(5.200)
height			1.245			0.549			11.45			4.084			0.116			-0.321			2.018			6.380			-4.654			-0.611			-10.32			14.38
			(2.659)			(0.745)			(7.847)			(4.663)			(3.142)			(1.053)			(10.32)			(5.610)			(4.496)			(1.536)			(15.96)			(10.06)
Constant	78.80***	220.8**	219.1**	16.03***	47.10**	46.43**	113.5***	136.5	123.3	100.3***	316.7*	312.7*	78.30***	166.8*	166.5*	13.86***	63.08	63.77	97.57***	582.8*	578.5*	109.6***	248.0*	235.9	81.47***	393.5**	405.6***	13.59**	36.24	36.75	171.8***	550.3	557.7	188.2***	317.4	306.7
	(5.134)	(96.42)	(96.42)	(1.103)	(20.10)	(20.12)	(14.41)	(216.9)	(215.6)	(7.897)	(162.4)	(162.3)	(6.133)	(97.07)	(97.52)	(1.478)	(41.01)	(41.11)	(16.92)	(331.1)	(333.5)	(7.960)	(148.1)	(149.4)	(17.71)	(153.9)	(153.2)	(5.405)	(63.84)	(63.60)	(59.33)	(514.2)	(511.5)	(34.02)	(390.0)	(399.8)
																																				
Observations	3,320	3,320	3,320	3,111	3,111	3,111	3,070	3,070	3,070	3,101	3,101	3,101	2,375	2,375	2,375	2,208	2,208	2,208	2,173	2,173	2,173	2,197	2,197	2,197	999	999	999	897	897	897	886	886	886	892	892	892
R-squared	0.071	0.091	0.091	0.068	0.094	0.094	0.087	0.117	0.119	0.024	0.045	0.044	0.072	0.112	0.112	0.004	0.037	0.038	0.137	0.177	0.177	0.071	0.096	0.098	0.053	0.122	0.127	0.050	0.087	0.090	0.048	0.132	0.140			
Robust standard errors in parentheses																																				
*** p<0.01, ** p<0.05, * p<0.1																																				
