	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																				
fert	1.884	2.087	1.743	0.201	0.0811	0.0472	12.24	10.70	9.510	-2.452	-3.483	-4.207	0.615	0.501	0.258	-0.613	-0.683	-0.715	-3.139	-3.774	-4.431	2.588	2.377	2.083	-6.618	-6.282	-6.369	-2.230	-2.715*	-2.880*	-36.17***	-36.72***	-36.52***	-1.714	-2.632	-2.802
	(2.615)	(2.370)	(2.380)	(0.722)	(0.657)	(0.646)	(12.85)	(12.12)	(11.36)	(3.980)	(3.647)	(3.798)	(1.977)	(2.022)	(2.049)	(0.562)	(0.576)	(0.576)	(6.517)	(6.914)	(6.926)	(2.999)	(2.473)	(2.594)	(5.708)	(5.874)	(5.892)	(1.637)	(1.648)	(1.605)	(10.53)	(8.883)	(8.486)	(6.431)	(6.165)	(6.146)
motherage		-17.09	-17.44		-8.251***	-8.274***		-71.47	-71.92		-26.99	-28.75*		-16.79	-16.49		-3.597	-3.900		-30.67	-28.25		-7.430	-7.797		-15.39	-14.44		-0.371	-0.373		-82.69	-91.17		109.6***	111.7***
		(12.50)	(12.26)		(3.111)	(3.093)		(49.99)	(48.29)		(16.86)	(16.70)		(15.98)	(15.44)		(4.474)	(4.487)		(57.73)	(55.72)		(26.45)	(26.43)		(23.91)	(24.02)		(19.13)	(18.85)		(98.17)	(98.00)		(36.95)	(37.43)
motheragesq		0.453	0.461		0.322***	0.323***		2.699	2.712		0.978	1.035		0.458	0.449		0.160	0.172		1.039	0.937		0.264	0.276		0.548	0.518		0.0434	0.0436		3.081	3.302		-4.079***	-4.136***
		(0.461)	(0.453)		(0.116)	(0.115)		(1.790)	(1.735)		(0.641)	(0.635)		(0.591)	(0.571)		(0.166)	(0.166)		(2.142)	(2.073)		(1.007)	(1.007)		(0.903)	(0.907)		(0.808)	(0.799)		(3.647)	(3.632)		(1.385)	(1.400)
motheragecub		-0.00351	-0.00360		-0.00391***	-0.00392***		-0.0329	-0.0332		-0.0114	-0.0121		-0.00383	-0.00375		-0.00219	-0.00234		-0.0119	-0.0106		-0.00294	-0.00309		-0.00577	-0.00545		-0.000874	-0.000881		-0.0371	-0.0391		0.0494***	0.0499***
		(0.00554)	(0.00545)		(0.00141)	(0.00140)		(0.0211)	(0.0205)		(0.00789)	(0.00782)		(0.00712)	(0.00688)		(0.00200)	(0.00201)		(0.0259)	(0.0252)		(0.0124)	(0.0125)		(0.0111)	(0.0111)		(0.00319)	(0.00316)		(0.0441)	(0.0439)		(0.0169)	(0.0170)
agefirstbirth		-0.0467	-0.0280		0.0334	0.0322		0.189	0.128		0.518**	0.521**		0.113	0.116		0.0385	0.0416		0.594	0.529		0.152	0.144		-0.119	-0.122		-0.0379	-0.0413		-0.198	-0.284		0.174	0.178
		(0.168)	(0.166)		(0.0378)	(0.0374)		(0.473)	(0.463)		(0.254)	(0.254)		(0.111)	(0.112)		(0.0329)	(0.0329)		(0.364)	(0.369)		(0.179)	(0.181)		(0.177)	(0.182)		(0.0598)	(0.0612)		(0.565)	(0.570)		(0.272)	(0.275)
miss_motherage		-199.7*	-203.9*		-64.84**	-65.18**		-613.9	-623.3		-219.3	-237.3*		-193.7	-190.7		-23.28	-25.67		-326.7	-312.2		-52.83	-56.96								-795.3	-907.1			
		(111.0)	(108.9)		(27.59)	(27.44)		(460.7)	(443.4)		(144.7)	(143.1)		(140.3)	(135.6)		(39.32)	(39.44)		(506.7)	(488.3)		(225.0)	(224.3)								(907.3)	(909.1)			
_mother_edu1		-7.206***	-6.879***		-2.367***	-2.345***		-29.57***	-28.91***		-17.65***	-16.98***		-8.156***	-7.497***		-1.929***	-1.794***		-15.40**	-14.75**		-14.99***	-14.35***		-8.473***	-8.320***		-2.772**	-2.809**		-40.79***	-42.73***		-5.926	-5.431
		(1.608)	(1.591)		(0.538)	(0.543)		(6.323)	(6.000)		(2.952)	(2.948)		(1.590)	(1.608)		(0.531)	(0.543)		(6.190)	(6.318)		(3.059)	(3.053)		(2.881)	(2.960)		(1.181)	(1.228)		(11.93)	(11.93)		(4.801)	(4.810)
_mother_edu2		-7.557***	-7.366***		-2.075***	-2.050***		-24.17***	-23.27***		-13.24***	-12.74***		-6.379***	-6.115***		-1.486***	-1.450**		-16.46**	-15.63**		-9.699***	-9.346***		-8.869***	-8.752***		-1.891	-1.931		-47.38***	-46.83***		-4.535	-4.327
		(1.438)	(1.448)		(0.495)	(0.496)		(6.312)	(6.130)		(2.992)	(3.001)		(1.558)	(1.563)		(0.568)	(0.573)		(6.432)	(6.489)		(3.317)	(3.288)		(3.222)	(3.249)		(1.281)	(1.315)		(12.78)	(12.63)		(5.429)	(5.380)
_mother_edu3		-4.519***	-4.404***		-1.113***	-1.102***		-14.01***	-13.61***		-7.609***	-7.318***		-4.521***	-4.315***		-0.520	-0.490		-9.627*	-9.316*		-5.474*	-5.277*		-5.421*	-5.422*		-1.311	-1.354		-38.13***	-37.82***		1.713	1.740
		(1.033)	(1.028)		(0.361)	(0.362)		(3.636)	(3.590)		(2.167)	(2.158)		(1.305)	(1.300)		(0.442)	(0.443)		(5.546)	(5.607)		(2.827)	(2.800)		(3.067)	(3.072)		(1.173)	(1.195)		(11.44)	(11.30)		(4.859)	(4.847)
_mother_edu4		-2.915***	-2.836***		-1.306***	-1.300***		-13.77***	-13.54***		-8.413***	-8.238***		-3.019**	-2.892**		-0.981**	-0.967**		-11.06**	-10.72*		-7.749**	-7.602**		-4.544	-4.549		-1.102	-1.134		-33.16***	-32.61***		0.395	0.364
		(1.087)	(1.081)		(0.373)	(0.375)		(3.808)	(3.756)		(2.287)	(2.290)		(1.341)	(1.333)		(0.463)	(0.464)		(5.523)	(5.583)		(3.046)	(3.031)		(3.118)	(3.123)		(1.172)	(1.196)		(11.90)	(11.74)		(4.774)	(4.775)
_mother_edu5		-2.307**	-2.225**		-0.515	-0.506		-7.685**	-7.331**		-4.979**	-4.778**		-0.490	-0.448		-0.171	-0.170		-0.150	-0.0396		-2.432	-2.399		-0.747	-0.791		-0.530	-0.544		-21.08*	-20.61*		5.277	5.127
		(0.910)	(0.905)		(0.346)	(0.346)		(3.515)	(3.432)		(2.093)	(2.094)		(1.232)	(1.222)		(0.417)	(0.417)		(5.193)	(5.235)		(2.677)	(2.654)		(2.643)	(2.647)		(1.091)	(1.120)		(11.01)	(10.90)		(4.633)	(4.661)
_mother_edu7		-4.851**	-4.490**		-1.645***	-1.615***		-23.78***	-22.77***		-14.62***	-13.92***		-6.921***	-6.414***		-0.975	-0.874		-16.24**	-15.46**		-14.70***	-14.14***		-5.452	-5.313		-0.753	-0.728		-42.72***	-43.92***		-3.230	-2.880
		(2.275)	(2.288)		(0.582)	(0.587)		(7.493)	(7.481)		(3.665)	(3.693)		(2.020)	(2.025)		(0.724)	(0.721)		(7.259)	(7.329)		(3.993)	(3.993)		(3.634)	(3.632)		(1.327)	(1.355)		(14.29)	(14.21)		(5.680)	(5.595)
height			7.430*			0.901			32.84**			17.55**			7.701*			0.805			25.65			9.988			3.515			-0.226			2.062			7.512
			(4.229)			(1.071)			(14.25)			(6.848)			(4.589)			(1.398)			(15.87)			(8.093)			(5.910)			(2.466)			(21.51)			(10.49)
miss_height			9.962			1.801			69.79***			28.51**			8.879			0.111			48.26*			14.06			4.995			-0.393			27.10			8.337
			(7.181)			(1.914)			(25.15)			(11.85)			(7.981)			(2.397)			(27.69)			(13.92)			(10.16)			(4.087)			(36.77)			(17.05)
Constant	57.93***	238.9**	231.6**	11.81***	87.17***	86.28***	74.35*	703.2	660.8	134.3***	406.8**	402.2**	45.54***	214.7	200.0	7.979***	42.36	43.65	156.3***	392.8	341.1	121.7***	173.8	163.8	55.06**	101.2***	90.67**	11.69*	19.07**	20.34*	234.0***	1,037	1,150	133.3***	-907.2***	-945.7***
	(7.708)	(103.5)	(99.67)	(2.271)	(31.77)	(31.59)	(38.20)	(431.8)	(410.0)	(12.27)	(170.7)	(169.0)	(10.00)	(131.5)	(125.3)	(1.830)	(42.14)	(42.37)	(24.07)	(514.2)	(492.8)	(9.168)	(247.0)	(247.5)	(24.85)	(33.13)	(35.88)	(6.304)	(9.581)	(11.04)	(45.64)	(916.3)	(924.9)	(26.48)	(343.5)	(351.0)
																																				
Observations	1,868	1,868	1,868	1,708	1,708	1,708	1,688	1,688	1,688	1,704	1,704	1,704	1,428	1,428	1,428	1,293	1,293	1,293	1,273	1,273	1,273	1,287	1,287	1,287	671	671	671	596	596	596	591	591	591	595	595	595
R-squared	0.074	0.110	0.119	0.091	0.142	0.143	0.064	0.123	0.142	0.103	0.147	0.146	0.080	0.150	0.157	0.081	0.119	0.120	0.164	0.198	0.200	0.073	0.130	0.133	0.022	0.092	0.090							0.116	0.169	0.169
Robust standard errors in parentheses																																				
*** p<0.01, ** p<0.05, * p<0.1																																				
