	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																															
fert	0.0544	0.0515	0.128	-0.0539	-0.0338	-0.0146	-0.237*	-0.210	-0.173	-0.360	-0.384*	-0.343	-0.113	-0.0588	-0.0559	-0.0827	-0.0689	-0.0693	0.313	0.301	0.363	-0.438	-0.532	-0.408	-0.467**	-0.461**	-0.219	-0.591**	-0.688**	-0.505	-0.316	-0.406	-0.284	0.607	0.474	0.343	0.347	0.232	0.249	-0.448	-0.375	-0.427	-0.0659	-0.0472	-0.0842	0.169	0.175	0.170	-0.281	-0.243	-0.387	0.138	0.165	0.172	0.335	0.347	0.254	0.458	0.428	0.445*	-0.148	-0.122	-0.0922
	(0.193)	(0.191)	(0.188)	(0.154)	(0.151)	(0.161)	(0.135)	(0.138)	(0.154)	(0.230)	(0.218)	(0.212)	(0.188)	(0.183)	(0.171)	(0.204)	(0.204)	(0.197)	(0.412)	(0.404)	(0.441)	(0.333)	(0.323)	(0.285)	(0.236)	(0.234)	(0.258)	(0.265)	(0.280)	(0.362)	(0.339)	(0.333)	(0.283)	(0.598)	(0.558)	(0.552)	(0.788)	(0.741)	(0.736)	(0.291)	(0.284)	(0.314)	(0.328)	(0.346)	(0.303)	(0.238)	(0.245)	(0.249)	(0.487)	(0.485)	(0.434)	(0.375)	(0.383)	(0.394)	(0.290)	(0.296)	(0.218)	(0.285)	(0.261)	(0.250)	(0.176)	(0.168)	(0.148)
motherage	0.120	0.426	0.654	-0.707	-0.368	-0.329	-1.954	-1.651	-1.550	1.453	1.778	1.678	-0.0797	-0.210	0.0628	0.815	0.568	0.780	-0.307	0.0541	-0.122	-0.709	-0.395	-0.364	0.946	0.956	0.809	-1.557	-1.560	-1.724	2.530	2.695	2.786	-2.116	-2.039	-2.127	1.720	1.773	1.929	-1.926	-1.964	-2.035	-2.489	-1.692	-1.858	4.417*	4.725**	5.133**	-1.398	-1.273	-2.428	7.452***	7.714***	7.726***	-2.213	-1.810	-1.996	0.790	1.211	1.297	0.872	1.108	0.918
	(1.528)	(1.539)	(1.447)	(1.786)	(1.745)	(1.645)	(1.490)	(1.506)	(1.496)	(1.679)	(1.687)	(1.670)	(1.701)	(1.717)	(1.572)	(1.550)	(1.543)	(1.513)	(2.120)	(2.084)	(2.055)	(1.439)	(1.474)	(1.369)	(1.896)	(1.899)	(1.743)	(1.841)	(1.873)	(1.795)	(1.818)	(1.896)	(1.785)	(2.012)	(1.966)	(1.866)	(1.574)	(1.580)	(1.535)	(2.114)	(2.160)	(2.136)	(1.653)	(1.683)	(1.704)	(2.359)	(2.366)	(2.342)	(2.266)	(2.233)	(2.050)	(2.527)	(2.460)	(2.407)	(2.425)	(2.364)	(2.275)	(2.219)	(2.215)	(2.203)	(3.316)	(3.134)	(3.151)
motheragesq	-0.0218	-0.0329	-0.0403	0.0297	0.0184	0.0163	0.0637	0.0534	0.0485	-0.0505	-0.0617	-0.0580	-0.00112	0.00255	-0.00886	-0.0293	-0.0215	-0.0295	-0.00643	-0.0191	-0.0126	0.0167	0.00551	0.00343	-0.0242	-0.0245	-0.0203	0.0511	0.0511	0.0549	-0.0888	-0.0948	-0.0971	0.0667	0.0640	0.0661	-0.0681	-0.0701	-0.0753	0.0607	0.0618	0.0650	0.100*	0.0734	0.0788	-0.149*	-0.159*	-0.177**	0.0464	0.0433	0.0849	-0.253***	-0.262***	-0.265***	0.0826	0.0681	0.0712	-0.0290	-0.0450	-0.0490	-0.0351	-0.0443	-0.0398
	(0.0545)	(0.0550)	(0.0519)	(0.0622)	(0.0609)	(0.0575)	(0.0542)	(0.0544)	(0.0541)	(0.0586)	(0.0589)	(0.0582)	(0.0592)	(0.0594)	(0.0550)	(0.0553)	(0.0549)	(0.0540)	(0.0790)	(0.0777)	(0.0765)	(0.0506)	(0.0517)	(0.0482)	(0.0660)	(0.0661)	(0.0606)	(0.0672)	(0.0680)	(0.0651)	(0.0640)	(0.0666)	(0.0626)	(0.0702)	(0.0687)	(0.0655)	(0.0571)	(0.0572)	(0.0561)	(0.0749)	(0.0762)	(0.0751)	(0.0597)	(0.0605)	(0.0621)	(0.0839)	(0.0840)	(0.0823)	(0.0800)	(0.0790)	(0.0727)	(0.0887)	(0.0868)	(0.0853)	(0.0837)	(0.0821)	(0.0789)	(0.0783)	(0.0779)	(0.0777)	(0.113)	(0.107)	(0.109)
motheragecub	0.000436	0.000564	0.000650	-0.000360	-0.000239	-0.000197	-0.000656	-0.000541	-0.000463	0.000559	0.000683	0.000643	4.99e-05	1.31e-05	0.000164	0.000328	0.000245	0.000339	0.000237	0.000378	0.000302	-6.28e-05	6.96e-05	0.000106	0.000195	0.000200	0.000157	-0.000542	-0.000536	-0.000559	0.00105	0.00113	0.00115	-0.000697	-0.000662	-0.000666	0.000850	0.000876	0.000930	-0.000586	-0.000603	-0.000646	-0.00117*	-0.000876	-0.000928	0.00163*	0.00176*	0.00198**	-0.000509	-0.000475	-0.000971	0.00285***	0.00295***	0.00300***	-0.00101	-0.000833	-0.000822	0.000328	0.000527	0.000573	0.000446	0.000564	0.000527
