	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																															
fert	-0.169	-0.219	-0.199	-0.378	-0.391	-0.362	0.0861	0.0654	0.117	-0.802	-0.792	-0.788	-0.302	-0.319	-0.329	-0.717**	-0.734***	-0.783***	0.245	0.227	0.266	-0.569*	-0.514*	-0.480	-0.848**	-0.819**	-0.809**	-0.238	-0.154	-0.149	0.338	0.421	0.436	-0.576	-0.590	-0.608	-0.652	-0.677	-0.701	0.272	0.299	0.339	-0.366	-0.296	-0.362	0.136	0.166	0.145	-0.665***	-0.611***	-0.617***	-0.395	-0.391	-0.355	0.474**	0.442*	0.432*	0.232	0.214	0.251	-0.467***	-0.466***	-0.511***
	(0.232)	(0.244)	(0.274)	(0.323)	(0.330)	(0.327)	(0.220)	(0.223)	(0.227)	(0.594)	(0.589)	(0.608)	(0.264)	(0.262)	(0.271)	(0.285)	(0.266)	(0.275)	(0.334)	(0.326)	(0.345)	(0.295)	(0.298)	(0.304)	(0.362)	(0.357)	(0.360)	(0.447)	(0.413)	(0.401)	(0.451)	(0.558)	(0.611)	(0.411)	(0.453)	(0.500)	(0.491)	(0.538)	(0.568)	(0.575)	(0.602)	(0.605)	(0.258)	(0.267)	(0.261)	(0.240)	(0.240)	(0.252)	(0.245)	(0.221)	(0.226)	(0.441)	(0.464)	(0.476)	(0.228)	(0.229)	(0.242)	(0.349)	(0.322)	(0.333)	(0.133)	(0.131)	(0.160)
motherage	0.140	-0.0163	0.277	-0.0718	-0.185	0.0193	-0.174	-0.289	-0.0586	0.0539	-0.0730	0.184	0.340	0.343	0.388	0.232	0.249	0.239	-1.024	-1.105*	-0.827	-0.576	-0.819	-0.574	-1.056	-1.265	-0.928	-2.150*	-2.511**	-2.154**	1.126	0.801	1.286	0.448	0.426	0.378	1.646	1.732	1.503	-0.168	-0.221	-0.133	-2.742*	-2.657	-3.010*	-0.281	-1.843	-2.003	-0.788	-0.997	-1.203	-0.277	-0.620	-0.468	-0.645	-0.779	-0.711	-1.496	-1.329	-1.128	0.0543	-0.0241	-0.281
	(0.680)	(0.676)	(0.652)	(0.736)	(0.732)	(0.722)	(0.592)	(0.587)	(0.591)	(0.787)	(0.795)	(0.802)	(0.696)	(0.692)	(0.698)	(0.783)	(0.789)	(0.807)	(0.653)	(0.645)	(0.638)	(1.153)	(1.125)	(1.114)	(1.626)	(1.590)	(1.582)	(1.103)	(1.075)	(1.073)	(1.288)	(1.296)	(1.258)	(1.238)	(1.247)	(1.242)	(1.391)	(1.405)	(1.394)	(1.368)	(1.356)	(1.393)	(1.633)	(1.631)	(1.676)	(3.823)	(2.088)	(2.049)	(4.280)	(1.779)	(1.803)	(3.876)	(1.850)	(1.894)	(2.114)	(2.107)	(2.072)	(1.937)	(1.940)	(1.949)	(2.612)	(2.626)	(2.603)
motheragesq	-0.00533	-0.000113	-0.0116	-0.000637	0.00319	-0.00515	0.00521	0.00964	-0.000270	-0.00409	-0.000194	-0.0108	-0.0178	-0.0183	-0.0203	-0.0131	-0.0140	-0.0137	0.0375	0.0400*	0.0299	0.0170	0.0260	0.0161	0.0346	0.0428	0.0308	0.0770**	0.0900**	0.0761**	-0.0397	-0.0274	-0.0459	-0.0211	-0.0202	-0.0187	-0.0694	-0.0721	-0.0632	0.00125	0.00291	-0.000921	0.102*	0.0977	0.110*	0.0256	0.0843	0.0907	0.0268	0.0338	0.0393	0.0243	0.0386	0.0337	0.0199	0.0256	0.0229	0.0564	0.0503	0.0419	-0.0205	-0.0181	-0.0119
	(0.0241)	(0.0240)	(0.0233)	(0.0260)	(0.0259)	(0.0256)	(0.0211)	(0.0209)	(0.0209)	(0.0286)	(0.0289)	(0.0291)	(0.0252)	(0.0251)	(0.0253)	(0.0281)	(0.0282)	(0.0288)	(0.0239)	(0.0236)	(0.0236)	(0.0410)	(0.0400)	(0.0397)	(0.0571)	(0.0558)	(0.0554)	(0.0391)	(0.0382)	(0.0379)	(0.0460)	(0.0462)	(0.0447)	(0.0443)	(0.0446)	(0.0444)	(0.0495)	(0.0500)	(0.0497)	(0.0484)	(0.0481)	(0.0495)	(0.0617)	(0.0612)	(0.0629)	(0.462)	(0.0771)	(0.0756)	(0.489)	(0.0666)	(0.0672)	(0.455)	(0.0690)	(0.0704)	(0.0806)	(0.0801)	(0.0787)	(0.0718)	(0.0718)	(0.0730)	(0.0953)	(0.0961)	(0.0955)
motheragecub	5.40e-05	-4.67e-07	0.000137	5.26e-06	-3.45e-05	6.76e-05	-5.56e-05	-0.000106	2.12e-05	5.29e-05	1.58e-05	0.000149	0.000228	0.000237	0.000265	0.000166	0.000177	0.000173	-0.000433	-0.000458*	-0.000340	-0.000178	-0.000280	-0.000160	-0.000407	-0.000502	-0.000367	-0.000884**	-0.00103**	-0.000862**	0.000437	0.000296	0.000519	0.000280	0.000267	0.000244	0.000860	0.000884	0.000770	1.56e-05	-1.53e-06	5.30e-05	-0.00121	-0.00115	-0.00127*	-0.000425	-0.00113	-0.00120	-0.000229	-0.000305	-0.000342	-0.000421	-0.000603	-0.000547	-0.000250	-0.000324	-0.000287	-0.000737	-0.000668	-0.000561	0.000405	0.000382	0.000340
