	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																															
fert	-0.203	-0.225	-0.252	-0.129	-0.137	-0.173	0.0912	0.0746	0.0321	-0.608*	-0.613*	-0.679*	-0.0832	-0.0870	-0.105	-0.217	-0.228	-0.219	0.309	0.306	0.344	-0.251	-0.255	-0.161	-0.647***	-0.659***	-0.601***	-0.292	-0.286	-0.201	0.161	0.156	0.225	-0.184	-0.180	-0.200	-0.156	-0.159	-0.179	-0.0218	-0.00315	0.0359	-0.224	-0.271	-0.227	-0.121	-0.153	-0.153	-0.691**	-0.768**	-0.706*	-0.543	-0.674	-0.619	0.199	0.178	0.206	-0.453**	-0.517**	-0.540***	-0.281	-0.280	-0.216
	(0.194)	(0.194)	(0.202)	(0.232)	(0.230)	(0.234)	(0.242)	(0.237)	(0.246)	(0.347)	(0.348)	(0.358)	(0.206)	(0.208)	(0.211)	(0.226)	(0.222)	(0.227)	(0.281)	(0.275)	(0.284)	(0.214)	(0.212)	(0.208)	(0.221)	(0.223)	(0.225)	(0.218)	(0.215)	(0.215)	(0.207)	(0.220)	(0.242)	(0.245)	(0.245)	(0.258)	(0.256)	(0.259)	(0.269)	(0.292)	(0.299)	(0.306)	(0.314)	(0.326)	(0.314)	(0.316)	(0.371)	(0.373)	(0.335)	(0.384)	(0.374)	(0.434)	(0.476)	(0.479)	(0.334)	(0.357)	(0.364)	(0.186)	(0.202)	(0.203)	(0.298)	(0.309)	(0.304)
malec	0.0913**	0.0962**	0.0943**	0.0288	0.0288	0.0228	-0.167***	-0.168***	-0.171***	-0.0387	-0.0381	-0.0406	-0.00384	-0.00587	-0.00483	-0.0611	-0.0641	-0.0629	0.0491	0.0470	0.0437	-0.0235	-0.0251	-0.0101	-0.0908*	-0.0914*	-0.0709	-0.212***	-0.210***	-0.187***	-0.105**	-0.104**	-0.0876*	0.0722	0.0705	0.0635	-0.0235	-0.0288	-0.0325	-0.00600	-0.00885	-0.00843	-0.00667	-0.00425	-0.00756	-0.0771	-0.0747	-0.0827	-0.281***	-0.279***	-0.285***	-0.208***	-0.208***	-0.198***	0.137**	0.134**	0.134**	0.0537	0.0478	0.0369	-0.0535	-0.0531	-0.0535
	(0.0382)	(0.0381)	(0.0379)	(0.0373)	(0.0374)	(0.0366)	(0.0364)	(0.0363)	(0.0354)	(0.0418)	(0.0420)	(0.0415)	(0.0404)	(0.0405)	(0.0404)	(0.0399)	(0.0398)	(0.0398)	(0.0433)	(0.0431)	(0.0429)	(0.0451)	(0.0443)	(0.0428)	(0.0505)	(0.0508)	(0.0497)	(0.0443)	(0.0440)	(0.0438)	(0.0452)	(0.0454)	(0.0449)	(0.0470)	(0.0471)	(0.0473)	(0.0465)	(0.0468)	(0.0470)	(0.0507)	(0.0505)	(0.0501)	(0.0634)	(0.0627)	(0.0599)	(0.0710)	(0.0715)	(0.0724)	(0.0729)	(0.0741)	(0.0733)	(0.0703)	(0.0722)	(0.0707)	(0.0673)	(0.0676)	(0.0680)	(0.0644)	(0.0651)	(0.0650)	(0.0712)	(0.0714)	(0.0713)
_country2	-0.216***	-0.221***	-0.223***	0.0351	0.0334	0.0418	0.253***	0.248***	0.261***	-0.111	-0.117*	-0.101	0.225***	0.226***	0.223***	0.325***	0.307***	0.308***	0.317***	0.308***	0.303***	-0.184**	-0.185**	-0.182**	-0.105	-0.117	-0.120	0.175*	0.178*	0.164*	-0.138**	-0.135**	-0.136**	-0.0355	-0.0409	-0.0431	-0.0753	-0.0864	-0.0805	0.0709	0.0722	0.0712	-0.158	-0.190	-0.244**	-0.0899	-0.0656	-0.102	0.390**	0.411**	0.359**	-0.201	-0.247*	-0.258*	0.0747	0.0696	0.0828	0.0984	0.0744	0.0948	0.103	0.0948	0.0626
	(0.0636)	(0.0643)	(0.0631)	(0.0630)	(0.0632)	(0.0622)	(0.0744)	(0.0742)	(0.0720)	(0.0681)	(0.0684)	(0.0687)	(0.0840)	(0.0840)	(0.0824)	(0.0821)	(0.0822)	(0.0813)	(0.0990)	(0.0986)	(0.0958)	(0.0757)	(0.0763)	(0.0729)	(0.0828)	(0.0840)	(0.0829)	(0.0925)	(0.0920)	(0.0923)	(0.0662)	(0.0667)	(0.0660)	(0.0675)	(0.0682)	(0.0684)	(0.0701)	(0.0709)	(0.0708)	(0.0650)	(0.0655)	(0.0646)	(0.122)	(0.122)	(0.122)	(0.135)	(0.134)	(0.131)	(0.170)	(0.171)	(0.161)	(0.145)	(0.147)	(0.146)	(0.129)	(0.132)	(0.133)	(0.139)	(0.143)	(0.141)	(0.122)	(0.124)	(0.122)
_country4	-0.203**	-0.213**	-0.239***	-0.00384	-0.00844	-0.0276	0.170*	0.165*	0.153*	-0.148	-0.157	-0.172*	-0.0150	-0.0140	-0.0100	-0.00859	-0.0211	-0.0145	0.401***	0.394***	0.396***	-0.259**	-0.271***	-0.301***	-0.143	-0.154	-0.181*	0.121	0.122	0.0858	-0.0949	-0.0973	-0.114	-0.207**	-0.207**	-0.212**	-0.268***	-0.270***	-0.254**	0.274**	0.279**	0.279**	-0.370**	-0.422***	-0.483***	-0.255	-0.224	-0.290*	0.267	0.305	0.228	-0.321*	-0.347**	-0.373**	-0.0458	-0.0509	-0.0322	-0.262*	-0.288*	-0.259	0.659***	0.665***	0.635***
