	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																															
fert	-0.0882	-0.102	-0.0709	-0.0195	-0.0229	0.0105	0.106	0.0897	0.117	-0.259	-0.262	-0.254	-0.0259	-0.0246	-0.0328	-0.155	-0.164	-0.169	0.392	0.400	0.440	-0.248	-0.255	-0.170	-0.531***	-0.527***	-0.477**	-0.148	-0.146	-0.0655	0.0336	0.0215	0.0728	-0.0190	-0.0233	-0.0137	-0.0542	-0.0574	-0.0811	0.0513	0.0657	0.0972	-0.551	-0.526	-0.447	-0.319	-0.267	-0.249	-0.744	-0.698	-0.604	-0.981*	-1.081*	-1.034*	-0.0182	-0.0506	-0.0837	-0.265	-0.333	-0.351	-0.242	-0.254	-0.186
	(0.147)	(0.149)	(0.155)	(0.156)	(0.153)	(0.166)	(0.213)	(0.210)	(0.222)	(0.161)	(0.161)	(0.170)	(0.184)	(0.188)	(0.194)	(0.178)	(0.177)	(0.178)	(0.288)	(0.286)	(0.294)	(0.185)	(0.180)	(0.178)	(0.180)	(0.181)	(0.195)	(0.180)	(0.176)	(0.180)	(0.143)	(0.143)	(0.131)	(0.199)	(0.198)	(0.201)	(0.200)	(0.199)	(0.207)	(0.273)	(0.275)	(0.289)	(0.401)	(0.409)	(0.381)	(0.466)	(0.526)	(0.521)	(0.502)	(0.564)	(0.519)	(0.531)	(0.571)	(0.548)	(0.435)	(0.452)	(0.428)	(0.227)	(0.241)	(0.224)	(0.439)	(0.448)	(0.423)
motherage	-1.227	-1.227	-1.018	-1.652*	-1.657*	-1.466*	-0.396	-0.434	-0.265	-0.966	-0.968	-0.871	-0.261	-0.234	-0.232	-0.982	-0.981	-1.025	0.145	0.209	0.424	-0.708	-0.745	-0.480	-2.361	-2.416	-1.898	-2.081*	-2.174*	-1.847	-1.008	-1.099	-0.913	-1.126	-1.107	-1.059	1.426	1.460	1.550	0.191	0.183	-0.0525	-2.392	-2.514	-2.961*	-1.730	-1.728	-1.902	-1.172	-1.296	-1.782	-0.847	-1.000	-0.850	0.452	0.490	0.729	0.797	0.768	0.757	1.055	1.060	0.857
	(0.822)	(0.823)	(0.811)	(0.862)	(0.862)	(0.849)	(0.812)	(0.806)	(0.830)	(0.798)	(0.798)	(0.790)	(0.912)	(0.913)	(0.913)	(0.904)	(0.902)	(0.906)	(0.866)	(0.868)	(0.864)	(1.080)	(1.083)	(1.077)	(1.513)	(1.512)	(1.471)	(1.179)	(1.171)	(1.185)	(1.080)	(1.078)	(1.056)	(1.296)	(1.301)	(1.272)	(1.145)	(1.152)	(1.152)	(1.301)	(1.313)	(1.294)	(1.839)	(1.818)	(1.761)	(2.702)	(2.661)	(2.562)	(2.160)	(2.131)	(2.019)	(2.881)	(2.943)	(2.892)	(2.180)	(2.170)	(2.181)	(1.736)	(1.741)	(1.665)	(2.479)	(2.489)	(2.512)
motheragesq	0.0402	0.0400	0.0322	0.0613**	0.0614**	0.0547*	0.0201	0.0215	0.0152	0.0341	0.0340	0.0302	0.0110	0.00983	0.00959	0.0399	0.0399	0.0413	-0.00870	-0.0113	-0.0193	0.0208	0.0222	0.0113	0.0888	0.0908*	0.0717	0.0770*	0.0804*	0.0674	0.0374	0.0407	0.0336	0.0369	0.0363	0.0348	-0.0568	-0.0579	-0.0611	-0.0152	-0.0149	-0.00672	0.0918	0.0960	0.113*	0.0727	0.0725	0.0802	0.0434	0.0488	0.0649	0.0491	0.0575	0.0517	-0.0212	-0.0223	-0.0315	-0.0253	-0.0238	-0.0252	-0.0462	-0.0462	-0.0384
	(0.0307)	(0.0307)	(0.0302)	(0.0309)	(0.0309)	(0.0304)	(0.0290)	(0.0288)	(0.0296)	(0.0296)	(0.0295)	(0.0291)	(0.0341)	(0.0342)	(0.0342)	(0.0339)	(0.0337)	(0.0338)	(0.0322)	(0.0323)	(0.0321)	(0.0404)	(0.0404)	(0.0403)	(0.0541)	(0.0540)	(0.0526)	(0.0437)	(0.0434)	(0.0440)	(0.0405)	(0.0404)	(0.0396)	(0.0480)	(0.0481)	(0.0470)	(0.0420)	(0.0422)	(0.0423)	(0.0480)	(0.0484)	(0.0477)	(0.0693)	(0.0685)	(0.0661)	(0.101)	(0.0997)	(0.0956)	(0.0821)	(0.0813)	(0.0771)	(0.108)	(0.111)	(0.109)	(0.0830)	(0.0829)	(0.0835)	(0.0650)	(0.0651)	(0.0625)	(0.0893)	(0.0900)	(0.0906)
motheragecub	-0.000433	-0.000429	-0.000333	-0.000718**	-0.000718**	-0.000640*	-0.000292	-0.000309	-0.000231	-0.000387	-0.000384	-0.000337	-0.000166	-0.000150	-0.000144	-0.000542	-0.000542	-0.000557	0.000125	0.000159	0.000258	-0.000225	-0.000240	-9.32e-05	-0.00108*	-0.00110*	-0.000870	-0.000927*	-0.000964*	-0.000793	-0.000457	-0.000493	-0.000401	-0.000414	-0.000409	-0.000395	0.000681	0.000692	0.000730	0.000242	0.000237	0.000146	-0.00107	-0.00112	-0.00132	-0.000895	-0.000888	-0.000984	-0.000452	-0.000519	-0.000677	-0.000717	-0.000835	-0.000759	0.000247	0.000261	0.000366	0.000206	0.000182	0.000207	0.000590	0.000589	0.000488
