	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																															
fert	0.213	0.168	0.150	0.155	0.141	0.198	0.315	0.277	0.280	0.00271	-0.0398	-0.0434	0.142	0.166	0.188	0.194	0.205	0.228	0.519	0.513	0.547	0.0855	0.0205	0.0824	-0.207	-0.241	-0.188	-0.224	-0.281	-0.207	0.159	0.116	0.154	0.122	0.132	0.0885	0.106	0.122	0.0942	-0.191	-0.171	-0.174	-0.645	-0.656	-0.642	-0.824	-0.892	-0.968*	-1.238***	-1.366***	-1.368***	0.0361	-0.0775	-0.102	-0.759**	-0.736**	-0.736**	-0.267	-0.225	-0.226	0.821**	0.814**	0.768**
	(0.269)	(0.262)	(0.263)	(0.298)	(0.289)	(0.296)	(0.415)	(0.389)	(0.404)	(0.263)	(0.259)	(0.265)	(0.282)	(0.296)	(0.307)	(0.347)	(0.331)	(0.348)	(0.468)	(0.451)	(0.461)	(0.209)	(0.211)	(0.216)	(0.195)	(0.199)	(0.229)	(0.177)	(0.177)	(0.209)	(0.189)	(0.200)	(0.174)	(0.246)	(0.234)	(0.230)	(0.261)	(0.260)	(0.272)	(0.215)	(0.203)	(0.211)	(0.538)	(0.542)	(0.514)	(0.537)	(0.556)	(0.535)	(0.336)	(0.345)	(0.283)	(0.428)	(0.391)	(0.371)	(0.330)	(0.345)	(0.332)	(0.487)	(0.443)	(0.445)	(0.414)	(0.388)	(0.371)
_country2	-0.180**	-0.184**	-0.184**	0.150*	0.144*	0.145*	0.311***	0.299***	0.295***	-0.0429	-0.0540	-0.0565	0.169	0.187	0.189	0.356***	0.353***	0.353***	0.353***	0.335***	0.319***	-0.251**	-0.261**	-0.270***	0.0303	0.0332	0.0484	0.250**	0.232*	0.230*	-0.0426	-0.0483	-0.0129	0.227*	0.224*	0.219*	0.201	0.181	0.165	0.222***	0.202***	0.195***	-0.201	-0.270	0.445***	0.415*	0.434*	0.476**	0.604***	0.616***	0.565***	0.0645	0.0716	0.106	0.232*	0.214	0.190	0.208	0.191	0.181	-0.00754	0.00935	0.0175
	(0.0885)	(0.0881)	(0.0844)	(0.0852)	(0.0850)	(0.0838)	(0.109)	(0.106)	(0.103)	(0.0841)	(0.0845)	(0.0826)	(0.114)	(0.114)	(0.115)	(0.118)	(0.116)	(0.116)	(0.104)	(0.100)	(0.0989)	(0.103)	(0.103)	(0.102)	(0.0993)	(0.100)	(0.101)	(0.126)	(0.126)	(0.120)	(0.135)	(0.138)	(0.142)	(0.123)	(0.124)	(0.125)	(0.123)	(0.123)	(0.122)	(0.0667)	(0.0667)	(0.0667)	(0.165)	(0.166)	(0.170)	(0.224)	(0.224)	(0.218)	(0.210)	(0.208)	(0.196)	(0.190)	(0.189)	(0.185)	(0.136)	(0.140)	(0.143)	(0.139)	(0.139)	(0.140)	(0.147)	(0.147)	(0.139)
_country4	-0.0104	-0.0296	-0.0887	0.142	0.127	0.0954	0.256	0.225	0.169	-0.0368	-0.0621	-0.114	-0.0577	-0.0344	-0.0234	0.0774	0.0785	0.0860	0.553***	0.541***	0.531***	-0.267**	-0.302**	-0.373***	-0.0535	-0.0628	-0.0845	0.271*	0.247	0.202	-0.0764	-0.0921	-0.0932	-0.0352	-0.0277	-0.0114	-0.109	-0.112	-0.109	0.444***	0.434***	0.431***	-0.546**	-0.644***					0.357	0.347	0.261				-0.0746	-0.0667	-0.0449	-0.371*	-0.367*	-0.333*	0.452*	0.464*	0.442*
	(0.144)	(0.144)	(0.140)	(0.126)	(0.126)	(0.123)	(0.160)	(0.157)	(0.153)	(0.123)	(0.124)	(0.121)	(0.147)	(0.151)	(0.149)	(0.160)	(0.158)	(0.155)	(0.184)	(0.179)	(0.171)	(0.128)	(0.126)	(0.125)	(0.142)	(0.143)	(0.142)	(0.157)	(0.156)	(0.154)	(0.160)	(0.162)	(0.164)	(0.145)	(0.146)	(0.144)	(0.141)	(0.141)	(0.139)	(0.120)	(0.122)	(0.121)	(0.213)	(0.206)					(0.244)	(0.244)	(0.237)				(0.216)	(0.214)	(0.222)	(0.193)	(0.191)	(0.199)	(0.259)	(0.258)	(0.248)
_country5	-0.0630	-0.0611	-0.0444	0.287**	0.285**	0.291**	0.0634	0.0761	0.0664	0.0881	0.0994	0.0868													0.163	0.176	0.179	0.184	0.187	0.187															0.755***	0.474*	0.492*	0.546**	0.152	0.195	0.137	0.0714	0.126	0.162	0.131	0.155	0.175	-0.0390	-0.0239	-0.0149	-0.121	-0.114	-0.0526
