	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction
																																				
fert	0.163	0.275	0.253	0.165	0.274	0.281	0.389	0.460	0.444	-0.0399	0.0103	-0.0206	0.0405	0.119	0.0883	-0.212	-0.184	-0.178	-0.188	-0.154	-0.181	0.145	0.185	0.141	-0.811*	-0.767*	-0.687	-0.893	-0.868	-0.855	-1.114***	-1.081***	-1.137***	-0.164	-0.146	-0.228
	(0.263)	(0.270)	(0.269)	(0.336)	(0.323)	(0.324)	(0.444)	(0.451)	(0.450)	(0.253)	(0.272)	(0.279)	(0.214)	(0.225)	(0.238)	(0.211)	(0.219)	(0.226)	(0.197)	(0.221)	(0.219)	(0.190)	(0.171)	(0.174)	(0.481)	(0.447)	(0.419)	(0.620)	(0.605)	(0.561)	(0.355)	(0.304)	(0.294)	(0.382)	(0.347)	(0.342)
motherage		-2.096*	-2.125*		-2.994**	-3.014**		-0.0308	-0.153		-0.992	-1.097		-0.0396	0.113		-1.606	-1.501		0.297	0.284		0.296	0.359		-1.669	-1.728		4.172	3.891		-2.730	-2.902		7.391**	7.793***
		(1.147)	(1.137)		(1.284)	(1.278)		(1.438)	(1.428)		(1.050)	(1.038)		(1.365)	(1.378)		(1.785)	(1.769)		(1.791)	(1.795)		(1.653)	(1.661)		(2.567)	(2.553)		(3.653)	(3.648)		(3.258)	(3.293)		(2.956)	(2.875)
motheragesq		0.0604	0.0612		0.117**	0.117**		0.00637	0.0101		0.0349	0.0381		-0.0156	-0.0208		0.0641	0.0603		-0.0164	-0.0162		-0.0111	-0.0135		0.0662	0.0682		-0.147	-0.138		0.101	0.108		-0.269**	-0.282***
		(0.0422)	(0.0419)		(0.0463)	(0.0462)		(0.0512)	(0.0509)		(0.0393)	(0.0388)		(0.0509)	(0.0514)		(0.0644)	(0.0638)		(0.0661)	(0.0664)		(0.0624)	(0.0624)		(0.0971)	(0.0965)		(0.133)	(0.133)		(0.121)	(0.122)		(0.109)	(0.107)
motheragecub		-0.000531	-0.000541		-0.00140**	-0.00141**		-0.000119	-0.000159		-0.000406	-0.000444		0.000351	0.000409		-0.000809	-0.000766		0.000242	0.000241		0.000132	0.000159		-0.000701	-0.000726		0.00171	0.00162		-0.00122	-0.00130		0.00322**	0.00337***
