	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																															
fert	-0.379**	-0.380**	-0.355**	-0.188	-0.177	-0.184	0.0492	0.0575	0.0617	-0.440*	-0.418*	-0.426*	-0.0267	-0.0456	-0.0408	-0.434**	-0.463***	-0.459***	0.278	0.288	0.334	-0.706***	-0.655***	-0.612***	-0.880***	-0.837***	-0.840***	0.117	0.175	0.240	-0.0384	0.0307	0.0864	0.0194	0.0173	0.0504	-0.153	-0.164	-0.165	0.348	0.364	0.451	-0.330	-0.286	-0.314	-0.0263	0.139	0.345	-0.423	-0.251	-0.103	-1.403***	-1.534***	-1.560**	0.531*	0.628*	0.573	-0.281	-0.412*	-0.557*	-0.631**	-0.637*	-0.727*
	(0.181)	(0.174)	(0.181)	(0.173)	(0.170)	(0.182)	(0.247)	(0.244)	(0.245)	(0.236)	(0.233)	(0.244)	(0.252)	(0.250)	(0.251)	(0.179)	(0.172)	(0.172)	(0.378)	(0.377)	(0.387)	(0.238)	(0.229)	(0.233)	(0.215)	(0.225)	(0.256)	(0.278)	(0.245)	(0.214)	(0.207)	(0.188)	(0.174)	(0.310)	(0.319)	(0.315)	(0.160)	(0.155)	(0.174)	(0.540)	(0.553)	(0.576)	(0.390)	(0.431)	(0.455)	(0.297)	(0.328)	(0.427)	(0.432)	(0.543)	(0.609)	(0.416)	(0.500)	(0.655)	(0.323)	(0.358)	(0.400)	(0.186)	(0.246)	(0.297)	(0.286)	(0.366)	(0.412)
motherage	-0.594	-0.530	-0.102	-0.0462	-0.0234	0.199	0.162	0.154	0.465	-0.930	-0.916	-0.637	-0.182	-0.280	-0.438	-2.076*	-2.145*	-2.175*	-0.231	-0.167	0.283	-1.876	-2.046	-1.553	-3.477	-3.600	-2.918	-4.871***	-5.161***	-4.492***	-2.504*	-2.738*	-2.291	1.363	1.456	1.942	1.669	1.737	1.663	0.0561	0.0221	-0.0411	-5.527**	-5.982**	-6.008**	-6.613**	-6.765**	-6.561**	-0.770	-1.076	-1.136	-6.780**	-7.710**	-7.700**	5.026*	5.416*	5.275*	0.698	0.462	0.743	1.919	1.789	0.999
	(1.291)	(1.289)	(1.298)	(1.313)	(1.305)	(1.323)	(1.105)	(1.103)	(1.105)	(1.376)	(1.367)	(1.392)	(1.326)	(1.317)	(1.319)	(1.248)	(1.239)	(1.269)	(1.310)	(1.313)	(1.271)	(1.745)	(1.697)	(1.696)	(2.479)	(2.429)	(2.412)	(1.490)	(1.457)	(1.472)	(1.486)	(1.437)	(1.447)	(1.891)	(1.902)	(1.827)	(1.718)	(1.721)	(1.700)	(1.913)	(1.917)	(1.934)	(2.646)	(2.757)	(2.670)	(2.779)	(2.710)	(2.643)	(1.971)	(2.013)	(1.859)	(3.073)	(3.344)	(3.515)	(3.008)	(3.102)	(3.124)	(2.242)	(2.223)	(2.325)	(4.090)	(4.166)	(4.264)
motheragesq	0.0269	0.0242	0.00692	-0.00178	-0.00320	-0.0126	0.000794	0.000636	-0.0126	0.0362	0.0346	0.0222	0.00220	0.00616	0.0117	0.0743	0.0779*	0.0789	0.0130	0.0103	-0.00668	0.0743	0.0809	0.0609	0.127	0.131	0.105	0.186***	0.196***	0.170***	0.0927*	0.101*	0.0838	-0.0503	-0.0533	-0.0723	-0.0632	-0.0656	-0.0636	-0.00418	-0.00302	-0.00201	0.211**	0.228**	0.228**	0.251**	0.256**	0.250***	0.0288	0.0382	0.0392	0.282**	0.320**	0.316**	-0.221*	-0.237**	-0.238**	-0.0248	-0.0139	-0.0318	-0.0928	-0.0882	-0.0537
	(0.0483)	(0.0482)	(0.0485)	(0.0470)	(0.0468)	(0.0474)	(0.0399)	(0.0397)	(0.0399)	(0.0504)	(0.0501)	(0.0507)	(0.0497)	(0.0494)	(0.0495)	(0.0475)	(0.0471)	(0.0482)	(0.0476)	(0.0477)	(0.0465)	(0.0637)	(0.0618)	(0.0621)	(0.0881)	(0.0863)	(0.0857)	(0.0549)	(0.0537)	(0.0543)	(0.0552)	(0.0533)	(0.0538)	(0.0711)	(0.0714)	(0.0686)	(0.0641)	(0.0641)	(0.0635)	(0.0692)	(0.0694)	(0.0697)	(0.0958)	(0.100)	(0.0967)	(0.103)	(0.101)	(0.0969)	(0.0728)	(0.0749)	(0.0694)	(0.115)	(0.126)	(0.133)	(0.114)	(0.118)	(0.119)	(0.0848)	(0.0843)	(0.0902)	(0.146)	(0.149)	(0.152)
motheragecub	-0.000388	-0.000349	-0.000135	4.30e-05	6.94e-05	0.000188	-7.77e-05	-6.78e-05	0.000101	-0.000432	-0.000400	-0.000239	-2.25e-05	-7.37e-05	-0.000135	-0.000886	-0.000943	-0.000952	-0.000172	-0.000135	6.88e-05	-0.00100	-0.00107	-0.000819	-0.00154	-0.00159	-0.00126	-0.00226***	-0.00237***	-0.00204***	-0.00112*	-0.00122*	-0.000998	0.000540	0.000572	0.000804	0.000674	0.000700	0.000683	7.84e-05	6.46e-05	6.74e-05	-0.00259**	-0.00277**	-0.00276**	-0.00297**	-0.00300**	-0.00297**	-0.000207	-0.000298	-0.000307	-0.00360***	-0.00407***	-0.00398**	0.00291**	0.00311**	0.00320**	0.000186	4.50e-05	0.000349	0.00138	0.00133	0.000855
