	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
VARIABLES	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction
																								
fert	-0.453	-0.963	-0.926	-0.292	-0.310	-0.286	3.542	2.084	2.216	-5.111	-5.132	-5.007	-2.560	-4.592**	-4.864**	-1.675**	-1.946***	-1.972***	6.923	-2.879	-3.570	1.592	-1.508	-2.789
	(1.827)	(1.540)	(1.559)	(0.411)	(0.396)	(0.407)	(7.114)	(5.560)	(5.553)	(3.502)	(3.150)	(3.174)	(3.565)	(2.186)	(2.229)	(0.660)	(0.535)	(0.537)	(17.18)	(10.92)	(10.99)	(5.995)	(3.855)	(4.105)
motherage		-2.007	-1.470		-0.873	-0.781		-0.747	0.614		-5.729	-5.073		-5.678**	-5.639**		-2.291***	-2.285***		-6.776	-6.670		-6.783	-6.558
		(1.920)	(1.905)		(0.607)	(0.610)		(6.510)	(6.557)		(3.719)	(3.758)		(2.601)	(2.611)		(0.868)	(0.869)		(8.965)	(9.043)		(4.523)	(4.542)
motheragesq		0.0668	0.0484		0.0322	0.0292		0.0371	-0.00834		0.211	0.189		0.204**	0.203**		0.0839***	0.0838***		0.295	0.294		0.242	0.235
		(0.0680)	(0.0675)		(0.0213)	(0.0213)		(0.230)	(0.231)		(0.130)	(0.132)		(0.0931)	(0.0935)		(0.0302)	(0.0303)		(0.317)	(0.319)		(0.160)	(0.161)
motheragecub		-0.000703	-0.000497		-0.000382	-0.000349		-0.000566	-6.52e-05		-0.00248*	-0.00225		-0.00234**	-0.00233**		-0.000982***	-0.000982***		-0.00395	-0.00395		-0.00279	-0.00270
		(0.000782)	(0.000775)		(0.000242)	(0.000243)		(0.00264)	(0.00265)		(0.00148)	(0.00149)		(0.00108)	(0.00108)		(0.000343)	(0.000344)		(0.00361)	(0.00364)		(0.00184)	(0.00183)
agefirstbirth		0.214*	0.209*		0.0323	0.0332		1.081***	1.069***		0.0169	0.0179		0.0871	0.0669		-0.0176	-0.0196		1.015*	0.966*		0.257	0.169
		(0.109)	(0.111)		(0.0289)	(0.0293)		(0.385)	(0.382)		(0.216)	(0.218)		(0.124)	(0.128)		(0.0310)	(0.0315)		(0.546)	(0.551)		(0.208)	(0.221)
_mother_edu1		-0.779	-0.896		-0.998**	-1.012**		-6.460	-6.676		4.691**	4.587*		-2.059	-2.163		-1.510**	-1.515**		-5.615	-5.787		2.913	2.463
		(1.672)	(1.668)		(0.426)	(0.427)		(5.963)	(5.988)		(2.345)	(2.374)		(1.507)	(1.535)		(0.603)	(0.609)		(5.942)	(5.969)		(2.711)	(2.788)
_mother_edu2		1.480	1.450		0.0238	0.0226		3.711	3.674		7.424***	7.410***		0.375	0.278		-0.389	-0.392		2.728	2.610		7.881***	7.418***
		(1.579)	(1.570)		(0.369)	(0.369)		(5.340)	(5.365)		(2.101)	(2.133)		(1.378)	(1.407)		(0.551)	(0.557)		(5.511)	(5.576)		(2.402)	(2.499)
_mother_edu3		2.918*	2.910*		-0.0454	-0.0360		4.866	4.933		8.584***	8.639***		2.042	2.017		-0.392	-0.383		3.053	3.200		7.823***	7.579***
		(1.626)	(1.617)		(0.387)	(0.389)		(5.574)	(5.598)		(2.305)	(2.335)		(1.412)	(1.446)		(0.565)	(0.573)		(5.531)	(5.637)		(2.539)	(2.659)
_mother_edu4		3.997**	3.831**		0.678*	0.655*		10.18*	9.853*		10.84***	10.68***		3.266**	3.158**		0.218	0.215		10.33**	10.20*		10.76***	10.22***
		(1.575)	(1.567)		(0.365)	(0.365)		(5.287)	(5.322)		(2.109)	(2.152)		(1.332)	(1.363)		(0.547)	(0.555)		(5.259)	(5.322)		(2.344)	(2.431)
_mother_edu5		6.274***	6.062***		1.140***	1.103***		13.68**	13.19**		13.79***	13.53***		4.152***	3.924**		0.392	0.368		15.08**	14.53**		13.68***	12.90***
		(1.669)	(1.663)		(0.426)	(0.426)		(5.799)	(5.831)		(2.444)	(2.483)		(1.582)	(1.608)		(0.669)	(0.671)		(6.262)	(6.240)		(2.873)	(2.925)
height			4.966			0.278			11.39			3.378			1.682			-0.00484			0.217			12.85**
			(3.039)			(0.942)			(10.19)			(5.756)			(3.413)			(1.153)			(10.52)			(5.959)
bmi			-0.117**			-0.0234			-0.293			-0.160			-0.0830			-0.0136			-0.294			-0.222**
			(0.0572)			(0.0153)			(0.181)			(0.101)			(0.0574)			(0.0182)			(0.186)			(0.101)
Constant	60.78***	72.80***	62.39***	10.75***	17.27***	16.38**	101.8***	74.60	49.58	132.1***	172.5***	164.0***	67.31***	121.4***	121.5***	15.42***	36.97***	37.35***	82.95	132.5	140.9	111.4***	168.9***	157.3***
	(4.952)	(19.28)	(19.84)	(1.107)	(6.025)	(6.378)	(19.04)	(67.43)	(71.00)	(9.381)	(39.39)	(40.60)	(12.27)	(30.01)	(29.98)	(2.260)	(9.215)	(9.375)	(58.61)	(122.1)	(120.0)	(20.47)	(52.54)	(53.07)
																								
Observations	2,466	2,466	2,466	2,272	2,272	2,272	2,243	2,243	2,243	2,259	2,259	2,259	2,420	2,420	2,420	2,214	2,214	2,214	2,183	2,183	2,183	2,201	2,201	2,201
R-squared	0.008	0.091	0.095	0.008	0.070	0.072		0.091	0.093		0.021	0.025	0.017	0.028	0.019					0.130	0.132		0.055	0.052
Robust standard errors in parentheses																								
*** p<0.01, ** p<0.05, * p<0.1																								
