	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
VARIABLES	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction
																								
fert	3.181	4.080*	4.103	0.0671	0.317	0.278	1.978	4.503	4.314	-3.187	-2.280	-2.353	5.172*	2.569	2.186	1.265*	0.692	0.695	11.64	2.157	-0.897	7.594	4.022	3.349
	(2.272)	(2.383)	(2.598)	(0.653)	(0.706)	(0.764)	(7.526)	(7.707)	(8.449)	(3.008)	(3.325)	(3.463)	(2.796)	(2.709)	(2.803)	(0.749)	(0.578)	(0.610)	(9.427)	(8.754)	(8.736)	(5.784)	(4.474)	(4.576)
motherage		0.969	1.014		0.287	0.270		6.747***	6.948***		-1.008	-1.044		0.436	0.571		0.370**	0.389**		7.520***	7.221***		0.764	0.364
		(0.653)	(0.694)		(0.198)	(0.201)		(2.195)	(2.255)		(0.956)	(0.944)		(0.719)	(0.716)		(0.171)	(0.174)		(2.115)	(1.999)		(1.113)	(1.079)
motheragesq		-0.0380	-0.0383		-0.0101	-0.00867		-0.217**	-0.217**		0.0516	0.0560		-0.0288	-0.0325		-0.0124	-0.0126		-0.238**	-0.223**		-0.0205	-0.00169
		(0.0264)	(0.0273)		(0.00833)	(0.00836)		(0.0911)	(0.0923)		(0.0421)	(0.0411)		(0.0306)	(0.0306)		(0.00842)	(0.00848)		(0.0978)	(0.0940)		(0.0531)	(0.0518)
motheragecub		0.000459	0.000453		0.000115	9.15e-05		0.00231*	0.00227*		-0.000716	-0.000792		0.000439	0.000475		0.000126	0.000124		0.00239*	0.00223*		0.000130	-0.000122
		(0.000342)	(0.000347)		(0.000113)	(0.000112)		(0.00121)	(0.00121)		(0.000592)	(0.000575)		(0.000406)	(0.000406)		(0.000125)	(0.000125)		(0.00136)	(0.00132)		(0.000761)	(0.000745)
agefirstbirth		0.393**	0.403**		0.0409	0.0433		0.772	0.744		0.0319	0.0577		0.342**	0.329**		0.0534	0.0578		0.752	0.474		0.270	0.245
		(0.154)	(0.167)		(0.0436)	(0.0478)		(0.496)	(0.553)		(0.215)	(0.232)		(0.157)	(0.163)		(0.0344)	(0.0360)		(0.480)	(0.500)		(0.242)	(0.252)
miss_motherage		11.33	13.00*		4.006*	4.225**		80.66***	83.75***		0.330	2.667		7.987	9.500		5.024**	5.461***		77.27***	76.01***		29.86***	29.20***
		(7.428)	(7.846)		(2.121)	(2.077)		(22.57)	(23.97)		(10.07)	(9.874)		(7.664)	(7.565)		(1.969)	(1.918)		(19.92)	(18.81)		(10.34)	(10.07)
miss_agefirstbirth		11.57**	11.99**		1.371	1.413		24.77	24.22		-0.878	-0.114		8.570*	8.257*		1.322	1.428		20.03	13.42		5.715	5.119
		(5.007)	(5.471)		(1.436)	(1.578)		(16.38)	(18.24)		(6.977)	(7.495)		(4.419)	(4.646)		(0.952)	(0.994)		(14.22)	(14.84)		(6.882)	(7.113)
_mother_edu1		-5.215***	-5.171***		-1.960***	-2.002***		-21.83***	-21.53***		-14.90***	-14.88***		-4.905***	-4.812***		-0.972	-1.007		-11.94*	-11.04		-13.98***	-14.12***
		(1.640)	(1.614)		(0.485)	(0.491)		(6.330)	(6.087)		(2.929)	(2.920)		(1.816)	(1.805)		(0.651)	(0.642)		(7.187)	(7.034)		(3.398)	(3.364)
_mother_edu2		-6.854***	-6.841***		-1.621***	-1.644***		-19.50***	-19.04***		-8.400***	-8.605***		-3.492**	-3.634**		-0.671	-0.772		-13.00**	-11.95*		-6.463*	-6.766**
		(1.384)	(1.415)		(0.498)	(0.507)		(5.521)	(5.618)		(2.868)	(2.911)		(1.617)	(1.630)		(0.668)	(0.662)		(6.575)	(6.611)		(3.433)	(3.380)
_mother_edu3		-3.112***	-2.823***		-0.640*	-0.592		-9.527**	-8.679**		-5.000**	-4.619**		-1.236	-1.240		0.417	0.381		-5.942	-5.407		-4.198	-4.195
		(1.046)	(1.051)		(0.381)	(0.381)		(4.137)	(4.139)		(2.299)	(2.301)		(1.374)	(1.365)		(0.584)	(0.577)		(5.625)	(5.687)		(3.010)	(2.942)
_mother_edu4		-1.516	-1.376		-1.180***	-1.143***		-10.47**	-9.817**		-6.227***	-6.044**		-0.132	0.0134		-0.110	-0.0976		-7.164	-6.607		-6.331**	-6.219**
		(1.101)	(1.103)		(0.391)	(0.390)		(4.232)	(4.214)		(2.363)	(2.368)		(1.402)	(1.393)		(0.583)	(0.579)		(5.580)	(5.665)		(3.110)	(3.069)
_mother_edu5		-1.544	-1.399		-0.282	-0.250		-3.919	-3.410		-3.454	-3.255		1.327	1.482		0.513	0.502		1.934	2.398		-1.565	-1.603
		(0.959)	(0.968)		(0.371)	(0.375)		(4.006)	(4.046)		(2.186)	(2.203)		(1.285)	(1.282)		(0.539)	(0.534)		(5.191)	(5.282)		(2.769)	(2.730)
_mother_edu7		-2.980	-2.998		-0.944*	-0.938*		-17.68**	-17.34**		-10.51***	-10.54***		-4.045**	-3.800*		-0.531	-0.528		-15.66**	-14.99**		-12.18***	-11.97***
		(2.185)	(2.171)		(0.525)	(0.524)		(6.904)	(6.875)		(3.428)	(3.440)		(1.955)	(1.947)		(0.729)	(0.723)		(7.022)	(7.040)		(3.929)	(3.898)
_inc1		-2.460	-2.418		-0.167	-0.0599		-9.483	-9.965		4.405	5.046		-1.470	-0.674		-1.155	-0.922		-4.094	-5.351		-5.493	-5.444
		(6.041)	(6.156)		(1.379)	(1.456)		(11.23)	(11.74)		(10.37)	(10.06)		(5.327)	(5.429)		(1.302)	(1.214)		(11.04)	(11.12)		(7.198)	(6.920)
_inc2		-2.645**	-2.591**		-0.714*	-0.746**		-6.297	-5.800		-2.607	-2.642		-3.177**	-3.187**		-0.963**	-0.969**		-7.199	-5.171		-2.935	-2.506
		(1.290)	(1.312)		(0.364)	(0.375)		(4.330)	(4.454)		(2.055)	(2.094)		(1.437)	(1.438)		(0.392)	(0.399)		(4.922)	(4.901)		(2.457)	(2.485)
_inc3		-2.790**	-2.731**		-0.637*	-0.628		-9.696**	-9.127**		-3.539*	-3.508		-3.769***	-3.823***		-0.844**	-0.873**		-11.67**	-10.17**		-4.552*	-4.257*
		(1.321)	(1.355)		(0.378)	(0.396)		(4.377)	(4.513)		(2.103)	(2.144)		(1.331)	(1.331)		(0.372)	(0.385)		(4.769)	(4.740)		(2.404)	(2.460)
_inc4		-0.917	-0.931		-0.203	-0.173		-0.677	-0.443		-0.976	-0.849		-2.364**	-2.286**		-0.519*	-0.489		-4.146	-3.668		-1.708	-1.429
		(0.918)	(0.926)		(0.230)	(0.229)		(2.496)	(2.493)		(1.358)	(1.335)		(0.990)	(0.984)		(0.299)	(0.298)		(3.151)	(3.133)		(1.813)	(1.792)
_inc6		2.234***	2.118***		0.544***	0.530***		5.084**	4.514**		1.496	1.418		1.374	1.214		0.624**	0.590**		6.602**	5.879*		0.887	0.414
		(0.695)	(0.705)		(0.197)	(0.200)		(2.201)	(2.218)		(1.254)	(1.272)		(0.922)	(0.922)		(0.270)	(0.270)		(3.214)	(3.212)		(1.809)	(1.813)
height			1.900			-0.583			22.40			5.693			4.714			-0.218			24.25			3.334
			(4.298)			(1.024)			(14.75)			(6.811)			(4.433)			(1.293)			(17.38)			(7.965)
bmi			-0.153**			-0.0599***			-0.438**			-0.255**			-0.0682			-0.0256			-0.213			-0.227*
			(0.0649)			(0.0174)			(0.193)			(0.104)			(0.0774)			(0.0231)			(0.242)			(0.129)
daily_cig_before_preg			0.0350			0.0166			0.0491			0.130**			0.0494			0.0188			-0.210			0.0941
			(0.0371)			(0.0108)			(0.130)			(0.0638)			(0.0415)			(0.0128)			(0.142)			(0.0698)
weekly_alcohol_b_preg			-0.00840			0.0143			-0.0519			-0.00567			0.0263			0.0134			-0.166			0.0350
			(0.0437)			(0.00983)			(0.140)			(0.0849)			(0.0324)			(0.0115)			(0.146)			(0.0812)
complications_during_preg			-0.733			-0.0571			-0.687			-0.465			-0.565			-0.151			-1.978			-2.167*
			(0.602)			(0.149)			(1.917)			(0.910)			(0.662)			(0.186)			(2.351)			(1.122)
miss_height			5.651			-0.407			61.97**			13.59			5.442			-0.784			49.83*			9.821
			(7.344)			(1.831)			(25.62)			(11.92)			(7.742)			(2.202)			(30.14)			(13.88)
miss_bmi			-7.344***			-1.672***			-21.49***			-11.61**			-2.250			-0.977			-13.65*			-8.985*
			(2.354)			(0.606)			(6.873)			(4.896)			(2.316)			(0.785)			(7.958)			(5.086)
miss_daily_cig_before_preg			-5.236**			-1.325*			5.134			-7.097*			2.510*			0.275			1.236			-3.744
