	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																				
fert	-0.321	0.0762	-0.0839	-0.342	-0.147	-0.164	0.573	2.172	2.015	-5.475*	-4.819	-4.994*	-3.780	-3.907**	-4.061**	-1.605***	-1.568**	-1.561**	-1.257	-2.901	-3.269	-0.807	-1.261	-1.863	-4.034	-3.416	-3.388	-0.157	-0.143	-0.129	-18.25	-17.27*	-16.96*	-9.835	-9.367	-9.601
	(1.730)	(1.540)	(1.526)	(0.424)	(0.406)	(0.404)	(5.934)	(4.823)	(4.783)	(3.205)	(2.991)	(2.948)	(2.387)	(1.926)	(1.929)	(0.598)	(0.615)	(0.616)	(7.436)	(5.700)	(5.643)	(3.010)	(2.468)	(2.526)	(2.961)	(2.491)	(2.530)	(0.540)	(0.494)	(0.520)	(11.33)	(10.04)	(10.07)	(8.074)	(7.115)	(7.619)
motherage		-5.070	-4.060		-3.076	-2.876		-41.45	-40.26		12.85	14.50		-13.48	-12.93		-4.772	-4.814		-88.59**	-88.30**		12.48	13.52		-44.59***	-45.07***		-6.331	-6.480		-100.6*	-104.8*		2.686	0.276
		(9.945)	(9.991)		(3.404)	(3.424)		(30.79)	(30.64)		(19.69)	(19.99)		(11.00)	(11.06)		(4.733)	(4.728)		(35.07)	(34.51)		(20.41)	(20.80)		(16.62)	(16.59)		(6.544)	(6.553)		(55.50)	(55.72)		(40.40)	(40.86)
motheragesq		0.0944	0.0619		0.104	0.0975		1.223	1.191		-0.460	-0.515		0.418	0.400		0.171	0.173		2.928**	2.922**		-0.496	-0.527		1.679***	1.702***		0.253	0.259		3.641*	3.821*		0.105	0.221
		(0.355)	(0.356)		(0.119)	(0.119)		(1.100)	(1.096)		(0.688)	(0.697)		(0.391)	(0.393)		(0.162)	(0.162)		(1.263)	(1.242)		(0.728)	(0.741)		(0.600)	(0.599)		(0.233)	(0.234)		(2.019)	(2.030)		(1.465)	(1.485)
motheragecub		-0.000165	0.000166		-0.00114	-0.00107		-0.0114	-0.0111		0.00544	0.00603		-0.00403	-0.00382		-0.00201	-0.00202		-0.0315**	-0.0314**		0.00638	0.00674		-0.0195***	-0.0198***		-0.00315	-0.00321		-0.0409*	-0.0431*		-0.00242	-0.00398
		(0.00415)	(0.00417)		(0.00135)	(0.00136)		(0.0128)	(0.0128)		(0.00782)	(0.00792)		(0.00454)	(0.00456)		(0.00182)	(0.00182)		(0.0148)	(0.0146)		(0.00841)	(0.00855)		(0.00706)	(0.00706)		(0.00272)	(0.00272)		(0.0238)	(0.0240)		(0.0172)	(0.0174)
agefirstbirth		0.201*	0.177		0.0243	0.0223		0.907***	0.866**		-0.0782	-0.104		-0.00521	-0.0242		-0.0193	-0.0197		0.762**	0.647**		0.204	0.123		-0.0385	-0.0611		0.0393	0.0374		0.0293	-0.0845		-0.0765	-0.157
		(0.109)	(0.110)		(0.0288)	(0.0297)		(0.336)	(0.345)		(0.205)	(0.211)		(0.106)	(0.107)		(0.0309)	(0.0310)		(0.298)	(0.296)		(0.144)	(0.153)		(0.147)	(0.148)		(0.0360)	(0.0374)		(0.522)	(0.534)		(0.341)	(0.374)
_mother_edu1		-0.115	-0.0438		-1.020**	-1.007**		-5.324	-5.376		4.064*	4.245*		-0.856	-0.888		-0.974*	-0.978*		1.757	1.903		2.182	2.153		-1.972	-2.062		-1.198**	-1.168**		1.594	2.002		2.480	2.558
		(1.625)	(1.623)		(0.423)	(0.423)		(5.588)	(5.592)		(2.464)	(2.469)		(1.342)	(1.343)		(0.513)	(0.512)		(4.601)	(4.565)		(2.612)	(2.608)		(1.843)	(1.832)		(0.564)	(0.564)		(6.598)	(6.560)		(3.458)	(3.462)
_mother_edu2		1.628	1.687		-0.224	-0.206		1.391	1.428		5.492**	5.643**		1.360	1.270		-0.127	-0.146		6.185	6.097		5.314**	5.132**		0.175	0.178		-0.576	-0.580		3.160	3.007		3.743	3.333
		(1.464)	(1.463)		(0.358)	(0.358)		(4.900)	(4.898)		(2.207)	(2.196)		(1.224)	(1.224)		(0.466)	(0.465)		(4.138)	(4.103)		(2.392)	(2.380)		(1.665)	(1.649)		(0.501)	(0.505)		(5.999)	(6.054)		(3.347)	(3.427)
_mother_edu3		3.210**	3.256**		-0.200	-0.177		2.974	2.973		7.357***	7.553***		3.208**	3.146**		-0.127	-0.144		6.118	5.771		5.866**	5.678**		1.790	1.858		-0.552	-0.579		7.965	7.551		2.274	1.747
		(1.506)	(1.503)		(0.370)	(0.370)		(4.991)	(4.992)		(2.286)	(2.280)		(1.265)	(1.263)		(0.472)	(0.469)		(4.173)	(4.133)		(2.461)	(2.449)		(1.787)	(1.774)		(0.513)	(0.516)		(6.242)	(6.335)		(3.453)	(3.514)
_mother_edu4		3.672**	3.733**		0.416	0.448		7.422	7.427		9.157***	9.392***		4.218***	4.089***		0.463	0.436		11.54***	11.24***		8.684***	8.419***		3.845**	3.962**		-0.521	-0.543		9.826*	9.723		5.760*	5.173*
		(1.512)	(1.507)		(0.362)	(0.361)		(5.003)	(4.988)		(2.314)	(2.293)		(1.216)	(1.216)		(0.457)	(0.455)		(4.108)	(4.079)		(2.359)	(2.347)		(1.699)	(1.690)		(0.513)	(0.520)		(5.950)	(6.040)		(3.041)	(3.078)
_mother_edu5		5.062***	5.096***		0.856*	0.879**		9.654*	9.574*		12.22***	12.41***		5.108***	4.971***		0.499	0.471		11.47**	11.01**		10.82***	10.50***		4.734*	4.737*		0.179	0.173		20.80**	20.63**		8.981*	8.634*
		(1.632)	(1.626)		(0.438)	(0.439)		(5.521)	(5.518)		(2.682)	(2.669)		(1.432)	(1.427)		(0.557)	(0.554)		(4.963)	(4.932)		(2.814)	(2.797)		(2.621)	(2.565)		(0.782)	(0.782)		(9.827)	(9.722)		(4.991)	(5.045)
_inc1		-3.781***	-3.635***		-0.683**	-0.644**		-13.81***	-13.30***		-1.294	-0.973		-2.118**	-1.975*		-0.872***	-0.868***		-18.66***	-17.45***		-2.849*	-2.114		-3.925***	-3.808***		-1.579***	-1.582***		-15.96***	-15.56***		-4.214	-3.951
		(0.903)	(0.913)		(0.276)	(0.286)		(2.904)	(2.985)		(1.806)	(1.860)		(1.025)	(1.032)		(0.319)	(0.322)		(3.226)	(3.245)		(1.727)	(1.735)		(1.426)	(1.442)		(0.444)	(0.446)		(5.059)	(5.133)		(3.141)	(3.250)
_inc2		-3.366***	-3.251***		-0.597**	-0.567**		-9.657***	-9.291***		-2.593	-2.353		-1.864**	-1.708**		-0.639**	-0.632**		-14.18***	-13.41***		-2.510	-1.947		-3.913***	-3.663***		-1.246***	-1.262***		-17.55***	-17.09***		-1.802	-1.528
		(0.874)	(0.886)		(0.264)	(0.271)		(2.765)	(2.842)		(1.840)	(1.905)		(0.864)	(0.864)		(0.281)	(0.281)		(2.879)	(2.896)		(1.603)	(1.637)		(1.346)	(1.377)		(0.418)	(0.422)		(4.747)	(4.888)		(2.857)	(2.991)
_inc3		-1.226*	-1.162*		-0.389*	-0.367*		-3.111	-2.890		-0.857	-0.705		-1.462**	-1.398**		-0.887***	-0.892***		-9.061***	-8.726***		-2.128	-1.879		-2.437*	-2.312*		-0.716*	-0.729*		-7.908*	-7.936*		-0.909	-0.958
		(0.670)	(0.672)		(0.206)	(0.207)		(2.063)	(2.080)		(1.336)	(1.340)		(0.709)	(0.709)		(0.215)	(0.215)		(2.280)	(2.291)		(1.301)	(1.305)		(1.340)	(1.346)		(0.430)	(0.429)		(4.633)	(4.652)		(2.563)	(2.578)
_inc4		-1.191**	-1.135*		-0.217	-0.202		-2.435	-2.281		-0.0902	0.0309		-0.738	-0.743		-0.762***	-0.772***		-7.176***	-7.016***		-1.452	-1.358		-2.850**	-2.984**		-0.897*	-0.891*		-8.987*	-9.068*		-2.542	-2.525
		(0.589)	(0.589)		(0.190)	(0.191)		(1.939)	(1.948)		(1.196)	(1.205)		(0.705)	(0.708)		(0.201)	(0.202)		(2.160)	(2.157)		(1.298)	(1.304)		(1.449)	(1.458)		(0.466)	(0.467)		(4.731)	(4.743)		(2.602)	(2.629)
height			6.662**			0.546			6.623			7.452			2.109			-0.147			3.578			8.768			0.278			0.733			14.59			18.62*
			(2.964)			(0.966)			(9.369)			(5.944)			(3.352)			(1.075)			(10.34)			(5.746)			(4.769)			(1.488)			(16.43)			(9.771)
daily_cig_before_preg			-0.00528			0.000905			-0.0459			-0.00204			-0.0300			-0.00494			-0.216**			-0.100*			-0.0284			-0.00275			-0.149			-0.0956
			(0.0322)			(0.0100)			(0.103)			(0.0622)			(0.0357)			(0.0110)			(0.0997)			(0.0605)			(0.0519)			(0.0137)			(0.158)			(0.0852)
weekly_alcohol_b_preg			-0.00719			-0.00452			0.0652			-0.0475			0.0572**			0.00507			-0.0976			0.0426			0.0604			-0.0147			-0.110			-0.0350
			(0.0315)			(0.0101)			(0.103)			(0.0715)			(0.0255)			(0.00912)			(0.0928)			(0.0542)			(0.0392)			(0.0129)			(0.143)			(0.121)
complications_during_preg			-0.384			-0.195			-1.406			-1.136			0.0333			0.0706			-2.589*			-1.232			-1.109			0.0144			-2.653			0.210
			(0.420)			(0.131)			(1.352)			(0.832)			(0.458)			(0.153)			(1.424)			(0.838)			(0.720)			(0.234)			(2.342)			(1.486)
Constant	54.18***	119.1	100.9	9.020***	38.76	36.19	100.5***	539.8**	518.5**	127.8***	-57.27	-83.03	58.21***	206.0**	197.7**	16.22***	58.96	61.57	90.05**	926.0***	934.3***	137.5***	0.974	-22.08	77.34***	433.3***	437.5***	15.49***	59.38	59.52	229.9***	1,101**	1,111**	143.0***	53.61	39.95
	(3.592)	(86.83)	(87.26)	(0.929)	(29.25)	(29.52)	(10.23)	(262.7)	(261.8)	(5.556)	(221.7)	(225.5)	(10.49)	(97.50)	(97.97)	(2.920)	(42.23)	(42.57)	(35.12)	(309.6)	(304.3)	(12.74)	(203.9)	(209.0)	(14.37)	(165.4)	(165.4)	(3.138)	(56.66)	(56.96)	(68.81)	(492.2)	(490.8)	(49.05)	(401.7)	(406.8)
																																				
Observations	2,393	2,393	2,393	2,246	2,246	2,246	2,214	2,214	2,214	2,233	2,233	2,233	2,372	2,372	2,372	2,213	2,213	2,213	2,180	2,180	2,180	2,200	2,200	2,200	1,048	1,048	1,048	940	940	940	929	929	929	937	937	937
R-squared	0.084	0.156	0.160	0.061	0.115	0.116	0.089	0.179	0.181	0.017	0.055	0.054	0.058	0.099	0.097				0.129	0.223	0.227	0.075	0.110	0.110	0.063	0.138	0.144	0.102	0.142	0.144	0.100	0.163	0.171			
Robust standard errors in parentheses																																				
*** p<0.01, ** p<0.05, * p<0.1																																				
