	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																				
fert	1.949	2.705	2.476	0.329	0.401	0.381	-0.597	-0.384	-1.246	-1.273	-1.100	-1.428	4.944	3.424	2.775	0.749	0.479	0.489	-0.205	-5.086	-8.038	5.522	3.740	3.739	-1.606	-2.073	-2.083	0.0875	0.117	0.0577	-12.75	-14.57	-13.38	0.430	1.083	0.695
	(2.052)	(2.150)	(2.098)	(0.735)	(0.687)	(0.681)	(6.709)	(6.095)	(5.831)	(3.290)	(3.278)	(3.324)	(3.474)	(2.827)	(3.023)	(1.022)	(0.779)	(0.794)	(10.61)	(9.084)	(9.592)	(5.101)	(4.224)	(4.406)	(2.980)	(2.626)	(2.783)	(0.579)	(0.624)	(0.607)	(10.80)	(9.582)	(9.643)	(4.979)	(5.401)	(5.315)
motherage		-11.50	-12.06		-4.287	-4.255		-62.01	-61.07		-1.977	-1.566		-16.22	-15.60		0.427	0.593		-23.84	-24.20		19.84	23.10		-22.50	-19.50		0.522	0.248		2.367	4.488		0.0918	0.547
		(11.02)	(10.81)		(2.791)	(2.746)		(42.43)	(40.92)		(15.17)	(14.98)		(13.34)	(12.98)		(3.761)	(3.734)		(46.39)	(45.11)		(21.53)	(21.43)		(16.96)	(17.03)		(7.310)	(7.714)		(64.68)	(172.0)		(38.24)	(51.10)
motheragesq		0.260	0.280		0.164	0.163		2.180	2.145		0.00668	-0.00934		0.449	0.429		-0.00275	-0.0101		0.686	0.684		-0.841	-0.962		0.832	0.728		-0.00151	0.0123		-0.00124	-0.0627		-0.0197	-0.0412
		(0.396)	(0.389)		(0.102)	(0.100)		(1.506)	(1.460)		(0.562)	(0.555)		(0.483)	(0.470)		(0.135)	(0.134)		(1.682)	(1.639)		(0.781)	(0.776)		(0.621)	(0.624)		(1.129)	(1.312)		(12.53)	(10.47)		(7.538)	(8.727)
motheragecub		-0.00134	-0.00157		-0.00190	-0.00189		-0.0243	-0.0240		0.000677	0.000862		-0.00372	-0.00349		-8.21e-05	3.05e-05		-0.00610	-0.00591		0.0114	0.0129		-0.00945	-0.00821		-0.000208	-0.000371		-0.000519	-0.000127		0.000474	0.000730
		(0.00464)	(0.00458)		(0.00121)	(0.00119)		(0.0175)	(0.0171)		(0.00673)	(0.00664)		(0.00567)	(0.00553)		(0.00157)	(0.00156)		(0.0200)	(0.0195)		(0.00923)	(0.00916)		(0.00742)	(0.00745)		(0.00226)	(0.00327)		(0.0300)	(0.0321)		(0.0167)	(0.0210)
agefirstbirth		0.337**	0.335**		0.0430	0.0436		0.508	0.457		0.126	0.138		0.351**	0.332*		0.0512	0.0561		0.466	0.296		0.342	0.350		-0.102	-0.0588		0.0258	0.0247		0.0569	0.0796		0.399	0.432
		(0.136)	(0.135)		(0.0407)	(0.0418)		(0.390)	(0.392)		(0.203)	(0.214)		(0.166)	(0.174)		(0.0426)	(0.0427)		(0.497)	(0.519)		(0.241)	(0.253)		(0.161)	(0.159)		(0.0426)	(0.0421)		(0.535)	(0.530)		(0.291)	(0.289)
miss_motherage		-145.5	-148.6		-33.33	-32.85		-560.5	-552.4		-15.79	-9.526		-181.7	-173.3		8.021	9.571		-265.9	-275.9		165.7	197.2		-180.3	-145.3									
		(101.1)	(99.06)		(25.31)	(24.91)		(393.3)	(377.3)		(134.2)	(132.6)		(119.4)	(116.3)		(34.48)	(34.27)		(419.2)	(406.8)		(194.1)	(193.9)		(163.6)	(163.3)									
miss_agefirstbirth		9.680**	9.596**		1.431	1.449		15.81	14.26		1.882	2.178		9.090**	8.582*		1.204	1.311		12.66	8.281		7.086	7.597		-0.966	0.203		1.231	1.195		8.972	9.708		15.13*	15.72*
		(4.420)	(4.374)		(1.346)	(1.372)		(12.72)	(12.67)		(6.594)	(6.910)		(4.625)	(4.908)		(1.175)	(1.187)		(13.93)	(14.71)		(6.721)	(7.043)		(4.298)	(4.264)		(1.271)	(1.255)		(15.55)	(15.30)		(8.361)	(8.222)
_mother_edu1		-4.613***	-4.707***		-1.927***	-1.979***		-20.95***	-21.00***		-15.14***	-15.23***		-4.888***	-4.831***		-1.141**	-1.132**		-7.397	-6.642		-13.48***	-13.66***		-5.274*	-5.518**		-1.379	-1.383		-29.08***	-28.99***		-3.059	-3.070
		(1.430)	(1.401)		(0.460)	(0.463)		(5.494)	(5.393)		(2.863)	(2.889)		(1.704)	(1.665)		(0.545)	(0.537)		(6.438)	(6.532)		(3.182)	(3.170)		(2.860)	(2.803)		(0.910)	(0.919)		(10.66)	(10.45)		(5.195)	(5.279)
_mother_edu2		-5.824***	-5.975***		-1.774***	-1.812***		-17.04***	-17.06***		-9.507***	-9.830***		-3.353**	-3.483**		-0.728	-0.721		-7.565	-6.955		-5.975*	-6.011*		-5.334*	-5.660*		-0.321	-0.436		-33.72***	-32.46***		2.734	2.291
		(1.332)	(1.332)		(0.486)	(0.492)		(5.482)	(5.479)		(2.893)	(2.939)		(1.670)	(1.639)		(0.576)	(0.567)		(6.655)	(6.715)		(3.313)	(3.287)		(3.068)	(3.069)		(0.957)	(0.974)		(11.08)	(10.97)		(5.562)	(5.588)
_mother_edu3		-2.539**	-2.437**		-0.720*	-0.729*		-8.828**	-8.673**		-5.683**	-5.611**		-1.037	-1.042		0.339	0.329		0.283	0.398		-3.746	-3.765		-2.521	-2.765		0.343	0.252		-22.77**	-22.02**		5.322	5.237
		(1.049)	(1.044)		(0.389)	(0.392)		(4.264)	(4.261)		(2.342)	(2.353)		(1.422)	(1.384)		(0.495)	(0.487)		(5.844)	(5.924)		(2.925)	(2.897)		(2.871)	(2.829)		(0.895)	(0.904)		(10.42)	(10.28)		(5.071)	(5.133)
_mother_edu4		-0.925	-0.933		-1.093***	-1.102***		-8.319*	-8.261*		-5.982**	-5.978**		0.0239	0.0825		-0.120	-0.104		-0.989	-0.688		-5.175*	-5.101*		-1.327	-1.375		0.238	0.175		-16.56	-15.87		3.132	3.198
		(1.100)	(1.092)		(0.400)	(0.401)		(4.343)	(4.331)		(2.411)	(2.422)		(1.441)	(1.395)		(0.505)	(0.497)		(5.729)	(5.808)		(2.997)	(2.967)		(2.883)	(2.832)		(0.855)	(0.864)		(10.14)	(10.05)		(5.010)	(5.066)
_mother_edu5		-1.073	-0.986		-0.337	-0.334		-2.219	-1.986		-3.936*	-3.772*		1.077	1.150		0.445	0.459		7.375	7.599		-1.305	-1.169		0.842	0.611		0.306	0.191		-13.11	-13.28		7.331	7.204
		(0.936)	(0.932)		(0.374)	(0.376)		(4.049)	(4.040)		(2.225)	(2.244)		(1.341)	(1.300)		(0.463)	(0.454)		(5.356)	(5.426)		(2.682)	(2.647)		(2.679)	(2.620)		(0.814)	(0.824)		(9.153)	(8.953)		(4.500)	(4.535)
_mother_edu7		-3.307	-3.374*		-0.896*	-0.921*		-18.79***	-18.73***		-10.52***	-10.73***		-4.895**	-4.677**		-0.384	-0.396		-12.79*	-11.72		-10.02**	-10.23***		-3.880	-3.954		-0.0430	-0.0922		-37.57***	-37.67***		1.680	1.753
		(2.055)	(2.040)		(0.537)	(0.542)		(6.786)	(6.772)		(3.345)	(3.330)		(1.976)	(1.927)		(0.637)	(0.632)		(7.177)	(7.299)		(3.897)	(3.859)		(3.355)	(3.360)		(0.987)	(1.004)		(11.06)	(10.97)		(5.555)	(5.660)
_inc1		-1.981	-2.104		-0.125	-0.204		-9.394	-11.34		4.230	4.153		-3.109	-2.091		-0.228	0.352		-0.346	2.791		-1.476	-1.490		-1.677	-1.744		1.240	1.578		15.23	13.87		-13.47	-12.97
		(4.439)	(4.484)		(1.220)	(1.227)		(11.13)	(10.25)		(10.21)	(10.23)		(4.088)	(4.412)		(1.128)	(1.092)		(11.54)	(12.23)		(6.276)	(6.304)		(3.221)	(3.379)		(1.321)	(1.151)		(11.21)	(11.74)		(9.074)	(9.110)
_inc2		-2.236*	-2.208*		-0.648*	-0.649*		-6.417*	-5.778		-3.291*	-3.415*		-4.006***	-4.031***		-0.575	-0.652		-8.819*	-7.712*		-1.977	-2.363		-3.653**	-3.944**		-0.389	-0.446		-6.755	-7.222		0.689	0.407
		(1.145)	(1.145)		(0.354)	(0.356)		(3.867)	(3.882)		(1.980)	(2.007)		(1.405)	(1.404)		(0.399)	(0.399)		(4.591)	(4.678)		(2.394)	(2.410)		(1.664)	(1.642)		(0.630)	(0.627)		(5.712)	(5.743)		(3.101)	(3.119)
_inc3		-2.485**	-2.524**		-0.604*	-0.616*		-7.665**	-7.272**		-3.545*	-3.724*		-4.278***	-4.293***		-0.554	-0.607		-8.415**	-7.449*		-3.425	-3.776		-1.907	-2.228		-0.684	-0.751		-6.205	-6.870		-1.382	-1.581
		(1.144)	(1.129)		(0.351)	(0.354)		(3.666)	(3.600)		(1.925)	(1.980)		(1.299)	(1.298)		(0.372)	(0.378)		(4.158)	(4.292)		(2.267)	(2.333)		(1.658)	(1.648)		(0.611)	(0.610)		(5.599)	(5.674)		(3.057)	(3.104)
_inc4		-0.557	-0.533		-0.102	-0.0862		0.768	1.022		-0.659	-0.614		-2.691***	-2.652***		-0.398	-0.414		-2.828	-2.672		-1.262	-1.365		-0.0878	-0.139		-0.0599	-0.120		-3.201	-3.736		1.819	1.686
		(0.851)	(0.840)		(0.222)	(0.221)		(2.385)	(2.370)		(1.309)	(1.300)		(1.038)	(1.020)		(0.292)	(0.290)		(3.018)	(3.018)		(1.732)	(1.727)		(1.670)	(1.649)		(0.612)	(0.615)		(5.415)	(5.426)		(2.935)	(2.916)
_inc6		2.033***	2.011***		0.638***	0.627***		4.977**	4.612**		1.454	1.377		1.288	1.157		0.810***	0.786***		8.059***	7.610**		1.887	1.397		1.920	1.957		1.359**	1.342**		13.00**	13.25**		4.807	4.748
		(0.668)	(0.669)		(0.198)	(0.200)		(2.197)	(2.219)		(1.259)	(1.272)		(0.934)	(0.928)		(0.264)	(0.262)		(3.103)	(3.111)		(1.799)	(1.804)		(2.017)	(2.015)		(0.635)	(0.639)		(6.480)	(6.503)		(3.571)	(3.566)
height			4.221			-0.0154			27.22**			7.303			6.912			0.228			32.45**			3.702			7.223			1.372			39.24**			-4.367
			(3.791)			(0.992)			(13.06)			(6.835)			(4.283)			(1.269)			(14.70)			(7.812)			(5.619)			(1.921)			(17.97)			(11.85)
daily_cig_before_preg			0.0461			0.00730			0.0604			0.118**			0.0518			0.0138			-0.0403			0.0814			0.115**			0.00640			0.103			0.0626
			(0.0349)			(0.00972)			(0.119)			(0.0600)			(0.0424)			(0.0121)			(0.136)			(0.0725)			(0.0574)			(0.0168)			(0.191)			(0.0977)
weekly_alcohol_b_preg			-0.00626			0.0118			-0.00287			-0.0123			0.0478			0.00830			-0.0238			0.0286			0.0624			-0.0199			-0.234			-0.0133
			(0.0378)			(0.00944)			(0.121)			(0.0849)			(0.0305)			(0.0102)			(0.110)			(0.0793)			(0.0385)			(0.0150)			(0.176)			(0.148)
complications_during_preg			-0.606			-0.143			-0.611			-0.963			-0.308			-0.108			-0.711			-2.439**			-0.353			0.181			0.440			1.432
			(0.515)			(0.142)			(1.647)			(0.880)			(0.628)			(0.180)			(2.019)			(1.130)			(0.884)			(0.265)			(2.908)			(1.670)
miss_height			6.117			0.458			58.23**			11.31			8.510			-0.366			50.53**			7.149			10.24			0.828			67.38**			-9.126
			(6.579)			(1.798)			(22.95)			(11.87)			(7.366)			(2.161)			(25.32)			(13.11)			(9.275)			(3.186)			(30.05)			(18.78)
