	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																															
fert	-1.618	-2.091	-1.884	-0.996	-1.037	-0.949	3.240	2.570	4.174	-13.83	-13.66	-13.58	-0.625	-0.658	-0.678	-1.289**	-1.318***	-1.406***	0.0806	0.0754	0.0874	-5.303*	-4.729	-4.401	-2.269**	-2.188**	-2.164**	-5.270	-2.719	-2.629	6.324	7.750	8.012	-1.156	-1.184	-1.217	-1.139	-1.184	-1.225	0.101	0.109	0.121	-3.608	-2.839	-3.513	0.343	0.425	0.371	-20.43***	-18.84***	-19.02***	-5.964	-5.836	-5.198	0.966**	0.902**	0.880*	0.426	0.394	0.458	-0.134***	-0.132***	-0.145***
	(2.122)	(2.206)	(2.467)	(0.899)	(0.919)	(0.908)	(6.769)	(6.813)	(6.887)	(10.40)	(10.29)	(10.61)	(0.530)	(0.525)	(0.544)	(0.502)	(0.469)	(0.485)	(0.0994)	(0.0969)	(0.102)	(3.047)	(3.081)	(3.187)	(0.980)	(0.973)	(0.989)	(12.85)	(12.05)	(11.84)	(7.683)	(9.545)	(10.47)	(0.829)	(0.915)	(1.011)	(0.860)	(0.942)	(0.993)	(0.182)	(0.192)	(0.193)	(2.647)	(2.766)	(2.725)	(0.662)	(0.661)	(0.697)	(7.612)	(6.820)	(6.901)	(7.154)	(7.554)	(7.741)	(0.456)	(0.458)	(0.484)	(0.630)	(0.585)	(0.604)	(0.0386)	(0.0378)	(0.0455)
motherage	0.457	-1.055	1.824	-0.354	-0.674	-0.101	-7.789	-11.39	-4.348	-0.0959	-2.263	2.033	0.728	0.736	0.826	0.430	0.460	0.440	-0.290	-0.312*	-0.237	-8.052	-10.58	-7.956	-3.229	-3.799	-2.830	-68.29**	-78.99**	-67.93**	19.69	14.22	22.51	1.024	0.976	0.876	3.039	3.186	2.786	-0.0508	-0.0647	-0.0418	-30.81*	-29.80*	-32.66*	-0.807	-6.072	-6.557	-24.43	-40.24	-47.40	-5.199	-11.36	-8.662	-0.864	-1.139	-0.985	-2.322	-2.032	-1.670	-0.0499	-0.0704	-0.148
	(6.870)	(6.820)	(6.590)	(2.063)	(2.051)	(2.020)	(17.89)	(17.72)	(17.81)	(13.51)	(13.68)	(13.77)	(1.393)	(1.387)	(1.398)	(1.387)	(1.398)	(1.430)	(0.187)	(0.185)	(0.184)	(11.31)	(11.06)	(10.97)	(4.475)	(4.380)	(4.360)	(32.63)	(31.94)	(31.83)	(22.06)	(22.24)	(21.56)	(2.477)	(2.495)	(2.483)	(2.436)	(2.461)	(2.443)	(0.401)	(0.397)	(0.409)	(16.23)	(16.21)	(16.68)	(8.419)	(5.813)	(5.712)	(128.6)	(53.79)	(54.37)	(64.34)	(30.46)	(31.20)	(4.240)	(4.227)	(4.154)	(3.422)	(3.430)	(3.446)	(0.787)	(0.789)	(0.782)
motheragesq	-0.0224	0.0282	-0.0850	0.00316	0.0140	-0.00945	0.244	0.380	0.0782	-0.0356	0.0308	-0.145	-0.0371	-0.0381	-0.0421	-0.0237	-0.0252	-0.0245	0.0107	0.0114*	0.00864	0.250	0.343	0.238	0.107	0.129	0.0945	2.456**	2.841**	2.410**	-0.684	-0.476	-0.791	-0.0465	-0.0446	-0.0413	-0.127	-0.132	-0.116	0.000634	0.00105	-8.80e-06	1.134*	1.085*	1.180*	0.0707	0.268	0.286	0.832	1.392	1.583	0.431	0.688	0.599	0.0249	0.0366	0.0307	0.0886	0.0781	0.0631	-0.00325	-0.00269	-0.000810
	(0.243)	(0.242)	(0.236)	(0.0728)	(0.0725)	(0.0716)	(0.637)	(0.631)	(0.630)	(0.491)	(0.497)	(0.498)	(0.0505)	(0.0503)	(0.0507)	(0.0498)	(0.0500)	(0.0510)	(0.00683)	(0.00675)	(0.00678)	(0.403)	(0.394)	(0.392)	(0.157)	(0.154)	(0.153)	(1.161)	(1.139)	(1.126)	(0.787)	(0.793)	(0.766)	(0.0887)	(0.0893)	(0.0888)	(0.0868)	(0.0876)	(0.0871)	(0.0141)	(0.0140)	(0.0144)	(0.614)	(0.608)	(0.626)	(1.380)	(0.215)	(0.211)	(14.96)	(2.019)	(2.032)	(7.561)	(1.136)	(1.160)	(0.162)	(0.161)	(0.158)	(0.127)	(0.127)	(0.129)	(0.0286)	(0.0288)	(0.0286)
motheragecub	0.000220	-0.000309	0.00105	-3.89e-05	-0.000152	0.000136	-0.00266	-0.00419	-0.000325	0.000537	-9.27e-05	0.00211	0.000474	0.000491	0.000547	0.000297	0.000316	0.000309	-0.000124	-0.000131*	-9.90e-05	-0.00268	-0.00373	-0.00244	-0.00125	-0.00151	-0.00112	-0.0283**	-0.0326**	-0.0274**	0.00743	0.00506	0.00889	0.000607	0.000578	0.000531	0.00156	0.00161	0.00141	9.55e-08	-3.96e-06	1.15e-05	-0.0134*	-0.0127*	-0.0135*	-0.00116	-0.00352	-0.00373	-0.00721	-0.0136	-0.0150	-0.00735	-0.0106	-0.00956	-0.000328	-0.000482	-0.000403	-0.00118	-0.00106	-0.000870	8.24e-05	7.76e-05	6.50e-05
	(0.00272)	(0.00271)	(0.00266)	(0.000808)	(0.000806)	(0.000797)	(0.00713)	(0.00705)	(0.00703)	(0.00555)	(0.00563)	(0.00562)	(0.000571)	(0.000569)	(0.000573)	(0.000560)	(0.000561)	(0.000572)	(7.81e-05)	(7.71e-05)	(7.78e-05)	(0.00461)	(0.00451)	(0.00449)	(0.00177)	(0.00173)	(0.00172)	(0.0133)	(0.0130)	(0.0128)	(0.00894)	(0.00900)	(0.00868)	(0.00102)	(0.00102)	(0.00102)	(0.000998)	(0.00101)	(0.00100)	(0.000161)	(0.000160)	(0.000165)	(0.00745)	(0.00735)	(0.00759)	(0.00254)	(0.00258)	(0.00253)	(0.0154)	(0.0246)	(0.0247)	(0.00829)	(0.0137)	(0.0140)	(0.00200)	(0.00198)	(0.00195)	(0.00154)	(0.00154)	(0.00158)	(0.000339)	(0.000342)	(0.000340)
agefirstbirth	0.211	0.154	0.0243	0.0274	0.0147	-0.0142	1.400***	1.234***	0.832**	-0.391	-0.438	-0.612	-0.0627*	-0.0651**	-0.0639**	-0.0897***	-0.0875***	-0.0806***	0.00500	0.00489	0.00365	0.146	0.130	-0.0267	-0.00398	-0.0154	-0.0552	1.345**	1.232**	0.592	0.902**	0.826*	0.427	-0.0762*	-0.0741	-0.0664	-0.0901**	-0.0859*	-0.0691*	0.00289	0.00313	-0.000243	0.155	0.154	-0.118	0.105**	0.0909*	0.0428	0.135	-0.0146	-0.403	-0.0227	-0.103	-0.359	0.0310	0.0251	0.0173	-0.0234	-0.0161	-0.00118	-0.00936**	-0.0109**	-0.0119**
	(0.133)	(0.138)	(0.139)	(0.0541)	(0.0545)	(0.0496)	(0.426)	(0.423)	(0.395)	(0.614)	(0.601)	(0.566)	(0.0332)	(0.0330)	(0.0316)	(0.0313)	(0.0295)	(0.0282)	(0.00614)	(0.00598)	(0.00580)	(0.167)	(0.170)	(0.138)	(0.0535)	(0.0518)	(0.0424)	(0.675)	(0.620)	(0.479)	(0.402)	(0.490)	(0.419)	(0.0434)	(0.0470)	(0.0413)	(0.0447)	(0.0482)	(0.0402)	(0.00930)	(0.00959)	(0.00752)	(0.210)	(0.216)	(0.191)	(0.0497)	(0.0490)	(0.0471)	(0.582)	(0.537)	(0.514)	(0.510)	(0.519)	(0.460)	(0.0362)	(0.0356)	(0.0354)	(0.0435)	(0.0411)	(0.0379)	(0.00459)	(0.00476)	(0.00486)
miss_motherage	-10.75	-22.76	-3.657	-11.63	-14.14	-8.867	-102.2	-123.9	-63.01	-29.73	-50.10	-16.01	-0.348	-0.567	1.323	0.993	0.862	1.457	-2.504	-2.706	-2.127	-91.01	-114.1	-92.79	-36.46	-40.83	-32.07	-618.9**	-715.7**	-621.7**	170.7	125.4	198.7	5.149	4.476	3.276	21.59	22.93	19.48	-0.795	-0.953	-0.786													-21.62	-23.82	-20.64	-33.12	-30.79	-27.84	-1.536	-1.791	-2.537
	(63.60)	(62.81)	(60.50)	(19.17)	(19.03)	(18.70)	(165.8)	(164.1)	(167.2)	(121.0)	(123.1)	(124.6)	(12.62)	(12.53)	(12.62)	(12.82)	(12.96)	(13.33)	(1.701)	(1.687)	(1.658)	(104.0)	(101.6)	(100.7)	(41.46)	(40.65)	(40.54)	(300.7)	(293.2)	(294.6)	(200.8)	(202.3)	(196.7)	(22.60)	(22.75)	(22.64)	(22.34)	(22.58)	(22.42)	(3.736)	(3.690)	(3.793)													(41.42)	(41.16)	(40.65)	(34.01)	(33.98)	(34.13)	(7.766)	(7.768)	(7.671)
miss_agefirstbirth	5.432	3.620	-0.0545	0.128	-0.249	-1.070	41.09***	36.03**	23.78*	-18.22	-19.50	-24.32	-1.936*	-2.006*	-1.979*	-3.017***	-2.956***	-2.706***	0.203	0.198	0.164	1.851	1.730	-2.261	-0.958	-1.212	-2.186*	33.72*	32.05*	14.49	22.96*	21.60	10.19	-1.800	-1.764	-1.505	-2.203*	-2.137	-1.616	0.165	0.174	0.0851	3.712	4.693	-1.400	2.031	1.849	0.844	-3.560	-4.537	-14.85	-1.998	-3.358	-8.773	1.484	1.340	1.337	0.385	0.486	0.833	-0.163	-0.189	-0.217*
	(4.549)	(4.696)	(4.731)	(1.888)	(1.906)	(1.723)	(14.76)	(14.69)	(13.60)	(21.55)	(21.11)	(19.80)	(1.142)	(1.132)	(1.076)	(1.079)	(1.011)	(0.958)	(0.213)	(0.207)	(0.200)	(4.988)	(5.044)	(4.113)	(1.594)	(1.552)	(1.271)	(20.34)	(18.76)	(14.49)	(11.98)	(14.64)	(12.54)	(1.293)	(1.407)	(1.239)	(1.331)	(1.440)	(1.205)	(0.279)	(0.289)	(0.227)	(5.572)	(5.607)	(5.088)	(1.299)	(1.270)	(1.217)	(16.04)	(14.44)	(14.04)	(13.27)	(13.34)	(11.95)	(0.999)	(0.984)	(0.974)	(1.209)	(1.133)	(1.066)	(0.116)	(0.119)	(0.120)
height		2.054	0.150		1.213	0.901		10.28	2.122		1.420	0.298		0.701	0.733		0.922	1.239*		-0.0211	-0.0488		1.798	0.737		2.339	2.216		9.100	3.176		12.20	8.418		0.695	0.858		0.780	1.117		-0.0787	-0.113		-10.42*	-11.23**		0.604	0.408		-11.28	-13.99		13.11	9.637		0.729	0.613		-0.375	-0.292		0.00278	-0.00823
		(3.209)	(3.209)		(1.020)	(0.996)		(8.797)	(8.370)		(6.537)	(6.954)		(0.760)	(0.768)		(0.735)	(0.745)		(0.102)	(0.102)		(4.284)	(4.517)		(1.452)	(1.465)		(11.56)	(11.98)		(7.492)	(8.363)		(1.044)	(1.147)		(0.974)	(1.061)		(0.149)	(0.166)		(5.760)	(5.723)		(1.732)	(1.640)		(18.87)	(18.57)		(11.52)	(10.36)		(1.396)	(1.326)		(1.200)	(1.164)		(0.200)	(0.208)
daily_cig_before_preg		-0.0720**	-0.0116		-0.0223**	-0.00885		-0.315***	-0.0862		-0.140**	-0.0685		0.00265	0.00218		0.0152**	0.00889		0.000147	0.00109		-0.102**	-0.0651		-0.0230*	-0.0168		-0.477***	-0.289***		-0.273***	-0.138*		0.0103	0.00833		0.0164*	0.00987		-0.000807	0.000253		-0.150**	-0.109*		-0.0376**	-0.0235		-0.412**	-0.258		-0.185**	-0.108		-0.00348	-0.00343		0.0145	0.0108		-0.00190	-0.00170
		(0.0326)	(0.0323)		(0.00992)	(0.00998)		(0.0950)	(0.0945)		(0.0691)	(0.0668)		(0.00765)	(0.00794)		(0.00762)	(0.00780)		(0.00113)	(0.00115)		(0.0425)	(0.0410)		(0.0138)	(0.0132)		(0.122)	(0.107)		(0.0828)	(0.0752)		(0.0101)	(0.00953)		(0.00955)	(0.00894)		(0.00161)	(0.00130)		(0.0605)	(0.0627)		(0.0161)	(0.0156)		(0.173)	(0.173)		(0.0934)	(0.0954)		(0.0128)	(0.0125)		(0.0103)	(0.0108)		(0.00177)	(0.00190)
weekly_alcohol_b_preg		-0.0708**	-0.0708**		-0.0160	-0.0129		-0.0966	-0.0796		-0.136*	-0.129*		-0.00293	-0.00345		-0.00402	-0.00524		-0.00132	-0.00128		-0.00142	-0.00322		-0.00225	-0.00314		-0.135	-0.149		-0.0547	-0.0530		0.00385	0.00430		0.000945	0.00213		-0.000776	-0.000862		0.0180	0.0367		-0.0223	-0.0264*		0.0988	0.0714		-0.0999	-0.125		-0.00403	-0.00551		-0.00684	-0.00639		0.00252	0.00233
		(0.0317)	(0.0326)		(0.0102)	(0.00996)		(0.0924)	(0.0916)		(0.0753)	(0.0740)		(0.00753)	(0.00758)		(0.00834)	(0.00856)		(0.00111)	(0.00109)		(0.0435)	(0.0436)		(0.0140)	(0.0143)		(0.140)	(0.144)		(0.0790)	(0.0750)		(0.0108)	(0.0107)		(0.0105)	(0.0107)		(0.00152)	(0.00151)		(0.0454)	(0.0465)		(0.0143)	(0.0146)		(0.162)	(0.182)		(0.0899)	(0.0925)		(0.0115)	(0.0111)		(0.0116)	(0.0118)		(0.00191)	(0.00188)
complications_during_preg		0.0425	-0.00359		-0.0965	-0.111		-0.303	-0.700		-0.420	-0.456		-0.188*	-0.181*		0.0589	0.0778		0.0101	0.0112		0.102	-0.0671		0.0453	0.0639		-2.822*	-3.026*		0.365	-0.103		0.0520	0.0830		0.133	0.151		-0.00776	-0.00698		0.340	-0.0928		0.123	0.0800		-2.905	-2.899		1.210	0.742		0.238	0.178		0.167	0.155		-0.0265	-0.0196
		(0.486)	(0.469)		(0.143)	(0.140)		(1.371)	(1.341)		(0.973)	(0.965)		(0.110)	(0.110)		(0.107)	(0.107)		(0.0152)	(0.0152)		(0.595)	(0.574)		(0.195)	(0.196)		(1.681)	(1.710)		(1.032)	(1.031)		(0.132)	(0.135)		(0.123)	(0.125)		(0.0200)	(0.0206)		(0.925)	(0.884)		(0.254)	(0.254)		(2.873)	(2.860)		(1.644)	(1.564)		(0.199)	(0.198)		(0.174)	(0.173)		(0.0318)	(0.0323)
miss_height		-2.595	-4.816		0.732	0.609		-8.613	-17.21		2.283	1.671		1.064	1.107		2.090	2.548*		-0.131	-0.191		0.0384	-1.068		3.964	3.851		5.015	-2.976		18.57	13.77		0.679	0.976		1.198	1.779		-0.173	-0.227		-20.14**	-21.04**		0.532	0.185		-24.75	-29.39		15.89	11.24		1.152	1.057		-0.136	0.00785		0.000758	-0.0173
		(6.030)	(6.069)		(1.844)	(1.838)		(16.11)	(15.74)		(13.93)	(15.24)		(1.353)	(1.375)		(1.312)	(1.342)		(0.178)	(0.185)		(7.831)	(8.189)		(2.479)	(2.493)		(20.45)	(20.80)		(13.60)	(15.04)		(1.839)	(2.009)		(1.765)	(1.904)		(0.275)	(0.300)		(9.875)	(9.725)		(2.895)	(2.741)		(32.29)	(31.51)		(19.95)	(18.04)		(2.333)	(2.223)		(2.064)	(1.992)		(0.344)	(0.352)
miss_daily_cig_before_preg		-4.933**	-6.738***		-0.901	-1.246		19.70***	12.65***		-12.23**	-13.80***		-2.921***	-2.976***		-3.098***	-2.865***		-0.170**	-0.194***		-0.797	0.322		-0.696	-0.235		-3.826	0.298		-16.87**	-15.13*		1.150	1.097		0.376	0.317		0.0875	0.0898		1.345	2.204		-2.191	-1.889		6.047	7.305		-23.76***	-23.91***		0.630	0.638		0.554	0.363		0.199***	0.215**
		(2.015)	(1.922)		(1.015)	(0.852)		(5.377)	(4.908)		(4.795)	(4.052)		(0.395)	(0.386)		(0.400)	(0.401)		(0.0758)	(0.0735)		(3.903)	(4.205)		(1.261)	(1.328)		(6.132)	(8.212)		(8.330)	(8.079)		(0.804)	(0.772)		(0.728)	(0.589)		(0.0617)	(0.0656)		(4.115)	(4.375)		(1.502)	(1.730)		(9.426)	(10.51)		(8.807)	(7.960)		(0.833)	(0.932)		(0.950)	(0.998)		(0.0735)	(0.0897)
miss_weekly_alcohol_b_preg		-2.641	1.783		-0.569	-0.163		-35.59***	-23.69**		1.729	6.628		4.588***	4.364***		4.409***	3.764***		0.222**	0.321***																																										
		(3.014)	(3.535)		(1.546)	(1.626)		(10.73)	(10.24)		(11.63)	(12.80)		(0.823)	(0.911)		(1.065)	(0.991)		(0.0986)	(0.0989)																																										
_mother_edu1			-5.791***			-2.000***			-17.23***			-10.65***			0.251			-0.0892			-0.0472			-5.710***			-0.940			-12.82**			-8.785**			0.388			0.196			-0.0669			-6.256*			-1.617			-3.240			-16.07***			-0.579			0.781			0.0995
			(1.303)			(0.397)			(3.439)			(2.531)			(0.315)			(0.282)			(0.0535)			(1.790)			(0.572)			(5.448)			(3.792)			(0.471)			(0.422)			(0.0772)			(3.567)			(1.059)			(10.48)			(5.828)			(0.679)			(0.521)			(0.0941)
_mother_edu2			-5.337***			-1.784***			-9.155**			-9.838***			0.191			-0.305			-0.0624			-5.939***			-1.411***			-11.13**			-9.023***			0.289			0.0161			-0.0102			-7.529**			-1.553			1.674			-14.57***			-0.296			0.966*			0.163*
			(1.445)			(0.435)			(3.863)			(3.413)			(0.359)			(0.314)			(0.0566)			(1.525)			(0.478)			(4.460)			(2.844)			(0.406)			(0.350)			(0.0561)			(3.479)			(1.066)			(10.52)			(5.306)			(0.693)			(0.525)			(0.0975)
_mother_edu3			-5.007***			-1.243***			-6.282**			-8.831***			0.0739			-0.482*			-0.0765			-4.330***			-1.005***			-6.587*			-3.069			-0.119			-0.210			-0.0410			-5.375			-1.490			0.438			-13.94***			-0.562			0.736			0.113
			(1.198)			(0.369)			(3.155)			(3.022)			(0.308)			(0.258)			(0.0541)			(1.311)			(0.378)			(3.798)			(2.336)			(0.356)			(0.284)			(0.0491)			(3.397)			(1.016)			(10.16)			(5.065)			(0.651)			(0.461)			(0.0925)
_mother_edu4			-4.423***			-1.048***			-5.014			-7.854**			-0.0385			-0.453			-0.0680			-3.267**			-1.093***			-7.803*			-2.939			0.272			0.0139			0.00209			-3.854			-1.413			2.652			-16.22***			-0.490			0.670			0.129
			(1.308)			(0.404)			(3.510)			(3.550)			(0.336)			(0.278)			(0.0566)			(1.354)			(0.370)			(3.992)			(2.346)			(0.359)			(0.289)			(0.0523)			(3.436)			(0.980)			(9.961)			(5.092)			(0.647)			(0.456)			(0.0934)
_mother_edu5			-2.716***			-0.717**			-2.077			-4.287*			0.129			-0.293			-0.0370			-2.659**			-0.493			-3.962			-1.946			0.000161			0.0541			0.0105			-1.188			-1.187			3.438			-13.39***			-0.443			0.904**			0.118
			(1.028)			(0.312)			(2.666)			(2.265)			(0.279)			(0.226)			(0.0478)			(1.231)			(0.327)			(3.466)			(2.062)			(0.333)			(0.266)			(0.0467)			(3.376)			(0.946)			(9.741)			(4.988)			(0.625)			(0.433)			(0.0935)
_mother_edu7			-7.638***			-0.649			-4.732			-11.28***			-0.777*			-0.803*			0.00802			-5.527**			-0.342			-8.164			-10.24**			0.0309			0.209			0.00608			-3.860			-0.309			7.790			-20.22***			-0.675			0.170			0.243**
			(2.116)			(0.539)			(5.144)			(3.445)			(0.431)			(0.433)			(0.0811)			(2.346)			(0.665)			(6.887)			(4.558)			(0.608)			(0.517)			(0.103)			(3.627)			(1.169)			(12.26)			(6.168)			(0.733)			(0.562)			(0.112)
_inc1			4.260			-0.916			-1.668			5.510			-1.333***			-1.249***			0.147			-3.026			-0.600			3.878			12.36			-1.797**			-1.866***			0.181			-0.109			1.422			25.72			-5.348			-2.298**			0.128			-0.119
			(3.746)			(1.087)			(6.895)			(6.668)			(0.407)			(0.302)			(0.138)			(3.060)			(1.247)			(10.18)			(7.851)			(0.746)			(0.434)			(0.182)			(3.684)			(1.005)			(18.37)			(8.214)			(0.962)			(0.826)			(0.142)
_inc2			-3.456***			-0.363			-13.58***			-2.013			0.0588			0.672***			-0.0544			-1.770			-0.0525			-10.78**			-6.600*			0.0299			0.725*			-0.0508			-0.591			-0.995*			-3.298			-6.126			-0.261			0.387			0.00709
			(1.034)			(0.372)			(2.939)			(3.488)			(0.241)			(0.246)			(0.0367)			(1.487)			(0.458)			(4.799)			(3.921)			(0.420)			(0.397)			(0.0696)			(1.866)			(0.528)			(5.953)			(4.302)			(0.427)			(0.372)			(0.0662)
_inc3			-1.940**			-0.281			-10.13***			-2.070			-0.0624			0.429**			-0.0536			-1.621			-0.259			-7.381**			-5.042**			0.137			0.550**			-0.0667			-0.543			-0.405			-4.580			-3.377			0.246			0.418			-0.0285
