	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																															
fert	-2.361	-2.331	-1.435	-0.551	-0.517	-0.377	8.097	8.626	11.32	-5.745	-4.810	-4.106	-0.00912	-0.0618	-0.109	-0.642**	-0.684**	-0.820***	-0.0289	-0.0303	-0.0158	-4.649	-4.522*	-4.569*	-2.075**	-2.043**	-2.146**	4.164	4.271	4.256	0.391	0.485	0.542	-0.386	-0.389	-0.340	-0.311	-0.303	-0.361	0.141	0.144	0.156	-4.002	-4.293	-4.458	-0.131	-0.0876	0.0124	-20.46***	-18.39**	-16.68**	-14.43**	-15.17**	-15.75**	0.823	0.808	0.617	-0.259	-0.299	-0.379	-0.0993*	-0.0949	-0.0923
	(2.309)	(2.245)	(2.498)	(0.517)	(0.515)	(0.542)	(7.109)	(6.886)	(7.070)	(4.136)	(4.149)	(4.286)	(0.599)	(0.590)	(0.594)	(0.295)	(0.301)	(0.290)	(0.0955)	(0.0937)	(0.0968)	(2.908)	(2.719)	(2.765)	(0.861)	(0.852)	(0.955)	(8.392)	(7.763)	(7.382)	(3.260)	(3.039)	(3.161)	(0.327)	(0.329)	(0.332)	(0.292)	(0.261)	(0.292)	(0.165)	(0.168)	(0.179)	(3.368)	(3.401)	(3.424)	(0.802)	(0.823)	(0.897)	(7.429)	(7.371)	(7.376)	(5.749)	(6.259)	(6.664)	(0.566)	(0.613)	(0.625)	(0.338)	(0.350)	(0.375)	(0.0567)	(0.0626)	(0.0657)
motherage	-17.77	-18.53	-13.35	-7.038	-7.017	-5.600	-55.83	-55.79	-41.64	-13.94	-13.80	-8.609	2.163	2.174	1.683	2.349	2.352	2.450	-0.416	-0.417	-0.291	-29.50*	-32.82**	-27.96*	-13.51**	-13.83**	-12.14*	-122.7**	-126.0***	-111.5**	-21.63	-24.88	-15.94	7.306**	7.386**	7.595**	7.343**	7.532**	7.434**	-0.739	-0.751	-0.753	-65.12**	-71.13***	-80.23***	-20.09**	-19.93***	-20.94***	-47.91	-46.30	-61.94	-90.73*	-99.04**	-95.28*	9.782	10.38	11.43*	0.763	1.071	2.928	0.198	0.170	-0.00537
	(14.35)	(14.65)	(14.43)	(4.783)	(4.795)	(4.857)	(41.57)	(41.81)	(43.52)	(28.14)	(27.65)	(27.80)	(3.448)	(3.407)	(3.447)	(2.858)	(2.867)	(2.871)	(0.379)	(0.378)	(0.377)	(17.00)	(16.74)	(16.70)	(6.595)	(6.566)	(6.682)	(48.74)	(47.55)	(45.72)	(29.30)	(28.82)	(28.60)	(3.513)	(3.531)	(3.407)	(3.164)	(3.147)	(3.045)	(0.722)	(0.722)	(0.722)	(25.80)	(27.04)	(26.77)	(7.893)	(7.738)	(7.537)	(75.22)	(74.59)	(72.86)	(47.92)	(48.22)	(52.23)	(6.375)	(6.367)	(6.360)	(4.364)	(4.435)	(4.703)	(1.298)	(1.309)	(1.317)
motheragesq	0.611	0.637	0.451	0.236	0.234	0.183	1.845	1.832	1.320	0.567	0.545	0.342	-0.0753	-0.0724	-0.0574	-0.0850	-0.0848	-0.0894	0.0165	0.0166	0.0124	1.019*	1.141*	0.962	0.456**	0.468**	0.409*	4.250**	4.345**	3.824**	0.733	0.860	0.547	-0.263**	-0.264**	-0.272**	-0.263**	-0.269**	-0.266**	0.0271	0.0274	0.0273	2.376**	2.601***	2.937***	0.752**	0.747**	0.796***	1.668	1.600	2.180	3.507**	3.846**	3.720*	-0.402*	-0.424*	-0.461*	-0.0143	-0.0260	-0.100	-0.0144	-0.0134	-0.00737
	(0.514)	(0.522)	(0.514)	(0.166)	(0.167)	(0.169)	(1.464)	(1.470)	(1.524)	(0.993)	(0.976)	(0.980)	(0.125)	(0.123)	(0.125)	(0.102)	(0.102)	(0.103)	(0.0139)	(0.0138)	(0.0140)	(0.605)	(0.597)	(0.597)	(0.228)	(0.227)	(0.230)	(1.735)	(1.693)	(1.619)	(1.054)	(1.036)	(1.028)	(0.126)	(0.126)	(0.122)	(0.112)	(0.111)	(0.108)	(0.0250)	(0.0250)	(0.0249)	(0.943)	(0.979)	(0.967)	(0.294)	(0.290)	(0.281)	(2.748)	(2.733)	(2.666)	(1.789)	(1.805)	(1.932)	(0.242)	(0.242)	(0.242)	(0.162)	(0.164)	(0.176)	(0.0458)	(0.0463)	(0.0465)
motheragecub	-0.00690	-0.00721	-0.00507	-0.00266	-0.00263	-0.00205	-0.0201	-0.0198	-0.0139	-0.00693	-0.00651	-0.00401	0.000859	0.000792	0.000648	0.000901	0.000897	0.000955	-0.000208	-0.000210	-0.000166	-0.0116	-0.0130*	-0.0109	-0.00516**	-0.00530**	-0.00462*	-0.0475**	-0.0483**	-0.0424**	-0.00834	-0.00982	-0.00629	0.00298**	0.00297**	0.00308**	0.00290**	0.00297**	0.00293**	-0.000322	-0.000325	-0.000325	-0.0277**	-0.0304***	-0.0342***	-0.00899**	-0.00896**	-0.00963***	-0.0154	-0.0145	-0.0214	-0.0428**	-0.0471**	-0.0455**	0.00500*	0.00526*	0.00568*	-0.000107	2.69e-05	0.000969	0.000249	0.000239	0.000170
	(0.00605)	(0.00611)	(0.00601)	(0.00189)	(0.00189)	(0.00191)	(0.0168)	(0.0168)	(0.0174)	(0.0114)	(0.0112)	(0.0113)	(0.00147)	(0.00145)	(0.00147)	(0.00119)	(0.00119)	(0.00120)	(0.000164)	(0.000164)	(0.000167)	(0.00709)	(0.00699)	(0.00701)	(0.00257)	(0.00256)	(0.00259)	(0.0203)	(0.0198)	(0.0188)	(0.0122)	(0.0120)	(0.0119)	(0.00147)	(0.00147)	(0.00142)	(0.00130)	(0.00129)	(0.00125)	(0.000284)	(0.000284)	(0.000283)	(0.0111)	(0.0115)	(0.0114)	(0.00356)	(0.00353)	(0.00340)	(0.0326)	(0.0325)	(0.0317)	(0.0216)	(0.0218)	(0.0232)	(0.00297)	(0.00297)	(0.00300)	(0.00198)	(0.00200)	(0.00216)	(0.000530)	(0.000539)	(0.000539)
agefirstbirth	0.187	0.139	0.0305	0.0494	0.0446	0.0212	1.576***	1.524***	1.297***	0.0630	0.0287	-0.116	-0.0258	-0.0343	-0.0303	-0.0514**	-0.0494**	-0.0527**	0.000395	0.000452	-0.000951	0.136	0.0717	-0.0597	0.0431	0.0330	-0.0113	1.617***	1.464***	0.920***	0.652***	0.509***	0.264	-0.0248	-0.0229	-0.0244	-0.0360**	-0.0270	-0.0284	0.00524	0.00515	0.00234	0.155	0.00313	-0.227	0.104**	0.0879*	0.0652	0.192	0.0137	-0.230	-0.191	-0.349	-0.532	0.0172	0.0218	0.0177	-0.0447*	-0.0406	-0.0267	-0.00210	-0.00241	-0.00378
	(0.137)	(0.137)	(0.156)	(0.0326)	(0.0335)	(0.0354)	(0.423)	(0.427)	(0.449)	(0.248)	(0.258)	(0.272)	(0.0352)	(0.0362)	(0.0374)	(0.0201)	(0.0211)	(0.0210)	(0.00557)	(0.00580)	(0.00618)	(0.143)	(0.138)	(0.126)	(0.0398)	(0.0395)	(0.0382)	(0.383)	(0.359)	(0.320)	(0.185)	(0.193)	(0.178)	(0.0200)	(0.0208)	(0.0210)	(0.0175)	(0.0176)	(0.0180)	(0.00697)	(0.00697)	(0.00628)	(0.202)	(0.217)	(0.202)	(0.0459)	(0.0484)	(0.0500)	(0.472)	(0.488)	(0.478)	(0.318)	(0.347)	(0.342)	(0.0330)	(0.0366)	(0.0375)	(0.0239)	(0.0266)	(0.0283)	(0.00495)	(0.00548)	(0.00549)
height		5.678	5.330		0.539	0.579		3.842	0.856		-3.727	-2.524		2.057*	2.189**		0.101	0.303		0.00241	-0.0137		2.239	1.710		-0.220	-0.389		-12.64	-16.53		6.575	5.773		1.300	1.274		0.0467	0.1000		-0.125	-0.139		-5.105	-4.012		-1.365	-1.362		-16.19	-19.11		11.77	11.47		-1.318	-1.195		-0.680	-0.612		0.0436	0.0246
		(3.996)	(3.799)		(1.330)	(1.267)		(11.49)	(11.78)		(7.474)	(7.508)		(1.079)	(1.073)		(0.940)	(0.953)		(0.124)	(0.125)		(4.716)	(4.778)		(1.514)	(1.513)		(12.88)	(12.58)		(7.394)	(7.314)		(1.069)	(1.059)		(0.910)	(0.910)		(0.161)	(0.163)		(7.122)	(6.858)		(2.081)	(2.004)		(23.08)	(22.20)		(13.80)	(14.42)		(1.583)	(1.577)		(1.333)	(1.328)		(0.271)	(0.271)
daily_cig_before_preg		-0.0903**	-0.0284		-0.0145	-0.00242		-0.172	-2.06e-05		-0.223***	-0.136*		-0.00297	-0.00477		0.00969	0.00770		0.000408	0.00117		-0.151***	-0.113**		-0.0270*	-0.0175		-0.394***	-0.230*		-0.293***	-0.209**		0.00792	0.0126		0.0165*	0.0184*		-0.00117	-0.000472		-0.265***	-0.237***		-0.0373*	-0.0348*		-0.424*	-0.300		-0.215*	-0.151		0.00162	0.00195		0.00687	0.00492		-1.31e-05	-0.000338
		(0.0430)	(0.0435)		(0.0134)	(0.0139)		(0.125)	(0.133)		(0.0767)	(0.0795)		(0.0107)	(0.0111)		(0.00960)	(0.0101)		(0.00154)	(0.00157)		(0.0498)	(0.0497)		(0.0153)	(0.0155)		(0.135)	(0.131)		(0.0819)	(0.0842)		(0.0107)	(0.0106)		(0.00934)	(0.00956)		(0.00146)	(0.00137)		(0.0769)	(0.0785)		(0.0197)	(0.0190)		(0.219)	(0.218)		(0.130)	(0.141)		(0.0151)	(0.0151)		(0.0126)	(0.0127)		(0.00248)	(0.00252)
weekly_alcohol_b_preg		-0.0462	-0.0549		-0.0120	-0.0108		-0.103	-0.0798		-0.0851	-0.0827		0.0121	0.0117		-0.00184	-0.00389		0.000741	0.000781		0.0181	0.0198		0.00458	0.00381		-0.287**	-0.313***		-0.00571	-0.00888		0.00489	0.00491		-0.000373	0.000554		-0.000439	-0.000485		0.0550	0.0870		-0.0114	-0.0184		-0.0499	-0.128		-0.0376	-0.0537		-0.00534	-0.00250		0.00388	0.00696		0.00134	0.000943
		(0.0409)	(0.0417)		(0.0136)	(0.0132)		(0.135)	(0.134)		(0.0745)	(0.0717)		(0.00972)	(0.00981)		(0.0110)	(0.0116)		(0.00172)	(0.00165)		(0.0450)	(0.0455)		(0.0149)	(0.0154)		(0.132)	(0.121)		(0.0643)	(0.0615)		(0.0103)	(0.00985)		(0.0107)	(0.0108)		(0.00180)	(0.00179)		(0.0591)	(0.0588)		(0.0181)	(0.0188)		(0.177)	(0.183)		(0.151)	(0.166)		(0.0155)	(0.0152)		(0.0178)	(0.0177)		(0.00268)	(0.00257)
complications_during_preg		-0.631	-0.613		-0.0240	-0.0242		-1.667	-1.382		-1.211	-1.311		0.00691	-0.00118		0.107	0.0961		-0.00103	0.00140		0.0307	-0.0839		0.169	0.173		-4.361**	-4.606***		0.392	-0.203		0.272*	0.280*		0.204	0.201		0.00246	0.00624		-0.565	-1.070		0.165	0.179		-4.906	-4.611		1.249	1.062		0.326	0.309		0.203	0.160		-0.0402	-0.0305
		(0.611)	(0.578)		(0.180)	(0.177)		(1.837)	(1.833)		(1.144)	(1.109)		(0.147)	(0.147)		(0.130)	(0.133)		(0.0173)	(0.0170)		(0.632)	(0.626)		(0.201)	(0.205)		(1.799)	(1.782)		(1.055)	(1.029)		(0.143)	(0.144)		(0.126)	(0.126)		(0.0224)	(0.0233)		(0.995)	(0.977)		(0.297)	(0.298)		(3.007)	(2.986)		(1.969)	(2.054)		(0.217)	(0.221)		(0.182)	(0.184)		(0.0364)	(0.0358)
_mother_edu1			4.082*			-1.141			-8.299			4.287			1.081**			0.171			-0.157*			-0.312			-1.156*			-1.733			-0.00749			0.863**			0.102			-0.0429			-2.941			-1.783**			1.976			9.688**			0.533			0.946**			-0.103
			(2.231)			(0.698)			(5.978)			(3.089)			(0.506)			(0.463)			(0.0856)			(2.047)			(0.676)			(6.062)			(2.937)			(0.395)			(0.380)			(0.0791)			(2.354)			(0.734)			(8.372)			(4.770)			(0.509)			(0.425)			(0.0898)
_mother_edu2			4.179**			-0.694			-5.160			6.026**			1.048**			-0.0812			-0.170**			-0.246			-0.998			1.818			6.291***			0.516			-0.130			-0.0806			-1.640			-1.836***			-1.214			8.548*			0.607			0.929**			-0.145*
			(2.112)			(0.653)			(5.282)			(2.904)			(0.456)			(0.397)			(0.0848)			(1.953)			(0.623)			(5.752)			(2.387)			(0.353)			(0.337)			(0.0785)			(2.142)			(0.690)			(7.905)			(4.664)			(0.446)			(0.370)			(0.0818)
_mother_edu3			4.972**			-0.196			-2.274			7.344**			0.988**			0.175			-0.160*			1.522			-0.957			0.264			5.754**			0.859**			0.0831			-0.0149			0.962			-1.995***			-0.683			6.618			0.593			0.763*			-0.141
			(2.199)			(0.652)			(5.623)			(3.082)			(0.480)			(0.420)			(0.0861)			(1.998)			(0.630)			(5.910)			(2.543)			(0.365)			(0.357)			(0.0815)			(2.297)			(0.703)			(8.374)			(4.862)			(0.468)			(0.414)			(0.0902)
_mother_edu4			6.829***			0.00470			-1.915			10.55***			0.963**			0.218			-0.127			2.064			-0.328			3.654			7.276***			0.508			0.166			-0.0353			3.283			-1.672**			2.684			8.038*			0.344			0.886**			-0.106
			(2.200)			(0.647)			(5.387)			(3.075)			(0.464)			(0.412)			(0.0838)			(1.945)			(0.617)			(5.697)			(2.358)			(0.357)			(0.342)			(0.0783)			(2.306)			(0.719)			(8.122)			(4.653)			(0.475)			(0.394)			(0.0872)
_mother_edu5			10.13***			0.616			0.839			12.32***			0.855			0.380			-0.105			4.887**			-0.0744			7.039			8.634***			0.769*			0.190			-0.0399			3.683			-0.747			-4.757			19.61***			0.868			-0.161			-0.305**
			(2.448)			(0.700)			(5.986)			(3.453)			(0.544)			(0.465)			(0.0954)			(2.297)			(0.691)			(6.584)			(3.012)			(0.465)			(0.414)			(0.0943)			(4.071)			(1.174)			(11.90)			(6.863)			(0.745)			(0.531)			(0.135)
_inc1			-3.446***			-0.279			-11.11***			-1.078			0.330			0.495*			-0.0632*			-1.825			-1.000**			-19.97***			-6.321***			-0.473			0.107			-0.0387			-3.930*			-1.255**			-12.82**			-8.649**			-0.471			0.132			-0.0588
			(1.214)			(0.407)			(3.934)			(2.481)			(0.303)			(0.289)			(0.0335)			(1.372)			(0.419)			(3.691)			(2.109)			(0.293)			(0.254)			(0.0519)			(2.168)			(0.589)			(5.933)			(3.635)			(0.440)			(0.405)			(0.0864)
_inc2			-2.277*			-0.129			-8.831**			-0.921			0.131			0.558**			-0.0218			-0.368			-0.535			-13.09***			-4.628**			-0.0185			0.327			-0.0704			-3.706*			-0.196			-10.31*			-5.197			-0.253			0.148			-0.0587
			(1.244)			(0.369)			(3.864)			(2.753)			(0.286)			(0.254)			(0.0378)			(1.183)			(0.376)			(3.253)			(2.105)			(0.256)			(0.218)			(0.0473)			(2.075)			(0.562)			(5.912)			(3.531)			(0.439)			(0.393)			(0.0836)
_inc3			0.00395			-0.156			-4.296			1.751			0.165			0.375*			-0.0214			-0.302			-0.659**			-6.804**			-1.684			0.0421			0.383*			-0.0537			-4.832**			0.0584			-0.933			-2.260			-0.379			0.0354			-0.0819
			(0.938)			(0.295)			(2.878)			(1.923)			(0.243)			(0.221)			(0.0300)			(0.964)			(0.284)			(2.789)			(1.727)			(0.234)			(0.203)			(0.0369)			(2.046)			(0.609)			(6.127)			(3.581)			(0.425)			(0.394)			(0.0856)
_inc4			-0.461			0.104			2.408			2.716			0.190			0.170			-0.00294			-0.179			-0.796***			-5.634**			-1.365			0.165			0.0399			0.00355			-4.422*			0.148			-3.459			-3.733			-0.488			-0.428			-0.0317
			(0.815)			(0.254)			(2.504)			(1.672)			(0.229)			(0.197)			(0.0305)			(0.998)			(0.279)			(2.537)			(1.679)			(0.232)			(0.184)			(0.0383)			(2.404)			(0.637)			(6.363)			(4.118)			(0.482)			(0.398)			(0.0915)
Constant	228.4*	228.4*	180.1	70.51*	69.77*	57.91	649.7	646.8	509.8	228.5	233.8	174.3	-14.01	-17.34	-13.94	-10.53	-10.51	-11.19	3.600	3.589	2.644	323.5**	349.4**	314.0**	140.7**	143.9**	132.7**	1,121**	1,181***	1,097***	352.4	366.5	292.7	-54.83*	-57.81*	-59.78**	-56.12**	-58.12**	-57.05**	5.143	5.450	5.592	644.4***	703.2***	785.0***	167.3**	168.6***	177.8***	479.9	486.2	644.4	940.0**	995.3**	972.6**	-74.45	-77.05	-87.67	8.430	7.213	-10.77	-1.292	-1.165	0.806
	(126.3)	(128.3)	(127.5)	(41.71)	(41.96)	(42.41)	(463.5)	(466.1)	(482.1)	(315.3)	(310.6)	(311.4)	(29.90)	(29.58)	(29.81)	(24.61)	(24.77)	(24.74)	(3.352)	(3.326)	(3.270)	(154.7)	(150.7)	(150.2)	(59.15)	(58.89)	(60.15)	(439.1)	(425.3)	(408.9)	(275.6)	(270.6)	(267.5)	(30.64)	(30.82)	(29.71)	(27.77)	(27.52)	(26.67)	(6.780)	(6.723)	(6.770)	(218.6)	(230.6)	(229.5)	(66.12)	(64.60)	(63.41)	(640.0)	(629.9)	(616.8)	(407.3)	(412.0)	(449.8)	(62.16)	(62.23)	(62.35)	(43.63)	(44.05)	(46.65)	(13.18)	(13.10)	(13.16)
																																																															
Observations	1,142	1,142	1,142	1,081	1,081	1,081	1,064	1,064	1,064	1,074	1,074	1,074	1,090	1,090	1,090	1,090	1,090	1,090	1,090	1,090	1,090	1,145	1,145	1,145	1,079	1,079	1,079	1,066	1,066	1,066	1,076	1,076	1,076	1,088	1,088	1,088	1,088	1,088	1,088	1,088	1,088	1,088	490	490	490	440	440	440	432	432	432	437	437	437	444	444	444	444	444	444	444	444	444
R-squared	0.111	0.120	0.190	0.079	0.085	0.123	0.125	0.122	0.110	0.038	0.070	0.112	0.060	0.066	0.072	0.037	0.033	0.017	0.053	0.052	0.077	0.073	0.090	0.110				0.176	0.198	0.241	0.140	0.156	0.190	0.080	0.086	0.105	0.093	0.100	0.107				0.165	0.192	0.239	0.166	0.179	0.228	0.098	0.148	0.200				0.098	0.109	0.146	0.151	0.156	0.177	0.151	0.157	0.173
Robust standard errors in parentheses																																																															
*** p<0.01, ** p<0.05, * p<0.1																																																															
