	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																															
fert	-2.026	-2.263	-2.545	-0.328	-0.350	-0.448	3.110	2.619	1.398	-10.13*	-10.21*	-11.29*	-0.168	-0.176	-0.213	-0.396	-0.417	-0.400	0.0877	0.0874	0.0988	-2.662	-2.721	-1.776	-1.705***	-1.739***	-1.572**	-6.927	-6.772	-4.156	3.296	3.192	4.381	-0.388	-0.378	-0.419	-0.272	-0.276	-0.312	0.00178	0.00721	0.0182	-2.306	-2.804	-2.322	-0.300	-0.445	-0.513	-19.89**	-22.07**	-21.03*	-8.401	-10.63	-10.02	0.436	0.396	0.453	-0.779**	-0.893**	-0.934***	-0.0702	-0.0682	-0.0493
	(1.834)	(1.835)	(1.925)	(0.649)	(0.644)	(0.653)	(7.290)	(7.128)	(7.391)	(6.005)	(6.019)	(6.165)	(0.414)	(0.418)	(0.424)	(0.399)	(0.392)	(0.401)	(0.0792)	(0.0775)	(0.0800)	(2.144)	(2.122)	(2.083)	(0.601)	(0.609)	(0.619)	(6.453)	(6.372)	(6.460)	(3.471)	(3.679)	(4.105)	(0.494)	(0.494)	(0.521)	(0.444)	(0.450)	(0.467)	(0.0912)	(0.0932)	(0.0956)	(3.282)	(3.406)	(3.297)	(0.884)	(1.053)	(1.044)	(9.602)	(11.24)	(10.84)	(6.804)	(7.505)	(7.577)	(0.669)	(0.714)	(0.728)	(0.334)	(0.360)	(0.361)	(0.0946)	(0.0979)	(0.0966)
motherage	-13.27**	-14.03**	-13.15**	-4.575***	-4.688***	-4.531***	-18.67	-20.92	-17.97	-22.56**	-23.43**	-22.36**	0.731	0.661	0.732	0.645	0.607	0.578	-0.193	-0.202	-0.159	-21.12*	-21.80*	-20.11*	-4.989	-5.166	-4.024	-48.81	-51.29	-40.96	4.951	3.030	5.458	-3.262	-3.209	-3.365	0.888	0.885	0.758	-0.248	-0.233	-0.280	-21.23	-23.73*	-27.18*	1.171	0.173	0.00790	-19.58	-35.07	-40.70	21.83	12.23	11.11	-1.286	-1.190	-1.114	-2.629	-2.704	-2.951	-0.394	-0.427	-0.487
	(6.566)	(6.310)	(6.254)	(1.592)	(1.585)	(1.561)	(18.71)	(18.41)	(18.47)	(9.905)	(9.891)	(10.02)	(1.150)	(1.145)	(1.141)	(1.021)	(1.020)	(1.018)	(0.182)	(0.179)	(0.176)	(12.24)	(11.83)	(11.68)	(3.663)	(3.648)	(3.530)	(34.15)	(33.52)	(33.68)	(17.89)	(17.87)	(17.22)	(2.188)	(2.192)	(2.170)	(1.790)	(1.801)	(1.795)	(0.329)	(0.327)	(0.323)	(14.19)	(14.33)	(13.88)	(5.930)	(5.897)	(5.664)	(54.66)	(55.79)	(54.43)	(32.78)	(33.43)	(32.65)	(3.360)	(3.418)	(3.480)	(2.806)	(2.851)	(2.767)	(0.571)	(0.577)	(0.588)
motheragesq	0.431*	0.453**	0.418**	0.164***	0.168***	0.161***	0.703	0.782	0.657	0.778**	0.803**	0.752**	-0.0273	-0.0252	-0.0286	-0.0190	-0.0178	-0.0171	0.00525	0.00546	0.00394	0.699	0.719	0.651	0.195	0.200	0.158	1.789	1.868	1.470	-0.168	-0.101	-0.195	0.109	0.107	0.112	-0.0423	-0.0419	-0.0377	0.00693	0.00631	0.00796	0.769	0.862	0.993*	-0.0102	0.0318	0.0340	0.664	1.291	1.477	-0.611	-0.193	-0.142	0.0327	0.0294	0.0272	0.104	0.107	0.114	0.0117	0.0129	0.0144
	(0.222)	(0.214)	(0.212)	(0.0549)	(0.0547)	(0.0539)	(0.650)	(0.641)	(0.639)	(0.347)	(0.347)	(0.350)	(0.0410)	(0.0409)	(0.0407)	(0.0363)	(0.0362)	(0.0361)	(0.00635)	(0.00625)	(0.00615)	(0.452)	(0.437)	(0.433)	(0.133)	(0.132)	(0.128)	(1.263)	(1.240)	(1.247)	(0.667)	(0.665)	(0.642)	(0.0823)	(0.0823)	(0.0814)	(0.0659)	(0.0662)	(0.0661)	(0.0122)	(0.0121)	(0.0119)	(0.546)	(0.552)	(0.534)	(0.225)	(0.225)	(0.215)	(2.091)	(2.143)	(2.076)	(1.249)	(1.283)	(1.252)	(0.130)	(0.132)	(0.135)	(0.107)	(0.108)	(0.106)	(0.0208)	(0.0210)	(0.0214)
motheragecub	-0.00453*	-0.00475**	-0.00434*	-0.00184***	-0.00188***	-0.00180***	-0.00819	-0.00906	-0.00753	-0.00853**	-0.00876**	-0.00814**	0.000292	0.000273	0.000321	0.000130	0.000117	0.000111	-4.52e-05	-4.68e-05	-2.91e-05	-0.00778	-0.00794	-0.00704	-0.00250	-0.00253	-0.00202	-0.0216	-0.0223	-0.0173	0.00171	0.000992	0.00217	-0.00119	-0.00117	-0.00124	0.000557	0.000548	0.000501	-6.77e-05	-5.99e-05	-7.87e-05	-0.00873	-0.00979	-0.0113*	-0.000122	-0.000664	-0.000634	-0.00605	-0.0139	-0.0156	0.00560	-0.000124	-0.000840	-0.000312	-0.000269	-0.000254	-0.00137	-0.00140	-0.00148	-0.000122	-0.000134	-0.000148
	(0.00240)	(0.00233)	(0.00230)	(0.000602)	(0.000600)	(0.000592)	(0.00724)	(0.00715)	(0.00712)	(0.00386)	(0.00385)	(0.00389)	(0.000461)	(0.000458)	(0.000457)	(0.000407)	(0.000405)	(0.000404)	(6.97e-05)	(6.86e-05)	(6.77e-05)	(0.00544)	(0.00527)	(0.00524)	(0.00158)	(0.00157)	(0.00153)	(0.0152)	(0.0150)	(0.0151)	(0.00806)	(0.00803)	(0.00777)	(0.00101)	(0.00101)	(0.000997)	(0.000793)	(0.000794)	(0.000795)	(0.000147)	(0.000146)	(0.000144)	(0.00678)	(0.00686)	(0.00664)	(0.00277)	(0.00278)	(0.00264)	(0.0259)	(0.0266)	(0.0256)	(0.0154)	(0.0159)	(0.0155)	(0.00162)	(0.00165)	(0.00169)	(0.00133)	(0.00135)	(0.00132)	(0.000247)	(0.000250)	(0.000255)
agefirstbirth	-0.0945	-0.0966	-0.107	0.0158	0.0131	0.0195	0.123	0.0813	0.0845	0.252	0.229	0.268	0.0150	0.0157	0.0130	0.00439	0.00494	0.00572	-0.00402	-0.00364	-0.00492	0.302***	0.263***	0.0688	0.0739***	0.0659***	0.0276	1.326***	1.163***	0.603**	0.451***	0.368***	0.109	0.0108	0.0106	0.0139	0.00586	0.00834	0.0138	0.000184	0.000927	-0.00113	0.275**	0.227**	-0.00126	0.0782**	0.0602	0.0107	0.902**	0.623	0.0612	0.297	0.159	-0.0294	-0.0151	-0.0130	-0.00188	-0.0670***	-0.0645***	-0.0563***	-0.00139	-0.00218	-0.00402
	(0.127)	(0.124)	(0.122)	(0.0331)	(0.0321)	(0.0309)	(0.356)	(0.353)	(0.342)	(0.236)	(0.232)	(0.240)	(0.0267)	(0.0265)	(0.0265)	(0.0218)	(0.0215)	(0.0219)	(0.00413)	(0.00412)	(0.00413)	(0.0769)	(0.0783)	(0.0758)	(0.0240)	(0.0243)	(0.0232)	(0.244)	(0.247)	(0.247)	(0.123)	(0.124)	(0.120)	(0.0168)	(0.0169)	(0.0167)	(0.0148)	(0.0150)	(0.0148)	(0.00259)	(0.00261)	(0.00246)	(0.111)	(0.116)	(0.107)	(0.0327)	(0.0369)	(0.0373)	(0.402)	(0.451)	(0.438)	(0.232)	(0.262)	(0.248)	(0.0235)	(0.0249)	(0.0245)	(0.0172)	(0.0182)	(0.0181)	(0.00316)	(0.00334)	(0.00332)
miss_motherage	-136.1**	-143.2**	-136.3**	-41.67***	-42.69***	-40.50***	-164.3	-182.5	-146.6	-201.0**	-210.3**	-198.0**	3.585	2.752	3.531	6.713	6.375	5.966	-2.125	-2.218	-1.836	-212.5**	-221.6**	-205.6**	-44.51	-46.42	-35.96	-449.5	-476.1	-381.9	36.94	18.19	43.66	-32.78*	-32.35*	-33.85*	5.315	5.324	4.049	-2.838	-2.734	-3.143																					
	(64.15)	(61.39)	(60.72)	(15.06)	(14.99)	(14.76)	(177.0)	(174.1)	(175.5)	(92.09)	(92.05)	(94.05)	(10.44)	(10.41)	(10.41)	(9.397)	(9.401)	(9.413)	(1.686)	(1.650)	(1.631)	(107.9)	(104.3)	(102.7)	(32.86)	(32.78)	(31.64)	(301.4)	(295.7)	(297.2)	(155.9)	(156.0)	(150.3)	(18.98)	(19.04)	(18.87)	(15.84)	(15.97)	(15.89)	(2.893)	(2.870)	(2.848)																					
height		6.294**	4.733*		1.076	0.570		19.32**	13.74*		10.38**	7.590		-0.116	-0.0846		0.311	0.403		-0.00772	-0.0277		7.300**	4.247		1.016	0.446		21.96**	13.33		10.52*	6.391		0.820	0.834		0.425	0.503		-0.0972	-0.129		2.511	-0.901		1.169	0.761		28.28*	23.33		16.78*	13.26		0.352	0.422		0.777	0.912		-0.0197	-0.0618
		(2.906)	(2.838)		(0.778)	(0.762)		(8.079)	(7.866)		(5.061)	(5.075)		(0.596)	(0.595)		(0.516)	(0.517)		(0.0839)	(0.0842)		(3.522)	(3.441)		(1.064)	(1.067)		(10.13)	(10.18)		(5.487)	(5.588)		(0.711)	(0.735)		(0.599)	(0.603)		(0.104)	(0.107)		(4.182)	(4.124)		(1.509)	(1.513)		(16.42)	(16.00)		(9.013)	(8.919)		(0.978)	(0.984)		(0.871)	(0.878)		(0.169)	(0.169)
daily_cig_before_preg		-0.0235	0.0238		-0.00896	0.00507		-0.0896	0.0839		-0.0656	0.0174		-0.00637	-0.00583		0.00301	1.09e-05		0.000612	0.00123		-0.0592*	0.00258		-0.0117	-0.000545		-0.270***	-0.0690		-0.132**	-0.0317		0.00182	0.00221		0.00580	0.00270		0.000816	0.00166		-0.0761	0.0115		-0.0368***	-0.0182		-0.437***	-0.214		-0.175**	-0.0789		0.00620	0.00361		0.0147*	0.00820		-0.00178	-0.000709
		(0.0281)	(0.0290)		(0.00824)	(0.00836)		(0.0889)	(0.0894)		(0.0528)	(0.0559)		(0.00653)	(0.00677)		(0.00595)	(0.00618)		(0.000967)	(0.000995)		(0.0324)	(0.0333)		(0.0112)	(0.0113)		(0.103)	(0.104)		(0.0572)	(0.0592)		(0.00739)	(0.00755)		(0.00646)	(0.00657)		(0.00117)	(0.00119)		(0.0481)	(0.0512)		(0.0142)	(0.0148)		(0.165)	(0.173)		(0.0839)	(0.0887)		(0.00945)	(0.00998)		(0.00837)	(0.00895)		(0.00127)	(0.00131)
weekly_alcohol_b_preg		-0.0723**	-0.0643**		-0.00354	-0.000510		-0.0267	0.0210		-0.103	-0.0807		-0.00932	-0.00844		-0.000976	-0.00158		-0.00195***	-0.00174**		0.00733	0.0128		0.00565	0.00452		-0.0791	-0.0840		-0.00241	0.00274		-0.00655	-0.00543		0.000579	0.000272		-0.000559	-0.000415		0.0430	0.0500		-0.0176	-0.0175		-0.149	-0.146		0.00496	-0.00529		-0.00789	-0.00681		0.00775	0.00783		0.000278	0.000112
		(0.0306)	(0.0306)		(0.00715)	(0.00742)		(0.0785)	(0.0766)		(0.0632)	(0.0633)		(0.00573)	(0.00574)		(0.00536)	(0.00542)		(0.000687)	(0.000687)		(0.0293)	(0.0279)		(0.00914)	(0.00883)		(0.0899)	(0.0882)		(0.0606)	(0.0573)		(0.00624)	(0.00628)		(0.00595)	(0.00602)		(0.00109)	(0.00107)		(0.0388)	(0.0376)		(0.0140)	(0.0138)		(0.142)	(0.138)		(0.114)	(0.112)		(0.00992)	(0.00964)		(0.00887)	(0.00909)		(0.00154)	(0.00147)
complications_during_preg		-0.449	-0.485		-0.127	-0.146		0.000720	-0.253		-0.857	-1.097		0.0470	0.0333		0.208***	0.209***		0.0274**	0.0293**		-0.210	-0.337		-0.0224	-0.0129		-1.658	-1.789		-0.920	-1.150		0.0786	0.0731		0.190**	0.197**		0.0155	0.0132		0.446	0.0696		0.281	0.209		2.570	1.812		3.034**	2.277*		0.0696	0.0546		0.0113	0.0246		0.0141	0.00715
		(0.426)	(0.424)		(0.111)	(0.109)		(1.219)	(1.208)		(0.739)	(0.744)		(0.0858)	(0.0858)		(0.0752)	(0.0753)		(0.0135)	(0.0136)		(0.473)	(0.459)		(0.149)	(0.147)		(1.431)	(1.420)		(0.798)	(0.801)		(0.0983)	(0.100)		(0.0856)	(0.0870)		(0.0153)	(0.0154)		(0.682)	(0.674)		(0.221)	(0.222)		(2.531)	(2.510)		(1.268)	(1.277)		(0.146)	(0.147)		(0.127)	(0.127)		(0.0218)	(0.0212)
miss_height		5.707	3.635		1.287	0.729		22.82	16.44		13.62	10.63		-0.386	-0.327		0.572	0.716		-0.0770	-0.121		7.519	3.239		1.548	0.778		29.99*	17.62		15.00	9.348		1.169	1.227		0.753	0.924		-0.208	-0.249		1.373	-3.679		1.191	0.416		44.54*	35.37		21.92	17.71		0.469	0.675		1.209	1.405		0.00491	-0.0502
		(5.075)	(5.001)		(1.369)	(1.346)		(14.47)	(14.19)		(9.593)	(9.623)		(1.031)	(1.024)		(0.914)	(0.916)		(0.144)	(0.145)		(6.237)	(6.118)		(1.808)	(1.796)		(17.38)	(17.41)		(9.437)	(9.618)		(1.218)	(1.257)		(1.038)	(1.049)		(0.183)	(0.188)		(7.126)	(6.980)		(2.453)	(2.443)		(26.95)	(26.02)		(14.40)	(14.07)		(1.594)	(1.598)		(1.436)	(1.444)		(0.280)	(0.279)
miss_daily_cig_before_preg		-9.944***	-10.13***		-1.640***	-2.004***		15.87***	10.93**		-12.88***	-14.16***		-2.949***	-3.113***		-2.678***	-2.604***		-0.127**	-0.144**		1.753	1.497		2.193*	1.995		3.815	2.608		-2.859	-3.164		0.0765	-0.00264		0.110	-0.00498		0.136**	0.132**		-39.01***	-33.08***		-0.0156	0.254		10.80	13.43		-19.04**	-18.00**		0.168	0.0684		0.362	0.226		0.101	0.0871
		(1.745)	(1.685)		(0.600)	(0.554)		(4.577)	(4.444)		(3.124)	(2.866)		(0.309)	(0.315)		(0.281)	(0.282)		(0.0540)	(0.0564)		(2.296)	(2.212)		(1.297)	(1.218)		(8.099)	(7.143)		(8.364)	(7.938)		(0.929)	(0.890)		(0.664)	(0.611)		(0.0559)	(0.0573)		(3.573)	(3.786)		(1.340)	(1.437)		(10.43)	(10.53)		(8.119)	(7.555)		(1.180)	(1.254)		(1.314)	(1.250)		(0.102)	(0.114)
miss_weekly_alcohol_b_preg		4.182	5.617*		0.807	1.111		-30.91***	-25.16***		8.138	10.25		3.787***	3.929***		3.124***	2.997***		0.212***	0.272***																							40.68***	35.90***																		
		(2.995)	(2.994)		(1.192)	(1.171)		(10.01)	(9.132)		(7.122)	(7.467)		(0.717)	(0.724)		(0.621)	(0.627)		(0.0701)	(0.0732)																							(6.318)	(6.876)																		
_mother_edu1			-5.498***			-2.036***			-19.91***			-15.07***			0.449*			0.228			0.00455			-5.815***			-1.186***			-10.25**			-10.26***			0.455			0.0965			-0.0347			-6.407***			-1.572**			-23.06**			-8.887**			0.751			0.693**			0.0700
			(1.199)			(0.362)			(3.404)			(2.527)			(0.246)			(0.224)			(0.0391)			(1.148)			(0.403)			(4.143)			(2.234)			(0.277)			(0.229)			(0.0403)			(2.117)			(0.728)			(9.072)			(4.257)			(0.535)			(0.343)			(0.0494)
_mother_edu2			-5.497***			-1.873***			-17.07***			-12.63***			0.585**			0.368*			0.00530			-5.091***			-1.323***			-10.89***			-8.348***			0.418			0.269			0.0287			-7.592***			-1.572**			-25.26***			-8.352*			0.811			0.882**			0.143**
			(1.065)			(0.333)			(3.325)			(2.169)			(0.256)			(0.216)			(0.0410)			(1.122)			(0.405)			(4.050)			(2.222)			(0.284)			(0.232)			(0.0427)			(2.297)			(0.764)			(9.284)			(4.554)			(0.553)			(0.376)			(0.0585)
_mother_edu3			-4.267***			-1.091***			-10.60***			-9.433***			0.380*			0.0403			-0.0267			-3.599***			-0.789**			-6.239*			-4.265**			0.196			0.0173			-0.00440			-4.392**			-0.961			-20.23**			-4.496			0.587			0.438			0.101**
			(0.912)			(0.287)			(2.873)			(2.027)			(0.219)			(0.187)			(0.0359)			(0.930)			(0.312)			(3.436)			(1.839)			(0.240)			(0.188)			(0.0336)			(2.099)			(0.714)			(8.868)			(4.185)			(0.527)			(0.318)			(0.0487)
_mother_edu4			-2.962***			-1.043***			-9.141***			-8.807***			0.350			0.0729			-0.00381			-2.293**			-0.942***			-7.305**			-4.620**			0.501**			0.0584			0.0390			-3.461			-0.911			-15.39*			-6.078			0.817			0.398			0.122**
			(0.928)			(0.289)			(2.850)			(2.085)			(0.223)			(0.190)			(0.0363)			(0.975)			(0.317)			(3.458)			(1.939)			(0.244)			(0.192)			(0.0369)			(2.123)			(0.697)			(8.800)			(4.198)			(0.536)			(0.326)			(0.0501)
_mother_edu5			-2.104***			-0.564**			-4.798**			-4.846***			0.539***			0.0780			0.00862			-1.218			-0.338			-0.284			-2.390			0.342			0.148			0.0307			-0.409			-0.650			-12.03			-2.175			0.556			0.595*			0.144***
			(0.700)			(0.235)			(2.123)			(1.420)			(0.185)			(0.152)			(0.0288)			(0.850)			(0.281)			(3.114)			(1.687)			(0.222)			(0.171)			(0.0312)			(2.034)			(0.674)			(8.415)			(3.970)			(0.513)			(0.308)			(0.0476)
_mother_edu7			-4.919***			-1.034**			-16.29***			-12.53***			0.267			0.107			0.0819			-5.408***			-0.496			-11.00**			-10.57***			0.685*			0.484			-0.00367			-4.029*			-0.512			-20.65**			-7.693			0.507			0.883**			0.215***
			(1.519)			(0.402)			(4.860)			(2.548)			(0.336)			(0.294)			(0.0678)			(1.537)			(0.507)			(4.984)			(2.756)			(0.359)			(0.310)			(0.0565)			(2.396)			(0.779)			(10.14)			(4.801)			(0.576)			(0.397)			(0.0679)
_inc1			3.941			0.121			-3.645			5.688			-0.644			-0.474			0.0792			-0.131			-0.622			-6.701			2.904			-0.505			-0.511			-0.00498			-0.595			1.520			17.28			-10.18			-0.527			0.186			-0.103
			(2.616)			(0.798)			(7.122)			(6.985)			(0.515)			(0.494)			(0.121)			(3.139)			(1.040)			(8.337)			(5.735)			(0.500)			(0.431)			(0.0924)			(2.778)			(1.383)			(11.55)			(9.097)			(0.782)			(0.733)			(0.0673)
_inc2			-1.811**			-0.303			-7.754***			-1.475			-0.156			0.0517			-0.0376			-2.566***			-0.244			-9.613***			-2.966*			-0.0585			0.314*			-0.0307			-2.591**			-0.443			-6.735			-1.153			0.142			0.550**			-0.0784*
			(0.891)			(0.271)			(2.829)			(2.319)			(0.191)			(0.182)			(0.0304)			(0.962)			(0.296)			(2.910)			(1.796)			(0.218)			(0.183)			(0.0343)			(1.290)			(0.436)			(4.472)			(2.505)			(0.295)			(0.219)			(0.0439)
_inc3			-1.344*			0.0308			-6.150**			-0.404			-0.288*			-0.0171			-0.0580**			-2.978***			-0.253			-9.753***			-3.505**			0.0113			0.133			-0.0666**			-1.750			-0.477			-7.720*			-0.159			0.504*			0.489**			-0.0377
			(0.799)			(0.241)			(2.644)			(1.892)			(0.171)			(0.153)			(0.0275)			(0.853)			(0.261)			(2.607)			(1.513)			(0.194)			(0.160)			(0.0292)			(1.217)			(0.405)			(4.294)			(2.382)			(0.272)			(0.207)			(0.0403)
_inc4			-0.474			-0.106			-1.603			0.454			0.0727			-0.110			-0.0145			-2.069***			-0.345*			-4.067*			-1.002			0.147			0.0209			-0.0240			-0.386			0.123			-0.588			0.906			0.264			0.364*			-0.0124
			(0.609)			(0.158)			(1.697)			(1.176)			(0.134)			(0.115)			(0.0206)			(0.685)			(0.205)			(2.126)			(1.187)			(0.156)			(0.125)			(0.0247)			(1.215)			(0.419)			(4.411)			(2.168)			(0.276)			(0.209)			(0.0458)
_inc6			0.930*			0.255*			0.631			-0.503			-0.159			-0.181*			0.0180			0.214			0.576***			4.922**			1.273			-0.135			-0.00215			-0.00562			2.094			0.977**			7.329			3.184			0.106			0.380			-0.0191
			(0.492)			(0.139)			(1.461)			(0.997)			(0.121)			(0.101)			(0.0182)			(0.669)			(0.196)			(2.039)			(1.262)			(0.161)			(0.131)			(0.0260)			(1.429)			(0.453)			(4.727)			(2.660)			(0.322)			(0.255)			(0.0570)
