	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																															
fert	-0.879	-1.032	-0.728	-0.0336	-0.0435	0.0503	3.396	2.890	3.710	-4.105	-4.154	-3.969	-0.0505	-0.0483	-0.0641	-0.285	-0.301	-0.309	0.112	0.115	0.127	-2.584	-2.662	-1.793	-1.433***	-1.421***	-1.283**	-3.290	-3.211	-0.818	0.918	0.695	1.561	-0.0485	-0.0566	-0.0374	-0.0949	-0.0996	-0.141	0.0213	0.0255	0.0342	-5.620	-5.410	-4.594	-1.168	-0.994	-0.915	-24.03	-22.48	-18.54	-16.83*	-18.43**	-17.48*	-0.00775	-0.0693	-0.138	-0.442	-0.560	-0.599	-0.0507	-0.0535	-0.0323
	(1.414)	(1.421)	(1.496)	(0.435)	(0.429)	(0.462)	(6.457)	(6.350)	(6.689)	(2.612)	(2.612)	(2.753)	(0.367)	(0.374)	(0.386)	(0.314)	(0.313)	(0.315)	(0.0812)	(0.0805)	(0.0827)	(1.881)	(1.829)	(1.805)	(0.507)	(0.511)	(0.552)	(5.459)	(5.321)	(5.415)	(2.315)	(2.311)	(2.122)	(0.396)	(0.395)	(0.402)	(0.346)	(0.344)	(0.359)	(0.0856)	(0.0864)	(0.0905)	(4.102)	(4.184)	(3.889)	(1.296)	(1.451)	(1.456)	(15.10)	(16.79)	(15.59)	(8.742)	(9.247)	(9.048)	(0.868)	(0.901)	(0.851)	(0.409)	(0.432)	(0.402)	(0.139)	(0.142)	(0.134)
motherage	-12.30	-12.30	-10.30	-4.683*	-4.699*	-4.155*	-13.71	-14.86	-9.607	-16.60	-16.62	-14.76	-0.493	-0.439	-0.438	-1.819	-1.817	-1.892	0.0677	0.0868	0.149	-8.008	-8.351	-5.642	-6.664	-6.810	-5.345	-62.74*	-65.43*	-55.71	-17.38	-18.85	-15.58	-2.203	-2.168	-2.075	2.461	2.516	2.674	0.0817	0.0809	0.0154	-23.89	-25.01	-29.48*	-4.520	-4.517	-4.836	-23.12	-27.15	-40.74	-18.99	-21.37	-19.47	1.226	1.298	1.787	1.493	1.435	1.432	0.338	0.346	0.288
	(8.207)	(8.222)	(8.109)	(2.448)	(2.447)	(2.408)	(24.65)	(24.47)	(25.19)	(13.57)	(13.58)	(13.43)	(1.825)	(1.828)	(1.828)	(1.599)	(1.595)	(1.603)	(0.246)	(0.247)	(0.246)	(10.80)	(10.82)	(10.76)	(4.276)	(4.273)	(4.160)	(35.78)	(35.57)	(35.93)	(18.33)	(18.33)	(17.95)	(2.599)	(2.609)	(2.551)	(2.015)	(2.028)	(2.028)	(0.378)	(0.382)	(0.376)	(18.39)	(18.23)	(17.57)	(7.709)	(7.582)	(7.317)	(64.98)	(63.85)	(59.76)	(47.04)	(48.06)	(47.31)	(4.376)	(4.357)	(4.377)	(3.053)	(3.062)	(2.933)	(0.726)	(0.727)	(0.734)
motheragesq	0.400	0.398	0.323	0.174**	0.174**	0.155*	0.667	0.709	0.511	0.592	0.591	0.518	0.0210	0.0188	0.0184	0.0736	0.0736	0.0760	-0.00339	-0.00415	-0.00650	0.241	0.254	0.143	0.252*	0.257*	0.203	2.331*	2.429*	2.039	0.657	0.711	0.585	0.0717	0.0708	0.0680	-0.0981	-0.0998	-0.105	-0.00542	-0.00539	-0.00314	0.911	0.950	1.124*	0.189	0.188	0.204	0.788	0.961	1.405	0.984	1.114	1.042	-0.0544	-0.0564	-0.0751	-0.0473	-0.0443	-0.0473	-0.0149	-0.0152	-0.0130
	(0.307)	(0.307)	(0.301)	(0.0878)	(0.0878)	(0.0862)	(0.881)	(0.875)	(0.898)	(0.503)	(0.502)	(0.495)	(0.0683)	(0.0684)	(0.0684)	(0.0599)	(0.0596)	(0.0598)	(0.00914)	(0.00917)	(0.00911)	(0.403)	(0.403)	(0.403)	(0.153)	(0.153)	(0.149)	(1.328)	(1.319)	(1.334)	(0.687)	(0.686)	(0.673)	(0.0962)	(0.0964)	(0.0942)	(0.0740)	(0.0744)	(0.0744)	(0.0139)	(0.0141)	(0.0139)	(0.694)	(0.687)	(0.660)	(0.286)	(0.282)	(0.271)	(2.455)	(2.420)	(2.271)	(1.756)	(1.800)	(1.772)	(0.166)	(0.166)	(0.167)	(0.114)	(0.115)	(0.110)	(0.0261)	(0.0263)	(0.0264)
motheragecub	-0.00426	-0.00423	-0.00331	-0.00204**	-0.00204**	-0.00181*	-0.00949	-0.00999	-0.00758	-0.00676	-0.00670	-0.00583	-0.000321	-0.000290	-0.000280	-0.000992	-0.000993	-0.00102	4.57e-05	5.54e-05	8.44e-05	-0.00264	-0.00277	-0.00128	-0.00307*	-0.00313*	-0.00247	-0.0281*	-0.0292*	-0.0240	-0.00811	-0.00870	-0.00706	-0.000802	-0.000793	-0.000769	0.00118	0.00119	0.00126	8.22e-05	8.15e-05	5.65e-05	-0.0105	-0.0110	-0.0130	-0.00231	-0.00229	-0.00249	-0.00685	-0.00896	-0.0133	-0.0138	-0.0156	-0.0147	0.000639	0.000664	0.000879	0.000391	0.000345	0.000393	0.000193	0.000197	0.000169
	(0.00373)	(0.00373)	(0.00366)	(0.00103)	(0.00103)	(0.00101)	(0.0103)	(0.0103)	(0.0105)	(0.00604)	(0.00603)	(0.00595)	(0.000833)	(0.000834)	(0.000835)	(0.000731)	(0.000726)	(0.000728)	(0.000110)	(0.000111)	(0.000110)	(0.00491)	(0.00489)	(0.00492)	(0.00178)	(0.00178)	(0.00174)	(0.0161)	(0.0160)	(0.0162)	(0.00833)	(0.00830)	(0.00815)	(0.00116)	(0.00116)	(0.00114)	(0.000887)	(0.000891)	(0.000892)	(0.000167)	(0.000169)	(0.000166)	(0.00850)	(0.00842)	(0.00807)	(0.00345)	(0.00341)	(0.00327)	(0.0301)	(0.0297)	(0.0280)	(0.0212)	(0.0218)	(0.0214)	(0.00206)	(0.00206)	(0.00208)	(0.00140)	(0.00140)	(0.00136)	(0.000307)	(0.000310)	(0.000312)
agefirstbirth	-0.0999	-0.103	-0.146	0.0623*	0.0598*	0.0474	0.250	0.230	0.0476	0.532**	0.513**	0.456**	0.0268	0.0240	0.0199	0.00818	0.00890	0.0101	-0.00502	-0.00519	-0.00649	0.301***	0.254***	0.0802	0.0960***	0.0917***	0.0571**	1.433***	1.278***	0.753***	0.395***	0.316**	0.143	0.0297	0.0276	0.0243	0.0253	0.0262	0.0271	0.00150	0.00200	0.000158	0.281**	0.256**	0.0409	0.0796**	0.0746*	0.0366	1.075**	0.869*	0.354	0.189	0.0649	-0.0633	-0.00969	-0.0105	-0.000724	-0.0392**	-0.0368*	-0.0314	-0.00209	-0.00214	-0.00338
	(0.171)	(0.169)	(0.155)	(0.0319)	(0.0315)	(0.0301)	(0.428)	(0.423)	(0.417)	(0.227)	(0.224)	(0.229)	(0.0327)	(0.0327)	(0.0326)	(0.0268)	(0.0266)	(0.0268)	(0.00543)	(0.00541)	(0.00548)	(0.0861)	(0.0869)	(0.0869)	(0.0242)	(0.0245)	(0.0239)	(0.256)	(0.259)	(0.267)	(0.136)	(0.134)	(0.132)	(0.0188)	(0.0189)	(0.0192)	(0.0160)	(0.0162)	(0.0166)	(0.00303)	(0.00301)	(0.00297)	(0.127)	(0.128)	(0.122)	(0.0381)	(0.0406)	(0.0413)	(0.472)	(0.503)	(0.477)	(0.259)	(0.279)	(0.263)	(0.0277)	(0.0288)	(0.0277)	(0.0188)	(0.0197)	(0.0198)	(0.00408)	(0.00417)	(0.00413)
height		4.755*	3.268		0.888	0.475		14.39*	9.962		7.327	5.151		0.0734	0.162		0.332	0.423		-0.0308	-0.0501		3.789	1.454		-0.459	-0.855		9.932	4.055		5.371	3.389		0.950	0.842		0.535	0.546		-0.0992	-0.110		-2.206	-5.877		-0.793	-1.227		7.050	0.184		16.77	15.73		0.812	1.025		0.895	0.934		0.0132	-0.0212
		(2.761)	(2.691)		(0.807)	(0.790)		(8.080)	(7.909)		(4.915)	(4.857)		(0.656)	(0.651)		(0.556)	(0.555)		(0.0975)	(0.0972)		(3.314)	(3.269)		(1.109)	(1.103)		(10.34)	(10.49)		(5.713)	(5.671)		(0.746)	(0.743)		(0.608)	(0.601)		(0.113)	(0.114)		(5.146)	(4.999)		(1.712)	(1.682)		(17.19)	(16.41)		(10.95)	(10.71)		(1.107)	(1.101)		(0.926)	(0.918)		(0.209)	(0.210)
daily_cig_before_preg		-0.0187	0.0274		-0.00887	0.00384		-0.0836	0.0748		-0.0570	0.0163		-0.00917	-0.00944		0.00357	0.000485		-0.000116	0.000467		-0.0864**	-0.0351		-0.0129	-0.00331		-0.317***	-0.138		-0.159***	-0.0973		-0.00233	0.000901		0.00248	0.00126		0.000507	0.00126		-0.0589	0.0112		-0.0255	-0.0122		-0.493***	-0.269		-0.167*	-0.143		0.00280	-0.00114		0.0161	0.0103		-0.000353	0.000139
		(0.0302)	(0.0307)		(0.00872)	(0.00883)		(0.0902)	(0.0909)		(0.0523)	(0.0538)		(0.00702)	(0.00720)		(0.00627)	(0.00648)		(0.000950)	(0.000981)		(0.0364)	(0.0373)		(0.0120)	(0.0119)		(0.112)	(0.112)		(0.0605)	(0.0611)		(0.00794)	(0.00815)		(0.00677)	(0.00700)		(0.00123)	(0.00126)		(0.0559)	(0.0565)		(0.0163)	(0.0165)		(0.176)	(0.180)		(0.101)	(0.103)		(0.0112)	(0.0115)		(0.0101)	(0.0104)		(0.00161)	(0.00157)
weekly_alcohol_b_preg		-0.0371	-0.0367		-0.00504	-0.00435		0.0416	0.0608		-0.0603	-0.0533		-0.00547	-0.00505		0.000664	0.000306		-0.00157*	-0.00134*		0.0525	0.0432		0.00491	0.00237		-0.106	-0.132		0.0507	0.0394		-0.00424	-0.00300		1.18e-05	0.000137		-6.65e-05	-4.41e-05		0.0799	0.0884*		-0.0176	-0.0174		-0.155	-0.192		0.0223	0.0144		-0.00767	-0.00565		0.00706	0.00667		-0.000911	-0.000927
		(0.0305)	(0.0310)		(0.00815)	(0.00798)		(0.0875)	(0.0884)		(0.0565)	(0.0562)		(0.00634)	(0.00636)		(0.00557)	(0.00563)		(0.000801)	(0.000805)		(0.0324)	(0.0320)		(0.0101)	(0.00984)		(0.107)	(0.107)		(0.0491)	(0.0483)		(0.00676)	(0.00674)		(0.00612)	(0.00622)		(0.00139)	(0.00137)		(0.0562)	(0.0536)		(0.0183)	(0.0179)		(0.176)	(0.167)		(0.144)	(0.140)		(0.0124)	(0.0118)		(0.00950)	(0.00941)		(0.00187)	(0.00176)
complications_during_preg		-0.105	-0.0663		-0.136	-0.118		0.419	0.523		-0.712	-0.689		0.0544	0.0377		0.195**	0.188**		0.0252*	0.0273*		-0.148	-0.261		-0.0286	0.00199		-2.159	-2.099		-0.876	-0.896		0.121	0.107		0.173*	0.185**		0.0160	0.0147		-0.798	-0.991		0.0517	0.0287		-0.834	-1.414		1.862	1.532		0.0606	0.0321		-0.0490	-0.0649		0.0174	0.0178
		(0.397)	(0.391)		(0.111)	(0.110)		(1.216)	(1.204)		(0.687)	(0.678)		(0.0886)	(0.0885)		(0.0765)	(0.0768)		(0.0140)	(0.0141)		(0.464)	(0.453)		(0.148)	(0.147)		(1.458)	(1.435)		(0.811)	(0.810)		(0.105)	(0.106)		(0.0893)	(0.0900)		(0.0164)	(0.0166)		(0.773)	(0.756)		(0.250)	(0.244)		(2.581)	(2.447)		(1.570)	(1.553)		(0.159)	(0.158)		(0.134)	(0.132)		(0.0248)	(0.0244)
_mother_edu1			-0.495			-0.718*			-0.934			0.416			0.373			0.320			-0.0914			0.974			-0.568			2.604			2.397			-0.266			-0.414			0.0307			-3.318			-1.405**			-3.109			-1.746			0.195			-0.0392			-0.0930
			(1.625)			(0.420)			(5.216)			(2.356)			(0.339)			(0.301)			(0.0710)			(1.527)			(0.491)			(4.361)			(2.468)			(0.316)			(0.287)			(0.0511)			(2.116)			(0.678)			(7.763)			(4.652)			(0.417)			(0.344)			(0.0724)
_mother_edu2			0.895			0.0250			4.383			3.631*			0.236			0.0309			-0.109			2.212			-0.161			5.013			5.133**			-0.317			-0.603**			0.00910			-0.460			-0.692			0.654			-0.343			-0.00409			-0.468			-0.102
			(1.521)			(0.372)			(4.900)			(2.175)			(0.309)			(0.281)			(0.0678)			(1.434)			(0.439)			(4.031)			(2.293)			(0.295)			(0.269)			(0.0455)			(1.982)			(0.680)			(7.921)			(4.586)			(0.412)			(0.299)			(0.0737)
_mother_edu3			2.373			0.0699			6.643			4.624**			0.129			0.0209			-0.0917			3.544**			-0.337			4.163			5.135**			-0.0799			-0.593**			0.0542			0.857			-0.651			5.742			-2.456			0.102			-0.675**			-0.0983
			(1.543)			(0.376)			(4.878)			(2.245)			(0.312)			(0.283)			(0.0679)			(1.471)			(0.445)			(4.105)			(2.396)			(0.305)			(0.281)			(0.0481)			(2.104)			(0.719)			(8.483)			(4.779)			(0.463)			(0.328)			(0.0781)
_mother_edu4			2.813*			0.458			10.88**			7.257***			0.322			0.0358			-0.0891			4.860***			0.259			10.72***			7.358***			-0.220			-0.503*			0.0349			3.759*			-0.471			10.47			2.332			-0.131			-0.354			-0.0716
			(1.530)			(0.369)			(4.849)			(2.268)			(0.312)			(0.282)			(0.0686)			(1.437)			(0.436)			(4.022)			(2.311)			(0.298)			(0.272)			(0.0466)			(1.970)			(0.650)			(7.877)			(4.200)			(0.410)			(0.317)			(0.0719)
_mother_edu5			4.694***			0.960**			15.74***			11.76***			-0.237			-0.0947			-0.0857			6.232***			0.567			11.15**			9.732***			-0.565			-0.653**			0.00794			3.930			0.326			20.67**			5.397			-0.666			-1.072***			-0.213***
			(1.638)			(0.430)			(5.196)			(2.599)			(0.354)			(0.313)			(0.0736)			(1.624)			(0.500)			(4.862)			(2.769)			(0.362)			(0.319)			(0.0562)			(2.633)			(0.866)			(10.02)			(5.879)			(0.536)			(0.413)			(0.0752)
_inc1			-3.427***			-0.673***			-8.645***			-2.196			-0.0391			0.155			-0.0477			-2.842***			-0.878***			-15.55***			-3.531**			-0.225			0.110			-0.0402			-3.432**			-1.302**			-11.50**			-2.877			-0.0141			0.0940			-0.0799
			(0.850)			(0.250)			(2.726)			(1.528)			(0.194)			(0.175)			(0.0319)			(0.997)			(0.307)			(3.049)			(1.679)			(0.224)			(0.192)			(0.0367)			(1.506)			(0.553)			(5.679)			(3.659)			(0.367)			(0.288)			(0.0574)
_inc2			-2.737***			-0.438*			-6.747***			-1.415			0.00639			0.247			-0.0692**			-2.624***			-0.756***			-13.55***			-3.358**			0.0731			0.0122			-0.0745**			-3.713***			-1.044**			-13.48**			-1.084			0.403			0.0887			-0.0311
			(0.767)			(0.228)			(2.597)			(1.540)			(0.180)			(0.155)			(0.0293)			(0.830)			(0.265)			(2.734)			(1.517)			(0.204)			(0.170)			(0.0310)			(1.398)			(0.494)			(5.410)			(3.393)			(0.333)			(0.275)			(0.0531)
_inc3			-1.618***			-0.378**			-2.363			-0.0417			0.227			0.0552			-0.0326			-2.096***			-0.909***			-8.335***			-2.621**			0.179			-0.0545			-0.0275			-1.747			-0.502			-4.664			-1.989			0.0192			-0.0358			-0.0111
			(0.611)			(0.162)			(1.843)			(1.103)			(0.143)			(0.122)			(0.0233)			(0.679)			(0.206)			(2.238)			(1.314)			(0.170)			(0.142)			(0.0269)			(1.343)			(0.451)			(4.926)			(2.897)			(0.317)			(0.269)			(0.0560)
_inc4			-0.969**			-0.268*			-0.208			0.436			0.214*			0.220**			-0.00826			-0.282			-0.607***			-4.680**			-1.498			0.152			-0.0398			0.00196			-2.191			-0.766			-7.161			-2.970			-0.231			-0.455*			0.0262
			(0.479)			(0.141)			(1.481)			(0.965)			(0.123)			(0.102)			(0.0185)			(0.665)			(0.195)			(2.043)			(1.252)			(0.162)			(0.132)			(0.0262)			(1.435)			(0.474)			(4.617)			(2.801)			(0.324)			(0.256)			(0.0600)
Constant	206.5**	200.6**	180.2*	53.60*	52.58*	48.08*	262.6	254.7	202.7	263.0**	253.7**	235.5**	1.611	1.081	1.101	14.51	13.92	14.31	-0.756	-0.881	-1.211	148.1*	146.4	128.8	60.96*	62.91*	52.49	561.9*	596.2**	534.5*	293.3*	297.1*	268.6	25.98	24.13	23.64	-15.36	-16.68	-17.72	0.738	0.899	1.560	252.3	268.5	308.1*	46.67	47.32	52.03	369.2	385.4	524.7	292.9	290.0	305.6	0.888	-1.262	-5.398	-5.067	-5.114	-3.137	-1.632	-1.952	-1.227
	(96.94)	(96.92)	(95.65)	(28.42)	(28.44)	(27.95)	(288.4)	(285.6)	(295.3)	(112.6)	(112.8)	(111.3)	(15.07)	(15.06)	(15.02)	(13.07)	(13.05)	(13.08)	(2.085)	(2.068)	(2.052)	(88.90)	(89.56)	(88.61)	(36.16)	(36.24)	(35.18)	(295.6)	(295.6)	(297.3)	(168.9)	(169.6)	(165.8)	(24.88)	(25.06)	(24.43)	(19.26)	(19.45)	(19.41)	(3.630)	(3.683)	(3.627)	(169.7)	(169.6)	(163.5)	(67.09)	(66.12)	(64.21)	(556.3)	(547.0)	(512.8)	(414.4)	(423.2)	(417.1)	(40.63)	(40.67)	(40.81)	(28.48)	(28.69)	(27.36)	(6.982)	(6.973)	(7.034)
																																																															
Observations	3,184	3,184	3,184	2,990	2,990	2,990	2,949	2,949	2,949	2,980	2,980	2,980	3,032	3,032	3,032	3,032	3,032	3,032	3,032	3,032	3,032	2,279	2,279	2,279	2,122	2,122	2,122	2,087	2,087	2,087	2,111	2,111	2,111	2,152	2,152	2,152	2,152	2,152	2,152	2,152	2,152	2,152	946	946	946	851	851	851	840	840	840	846	846	846	868	868	868	868	868	868	868	868	868
R-squared	0.102	0.102	0.133	0.083	0.085	0.108	0.097	0.100	0.128	0.064	0.065	0.092	0.027	0.029	0.036	0.041	0.043	0.048				0.095	0.099	0.142	0.032	0.035	0.075	0.160	0.167	0.204	0.114	0.120	0.135	0.049	0.051	0.059	0.064	0.067	0.071	0.032	0.033	0.040	0.052	0.064	0.137	0.048	0.070	0.105	0.025	0.060	0.151				0.077	0.078	0.094	0.092	0.091	0.111	0.110	0.111	0.133
Robust standard errors in parentheses																																																															
*** p<0.01, ** p<0.05, * p<0.1																																																															
