	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																															
fert	1.984	1.493	1.340	0.355	0.315	0.474	8.658	7.498	7.570	-0.574	-1.286	-1.392	0.295	0.344	0.389	0.370	0.389	0.435	0.128	0.127	0.137	0.771	0.110	0.754	-0.513	-0.607	-0.460	-5.302	-7.007	-4.785	3.098	2.372	3.003	0.225	0.245	0.158	0.185	0.213	0.164	-0.0567	-0.0507	-0.0524	-6.751	-6.906	-6.739	-2.310	-2.509	-2.718*	-36.44***	-40.22***	-40.19***	1.307	-0.633	-1.014	-1.496**	-1.449**	-1.452**	-0.459	-0.385	-0.390	0.275**	0.272**	0.259**
	(2.640)	(2.568)	(2.574)	(0.829)	(0.804)	(0.817)	(12.40)	(11.67)	(12.04)	(4.379)	(4.346)	(4.432)	(0.558)	(0.586)	(0.608)	(0.618)	(0.590)	(0.621)	(0.125)	(0.120)	(0.122)	(2.099)	(2.117)	(2.193)	(0.559)	(0.572)	(0.658)	(5.521)	(5.410)	(6.457)	(3.004)	(3.186)	(2.783)	(0.483)	(0.461)	(0.454)	(0.448)	(0.447)	(0.468)	(0.0627)	(0.0596)	(0.0618)	(5.645)	(5.656)	(5.394)	(1.563)	(1.627)	(1.569)	(9.589)	(10.14)	(8.383)	(7.269)	(6.626)	(6.309)	(0.645)	(0.676)	(0.651)	(0.875)	(0.797)	(0.801)	(0.135)	(0.128)	(0.124)
_country2	-1.501*	-1.543*	-1.535*	0.375	0.358	0.360	8.956***	8.552***	8.437***	-1.030	-1.230	-1.275	-0.276*	-0.261*	-0.272*	-0.0926	-0.0784	-0.0812	0.00123	0.00281	0.00243	-1.408	-1.655	-1.553	-0.503	-0.528	-0.498	7.107*	6.559*	6.479*	-1.509	-1.571	-1.011	0.475*	-0.0436	-0.104	0.355	-0.0958	-0.0992	0.0545***	0.0179	0.0162	-1.305	-2.074	5.617***	0.861	0.912	1.029*	3.217	18.35***	16.76***	-0.605	-0.468	0.123	0.472*	0.438	0.390	0.358	0.327	0.312	-0.00842	-0.00279	-0.000210
	(0.891)	(0.886)	(0.852)	(0.241)	(0.240)	(0.236)	(3.340)	(3.261)	(3.152)	(1.420)	(1.429)	(1.398)	(0.156)	(0.156)	(0.153)	(0.140)	(0.140)	(0.138)	(0.0241)	(0.0241)	(0.0241)	(1.081)	(1.087)	(1.038)	(0.330)	(0.334)	(0.336)	(3.982)	(3.962)	(3.785)	(2.312)	(2.362)	(2.447)	(0.246)	(0.186)	(0.183)	(0.219)	(0.171)	(0.170)	(0.0189)	(0.0248)	(0.0251)	(1.655)	(1.659)	(1.707)	(0.628)	(0.630)	(0.611)	(5.025)	(6.470)	(6.074)	(3.254)	(3.223)	(3.165)	(0.271)	(0.279)	(0.284)	(0.245)	(0.245)	(0.246)	(0.0449)	(0.0448)	(0.0422)
_country4	-0.797	-1.011	-1.587	0.621*	0.577	0.490	11.12**	10.13**	8.463*	0.405	-0.0520	-0.928	-0.794***	-0.768***	-0.762***	-0.615***	-0.592**	-0.580**	0.0683	0.0718	0.0735*	-2.611*	-3.083**	-3.620**	-0.404	-0.463	-0.532	12.16**	11.39**	10.08**	-0.221	-0.457	-0.491	-0.126	-0.624**	-0.642**	-0.232	-0.653***	-0.625***	0.136***	0.102**	0.102**	-5.936***	-7.006***						14.52*	11.88				-0.210	-0.195	-0.152	-0.705**	-0.698**	-0.638*	0.150*	0.154*	0.148*
	(1.432)	(1.432)	(1.396)	(0.353)	(0.352)	(0.342)	(4.827)	(4.721)	(4.594)	(2.076)	(2.090)	(2.042)	(0.255)	(0.264)	(0.257)	(0.237)	(0.239)	(0.232)	(0.0457)	(0.0458)	(0.0439)	(1.490)	(1.480)	(1.448)	(0.388)	(0.390)	(0.383)	(4.874)	(4.856)	(4.770)	(2.737)	(2.771)	(2.818)	(0.290)	(0.282)	(0.277)	(0.250)	(0.239)	(0.237)	(0.0355)	(0.0450)	(0.0451)	(2.170)	(2.084)						(7.552)	(7.346)				(0.432)	(0.429)	(0.445)	(0.339)	(0.336)	(0.351)	(0.0799)	(0.0794)	(0.0761)
_country5	-0.775	-0.754	-0.590	0.886**	0.879**	0.893**	3.179	3.545	3.229	2.010	2.178	1.974	-0.637**	-0.656***	-0.672***	-0.733***	-0.713***	-0.714***	-0.0879***	-0.0814***	-0.0773**	0.603	0.496	0.675				6.731	6.733	6.809					-0.512*	-0.563**		-0.416	-0.392		-0.0313	-0.0305			8.092***	1.166*	1.222*	1.370**	-8.635	7.514	5.739	0.260	1.177	1.796	0.246	0.293	0.334	-0.0719	-0.0468	-0.0292	-0.0358	-0.0332	-0.0158
	(1.231)	(1.230)	(1.207)	(0.348)	(0.348)	(0.355)	(4.428)	(4.384)	(4.224)	(2.315)	(2.312)	(2.300)	(0.252)	(0.251)	(0.253)	(0.228)	(0.226)	(0.226)	(0.0307)	(0.0304)	(0.0308)	(1.339)	(1.337)	(1.297)				(5.972)	(5.900)	(5.824)					(0.281)	(0.282)		(0.255)	(0.253)		(0.0268)	(0.0272)			(2.027)	(0.701)	(0.710)	(0.690)	(5.288)	(7.897)	(7.419)	(3.967)	(3.901)	(3.823)	(0.425)	(0.427)	(0.433)	(0.356)	(0.360)	(0.360)	(0.0619)	(0.0631)	(0.0617)
_yb10	-9.335	-7.379	-6.810	-12.70***	-12.61***	-12.59***	23.31	37.43	-2.319	-27.55	-24.94	-26.81	-3.159	-3.199	-2.860	-3.711*	-3.794*	-3.672*	-0.294	-0.291	-0.272	47.34*	45.31*	31.49	9.917**	8.466*	7.152				29.23	23.64	16.43	-4.186	-3.902	-4.024	-3.348	-2.971	-2.876	0.965	0.940	0.973																					
	(11.31)	(10.89)	(10.40)	(3.524)	(3.511)	(3.385)	(78.82)	(77.06)	(83.49)	(17.92)	(18.05)	(17.23)	(2.696)	(2.654)	(2.710)	(2.021)	(1.975)	(1.979)	(0.460)	(0.471)	(0.464)	(26.03)	(25.01)	(23.97)	(4.597)	(4.524)	(4.516)				(30.11)	(30.54)	(30.06)	(3.708)	(3.687)	(3.697)	(2.682)	(2.734)	(2.801)	(0.646)	(0.659)	(0.646)																					
_yb11	2.669	4.368	5.919	-13.32***	-13.27***	-12.80***	49.49	63.23	27.34	-36.67*	-34.95	-36.39*	-4.199	-4.150	-3.122	-2.849	-2.835	-2.349	-0.346	-0.350	-0.281	38.59*	36.56*	26.67	2.769	1.735	0.499	-39.87***	-40.33***	-37.83***	19.59	14.57	10.53	-1.577	-1.509	-1.379	-1.694	-1.430	-1.421	-0.0544	-0.0711	-0.0320	73.21	63.00	114.0	-118.6	-118.7	-115.5							3.668**	4.498***	4.660***	0.958	1.367	0.821	0.0968	0.0996	0.0768
	(14.09)	(13.57)	(12.92)	(4.184)	(4.174)	(3.800)	(68.60)	(66.88)	(72.03)	(21.95)	(21.70)	(21.02)	(3.942)	(3.880)	(4.050)	(2.948)	(2.840)	(2.893)	(0.628)	(0.623)	(0.618)	(22.98)	(22.04)	(21.23)	(3.709)	(3.661)	(3.683)	(12.79)	(12.91)	(13.17)	(24.70)	(25.25)	(24.85)	(3.017)	(3.009)	(3.012)	(2.185)	(2.238)	(2.294)	(0.523)	(0.536)	(0.517)	(228.7)	(230.6)	(219.8)	(80.75)	(82.16)	(78.00)							(1.592)	(1.557)	(1.575)	(1.332)	(1.369)	(1.362)	(0.177)	(0.186)	(0.194)
_yb12	-1.620	-0.379	1.800	-13.00***	-12.98***	-11.87***	12.58	23.36	-6.647	-39.68	-39.60	-37.06	-3.130	-3.082	-2.171	-2.530	-2.592	-2.205	-0.691	-0.712	-0.660	42.71*	41.46**	34.94*	5.807	4.930	4.978	-41.59*	-41.10*	-19.14	14.23	10.52	9.373	-1.813	-1.716	-1.642	-1.034	-0.835	-0.855	-0.00834	-0.0255	-0.0225	67.32	56.92	104.9																		
	(16.27)	(15.70)	(15.16)	(4.520)	(4.476)	(4.336)	(65.17)	(63.59)	(67.63)	(24.68)	(24.31)	(24.04)	(3.896)	(3.874)	(3.964)	(3.057)	(3.008)	(3.105)	(0.581)	(0.580)	(0.583)	(21.90)	(21.15)	(20.27)	(3.567)	(3.534)	(3.386)	(22.58)	(22.69)	(23.77)	(20.19)	(20.73)	(20.23)	(2.572)	(2.568)	(2.573)	(1.966)	(1.996)	(2.041)	(0.427)	(0.439)	(0.432)	(224.7)	(226.5)	(216.4)																		
_yb13	5.371	5.549	5.499	-11.71**	-11.88**	-11.70**	42.21	50.14	12.33	-26.47	-27.87	-29.88	-5.383	-4.964	-3.468	-5.840*	-5.630*	-4.950	-0.653	-0.649	-0.597	39.64**	38.64**	31.49*	6.388***	5.595**	5.132**	-15.43	-13.18	0.977	14.23	11.36	9.721	-3.699	-3.587	-3.415	-1.382	-1.212	-1.221	-0.0433	-0.0647	-0.0397	100.5	90.26	137.7	-112.5	-113.1	-111.5	-41.09	-70.07*	-93.63***	63.53***	56.61***	47.02***	1.217	0.603	1.701	0.0136	-0.0154	-0.184	-0.0520	-0.103	-0.130
	(18.24)	(17.67)	(16.94)	(4.973)	(4.944)	(4.786)	(62.82)	(60.90)	(64.97)	(29.28)	(28.79)	(28.01)	(4.364)	(4.339)	(4.433)	(3.348)	(3.280)	(3.338)	(0.652)	(0.651)	(0.653)	(19.57)	(18.99)	(18.08)	(2.464)	(2.438)	(2.408)	(35.72)	(36.58)	(38.81)	(17.26)	(17.95)	(17.45)	(2.276)	(2.254)	(2.255)	(1.529)	(1.575)	(1.590)	(0.344)	(0.357)	(0.350)	(222.1)	(223.8)	(213.4)	(78.45)	(79.66)	(75.76)	(34.61)	(37.57)	(33.02)	(14.26)	(15.67)	(15.37)	(2.006)	(2.024)	(1.780)	(1.279)	(1.293)	(1.253)	(0.170)	(0.181)	(0.188)
_yb14	0.963	2.153	3.957	-15.82***	-15.89***	-15.21***	-4.333	5.599	-27.71	-41.75	-42.09	-41.36	-5.567	-5.227	-3.955	-5.403	-5.258	-4.703	-0.508	-0.517	-0.472	41.21**	40.26**	34.58**	3.099	2.526	2.384	-55.96	-53.43	-35.67	9.627	7.405	7.551	-4.817***	-4.750***	-4.639***	-1.026	-0.899	-1.006	0.157	0.152	0.168	106.6	96.41	141.3	-111.0	-111.3	-109.9	-15.06	-46.62	-83.01**	63.68***	59.20***	47.57**	0.0918	-1.078	0.326	0.781	0.333	0.0741	-0.133	-0.160	-0.249
	(19.17)	(18.44)	(17.81)	(5.463)	(5.418)	(5.199)	(61.24)	(59.49)	(63.40)	(31.84)	(31.13)	(30.31)	(4.704)	(4.663)	(4.767)	(3.615)	(3.527)	(3.572)	(0.713)	(0.712)	(0.711)	(18.45)	(18.03)	(17.19)	(2.209)	(2.213)	(2.171)	(37.64)	(37.92)	(38.72)	(14.71)	(15.33)	(14.87)	(1.715)	(1.716)	(1.717)	(1.228)	(1.260)	(1.279)	(0.329)	(0.340)	(0.335)	(220.0)	(221.4)	(211.4)	(77.51)	(78.65)	(74.94)	(41.33)	(46.06)	(39.43)	(17.75)	(20.18)	(19.83)	(1.787)	(1.728)	(1.773)	(1.572)	(1.605)	(1.602)	(0.220)	(0.247)	(0.246)
_yb15	1.520	2.293	4.543	-14.97***	-15.07***	-14.16***	-1.571	7.320	-23.33	-39.50	-40.54	-38.37	-4.831	-4.507	-3.174	-5.351	-5.211	-4.572	-0.586	-0.595	-0.536	45.79***	44.23***	38.79**	4.511***	4.038**	3.903**	-40.32	-40.03	-22.55	15.70	13.31	12.81	-3.234**	-3.227**	-3.081**	0.125	0.233	0.158	0.140	0.152	0.170	105.3	95.82	141.8	-109.8	-110.1	-109.1	-29.21	-66.94	-105.5**	93.88***	89.25***	76.30***	-1.445	-3.448	-1.419	-0.354	-1.246	-1.382	-0.194	-0.265	-0.376
	(20.04)	(19.36)	(18.60)	(5.537)	(5.505)	(5.324)	(59.24)	(57.54)	(61.02)	(31.57)	(30.94)	(30.33)	(4.870)	(4.822)	(4.950)	(3.780)	(3.690)	(3.746)	(0.741)	(0.739)	(0.741)	(17.67)	(17.13)	(16.60)	(1.734)	(1.731)	(1.765)	(42.44)	(43.03)	(43.67)	(11.52)	(12.22)	(12.21)	(1.484)	(1.504)	(1.528)	(1.063)	(1.106)	(1.139)	(0.258)	(0.270)	(0.266)	(217.9)	(219.2)	(209.5)	(76.80)	(77.89)	(74.14)	(55.24)	(60.44)	(52.16)	(23.73)	(27.40)	(26.68)	(2.640)	(2.533)	(2.544)	(2.151)	(2.292)	(2.300)	(0.306)	(0.352)	(0.353)
_yb16	4.804	5.385	7.246	-15.01***	-15.17***	-14.20**	-2.385	6.342	-23.65	-42.75	-43.69	-41.13	-5.176	-4.723	-3.338	-5.663	-5.417	-4.729	-0.415	-0.410	-0.360	44.36***	42.97***	38.37**	1.792	1.387	1.402	-50.49	-48.58	-28.71	8.410	6.484	7.285	-2.817**	-2.785**	-2.626**	0.613	0.769	0.666	0.0606	0.0781	0.0904	103.5	93.52	139.6	-112.4	-112.9	-110.7	-34.95	-77.97	-109.5**	86.39***	80.01***	67.62**	-2.539	-4.591	-3.152	-0.380	-1.217	-1.461	-0.119	-0.184	-0.352
	(21.07)	(20.38)	(19.62)	(5.793)	(5.765)	(5.571)	(57.96)	(56.09)	(59.42)	(33.03)	(32.39)	(31.86)	(5.145)	(5.097)	(5.228)	(3.981)	(3.889)	(3.942)	(0.797)	(0.795)	(0.797)	(16.91)	(16.46)	(15.82)	(1.423)	(1.425)	(1.437)	(47.32)	(47.91)	(48.88)	(8.970)	(9.651)	(9.634)	(1.147)	(1.165)	(1.189)	(0.930)	(0.974)	(0.990)	(0.163)	(0.177)	(0.180)	(217.0)	(218.3)	(208.4)	(76.30)	(77.34)	(73.79)	(59.75)	(65.22)	(55.04)	(26.67)	(29.97)	(29.17)	(2.885)	(2.803)	(2.783)	(2.404)	(2.510)	(2.507)	(0.316)	(0.350)	(0.354)
_yb17	6.115	7.068	8.736	-14.77**	-14.89**	-14.00**	3.711	12.30	-19.37	-38.17	-39.05	-37.88	-5.958	-5.574	-4.183	-6.795*	-6.629*	-5.968	-0.542	-0.548	-0.493	46.16***	45.11***	39.76***	2.682**	2.407*	2.252*	-33.57	-30.95	-13.62	15.06*	13.61	13.41	-3.647***	-3.632***	-3.341***	0.592	0.733	0.661	0.0800	0.105	0.106	113.3	104.2	147.6	-109.2	-109.5	-108.0	1.254	-47.46	-87.60	102.1***	96.02***	79.56**	-4.116	-7.010**	-5.087	-0.980	-2.277	-2.477	-0.298	-0.401	-0.601
	(21.68)	(20.99)	(20.24)	(6.017)	(5.985)	(5.796)	(56.85)	(55.10)	(58.46)	(34.61)	(33.95)	(33.33)	(5.305)	(5.255)	(5.396)	(4.052)	(3.959)	(4.023)	(0.821)	(0.820)	(0.817)	(16.46)	(16.03)	(15.43)	(1.282)	(1.303)	(1.316)	(51.26)	(51.79)	(52.55)	(8.394)	(8.960)	(9.171)	(1.012)	(1.040)	(1.058)	(0.762)	(0.807)	(0.812)	(0.145)	(0.156)	(0.159)	(216.1)	(217.2)	(207.4)	(76.07)	(77.04)	(73.49)	(62.70)	(70.62)	(60.06)	(28.00)	(33.24)	(33.19)	(3.267)	(3.063)	(3.168)	(2.734)	(2.981)	(2.963)	(0.388)	(0.464)	(0.461)
_yb18	3.796	4.303	6.664	-14.55**	-14.72**	-13.60**	-5.392	1.934	-27.47	-38.26	-39.92	-37.87	-5.626	-5.191	-3.712	-7.142*	-6.954*	-6.263	-0.421	-0.427	-0.364	41.89***	40.93***	36.26**	1.877*	1.698	1.629	-48.76	-45.53	-26.75	7.664	6.843	6.986	-3.588***	-3.581***	-3.256***	0.574	0.667	0.597	0.113	0.137	0.139	108.7	99.67	144.3	-111.9	-112.2	-110.6	-10.34	-62.82	-101.9	102.9***	96.64***	78.91**	-4.865	-8.297**	-6.147*	-1.051	-2.670	-2.866	-0.358	-0.460	-0.663
	(22.21)	(21.53)	(20.73)	(6.150)	(6.118)	(5.889)	(56.65)	(54.73)	(58.04)	(35.52)	(34.82)	(34.13)	(5.484)	(5.426)	(5.558)	(4.239)	(4.137)	(4.193)	(0.838)	(0.836)	(0.834)	(15.94)	(15.52)	(14.97)	(1.051)	(1.090)	(1.122)	(53.07)	(53.86)	(54.27)	(6.712)	(7.302)	(7.505)	(0.828)	(0.857)	(0.871)	(0.677)	(0.719)	(0.720)	(0.130)	(0.141)	(0.146)	(215.4)	(216.4)	(206.8)	(75.80)	(76.72)	(73.26)	(67.69)	(77.58)	(64.83)	(30.35)	(36.52)	(36.39)	(3.660)	(3.466)	(3.538)	(2.968)	(3.259)	(3.226)	(0.427)	(0.526)	(0.518)
_yb19	7.740	8.243	10.04	-14.10**	-14.27**	-13.30**	0.419	7.775	-23.30	-36.33	-38.27	-37.12	-6.230	-5.754	-4.287	-7.115	-6.876	-6.203	-0.530	-0.537	-0.472	45.91***	44.96***	40.46***	1.868**	1.804**	1.745*	-44.90	-41.34	-22.23	9.259	8.869	8.906	-3.545***	-3.566***	-3.337***	1.117**	1.208**	1.132*	0.0472	0.0793	0.0868	108.4	99.96	144.6	-112.7	-112.8	-111.7	-45.89	-102.3	-144.1**	95.54***	89.12**	69.92*	-4.812	-8.668**	-6.189	-1.878	-3.699	-3.793	-0.0849	-0.212	-0.417
	(22.61)	(21.91)	(21.21)	(6.275)	(6.248)	(6.038)	(55.52)	(53.62)	(57.02)	(36.30)	(35.56)	(34.93)	(5.612)	(5.554)	(5.688)	(4.334)	(4.232)	(4.287)	(0.868)	(0.866)	(0.861)	(15.75)	(15.33)	(14.87)	(0.839)	(0.902)	(0.927)	(55.09)	(56.06)	(56.62)	(5.847)	(6.388)	(6.683)	(0.659)	(0.707)	(0.714)	(0.538)	(0.589)	(0.591)	(0.0987)	(0.111)	(0.116)	(215.5)	(216.4)	(206.7)	(75.67)	(76.55)	(73.11)	(70.77)	(82.15)	(68.62)	(31.63)	(38.50)	(38.32)	(3.965)	(3.772)	(3.838)	(3.213)	(3.555)	(3.515)	(0.440)	(0.552)	(0.540)
_yb20	7.905	8.203	10.28	-13.77**	-13.96**	-12.93**	-4.331	2.070	-28.49	-36.91	-39.33	-38.07	-6.423	-5.954	-4.480	-7.549*	-7.334*	-6.599	-0.537	-0.549	-0.477	43.74***	42.74***	39.22***	0.974	0.930	1.088	-49.95	-47.14	-24.68	10.15**	9.693*	11.02*	-3.115***	-3.158***	-2.993***	1.574***	1.638***	1.573***	-0.0166	0.0192	0.0266	109.7	102.4	147.8	-112.4	-112.6	-111.4	-26.28	-86.61	-124.0*	101.2***	94.68**	75.33*	-5.002	-9.235**	-6.820*	-1.765	-3.729	-3.906	-0.393	-0.539	-0.790
	(22.81)	(22.14)	(21.47)	(6.362)	(6.338)	(6.136)	(54.53)	(52.67)	(55.76)	(36.80)	(36.05)	(35.45)	(5.683)	(5.625)	(5.767)	(4.393)	(4.290)	(4.351)	(0.880)	(0.878)	(0.873)	(15.53)	(15.08)	(14.65)	(0.728)	(0.799)	(0.805)	(56.05)	(57.11)	(57.54)	(5.050)	(5.484)	(5.745)	(0.558)	(0.615)	(0.613)	(0.461)	(0.518)	(0.510)	(0.0687)	(0.0839)	(0.0887)	(215.7)	(216.5)	(206.9)	(75.77)	(76.61)	(73.19)	(72.58)	(85.59)	(71.22)	(32.64)	(40.45)	(40.24)	(4.145)	(3.912)	(4.001)	(3.342)	(3.728)	(3.681)	(0.470)	(0.605)	(0.595)
_yb21	9.272	9.429	11.66	-13.83**	-14.05**	-12.96**	-4.388	1.632	-28.27	-33.11	-35.94	-34.53	-6.253	-5.776	-4.282	-7.632*	-7.389*	-6.656	-0.599	-0.608	-0.535	45.77***	44.48***	40.44***	1.697***	1.708**	1.610**	-46.44	-44.05	-24.42	12.05***	11.58**	11.92**	-2.886***	-2.948***	-2.718***	1.566***	1.646***	1.554***	0.0386	0.0837	0.0874	113.5	105.4	150.7	-111.2	-111.3	-110.6	-18.42	-79.39	-118.2*	104.9***	98.60**	77.70*	-5.201	-9.721**	-7.176*	-1.965	-4.145	-4.288	-0.266	-0.414	-0.656
