	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																															
fert	2.351	1.961	2.545	0.266	0.237	0.584	9.572	8.526	11.56	-0.922	-1.524	-0.566	0.158	0.214	0.325	0.172	0.194	0.255	0.148	0.150	0.162	0.174	-0.374	0.889	-0.691	-0.717	-0.496	-6.130	-7.354	-4.384	2.315	1.378	2.712	0.195	0.225	0.144	0.141	0.161	0.0912	-0.0476	-0.0401	-0.0391	-8.301*	-7.684*	-6.922	-2.792*	-2.747*	-2.752*	-34.10***	-37.32***	-35.49***	-0.820	-2.817	-3.605	-1.912**	-1.950***	-1.845**	-0.288	-0.192	-0.158	0.275*	0.240*	0.222*
	(2.643)	(2.627)	(2.712)	(0.821)	(0.803)	(0.836)	(12.39)	(12.01)	(12.86)	(4.346)	(4.379)	(4.730)	(0.552)	(0.592)	(0.615)	(0.611)	(0.583)	(0.612)	(0.131)	(0.127)	(0.131)	(2.189)	(2.239)	(2.399)	(0.598)	(0.609)	(0.655)	(5.782)	(5.751)	(6.753)	(3.362)	(3.422)	(3.043)	(0.529)	(0.508)	(0.511)	(0.479)	(0.473)	(0.497)	(0.0683)	(0.0644)	(0.0682)	(4.622)	(4.542)	(4.224)	(1.640)	(1.532)	(1.505)	(11.10)	(10.36)	(8.906)	(7.552)	(6.983)	(6.123)	(0.744)	(0.755)	(0.739)	(0.912)	(0.819)	(0.793)	(0.144)	(0.131)	(0.114)
motherage	-23.88**	-24.03**	-21.41*	-9.944***	-10.05***	-8.624**	-18.66	-23.67	-10.63	-24.44	-26.59	-21.92	-0.682	-0.183	0.662	-1.179	-1.009	-0.783	0.247	0.271	0.313	-2.076	-0.794	1.140	-5.140	-5.011	-4.295	2.732	0.0748	10.66	2.569	2.703	4.016	-6.505*	-6.544*	-5.897*	2.665	2.617	3.241	0.0142	0.0134	-0.115	-4.782	-3.712	-17.41	14.08	13.62	11.11	-7.709	-10.94	-84.04	133.9***	137.7***	129.0***	-11.90*	-11.28*	-11.75*	1.303	1.918	1.775	-0.135	-0.0993	-0.137
	(11.98)	(11.87)	(11.46)	(3.586)	(3.573)	(3.505)	(39.57)	(38.96)	(42.35)	(17.86)	(17.78)	(17.67)	(2.851)	(2.865)	(2.891)	(2.261)	(2.231)	(2.290)	(0.373)	(0.370)	(0.386)	(14.24)	(14.45)	(13.88)	(5.035)	(5.029)	(4.893)	(52.09)	(52.78)	(53.71)	(27.32)	(27.54)	(27.18)	(3.393)	(3.400)	(3.309)	(2.637)	(2.672)	(2.671)	(0.560)	(0.560)	(0.547)	(25.77)	(26.13)	(25.72)	(10.28)	(10.17)	(10.65)	(100.1)	(102.0)	(99.63)	(50.50)	(48.15)	(48.72)	(6.231)	(6.343)	(6.172)	(4.817)	(4.892)	(4.969)	(1.168)	(1.094)	(1.070)
motheragesq	0.696	0.698	0.616	0.376***	0.380***	0.332***	0.780	0.945	0.505	0.842	0.911	0.757	0.0460	0.0278	-0.00504	0.0654	0.0583	0.0492	-0.0122	-0.0132	-0.0147	-0.0858	-0.132	-0.209	0.205	0.200	0.175	-0.201	-0.111	-0.535	-0.0716	-0.0789	-0.131	0.225*	0.226*	0.203*	-0.108	-0.107	-0.128	-0.00457	-0.00454	-2.46e-05	0.191	0.157	0.687	-0.506	-0.491	-0.392	0.120	0.282	3.097	-4.857***	-4.969***	-4.652**	0.460**	0.439*	0.459**	-0.0497	-0.0728	-0.0657	0.00455	0.00287	0.00302
	(0.441)	(0.437)	(0.422)	(0.131)	(0.130)	(0.127)	(1.418)	(1.400)	(1.512)	(0.670)	(0.666)	(0.661)	(0.106)	(0.107)	(0.108)	(0.0838)	(0.0825)	(0.0844)	(0.0143)	(0.0142)	(0.0146)	(0.531)	(0.538)	(0.518)	(0.181)	(0.181)	(0.176)	(1.921)	(1.947)	(1.984)	(1.024)	(1.029)	(1.014)	(0.124)	(0.125)	(0.121)	(0.0970)	(0.0981)	(0.0980)	(0.0212)	(0.0212)	(0.0206)	(0.979)	(0.989)	(0.972)	(0.375)	(0.369)	(0.387)	(3.714)	(3.778)	(3.680)	(1.870)	(1.792)	(1.814)	(0.228)	(0.232)	(0.225)	(0.177)	(0.180)	(0.184)	(0.0413)	(0.0389)	(0.0384)
motheragecub	-0.00631	-0.00635	-0.00545	-0.00447***	-0.00452***	-0.00397***	-0.0102	-0.0121	-0.00694	-0.00959	-0.0104	-0.00869	-0.000779	-0.000553	-0.000137	-0.00106	-0.000960	-0.000838	0.000165	0.000177	0.000197	0.00244	0.00298	0.00412	-0.00260	-0.00254	-0.00223	0.00279	0.00182	0.00753	0.000471	0.000582	0.00137	-0.00253*	-0.00254*	-0.00227	0.00140	0.00139	0.00162	8.41e-05	8.34e-05	3.13e-05	-0.00124	-0.000930	-0.00732	0.00596	0.00580	0.00457	-0.000511	-0.00270	-0.0371	0.0584***	0.0596***	0.0557**	-0.00590**	-0.00566**	-0.00585**	0.000562	0.000839	0.000741	-6.63e-05	-4.04e-05	-3.62e-05
	(0.00528)	(0.00522)	(0.00505)	(0.00157)	(0.00156)	(0.00152)	(0.0168)	(0.0166)	(0.0179)	(0.00817)	(0.00810)	(0.00806)	(0.00130)	(0.00130)	(0.00132)	(0.00102)	(0.000998)	(0.00102)	(0.000178)	(0.000177)	(0.000181)	(0.00644)	(0.00650)	(0.00629)	(0.00213)	(0.00212)	(0.00208)	(0.0231)	(0.0235)	(0.0240)	(0.0124)	(0.0125)	(0.0123)	(0.00149)	(0.00149)	(0.00145)	(0.00116)	(0.00117)	(0.00117)	(0.000260)	(0.000260)	(0.000253)	(0.0121)	(0.0122)	(0.0120)	(0.00448)	(0.00440)	(0.00461)	(0.0448)	(0.0455)	(0.0442)	(0.0227)	(0.0218)	(0.0220)	(0.00274)	(0.00279)	(0.00270)	(0.00215)	(0.00218)	(0.00224)	(0.000481)	(0.000456)	(0.000453)
agefirstbirth	-0.204	-0.190	-0.220	0.0506	0.0513	0.0290	0.0484	0.0824	-0.203	0.571**	0.582**	0.514*	0.0419	0.0348	0.0214	0.00677	0.00494	-0.000414	-0.00490	-0.00530	-0.00592	0.258**	0.226*	-0.0315	0.0755**	0.0778**	0.0443	1.166***	1.038***	0.446	0.339*	0.309	0.135	0.0489*	0.0460*	0.0424	0.0460**	0.0464**	0.0530**	0.00145	0.00251	0.00193	0.201	0.206	-0.0289	-0.00651	-0.00104	-0.0469	0.886	0.608	-0.326	0.464	0.333	0.121	-0.0294	-0.0317	-0.0180	-0.0320	-0.0203	-0.0145	-0.00277	-0.00318	-0.00554
	(0.230)	(0.225)	(0.205)	(0.0436)	(0.0429)	(0.0426)	(0.628)	(0.614)	(0.640)	(0.291)	(0.290)	(0.306)	(0.0422)	(0.0416)	(0.0423)	(0.0325)	(0.0318)	(0.0324)	(0.00822)	(0.00816)	(0.00819)	(0.124)	(0.127)	(0.126)	(0.0323)	(0.0324)	(0.0324)	(0.368)	(0.376)	(0.397)	(0.199)	(0.193)	(0.190)	(0.0261)	(0.0261)	(0.0270)	(0.0228)	(0.0228)	(0.0234)	(0.00463)	(0.00457)	(0.00447)	(0.177)	(0.173)	(0.169)	(0.0571)	(0.0557)	(0.0611)	(0.595)	(0.612)	(0.587)	(0.313)	(0.308)	(0.313)	(0.0389)	(0.0395)	(0.0390)	(0.0329)	(0.0324)	(0.0319)	(0.00533)	(0.00515)	(0.00520)
height		7.879*	5.448		0.932	0.0663		24.07*	14.70		19.70***	15.26**		-1.834**	-1.678*		-0.919	-0.753		-0.00268	0.00298		5.551	1.370		-0.249	-0.849		22.64	14.75		10.10	5.961		0.494	0.522		0.731	0.914		-0.125	-0.111		2.879	-1.280		-0.538	-1.339		12.59	-0.877		22.93*	20.32		1.549	0.964		0.927	0.605		0.102	0.0935
		(4.055)	(4.025)		(1.176)	(1.165)		(13.05)	(13.03)		(7.445)	(7.402)		(0.896)	(0.893)		(0.753)	(0.755)		(0.138)	(0.140)		(4.904)	(4.892)		(1.592)	(1.588)		(15.49)	(15.84)		(8.538)	(8.480)		(0.992)	(0.976)		(0.801)	(0.784)		(0.154)	(0.160)		(8.193)	(7.726)		(2.912)	(2.991)		(25.01)	(22.86)		(12.88)	(12.73)		(1.775)	(1.673)		(1.220)	(1.247)		(0.260)	(0.270)
daily_cig_before_preg		-0.00330	0.0360		-0.000696	0.0145		0.0455	0.204		0.0395	0.102		-0.0177*	-0.0174*		-0.00160	-0.00384		-0.000252	-3.65e-05		-0.0380	0.0441		0.00609	0.0186		-0.208	-0.0160		-0.00733	0.0523		-0.00484	-0.00237		0.00254	-4.46e-05		0.00161	0.00180		0.0392	0.0953		0.00612	0.0136		-0.313	-0.148		-0.0675	-0.0247		0.00386	0.00342		0.0198	0.0167		-0.000281	0.000202
		(0.0446)	(0.0462)		(0.0124)	(0.0126)		(0.147)	(0.150)		(0.0708)	(0.0724)		(0.00935)	(0.00975)		(0.00850)	(0.00902)		(0.00144)	(0.00155)		(0.0560)	(0.0591)		(0.0170)	(0.0168)		(0.168)	(0.172)		(0.0891)	(0.0903)		(0.0106)	(0.0108)		(0.00884)	(0.00897)		(0.00176)	(0.00189)		(0.0685)	(0.0689)		(0.0221)	(0.0232)		(0.232)	(0.231)		(0.105)	(0.107)		(0.0162)	(0.0157)		(0.0124)	(0.0122)		(0.00229)	(0.00219)
weekly_alcohol_b_preg		-0.00249	-0.00449		0.000921	-0.000665		0.0996	0.107		-0.0589	-0.0633		-0.0106	-0.00936		-0.00355	-0.00336		-0.00185	-0.00156		0.0979**	0.0825**		0.00772	0.00377		0.0363	-0.00685		0.114*	0.0983		-0.0140*	-0.0126*		-0.00777	-0.00720		0.000410	0.000420		0.0768	0.0711		-0.0136	-0.0163		-0.283	-0.365**		-0.173	-0.171		0.00334	0.00618		0.00573	0.00660		-0.00424***	-0.00356**
		(0.0481)	(0.0474)		(0.0114)	(0.0112)		(0.134)	(0.141)		(0.0851)	(0.0857)		(0.0111)	(0.0113)		(0.00812)	(0.00817)		(0.00128)	(0.00131)		(0.0418)	(0.0402)		(0.0126)	(0.0120)		(0.137)	(0.135)		(0.0624)	(0.0614)		(0.00714)	(0.00703)		(0.00582)	(0.00592)		(0.00208)	(0.00207)		(0.0637)	(0.0578)		(0.0214)	(0.0212)		(0.188)	(0.172)		(0.154)	(0.143)		(0.0125)	(0.0125)		(0.00956)	(0.00959)		(0.00161)	(0.00150)
complications_during_preg		-0.287	-0.292		-0.127	-0.0821		1.669	1.928		-0.408	-0.389		0.323***	0.311**		0.340***	0.339***		0.0351*	0.0371*		-0.491	-0.563		-0.169	-0.144		-0.0272	0.208		-1.594	-1.483		0.103	0.0609		0.230*	0.228*		0.0282	0.0287		-1.509	-1.651		-0.108	-0.166		2.287	0.814		1.819	1.323		0.0747	0.119		-0.0280	-0.0439		0.0637*	0.0571*
		(0.608)	(0.613)		(0.159)	(0.160)		(1.890)	(1.919)		(0.947)	(0.939)		(0.123)	(0.124)		(0.103)	(0.105)		(0.0201)	(0.0207)		(0.658)	(0.644)		(0.203)	(0.202)		(2.198)	(2.149)		(1.234)	(1.228)		(0.145)	(0.144)		(0.123)	(0.123)		(0.0219)	(0.0219)		(1.153)	(1.111)		(0.392)	(0.378)		(4.014)	(3.677)		(1.906)	(1.913)		(0.244)	(0.235)		(0.177)	(0.174)		(0.0344)	(0.0327)
_mother_edu1			-1.658			-0.867			-0.866			-1.807			-0.221			0.127			-0.0895			1.167			-0.304			3.414			3.111			-1.218***			-0.790**			0.126**			-2.021			-1.286			1.532			-0.849			-1.710***			-0.860			0.0223
			(2.375)			(0.637)			(8.223)			(3.660)			(0.473)			(0.417)			(0.0978)			(2.031)			(0.646)			(6.397)			(3.823)			(0.395)			(0.401)			(0.0536)			(3.822)			(1.214)			(11.11)			(5.379)			(0.632)			(0.527)			(0.0885)
_mother_edu2			1.345			0.153			7.504			3.945			-0.339			-0.125			-0.127			2.640			0.510			5.863			5.748			-1.074***			-0.981***			0.0890**			0.0994			-0.465			5.493			4.047			-1.642***			-1.050**			0.0318
			(2.153)			(0.542)			(7.335)			(3.224)			(0.419)			(0.374)			(0.0895)			(1.800)			(0.562)			(5.753)			(3.566)			(0.368)			(0.376)			(0.0377)			(3.663)			(1.091)			(9.890)			(4.779)			(0.587)			(0.495)			(0.0783)
_mother_edu3			2.871			-0.225			6.752			3.014			-0.382			-0.156			-0.111			3.997**			0.0587			4.453			4.612			-0.804**			-1.066***			0.137***			2.210			-0.268			14.18			2.484			-0.884			-1.098**			-0.00707
			(2.192)			(0.545)			(7.376)			(3.365)			(0.428)			(0.381)			(0.0907)			(1.853)			(0.570)			(5.845)			(3.700)			(0.382)			(0.390)			(0.0465)			(3.780)			(1.097)			(10.38)			(4.821)			(0.670)			(0.512)			(0.0798)
_mother_edu4			2.866			0.462			12.70*			5.570			-0.225			-0.314			-0.124			6.271***			0.593			13.30**			8.469**			-0.860**			-1.057***			0.0915**			4.906			0.170			25.55***			5.995			-1.021*			-0.765*			0.0147
			(2.189)			(0.544)			(7.428)			(3.398)			(0.428)			(0.384)			(0.0918)			(1.809)			(0.565)			(5.884)			(3.633)			(0.375)			(0.383)			(0.0443)			(3.310)			(0.891)			(9.796)			(4.278)			(0.569)			(0.417)			(0.0707)
_mother_edu5			4.179*			0.740			19.16**			11.86***			-0.844*			-0.460			-0.136			5.227**			0.520			7.484			12.21***			-1.620***			-1.207***			0.0779			4.515			0.513			39.95**			0.927			-1.428**			-1.324**			-0.194**
			(2.323)			(0.651)			(7.804)			(3.951)			(0.478)			(0.416)			(0.0952)			(2.164)			(0.694)			(7.480)			(4.385)			(0.460)			(0.441)			(0.0582)			(4.347)			(1.532)			(16.68)			(6.207)			(0.716)			(0.566)			(0.0865)
_inc1			-2.469*			-1.282***			-12.51***			-3.169			-0.131			-0.116			-0.0232			-4.445***			-1.142***			-15.70***			-2.716			0.173			0.0926			-0.0211			-4.787**			-1.334*			-14.46*			-5.404			0.992*			0.0962			-0.147**
			(1.285)			(0.380)			(4.722)			(2.163)			(0.276)			(0.250)			(0.0508)			(1.496)			(0.415)			(4.730)			(2.535)			(0.314)			(0.268)			(0.0485)			(2.024)			(0.809)			(7.477)			(4.027)			(0.528)			(0.420)			(0.0647)
_inc2			-2.608**			-0.969***			-9.568*			-1.807			0.0236			0.0625			-0.0535			-4.175***			-1.044***			-13.54***			-2.186			0.307			0.0227			-0.0482			-5.430***			-1.451**			-19.32***			-3.815			1.342***			0.127			-0.0501
			(1.207)			(0.373)			(5.009)			(2.245)			(0.283)			(0.254)			(0.0516)			(1.202)			(0.367)			(4.120)			(2.261)			(0.284)			(0.239)			(0.0389)			(1.955)			(0.707)			(7.153)			(3.992)			(0.490)			(0.386)			(0.0601)
_inc3			-1.526*			-0.672***			-2.391			-0.807			0.394**			0.0623			-0.0247			-3.037***			-1.062***			-9.613***			-2.121			0.428*			-0.146			-0.00911			-2.883			-1.432**			-19.43***			-4.018			1.094**			0.165			-0.0165
			(0.888)			(0.234)			(2.806)			(1.500)			(0.190)			(0.157)			(0.0313)			(0.990)			(0.281)			(3.308)			(1.908)			(0.234)			(0.193)			(0.0367)			(1.881)			(0.672)			(7.428)			(3.655)			(0.483)			(0.367)			(0.0633)
_inc4			-0.635			-0.537**			-1.203			-0.234			0.391**			0.342**			0.0101			-0.298			-0.583**			-5.915*			-0.695			0.205			-0.0608			0.000978			-2.305			-1.561**			-17.89***			-5.339			0.406			-0.270			0.0101
			(0.702)			(0.216)			(2.353)			(1.371)			(0.171)			(0.137)			(0.0273)			(0.921)			(0.276)			(3.074)			(1.857)			(0.222)			(0.179)			(0.0358)			(2.106)			(0.735)			(6.817)			(3.592)			(0.485)			(0.355)			(0.0670)
Constant	342.1***	335.3***	303.6***	102.0***	102.0***	86.04**	230.0	240.3	108.2	320.7**	310.4**	275.1*	0.279	-2.008	-7.119	5.162	5.236	3.609	-1.886	-2.093	-2.274	86.81	70.41	64.60	46.97	46.40	43.40	136.1	131.1	35.71	85.04	71.87	53.40	55.50*	55.09*	50.60*	-21.78	-22.46	-27.42	0.970	1.104	2.112	136.1	119.4	244.9	-91.46	-87.76	-63.37	421.9	432.3	1,100	-1,174**	-1,249***	-1,151**	115.2**	107.6*	109.8**	-0.536	-7.784	-6.061	-0.354	-0.582	0.0694
	(119.8)	(118.8)	(115.5)	(37.67)	(37.42)	(37.07)	(346.5)	(337.7)	(366.3)	(146.6)	(145.9)	(144.7)	(23.45)	(23.57)	(23.75)	(18.86)	(18.61)	(19.08)	(3.058)	(3.006)	(3.147)	(120.1)	(122.6)	(117.2)	(43.32)	(43.47)	(42.20)	(496.4)	(506.7)	(516.6)	(254.9)	(259.0)	(255.4)	(29.37)	(29.49)	(28.64)	(22.92)	(23.32)	(23.22)	(4.711)	(4.745)	(4.644)	(214.6)	(222.1)	(219.6)	(90.17)	(90.00)	(94.78)	(916.3)	(944.4)	(916.4)	(467.5)	(446.6)	(451.7)	(53.66)	(55.20)	(54.18)	(42.38)	(43.18)	(44.11)	(10.35)	(9.691)	(9.477)
																																																															
Observations	1,628	1,628	1,628	1,514	1,514	1,514	1,494	1,494	1,494	1,509	1,509	1,509	1,542	1,542	1,542	1,542	1,542	1,542	1,542	1,542	1,542	1,182	1,182	1,182	1,090	1,090	1,090	1,070	1,070	1,070	1,083	1,083	1,083	1,110	1,110	1,110	1,110	1,110	1,110	1,110	1,110	1,110	501	501	501	450	450	450	447	447	447	449	449	449	464	464	464	464	464	464	464	464	464
R-squared	0.093	0.104	0.117	0.103	0.105	0.123	0.075	0.086	0.100	0.114	0.120	0.147	0.042	0.054	0.065	0.058	0.068	0.075				0.099	0.111	0.157	0.107	0.106	0.144	0.147	0.146	0.193	0.124	0.133	0.147	0.068	0.070	0.092	0.066	0.071	0.088	0.070	0.075	0.085	0.027	0.059	0.146						0.081	0.154	0.159	0.171				0.164	0.175	0.199		0.028	0.097
Robust standard errors in parentheses																																																															
*** p<0.01, ** p<0.05, * p<0.1																																																															
