	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
VARIABLES	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction
																								
fert	-2.103	-2.452	-2.539	-1.305	-1.295	-1.373	3.583	5.035	4.972	-17.97	-18.37	-18.76	-5.871	-5.963**	-6.239**	-2.116*	-1.979**	-1.924**	-8.338	-10.30	-9.451	11.12	9.332	9.385
	(2.759)	(2.254)	(2.225)	(1.444)	(1.452)	(1.482)	(9.386)	(6.813)	(6.843)	(15.65)	(17.66)	(17.71)	(3.883)	(2.824)	(3.050)	(1.126)	(0.940)	(0.909)	(20.72)	(14.36)	(13.71)	(12.11)	(10.84)	(10.94)
motherage		-0.358	-0.0705		-1.089*	-1.115*		3.412	3.920		-0.976	-1.468		-2.090	-2.229		-1.157	-1.310		-1.123	-2.636		3.304	3.461
		(1.739)	(1.739)		(0.654)	(0.646)		(5.611)	(5.535)		(4.739)	(4.456)		(2.409)	(2.431)		(0.808)	(0.803)		(6.843)	(6.855)		(5.458)	(5.567)
motheragesq		0.0154	0.00677		0.0393*	0.0399*		-0.100	-0.118		0.0359	0.0553		0.0869	0.0938		0.0448	0.0502*		0.0835	0.139		-0.109	-0.111
		(0.0626)	(0.0626)		(0.0232)	(0.0229)		(0.199)	(0.196)		(0.171)	(0.160)		(0.0884)	(0.0892)		(0.0286)	(0.0284)		(0.247)	(0.248)		(0.194)	(0.198)
motheragecub		-0.000180	-9.71e-05		-0.000461*	-0.000464*		0.000851	0.00106		-0.000443	-0.000683		-0.00114	-0.00122		-0.000558*	-0.000620*		-0.00159	-0.00222		0.00108	0.00107
		(0.000731)	(0.000729)		(0.000268)	(0.000264)		(0.00230)	(0.00226)		(0.00201)	(0.00187)		(0.00105)	(0.00106)		(0.000330)	(0.000328)		(0.00289)	(0.00289)		(0.00222)	(0.00228)
agefirstbirth		0.00154	-0.00259		-0.0283	-0.0321		0.983**	0.969**		-0.821	-0.853		-0.0341	-0.0767		-0.0362	-0.0405		0.605	0.466		0.528	0.507
		(0.123)	(0.125)		(0.0755)	(0.0786)		(0.384)	(0.396)		(0.919)	(0.943)		(0.120)	(0.132)		(0.0420)	(0.0422)		(0.583)	(0.583)		(0.430)	(0.459)
miss_motherage		-11.11	-7.500		-10.74*	-10.97*		27.44	33.08		-25.64	-28.86		-17.60	-18.36		-11.62	-12.92*		-15.02	-26.69		18.02	21.58
		(16.17)	(16.13)		(6.475)	(6.435)		(53.77)	(52.91)		(44.09)	(41.67)		(21.62)	(21.79)		(7.725)	(7.689)		(63.12)	(63.38)		(51.32)	(52.10)
miss_agefirstbirth		-0.778	-0.896		-1.585	-1.726		28.44**	27.99**		-32.07	-33.07		-2.407	-3.443		-1.527	-1.646		12.82	10.09		13.13	12.87
		(4.212)	(4.249)		(2.661)	(2.766)		(13.33)	(13.69)		(32.44)	(33.20)		(3.514)	(3.888)		(1.230)	(1.232)		(17.10)	(17.03)		(12.57)	(13.38)
_mother_edu1		-5.824***	-5.447***		-2.006***	-1.991***		-16.76***	-15.46***		-11.84***	-11.86***		-5.339***	-5.040***		-0.987*	-1.035*		-9.038	-8.490*		-9.625**	-8.826**
		(1.327)	(1.335)		(0.417)	(0.436)		(3.550)	(3.582)		(2.955)	(3.253)		(1.741)	(1.679)		(0.555)	(0.541)		(5.570)	(5.140)		(3.831)	(3.575)
_mother_edu2		-5.709***	-5.445***		-1.832***	-1.852***		-9.769**	-8.813**		-11.23**	-10.98**		-5.816***	-5.548***		-1.631***	-1.636***		-13.60***	-12.20***		-8.472***	-7.856***
		(1.420)	(1.431)		(0.532)	(0.537)		(4.019)	(3.985)		(5.157)	(5.149)		(1.578)	(1.575)		(0.490)	(0.491)		(4.539)	(4.411)		(2.863)	(2.854)
_mother_edu3		-5.162***	-5.009***		-1.314***	-1.364***		-6.083*	-5.395		-10.42**	-10.44**		-4.690***	-4.525***		-1.109***	-1.149***		-8.234**	-7.283*		-2.673	-2.168
		(1.222)	(1.219)		(0.474)	(0.486)		(3.350)	(3.305)		(4.806)	(4.866)		(1.343)	(1.322)		(0.388)	(0.387)		(3.863)	(3.789)		(2.344)	(2.350)
_mother_edu4		-4.461***	-4.265***		-1.160**	-1.233**		-4.718	-4.136		-9.629*	-9.442*		-3.440**	-3.243**		-1.108***	-1.141***		-8.495**	-8.114**		-1.907	-1.683
		(1.322)	(1.299)		(0.543)	(0.545)		(3.695)	(3.652)		(5.692)	(5.593)		(1.396)	(1.376)		(0.393)	(0.392)		(4.143)	(4.028)		(2.479)	(2.479)
_mother_edu5		-2.778***	-2.670***		-0.762**	-0.795**		-2.631	-2.331		-5.817*	-5.788*		-2.540**	-2.433**		-0.564*	-0.613*		-4.840	-4.602		-2.225	-2.108
		(1.038)	(1.035)		(0.364)	(0.370)		(2.791)	(2.764)		(3.261)	(3.273)		(1.228)	(1.207)		(0.335)	(0.335)		(3.488)	(3.386)		(2.053)	(2.023)
_mother_edu7		-6.675***	-6.594***		-0.603	-0.661		-2.996	-2.403		-12.63***	-12.97***		-4.798**	-5.097**		-0.335	-0.453		-3.140	-4.547		-12.44***	-12.78***
		(2.071)	(2.079)		(0.529)	(0.547)		(5.883)	(5.916)		(3.904)	(4.227)		(2.364)	(2.276)		(0.642)	(0.622)		(7.431)	(7.047)		(4.800)	(4.589)
_inc1		3.706	4.254		-1.160	-1.062		-7.013	-5.706		7.296	7.344		-1.229	-2.037		0.315	0.108		-3.200	-2.911		11.26*	10.24
		(3.660)	(3.559)		(1.213)	(1.236)		(8.318)	(8.324)		(7.179)	(6.873)		(2.840)	(2.855)		(1.223)	(1.208)		(8.567)	(8.620)		(6.682)	(6.778)
_inc2		-3.196***	-3.195***		-0.366	-0.315		-13.44***	-13.12***		-1.059	-1.036		-1.279	-1.307		-0.0472	-0.00198		-7.252	-6.998		-8.578*	-8.613*
		(1.035)	(1.037)		(0.493)	(0.501)		(2.975)	(3.016)		(5.375)	(5.377)		(1.451)	(1.561)		(0.473)	(0.486)		(6.162)	(6.311)		(4.545)	(4.889)
_inc3		-1.974**	-1.887**		-0.317	-0.289		-10.04***	-9.662***		-1.314	-1.268		-1.165	-1.161		-0.210	-0.176		-4.935	-4.825		-6.268**	-6.017**
		(0.923)	(0.925)		(0.366)	(0.367)		(2.666)	(2.677)		(3.688)	(3.645)		(1.225)	(1.252)		(0.364)	(0.366)		(4.205)	(4.192)		(2.867)	(2.974)
_inc4		-0.539	-0.448		-0.376*	-0.366		-5.205***	-4.929**		-0.417	-0.324		-1.772*	-1.729*		-0.252	-0.213		-2.741	-2.645		-1.864	-2.131
		(0.785)	(0.777)		(0.226)	(0.227)		(1.965)	(1.943)		(1.940)	(1.904)		(0.983)	(1.001)		(0.264)	(0.270)		(2.800)	(2.854)		(1.559)	(1.619)
_inc6		0.542	0.529		0.00268	0.0277		0.851	0.745		-1.548	-1.507		0.127	-0.00592		0.708***	0.763***		5.801**	5.473**		2.459	2.086
		(0.665)	(0.667)		(0.211)	(0.212)		(1.901)	(1.892)		(1.710)	(1.695)		(0.946)	(0.955)		(0.260)	(0.266)		(2.523)	(2.593)		(1.778)	(1.880)
height			-1.722			1.028			-1.593			0.177			0.380			2.040			-2.249			5.942
			(3.237)			(1.077)			(8.782)			(8.295)			(4.891)			(1.624)			(14.88)			(10.40)
bmi			-0.0983*			0.0272			-0.172			-0.0522			-0.207***			0.0184			-0.350			-0.244
			(0.0540)			(0.0176)			(0.164)			(0.131)			(0.0761)			(0.0230)			(0.218)			(0.162)
daily_cig_before_preg			-0.0150			-0.00145			-0.118			-0.0189			-0.0622			-0.0115			-0.400***			-0.0444
			(0.0319)			(0.0113)			(0.0970)			(0.0761)			(0.0401)			(0.0157)			(0.118)			(0.0894)
weekly_alcohol_b_preg			-0.0900***			-0.00954			-0.0949			-0.135			-0.00386			-0.00529			-0.166			-0.0549
			(0.0336)			(0.00991)			(0.0910)			(0.0842)			(0.0448)			(0.0146)			(0.144)			(0.0848)
complications_during_preg			0.0107			-0.0900			-0.973			-0.194			0.314			0.0135			-2.052			-0.00241
			(0.491)			(0.150)			(1.390)			(1.121)			(0.622)			(0.209)			(1.808)			(1.086)
miss_height			-8.561			1.088			-20.48			-0.919			-2.559			3.433			-12.08			17.49
			(5.995)			(2.053)			(16.60)			(17.57)			(8.256)			(2.725)			(22.24)			(15.13)
miss_bmi			-1.059			0.533			1.092			1.580			-2.994			0.743			-2.269			-17.83
			(2.043)			(0.823)			(6.915)			(7.536)			(3.147)			(1.071)			(12.83)			(10.88)
