	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
VARIABLES	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction
																								
fert	-0.513	-1.696	-1.257	-0.285	-0.402	-0.318	4.499	0.0220	0.632	-7.166	-7.040	-6.361	-3.951	-5.520**	-5.975**	-1.582*	-1.759**	-1.705**	-9.864	-14.46**	-14.42**	-2.431	-4.643	-6.337*
	(2.928)	(1.770)	(1.850)	(0.744)	(0.584)	(0.610)	(12.18)	(8.245)	(8.241)	(6.328)	(4.899)	(5.052)	(3.651)	(2.491)	(2.488)	(0.837)	(0.737)	(0.750)	(9.215)	(6.002)	(6.114)	(4.665)	(3.292)	(3.361)
motherage		-2.371	-1.400		-1.008	-0.861		4.527	6.061		-8.700*	-7.265		-8.120**	-8.228**		-2.115*	-2.092*		-9.033	-9.026		-5.754	-6.461
		(2.535)	(2.517)		(0.805)	(0.815)		(8.018)	(8.177)		(4.946)	(5.085)		(3.491)	(3.476)		(1.105)	(1.102)		(9.878)	(9.976)		(5.681)	(5.750)
motheragesq		0.0740	0.0412		0.0348	0.0301		-0.147	-0.198		0.303*	0.256		0.289**	0.294**		0.0763**	0.0757**		0.376	0.378		0.193	0.220
		(0.0894)	(0.0887)		(0.0276)	(0.0280)		(0.279)	(0.284)		(0.171)	(0.175)		(0.124)	(0.124)		(0.0383)	(0.0382)		(0.346)	(0.350)		(0.200)	(0.202)
motheragecub		-0.000745	-0.000389		-0.000399	-0.000350		0.00145	0.00199		-0.00343*	-0.00293		-0.00332**	-0.00339**		-0.000890**	-0.000886**		-0.00490	-0.00494		-0.00209	-0.00240
		(0.00102)	(0.00101)		(0.000308)	(0.000311)		(0.00313)	(0.00318)		(0.00190)	(0.00194)		(0.00142)	(0.00142)		(0.000430)	(0.000430)		(0.00394)	(0.00398)		(0.00229)	(0.00231)
agefirstbirth		0.176	0.204		0.0250	0.0311		0.950	0.979		-0.152	-0.112		0.0686	0.0351		-0.0180	-0.0151		0.499	0.498		0.167	0.0568
		(0.136)	(0.141)		(0.0440)	(0.0455)		(0.598)	(0.596)		(0.358)	(0.370)		(0.148)	(0.151)		(0.0408)	(0.0415)		(0.354)	(0.363)		(0.204)	(0.217)
_mother_edu1		-4.121**	-4.142**		-1.000*	-0.983*		-8.027	-7.935		6.021**	6.145**		-2.096	-1.954		-1.209**	-1.141*		-9.345	-8.794		2.345	2.112
		(1.836)	(1.828)		(0.523)	(0.521)		(5.491)	(5.542)		(3.039)	(3.097)		(1.775)	(1.808)		(0.608)	(0.612)		(6.012)	(6.056)		(3.734)	(3.848)
_mother_edu2		-1.228	-1.025		0.214	0.247		-0.766	-0.474		8.599***	8.902***		-0.448	-0.373		-0.168	-0.107		-4.325	-3.865		6.166*	5.801*
		(1.636)	(1.611)		(0.445)	(0.440)		(4.546)	(4.625)		(2.738)	(2.813)		(1.593)	(1.616)		(0.539)	(0.545)		(5.509)	(5.558)		(3.300)	(3.412)
_mother_edu3		-0.470	-0.258		0.112	0.154		-0.387	-0.0343		9.884***	10.26***		1.451	1.680		-0.155	-0.0864		-5.942	-5.308		6.648*	6.654*
		(1.662)	(1.639)		(0.457)	(0.452)		(4.731)	(4.800)		(2.898)	(2.975)		(1.572)	(1.604)		(0.541)	(0.545)		(5.542)	(5.588)		(3.415)	(3.558)
_mother_edu4		0.402	0.347		0.832*	0.820*		4.315	4.201		13.10***	13.00***		1.934	2.034		0.382	0.440		0.481	0.950		8.684***	8.435**
		(1.630)	(1.607)		(0.443)	(0.438)		(4.572)	(4.655)		(2.865)	(2.963)		(1.519)	(1.543)		(0.515)	(0.518)		(5.377)	(5.407)		(3.272)	(3.384)
_mother_edu5		1.610	1.411		0.716	0.674		0.471	0.128		13.25***	12.89***		2.354	2.217		0.320	0.373		-1.328	-1.023		9.831**	9.021**
		(1.982)	(1.959)		(0.656)	(0.650)		(6.974)	(7.066)		(4.076)	(4.158)		(1.934)	(1.962)		(0.677)	(0.678)		(7.431)	(7.422)		(4.296)	(4.379)
height			3.334			-0.127			8.064			4.295			1.539			-0.874			-5.442			12.82*
			(3.814)			(1.225)			(12.82)			(7.668)			(3.961)			(1.255)			(12.24)			(7.531)
bmi			-0.189***			-0.0337*			-0.309			-0.310**			-0.158**			-0.0170			-0.205			-0.226*
			(0.0686)			(0.0188)			(0.213)			(0.125)			(0.0712)			(0.0219)			(0.219)			(0.125)
Constant	60.65***	84.27***	72.03***	10.63***	19.63**	18.78**	98.62***	41.86	18.43	137.2***	212.3***	195.5***	71.97***	148.5***	152.4***	15.02***	35.11***	36.39***	139.7***	213.3**	225.8**	125.1***	177.6***	176.1***
	(8.013)	(26.86)	(27.84)	(2.012)	(8.645)	(9.204)	(32.80)	(95.52)	(99.48)	(17.04)	(60.00)	(62.41)	(12.50)	(39.27)	(39.67)	(2.853)	(12.20)	(12.38)	(31.40)	(105.1)	(106.3)	(15.91)	(60.17)	(61.08)
																								
Observations	1,566	1,566	1,566	1,453	1,453	1,453	1,428	1,428	1,428	1,445	1,445	1,445	1,558	1,558	1,558	1,425	1,425	1,425	1,403	1,403	1,403	1,416	1,416	1,416
R-squared	0.009	0.049	0.065	0.008	0.050	0.056		0.067	0.066										0.014	0.020	0.021			
Robust standard errors in parentheses																								
*** p<0.01, ** p<0.05, * p<0.1																								
