	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
fert	-0.666***	-0.647***	-0.536**	-0.536**	-0.140**	-0.133**	-0.0952	-0.0952	-2.555***	-2.531***	-2.191***	-2.191***	-1.052***	-1.007**	-0.753*	-0.753*	-0.0556	-0.0524	-0.0555	-0.0555	-0.104**	-0.104**	-0.109**	-0.109**	0.00836	0.00871	0.00816	0.00816	-1.139***	-1.102***	-0.933***	-0.942***	-0.0912	-0.0855	-0.0210	-0.0195	-2.831***	-2.807***	-2.336***	-2.326***	-0.431	-0.411	0.0596	0.0765	-0.0672	-0.0665	-0.0763	-0.0790	-0.0360	-0.0377	-0.0508	-0.0538	0.000419	0.000583	0.00249	0.00243
	(0.215)	(0.215)	(0.210)	(0.210)	(0.0658)	(0.0658)	(0.0647)	(0.0647)	(0.724)	(0.724)	(0.711)	(0.711)	(0.399)	(0.400)	(0.396)	(0.396)	(0.0470)	(0.0470)	(0.0473)	(0.0473)	(0.0425)	(0.0425)	(0.0430)	(0.0430)	(0.00684)	(0.00688)	(0.00691)	(0.00691)	(0.271)	(0.263)	(0.264)	(0.263)	(0.0781)	(0.0782)	(0.0790)	(0.0790)	(0.797)	(0.799)	(0.815)	(0.814)	(0.475)	(0.475)	(0.470)	(0.470)	(0.0558)	(0.0557)	(0.0560)	(0.0557)	(0.0491)	(0.0491)	(0.0496)	(0.0498)	(0.00794)	(0.00793)	(0.00797)	(0.00798)
motherage	-10.12	-10.00	-8.999	-8.999	-2.540	-2.604*	-2.290	-2.290	-20.26	-20.49	-16.92	-16.92	-3.832	-4.256	-3.135	-3.135	0.901	0.872	0.901	0.901	1.545	1.544	1.528	1.528	-0.249	-0.252	-0.238	-0.238	-18.05**	-18.41**	-17.21**	-16.91**	0.240	0.118	0.521	0.498	-20.86	-21.45	-17.36	-17.53	11.13	10.54	12.71	12.43	-2.503*	-2.528*	-2.572*	-2.507*	1.586	1.613	1.568	1.642	-0.241	-0.244	-0.250	-0.249
	(6.257)	(6.214)	(5.990)	(5.990)	(1.566)	(1.566)	(1.558)	(1.558)	(16.41)	(16.30)	(16.12)	(16.12)	(8.985)	(9.008)	(9.013)	(9.013)	(1.077)	(1.078)	(1.079)	(1.079)	(0.959)	(0.959)	(0.959)	(0.959)	(0.159)	(0.160)	(0.159)	(0.159)	(8.931)	(8.756)	(8.352)	(8.322)	(2.407)	(2.413)	(2.330)	(2.332)	(24.55)	(24.49)	(24.12)	(24.14)	(13.38)	(13.32)	(12.70)	(12.72)	(1.500)	(1.501)	(1.490)	(1.484)	(1.289)	(1.285)	(1.289)	(1.282)	(0.227)	(0.228)	(0.230)	(0.230)
motheragesq	0.303	0.300	0.261	0.261	0.0915*	0.0937*	0.0810	0.0810	0.654	0.660	0.518	0.518	0.126	0.141	0.0878	0.0878	-0.0313	-0.0302	-0.0316	-0.0316	-0.0541	-0.0541	-0.0535	-0.0535	0.00701	0.00713	0.00658	0.00658	0.593*	0.608**	0.558*	0.549*	-0.00481	-0.000301	-0.0156	-0.0151	0.661	0.683	0.545	0.549	-0.429	-0.407	-0.497	-0.490	0.0821	0.0831	0.0854	0.0838	-0.0678	-0.0687	-0.0667	-0.0685	0.00656	0.00664	0.00678	0.00675
	(0.213)	(0.212)	(0.205)	(0.205)	(0.0554)	(0.0554)	(0.0551)	(0.0551)	(0.576)	(0.573)	(0.566)	(0.566)	(0.324)	(0.325)	(0.325)	(0.325)	(0.0391)	(0.0391)	(0.0392)	(0.0392)	(0.0345)	(0.0345)	(0.0345)	(0.0345)	(0.00569)	(0.00569)	(0.00569)	(0.00569)	(0.312)	(0.306)	(0.291)	(0.290)	(0.0837)	(0.0839)	(0.0810)	(0.0811)	(0.862)	(0.860)	(0.842)	(0.843)	(0.470)	(0.468)	(0.446)	(0.447)	(0.0528)	(0.0528)	(0.0524)	(0.0522)	(0.0449)	(0.0447)	(0.0449)	(0.0447)	(0.00795)	(0.00796)	(0.00805)	(0.00804)
motheragecub	-0.00298	-0.00294	-0.00244	-0.00244	-0.00103*	-0.00105*	-0.000884	-0.000884	-0.00654	-0.00659	-0.00477	-0.00477	-0.00121	-0.00137	-0.000607	-0.000607	0.000303	0.000291	0.000310	0.000310	0.000577	0.000577	0.000569	0.000569	-6.56e-05	-6.69e-05	-6.02e-05	-6.02e-05	-0.00630*	-0.00648*	-0.00585*	-0.00577*	1.23e-05	-4.23e-05	0.000140	0.000137	-0.00658	-0.00683	-0.00532	-0.00535	0.00519	0.00493	0.00606	0.00601	-0.000886	-0.000897	-0.000930	-0.000918	0.000865*	0.000876*	0.000849*	0.000862*	-5.83e-05	-5.92e-05	-6.00e-05	-5.97e-05
