	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																
fert	-0.382	-0.389	-0.350	-0.350	-0.0211	-0.0215	-0.0233	-0.0233	-2.218**	-2.227**	-2.235**	-2.235**	-0.721	-0.725	-0.700	-0.700	-1.106***	-1.111***	-1.098***	-1.104***	-0.0145	-0.0147	-0.00916	-0.00692	-2.360**	-2.363**	-2.283**	-2.281**	0.257	0.246	0.402	0.436
	(0.258)	(0.258)	(0.256)	(0.256)	(0.0833)	(0.0835)	(0.0826)	(0.0826)	(0.913)	(0.913)	(0.903)	(0.903)	(0.512)	(0.512)	(0.509)	(0.509)	(0.297)	(0.297)	(0.298)	(0.297)	(0.0939)	(0.0941)	(0.0937)	(0.0939)	(0.958)	(0.959)	(0.960)	(0.959)	(0.569)	(0.569)	(0.567)	(0.566)
motherage	-10.53	-9.797	-8.900	-8.900	-2.798	-2.741	-2.437	-2.437	-41.12	-39.61	-36.15	-36.15	13.41	14.08	15.68	15.68	-13.19	-12.84	-11.33	-11.14	-1.729	-1.689	-1.170	-1.238	-80.53**	-80.02**	-74.10**	-74.17**	4.510	6.186	9.747	8.783
	(9.819)	(9.848)	(9.594)	(9.594)	(3.236)	(3.235)	(3.213)	(3.213)	(29.67)	(29.69)	(30.60)	(30.60)	(16.19)	(16.24)	(16.41)	(16.41)	(10.59)	(10.59)	(10.30)	(10.32)	(3.983)	(3.994)	(3.900)	(3.895)	(34.97)	(34.98)	(35.21)	(35.24)	(19.78)	(19.92)	(19.26)	(19.29)
motheragesq	0.301	0.276	0.241	0.241	0.0964	0.0945	0.0829	0.0829	1.333	1.284	1.148	1.148	-0.478	-0.499	-0.564	-0.564	0.416	0.404	0.353	0.347	0.0708	0.0695	0.0519	0.0542	2.723**	2.706**	2.500**	2.502**	-0.216	-0.270	-0.397	-0.365
	(0.349)	(0.351)	(0.342)	(0.342)	(0.113)	(0.112)	(0.112)	(0.112)	(1.060)	(1.060)	(1.088)	(1.088)	(0.570)	(0.572)	(0.577)	(0.577)	(0.379)	(0.379)	(0.370)	(0.370)	(0.139)	(0.139)	(0.136)	(0.135)	(1.269)	(1.269)	(1.268)	(1.269)	(0.713)	(0.718)	(0.692)	(0.694)
motheragecub	-0.00273	-0.00247	-0.00200	-0.00200	-0.00110	-0.00108	-0.000922	-0.000922	-0.0138	-0.0133	-0.0115	-0.0115	0.00557	0.00578	0.00666	0.00666	-0.00411	-0.00399	-0.00340	-0.00332	-0.000957	-0.000944	-0.000743	-0.000770	-0.0300**	-0.0298**	-0.0274*	-0.0274*	0.00324	0.00381	0.00530	0.00491
	(0.00408)	(0.00409)	(0.00400)	(0.00400)	(0.00128)	(0.00128)	(0.00127)	(0.00127)	(0.0124)	(0.0124)	(0.0127)	(0.0127)	(0.00652)	(0.00654)	(0.00661)	(0.00661)	(0.00445)	(0.00446)	(0.00435)	(0.00435)	(0.00158)	(0.00159)	(0.00154)	(0.00154)	(0.0150)	(0.0150)	(0.0149)	(0.0149)	(0.00833)	(0.00839)	(0.00808)	(0.00810)
agefirstbirth	0.347***	0.338***	0.233***	0.233***	0.0732***	0.0724***	0.0408***	0.0408***	1.122***	1.101***	0.777***	0.777***	0.389***	0.380***	0.236***	0.236***	0.368***	0.365***	0.230***	0.226***	0.0986***	0.0981***	0.0643***	0.0659***	1.483***	1.476***	1.069***	1.071***	0.487***	0.467***	0.287**	0.311***
	(0.0443)	(0.0444)	(0.0465)	(0.0465)	(0.0145)	(0.0147)	(0.0152)	(0.0152)	(0.161)	(0.162)	(0.168)	(0.168)	(0.0835)	(0.0850)	(0.0877)	(0.0877)	(0.0539)	(0.0541)	(0.0573)	(0.0576)	(0.0164)	(0.0165)	(0.0177)	(0.0179)	(0.181)	(0.182)	(0.193)	(0.195)	(0.108)	(0.110)	(0.112)	(0.112)
_mother_edu1			-1.244	-1.244			-0.975**	-0.975**			-5.936	-5.936			4.751*	4.751*			-1.518	-1.554			-0.670	-0.659			-3.514	-3.505			3.064	3.209
			(1.677)	(1.677)			(0.416)	(0.416)			(5.463)	(5.463)			(2.502)	(2.502)			(1.193)	(1.201)			(0.428)	(0.428)			(4.129)	(4.124)			(2.327)	(2.329)
_mother_edu2			1.243	1.243			-0.0161	-0.0161			2.678	2.678			7.047***	7.047***			1.135	1.103			0.318	0.326			3.621	3.628			7.067***	7.182***
			(1.584)	(1.584)			(0.366)	(0.366)			(4.903)	(4.903)			(2.249)	(2.249)			(1.046)	(1.053)			(0.384)	(0.385)			(3.610)	(3.611)			(2.044)	(2.040)
_mother_edu3			2.819*	2.819*			0.0243	0.0243			4.407	4.407			9.204***	9.204***			3.045***	3.017***			0.332	0.336			5.220	5.223			7.526***	7.583***
			(1.633)	(1.633)			(0.377)	(0.377)			(5.048)	(5.048)			(2.348)	(2.348)			(1.103)	(1.109)			(0.392)	(0.392)			(3.750)	(3.750)			(2.176)	(2.171)
_mother_edu4			3.772**	3.772**			0.706*	0.706*			10.81**	10.81**			10.68***	10.68***			3.919***	3.891***			0.943**	0.951**			12.24***	12.25***			10.63***	10.74***
			(1.597)	(1.597)			(0.363)	(0.363)			(4.902)	(4.902)			(2.274)	(2.274)			(1.056)	(1.064)			(0.387)	(0.387)			(3.686)	(3.687)			(2.075)	(2.071)
_mother_edu5			6.125***	6.125***			1.194***	1.194***			13.67**	13.67**			13.42***	13.42***			5.279***	5.249***			1.231**	1.238**			15.64***	15.65***			12.69***	12.80***
			(1.696)	(1.696)			(0.425)	(0.425)			(5.470)	(5.470)			(2.587)	(2.587)			(1.282)	(1.290)			(0.497)	(0.498)			(4.621)	(4.623)			(2.525)	(2.520)
height		5.115*	5.073*	5.073*		0.445	0.443	0.443		11.67	11.54	11.54		5.256	5.264	5.264		2.351	1.220	1.294		0.331	0.0494	0.0130		4.335	1.260	1.227		13.56**	11.82**	11.33**
