	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
fert	-0.557*	-0.576**	-0.439	-0.439	-0.175*	-0.177*	-0.154	-0.154	-3.601***	-3.696***	-3.421***	-3.421***	-1.137*	-1.163*	-0.974	-0.974	-0.0157	-0.0122	-0.0219	-0.0219	-0.0563	-0.0547	-0.0573	-0.0573	9.53e-05	-0.000125	-0.000659	-0.000659	-0.953**	-0.963***	-0.940***	-1.016***	0.0128	0.0144	0.0480	0.0569	-3.177**	-3.142**	-2.961**	-2.879**	-0.342	-0.330	-0.0870	-0.00600	-0.0581	-0.0577	-0.0813	-0.0878	-0.00108	-0.000795	-0.0159	-0.0287	-0.00774	-0.00778	-0.00551	-0.00697
	(0.289)	(0.290)	(0.287)	(0.287)	(0.0957)	(0.0959)	(0.0939)	(0.0939)	(1.129)	(1.129)	(1.094)	(1.094)	(0.620)	(0.621)	(0.611)	(0.611)	(0.0647)	(0.0648)	(0.0645)	(0.0645)	(0.0583)	(0.0584)	(0.0587)	(0.0587)	(0.00999)	(0.0100)	(0.0100)	(0.0100)	(0.371)	(0.367)	(0.361)	(0.357)	(0.115)	(0.115)	(0.115)	(0.115)	(1.306)	(1.313)	(1.317)	(1.313)	(0.766)	(0.767)	(0.748)	(0.750)	(0.0785)	(0.0784)	(0.0778)	(0.0779)	(0.0686)	(0.0686)	(0.0698)	(0.0693)	(0.0127)	(0.0127)	(0.0125)	(0.0127)
motherage	-19.47**	-19.04**	-17.60**	-17.60**	-3.882*	-3.868*	-2.993	-2.993	-29.60	-27.79	-20.80	-20.80	-1.632	-1.758	2.758	2.758	0.832	0.794	0.773	0.773	2.416*	2.420*	2.342	2.342	-0.279	-0.282	-0.295	-0.295	-25.10**	-23.87**	-21.76**	-20.38*	1.321	1.344	2.282	2.172	6.300	7.061	9.930	8.854	5.713	5.977	10.30	9.267	-5.818***	-5.791***	-5.890***	-5.799***	-0.184	-0.162	-0.239	-0.0614	-0.514*	-0.516*	-0.503	-0.482
	(9.305)	(9.072)	(8.708)	(8.708)	(2.340)	(2.339)	(2.320)	(2.320)	(28.73)	(28.08)	(27.72)	(27.72)	(12.91)	(12.96)	(12.48)	(12.48)	(1.644)	(1.644)	(1.641)	(1.641)	(1.436)	(1.439)	(1.442)	(1.442)	(0.247)	(0.247)	(0.251)	(0.251)	(12.28)	(11.72)	(11.01)	(10.86)	(3.245)	(3.283)	(3.213)	(3.222)	(34.42)	(33.85)	(33.16)	(33.30)	(18.10)	(18.16)	(17.73)	(17.84)	(1.924)	(1.918)	(1.941)	(1.935)	(1.680)	(1.670)	(1.691)	(1.677)	(0.307)	(0.307)	(0.311)	(0.310)
motheragesq	0.570*	0.549*	0.499*	0.499*	0.146*	0.144*	0.114	0.114	0.978	0.895	0.660	0.660	0.0204	0.0159	-0.145	-0.145	-0.0176	-0.0155	-0.0151	-0.0151	-0.0799	-0.0796	-0.0770	-0.0770	0.00599	0.00604	0.00638	0.00638	0.817*	0.771*	0.688*	0.648*	-0.0351	-0.0355	-0.0710	-0.0686	-0.342	-0.387	-0.468	-0.444	-0.223	-0.235	-0.409	-0.386	0.195***	0.194***	0.199***	0.197***	-0.00440	-0.00579	-0.00249	-0.00658	0.0156	0.0158	0.0151	0.0146
	(0.318)	(0.310)	(0.298)	(0.298)	(0.0812)	(0.0812)	(0.0802)	(0.0802)	(0.990)	(0.971)	(0.954)	(0.954)	(0.459)	(0.461)	(0.444)	(0.444)	(0.0574)	(0.0574)	(0.0572)	(0.0572)	(0.0503)	(0.0504)	(0.0505)	(0.0505)	(0.00886)	(0.00885)	(0.00898)	(0.00898)	(0.427)	(0.408)	(0.381)	(0.377)	(0.110)	(0.112)	(0.109)	(0.109)	(1.183)	(1.164)	(1.133)	(1.138)	(0.627)	(0.628)	(0.611)	(0.614)	(0.0662)	(0.0661)	(0.0668)	(0.0665)	(0.0575)	(0.0572)	(0.0579)	(0.0575)	(0.0106)	(0.0106)	(0.0108)	(0.0108)
motheragecub	-0.00542	-0.00515	-0.00457	-0.00457	-0.00163*	-0.00161*	-0.00126	-0.00126	-0.00990	-0.00883	-0.00614	-0.00614	0.000331	0.000451	0.00235	0.00235	5.62e-05	2.64e-05	2.81e-05	2.81e-05	0.000845	0.000837	0.000808	0.000808	-3.88e-05	-3.87e-05	-4.17e-05	-4.17e-05	-0.00846*	-0.00793*	-0.00691	-0.00654	0.000342	0.000344	0.000764	0.000747	0.00513	0.00577	0.00654	0.00636	0.00309	0.00325	0.00538	0.00520	-0.00212***	-0.00209***	-0.00217***	-0.00215***	0.000188	0.000208	0.000167	0.000199	-0.000155	-0.000158	-0.000149	-0.000145
