	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																
fert	-0.344	-0.364	-0.233	-0.233	-0.0566	-0.0600	-0.0583	-0.0583	-3.315**	-3.379**	-3.317**	-3.317**	0.0527	0.0166	0.109	0.109	-0.987**	-0.992**	-1.069***	-1.112***	0.0753	0.0776	0.0708	0.0828	-1.847	-1.806	-1.848	-1.712	0.643	0.664	0.731	0.832
	(0.355)	(0.354)	(0.353)	(0.353)	(0.116)	(0.116)	(0.115)	(0.115)	(1.405)	(1.399)	(1.362)	(1.362)	(0.733)	(0.734)	(0.730)	(0.730)	(0.400)	(0.398)	(0.403)	(0.401)	(0.128)	(0.128)	(0.132)	(0.132)	(1.426)	(1.430)	(1.454)	(1.453)	(0.804)	(0.807)	(0.822)	(0.825)
motherage	-0.704	1.101	1.526	1.526	-1.052	-0.770	-0.459	-0.459	-39.04	-33.57	-32.79	-32.79	37.58	40.63*	39.62	39.62	-11.28	-10.10	-9.775	-8.691	5.913	6.133	5.398	5.104	-44.57	-41.29	-47.03	-50.43	30.07	32.49	30.98	28.59
	(14.67)	(14.69)	(13.94)	(13.94)	(4.933)	(4.901)	(4.690)	(4.690)	(49.26)	(49.14)	(49.43)	(49.43)	(24.15)	(24.13)	(24.37)	(24.37)	(14.92)	(14.87)	(14.10)	(14.06)	(4.912)	(4.961)	(4.871)	(4.868)	(53.41)	(54.07)	(54.83)	(55.35)	(27.70)	(28.01)	(27.54)	(27.79)
motheragesq	-0.143	-0.211	-0.222	-0.222	0.0437	0.0335	0.0204	0.0204	1.302	1.103	1.053	1.053	-1.384	-1.495*	-1.458*	-1.458*	0.299	0.256	0.240	0.204	-0.182	-0.191	-0.166	-0.157	1.399	1.273	1.472	1.582	-1.142	-1.235	-1.187	-1.109
	(0.518)	(0.520)	(0.496)	(0.496)	(0.171)	(0.170)	(0.163)	(0.163)	(1.743)	(1.743)	(1.748)	(1.748)	(0.845)	(0.846)	(0.854)	(0.854)	(0.526)	(0.525)	(0.500)	(0.498)	(0.174)	(0.175)	(0.171)	(0.171)	(1.955)	(1.974)	(1.989)	(2.004)	(0.994)	(1.005)	(0.984)	(0.994)
motheragecub	0.00333	0.00411	0.00429	0.00429	-0.000496	-0.000380	-0.000181	-0.000181	-0.0134	-0.0112	-0.0100	-0.0100	0.0162*	0.0175*	0.0171*	0.0171*	-0.00214	-0.00163	-0.00134	-0.000922	0.00181	0.00191	0.00166	0.00155	-0.0146	-0.0131	-0.0151	-0.0163	0.0144	0.0155	0.0151	0.0142
	(0.00601)	(0.00605)	(0.00581)	(0.00581)	(0.00194)	(0.00193)	(0.00186)	(0.00186)	(0.0203)	(0.0203)	(0.0203)	(0.0203)	(0.00960)	(0.00962)	(0.00974)	(0.00974)	(0.00609)	(0.00609)	(0.00582)	(0.00580)	(0.00201)	(0.00202)	(0.00197)	(0.00196)	(0.0233)	(0.0235)	(0.0236)	(0.0237)	(0.0116)	(0.0118)	(0.0115)	(0.0116)
agefirstbirth	0.392***	0.379***	0.284***	0.284***	0.0606***	0.0579**	0.0249	0.0249	1.140***	1.091***	0.662**	0.662**	0.533***	0.505***	0.375***	0.375***	0.384***	0.378***	0.235***	0.220***	0.0774***	0.0757***	0.0513**	0.0562**	1.558***	1.534***	1.089***	1.145***	0.431***	0.412***	0.223	0.264*
	(0.0625)	(0.0623)	(0.0673)	(0.0673)	(0.0230)	(0.0230)	(0.0232)	(0.0232)	(0.280)	(0.279)	(0.289)	(0.289)	(0.126)	(0.130)	(0.134)	(0.134)	(0.0737)	(0.0736)	(0.0785)	(0.0790)	(0.0247)	(0.0247)	(0.0257)	(0.0262)	(0.297)	(0.297)	(0.306)	(0.311)	(0.153)	(0.155)	(0.156)	(0.160)
_mother_edu1			-3.693	-3.693			-0.584	-0.584			-2.167	-2.167			3.707	3.707			-2.210	-2.316			-0.320	-0.297			-0.0361	0.221			4.337	4.518
			(2.464)	(2.464)			(0.607)	(0.607)			(8.690)	(8.690)			(3.586)	(3.586)			(1.679)	(1.698)			(0.615)	(0.613)			(5.880)	(5.838)			(3.548)	(3.551)
_mother_edu2			0.113	0.113			0.612	0.612			10.04	10.04			6.178**	6.178**			1.996	1.898			0.813	0.835			9.193*	9.444*			5.857*	6.042*
			(2.269)	(2.269)			(0.513)	(0.513)			(7.433)	(7.433)			(3.091)	(3.091)			(1.436)	(1.455)			(0.540)	(0.539)			(5.008)	(4.981)			(3.239)	(3.247)
_mother_edu3			1.757	1.757			0.225	0.225			10.45	10.45			8.117**	8.117**			3.493**	3.422**			0.489	0.493			10.31**	10.34**			5.772*	5.805*
			(2.353)	(2.353)			(0.543)	(0.543)			(7.803)	(7.803)			(3.220)	(3.220)			(1.516)	(1.535)			(0.559)	(0.557)			(5.171)	(5.134)			(3.368)	(3.366)
_mother_edu4			2.305	2.305			1.350***	1.350***			20.65***	20.65***			9.038***	9.038***			4.976***	4.896***			1.246**	1.266**			19.40***	19.62***			10.62***	10.78***
			(2.274)	(2.274)			(0.520)	(0.520)			(7.498)	(7.498)			(3.138)	(3.138)			(1.468)	(1.484)			(0.551)	(0.550)			(5.155)	(5.131)			(3.325)	(3.327)
_mother_edu5			4.069*	4.069*			1.716***	1.716***			21.06**	21.06**			12.46***	12.46***			4.661***	4.615***			0.850	0.847			19.43***	19.44***			11.86***	11.85***
			(2.402)	(2.402)			(0.634)	(0.634)			(8.605)	(8.605)			(3.674)	(3.674)			(1.786)	(1.789)			(0.769)	(0.771)			(7.025)	(6.960)			(4.094)	(4.119)
height		8.997**	7.834*	7.834*		1.544	0.925	0.925		29.70*	23.67	23.67		16.62*	15.57*	15.57*		6.720	4.038	4.440		1.457	0.847	0.691		22.04	13.50	11.82		15.83*	12.20	10.95
