	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
fert	-0.776**	-0.669**	-0.569*	-0.569*	-0.105	-0.0756	-0.0190	-0.0190	-1.551*	-1.292	-0.769	-0.769	-0.969*	-0.819	-0.468	-0.468	-0.0933	-0.0854	-0.0852	-0.0852	-0.163***	-0.162***	-0.170***	-0.170***	0.0165*	0.0172*	0.0142	0.0142	-1.322***	-1.241***	-0.941**	-0.949***	-0.185*	-0.182*	-0.106	-0.107	-2.330**	-2.237**	-1.500	-1.489	-0.413	-0.410	0.221	0.213	-0.0613	-0.0530	-0.0457	-0.0408	-0.0596	-0.0582	-0.0673	-0.0634	0.00948	0.00971	0.0107	0.0102
	(0.321)	(0.318)	(0.312)	(0.312)	(0.0919)	(0.0909)	(0.0895)	(0.0895)	(0.900)	(0.895)	(0.900)	(0.900)	(0.502)	(0.507)	(0.516)	(0.516)	(0.0682)	(0.0681)	(0.0689)	(0.0689)	(0.0607)	(0.0613)	(0.0626)	(0.0626)	(0.00939)	(0.00951)	(0.00965)	(0.00965)	(0.382)	(0.364)	(0.367)	(0.367)	(0.106)	(0.106)	(0.108)	(0.107)	(0.972)	(0.969)	(1.004)	(1.004)	(0.592)	(0.588)	(0.602)	(0.602)	(0.0792)	(0.0798)	(0.0814)	(0.0808)	(0.0682)	(0.0683)	(0.0694)	(0.0698)	(0.0102)	(0.0102)	(0.0104)	(0.0104)
motherage	-0.0505	-0.368	1.463	1.463	-0.390	-0.482	-0.300	-0.300	-6.345	-7.081	-4.524	-4.524	-3.076	-3.542	-2.757	-2.757	0.894	0.858	0.817	0.817	0.791	0.775	0.809	0.809	-0.300	-0.302	-0.245	-0.245	-6.824	-7.868	-6.278	-6.419	-2.183	-2.445	-1.712	-1.711	-65.78**	-67.60**	-62.41*	-62.43*	17.28	14.75	18.96	18.98	1.622	1.465	1.378	1.422	3.566*	3.539*	3.567*	3.601*	-0.108	-0.104	-0.107	-0.111
	(6.895)	(6.877)	(6.875)	(6.875)	(1.953)	(1.930)	(1.912)	(1.912)	(17.69)	(17.61)	(17.53)	(17.53)	(11.66)	(11.62)	(11.66)	(11.66)	(1.399)	(1.402)	(1.414)	(1.414)	(1.271)	(1.274)	(1.275)	(1.275)	(0.186)	(0.186)	(0.183)	(0.183)	(10.29)	(10.26)	(10.23)	(10.24)	(3.533)	(3.513)	(3.448)	(3.449)	(33.00)	(33.00)	(33.40)	(33.47)	(21.74)	(21.37)	(20.64)	(20.63)	(2.294)	(2.303)	(2.278)	(2.283)	(2.097)	(2.103)	(2.076)	(2.055)	(0.384)	(0.385)	(0.387)	(0.387)
motheragesq	-0.000801	0.0135	-0.0620	-0.0620	0.00963	0.0145	0.00446	0.00446	0.181	0.217	0.0871	0.0871	0.134	0.157	0.102	0.102	-0.0412	-0.0395	-0.0383	-0.0383	-0.0333	-0.0324	-0.0336	-0.0336	0.0108	0.0108	0.00873	0.00873	0.231	0.265	0.198	0.202	0.0794	0.0897	0.0617	0.0617	2.390**	2.454**	2.252*	2.252*	-0.633	-0.531	-0.691	-0.691	-0.0620	-0.0566	-0.0543	-0.0560	-0.141*	-0.140*	-0.141*	-0.142*	0.00245	0.00225	0.00226	0.00242
	(0.244)	(0.244)	(0.245)	(0.245)	(0.0689)	(0.0682)	(0.0678)	(0.0678)	(0.626)	(0.623)	(0.619)	(0.619)	(0.419)	(0.417)	(0.418)	(0.418)	(0.0508)	(0.0509)	(0.0513)	(0.0513)	(0.0463)	(0.0464)	(0.0465)	(0.0465)	(0.00674)	(0.00675)	(0.00669)	(0.00669)	(0.368)	(0.367)	(0.366)	(0.366)	(0.125)	(0.124)	(0.122)	(0.122)	(1.179)	(1.178)	(1.185)	(1.188)	(0.773)	(0.760)	(0.737)	(0.736)	(0.0822)	(0.0824)	(0.0816)	(0.0818)	(0.0747)	(0.0750)	(0.0742)	(0.0734)	(0.0137)	(0.0138)	(0.0138)	(0.0138)
motheragecub	-5.04e-05	-0.000228	0.000717	0.000717	-0.000154	-0.000218	-7.23e-05	-7.23e-05	-0.00191	-0.00237	-0.000543	-0.000543	-0.00185	-0.00214	-0.00127	-0.00127	0.000505	0.000482	0.000472	0.000472	0.000383	0.000369	0.000383	0.000383	-0.000123	-0.000123	-9.90e-05	-9.90e-05	-0.00261	-0.00301	-0.00211	-0.00215	-0.00101	-0.00113	-0.000792	-0.000793	-0.0277**	-0.0285**	-0.0260*	-0.0260*	0.00709	0.00585	0.00778	0.00778	0.000742	0.000679	0.000660	0.000681	0.00169**	0.00168*	0.00168**	0.00170**	-1.92e-05	-1.67e-05	-1.59e-05	-1.78e-05
