	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																
fert	-0.301	-0.301	-0.365	-0.365	0.0199	0.0191	0.00540	0.00540	-0.710	-0.712	-0.909	-0.909	-1.208*	-1.212*	-1.240*	-1.240*	-1.321***	-1.311***	-1.195***	-1.201***	-0.189	-0.185	-0.163	-0.163	-2.597**	-2.550**	-2.425*	-2.391*	-0.0738	-0.0883	0.205	0.200
	(0.405)	(0.405)	(0.402)	(0.402)	(0.121)	(0.120)	(0.120)	(0.120)	(1.139)	(1.141)	(1.148)	(1.148)	(0.709)	(0.707)	(0.711)	(0.711)	(0.420)	(0.420)	(0.417)	(0.417)	(0.135)	(0.135)	(0.133)	(0.133)	(1.246)	(1.243)	(1.236)	(1.231)	(0.755)	(0.756)	(0.738)	(0.738)
motherage	-21.35*	-21.20*	-16.51	-16.51	-4.713	-4.743	-3.445	-3.445	-48.82	-48.92	-37.60	-37.60	-7.341	-7.671	-1.153	-1.153	-14.40	-14.57	-11.23	-11.27	-8.453	-8.510*	-7.082	-7.096	-113.8**	-114.3**	-104.4**	-105.0**	-10.46	-10.25	-0.168	-0.0408
	(12.86)	(12.86)	(12.76)	(12.76)	(4.212)	(4.208)	(4.431)	(4.431)	(34.49)	(34.55)	(35.09)	(35.09)	(23.56)	(23.59)	(24.07)	(24.07)	(14.31)	(14.34)	(14.33)	(14.30)	(5.146)	(5.135)	(5.226)	(5.233)	(45.95)	(46.03)	(45.60)	(45.68)	(30.10)	(30.13)	(29.71)	(29.63)
motheragesq	0.771*	0.769*	0.587	0.587	0.151	0.151	0.102	0.102	1.549	1.550	1.123	1.123	0.311	0.313	0.0568	0.0568	0.496	0.499	0.381	0.381	0.292	0.293	0.242	0.242	3.962**	3.967**	3.608**	3.629**	0.356	0.354	0.00131	-0.00302
	(0.458)	(0.458)	(0.452)	(0.452)	(0.146)	(0.146)	(0.153)	(0.153)	(1.206)	(1.208)	(1.222)	(1.222)	(0.834)	(0.835)	(0.850)	(0.850)	(0.520)	(0.521)	(0.520)	(0.520)	(0.181)	(0.180)	(0.183)	(0.183)	(1.643)	(1.647)	(1.628)	(1.633)	(1.093)	(1.093)	(1.079)	(1.076)
motheragecub	-0.00897*	-0.00897*	-0.00673	-0.00673	-0.00167	-0.00166	-0.00108	-0.00108	-0.0162	-0.0162	-0.0111	-0.0111	-0.00365	-0.00359	-0.000368	-0.000368	-0.00552	-0.00554	-0.00417	-0.00418	-0.00342*	-0.00341*	-0.00283	-0.00283	-0.0447**	-0.0446**	-0.0405**	-0.0407**	-0.00427	-0.00429	-0.000301	-0.000263
	(0.00534)	(0.00533)	(0.00524)	(0.00524)	(0.00165)	(0.00165)	(0.00173)	(0.00173)	(0.0137)	(0.0138)	(0.0139)	(0.0139)	(0.00959)	(0.00960)	(0.00975)	(0.00975)	(0.00617)	(0.00618)	(0.00618)	(0.00617)	(0.00207)	(0.00206)	(0.00209)	(0.00209)	(0.0192)	(0.0193)	(0.0190)	(0.0191)	(0.0128)	(0.0128)	(0.0126)	(0.0126)
agefirstbirth	0.328***	0.323***	0.201***	0.201***	0.0889***	0.0904***	0.0602***	0.0602***	1.152***	1.157***	0.919***	0.919***	0.342***	0.359***	0.227**	0.227**	0.349***	0.354***	0.222***	0.227***	0.119***	0.122***	0.0778***	0.0770***	1.437***	1.465***	1.138***	1.103***	0.583***	0.573***	0.424***	0.431***
	(0.0643)	(0.0651)	(0.0657)	(0.0657)	(0.0186)	(0.0189)	(0.0203)	(0.0203)	(0.183)	(0.180)	(0.187)	(0.187)	(0.106)	(0.107)	(0.113)	(0.113)	(0.0775)	(0.0786)	(0.0823)	(0.0827)	(0.0203)	(0.0206)	(0.0233)	(0.0235)	(0.199)	(0.201)	(0.225)	(0.225)	(0.148)	(0.149)	(0.155)	(0.153)
_mother_edu1			1.560	1.560			-1.088*	-1.088*			-7.553	-7.553			7.065**	7.065**			-0.806	-0.750			-0.672	-0.680			-5.167	-5.492			1.922	1.985
			(2.176)	(2.176)			(0.605)	(0.605)			(5.969)	(5.969)			(3.348)	(3.348)			(1.708)	(1.708)			(0.527)	(0.529)			(5.280)	(5.265)			(2.837)	(2.855)
_mother_edu2			2.603	2.603			-0.450	-0.450			-5.147	-5.147			9.076***	9.076***			-0.0406	0.00660			-0.152	-0.156			-2.410	-2.565			8.391***	8.423***
			(2.080)	(2.080)			(0.561)	(0.561)			(5.442)	(5.442)			(3.130)	(3.130)			(1.502)	(1.499)			(0.464)	(0.464)			(4.871)	(4.862)			(2.403)	(2.389)
_mother_edu3			4.158*	4.158*			0.107	0.107			-1.516	-1.516			11.77***	11.77***			2.488	2.537			0.146	0.142			-0.322	-0.452			9.481***	9.510***
			(2.181)	(2.181)			(0.563)	(0.563)			(5.614)	(5.614)			(3.308)	(3.308)			(1.612)	(1.607)			(0.464)	(0.464)			(5.223)	(5.201)			(2.636)	(2.627)
_mother_edu4			5.590***	5.590***			0.247	0.247			0.595	0.595			13.25***	13.25***			2.528*	2.572*			0.676	0.672			3.872	3.724			10.55***	10.58***
			(2.117)	(2.117)			(0.546)	(0.546)			(5.460)	(5.460)			(3.135)	(3.135)			(1.521)	(1.519)			(0.461)	(0.460)			(4.953)	(4.945)			(2.373)	(2.363)
_mother_edu5			8.879***	8.879***			0.789	0.789			5.367	5.367			14.54***	14.54***			5.393***	5.465***			1.283**	1.271**			8.574	8.138			12.79***	12.88***
			(2.342)	(2.342)			(0.587)	(0.587)			(5.924)	(5.924)			(3.394)	(3.394)			(1.833)	(1.840)			(0.532)	(0.535)			(5.902)	(5.911)			(2.944)	(2.936)
height		2.949	3.832	3.832		-0.781	-0.479	-0.479		-2.560	-0.487	-0.487		-8.592	-7.420	-7.420		-2.490	-2.204	-2.215		-1.480	-1.349	-1.349		-14.97	-14.10	-14.16		5.175	5.908	5.927
		(4.022)	(3.855)	(3.855)		(1.318)	(1.278)	(1.278)		(11.15)	(11.09)	(11.09)		(7.147)	(7.006)	(7.006)		(4.394)	(4.324)	(4.328)		(1.338)	(1.306)	(1.305)		(11.76)	(11.70)	(11.67)		(7.482)	(7.185)	(7.172)
