	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																
fert	-0.180	-0.139	-0.140	-0.140	-0.135	-0.128	-0.122	-0.122	-0.873	-0.854	-0.828	-0.828	-1.037**	-0.977*	-0.843*	-0.843*	-1.328***	-1.245***	-0.972***	-0.848**	-0.0224	-0.0142	0.0630	0.0529	-2.429**	-2.440**	-1.854*	-1.470	-0.694	-0.690	0.0316	-0.139
	(0.280)	(0.278)	(0.275)	(0.275)	(0.0838)	(0.0841)	(0.0828)	(0.0828)	(0.953)	(0.956)	(0.927)	(0.927)	(0.508)	(0.509)	(0.490)	(0.490)	(0.355)	(0.334)	(0.347)	(0.347)	(0.109)	(0.110)	(0.112)	(0.113)	(1.065)	(1.059)	(1.100)	(1.114)	(0.631)	(0.623)	(0.623)	(0.625)
motherage	-11.90	-12.19	-11.54	-11.54	-6.102***	-6.203***	-5.872***	-5.872***	-67.42**	-68.31**	-65.31**	-65.31**	-25.09*	-26.01**	-25.07**	-25.07**	-19.47	-19.32	-18.12	-17.78	-4.010	-4.002	-3.356	-3.363	-64.91	-64.36	-58.06	-57.77	-1.762	-1.278	0.854	0.781
	(9.133)	(9.080)	(8.829)	(8.829)	(2.122)	(2.112)	(2.077)	(2.077)	(29.58)	(29.21)	(27.92)	(27.92)	(13.24)	(13.13)	(12.67)	(12.67)	(12.04)	(11.75)	(11.64)	(11.71)	(3.271)	(3.270)	(3.225)	(3.228)	(41.93)	(41.22)	(41.60)	(41.73)	(19.69)	(19.33)	(18.37)	(18.33)
motheragesq	0.389	0.400	0.371	0.371	0.231***	0.235***	0.222***	0.222***	2.572**	2.606**	2.485**	2.485**	0.966*	1.000**	0.958**	0.958**	0.635	0.628	0.581	0.574	0.164	0.163	0.139	0.139	2.357	2.336	2.106	2.107	0.0522	0.0334	-0.0475	-0.0503
	(0.338)	(0.336)	(0.327)	(0.327)	(0.0797)	(0.0793)	(0.0778)	(0.0778)	(1.077)	(1.065)	(1.021)	(1.021)	(0.506)	(0.502)	(0.485)	(0.485)	(0.446)	(0.435)	(0.431)	(0.433)	(0.121)	(0.121)	(0.119)	(0.119)	(1.530)	(1.506)	(1.516)	(1.520)	(0.735)	(0.723)	(0.689)	(0.687)
motheragecub	-0.00418	-0.00431	-0.00397	-0.00397	-0.00277***	-0.00281***	-0.00266***	-0.00266***	-0.0315**	-0.0320**	-0.0306**	-0.0306**	-0.0117*	-0.0122**	-0.0117**	-0.0117**	-0.00696	-0.00684	-0.00623	-0.00616	-0.00215	-0.00214	-0.00185	-0.00185	-0.0280	-0.0277	-0.0249	-0.0249	-0.000672	-0.000413	0.000593	0.000636
	(0.00408)	(0.00406)	(0.00393)	(0.00393)	(0.000963)	(0.000958)	(0.000938)	(0.000938)	(0.0127)	(0.0126)	(0.0121)	(0.0121)	(0.00619)	(0.00615)	(0.00595)	(0.00595)	(0.00537)	(0.00525)	(0.00520)	(0.00523)	(0.00145)	(0.00145)	(0.00143)	(0.00143)	(0.0182)	(0.0179)	(0.0180)	(0.0181)	(0.00889)	(0.00876)	(0.00838)	(0.00835)
agefirstbirth	-0.0692	-0.0447	-0.0219	-0.0219	-0.00662	-0.00285	0.00494	0.00494	0.225	0.238	0.307	0.307	0.0146	0.0445	0.130	0.130	0.315***	0.314***	0.151**	0.0313	0.0805***	0.0799***	0.0395*	0.0482*	1.374***	1.350***	0.965***	0.638**	0.347***	0.324***	0.106	0.251*
	(0.125)	(0.123)	(0.124)	(0.124)	(0.0320)	(0.0310)	(0.0292)	(0.0292)	(0.331)	(0.330)	(0.327)	(0.327)	(0.201)	(0.195)	(0.189)	(0.189)	(0.0730)	(0.0732)	(0.0741)	(0.0830)	(0.0229)	(0.0229)	(0.0231)	(0.0261)	(0.238)	(0.239)	(0.246)	(0.281)	(0.121)	(0.122)	(0.123)	(0.140)
miss_motherage	-123.8	-125.1	-118.4	-118.4	-52.47***	-53.03***	-49.34***	-49.34***	-572.8**	-578.2**	-543.8**	-543.8**	-201.7*	-207.1*	-193.1*	-193.1*	-200.2*	-201.4*	-188.9*	-184.0*	-36.25	-36.56	-30.26	-30.44	-601.8	-598.3	-537.4	-530.1	-29.41	-26.87	-4.138	-6.858
	(81.13)	(80.62)	(78.22)	(78.22)	(18.31)	(18.23)	(17.96)	(17.96)	(265.4)	(261.6)	(248.0)	(248.0)	(111.5)	(110.4)	(106.5)	(106.5)	(106.2)	(103.5)	(102.6)	(103.3)	(28.99)	(29.00)	(28.57)	(28.60)	(374.2)	(367.4)	(371.5)	(372.8)	(171.9)	(168.4)	(159.8)	(159.6)
miss_agefirstbirth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)
_mother_edu1			-6.678***	-6.678***			-2.293***	-2.293***			-23.31***	-23.31***			-15.79***	-15.79***			-7.396***	-7.180***			-2.078***	-2.094***			-16.52***	-15.93***			-12.67***	-12.93***
			(1.104)	(1.104)			(0.349)	(0.349)			(3.591)	(3.591)			(2.124)	(2.124)			(1.081)	(1.083)			(0.352)	(0.355)			(3.906)	(3.935)			(2.144)	(2.146)
_mother_edu2			-6.452***	-6.452***			-1.951***	-1.951***			-19.02***	-19.02***			-11.11***	-11.11***			-6.657***	-6.457***			-2.004***	-2.019***			-18.14***	-17.56***			-9.294***	-9.555***
			(0.960)	(0.960)			(0.315)	(0.315)			(3.168)	(3.168)			(1.788)	(1.788)			(1.076)	(1.075)			(0.368)	(0.369)			(3.997)	(4.016)			(2.129)	(2.126)
_mother_edu3			-4.916***	-4.916***			-1.149***	-1.149***			-12.62***	-12.62***			-7.124***	-7.124***			-5.017***	-4.857***			-1.246***	-1.258***			-13.19***	-12.75***			-5.375***	-5.565***
			(0.739)	(0.739)			(0.239)	(0.239)			(2.333)	(2.333)			(1.419)	(1.419)			(0.900)	(0.900)			(0.281)	(0.282)			(3.315)	(3.341)			(1.767)	(1.765)
