	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																
fert	0.106	0.103	0.0194	0.0194	-0.111	-0.112	-0.134	-0.134	-0.112	-0.133	-0.383	-0.383	-0.848	-0.855	-0.929*	-0.929*	-1.356***	-1.359***	-1.227***	-1.097***	0.000399	0.000535	0.0284	0.0164	-2.954***	-2.960***	-2.605**	-2.081*	-0.616	-0.625	-0.246	-0.441
	(0.309)	(0.309)	(0.308)	(0.308)	(0.0879)	(0.0880)	(0.0863)	(0.0863)	(0.944)	(0.942)	(0.933)	(0.933)	(0.550)	(0.551)	(0.537)	(0.537)	(0.379)	(0.379)	(0.374)	(0.377)	(0.120)	(0.120)	(0.119)	(0.121)	(1.139)	(1.142)	(1.147)	(1.159)	(0.692)	(0.693)	(0.682)	(0.694)
motherage	-13.49	-13.49	-12.42	-12.42	-5.204**	-5.214**	-4.854**	-4.854**	-19.17	-19.48	-17.35	-17.35	-17.52	-17.63	-17.54	-17.54	-11.80	-11.61	-9.042	-9.488	-5.962	-5.972	-5.031	-4.992	-61.35*	-60.91*	-51.91	-53.59	-22.62	-21.98	-18.80	-18.10
	(8.372)	(8.366)	(8.246)	(8.246)	(2.444)	(2.439)	(2.393)	(2.393)	(23.14)	(22.99)	(23.63)	(23.63)	(13.65)	(13.63)	(13.40)	(13.40)	(10.23)	(10.25)	(10.28)	(10.26)	(3.769)	(3.774)	(3.730)	(3.741)	(34.48)	(34.55)	(35.14)	(34.93)	(18.98)	(19.03)	(18.62)	(18.66)
motheragesq	0.442	0.441	0.402	0.402	0.193**	0.193**	0.181**	0.181**	0.887	0.899	0.823	0.823	0.662	0.666	0.664	0.664	0.383	0.377	0.282	0.303	0.235*	0.236*	0.202	0.200	2.272*	2.258*	1.932	2.017	0.812	0.792	0.681	0.646
	(0.313)	(0.313)	(0.307)	(0.307)	(0.0883)	(0.0881)	(0.0863)	(0.0863)	(0.842)	(0.838)	(0.859)	(0.859)	(0.511)	(0.510)	(0.501)	(0.501)	(0.383)	(0.384)	(0.386)	(0.385)	(0.137)	(0.137)	(0.135)	(0.136)	(1.278)	(1.280)	(1.296)	(1.290)	(0.717)	(0.719)	(0.704)	(0.704)
motheragecub	-0.00478	-0.00477	-0.00432	-0.00432	-0.00227**	-0.00227**	-0.00213**	-0.00213**	-0.0124	-0.0126	-0.0118	-0.0118	-0.00794	-0.00799	-0.00802	-0.00802	-0.00420	-0.00412	-0.00296	-0.00320	-0.00296*	-0.00297*	-0.00256	-0.00253	-0.0271*	-0.0270*	-0.0230	-0.0241	-0.00949	-0.00925	-0.00793	-0.00750
	(0.00382)	(0.00382)	(0.00373)	(0.00373)	(0.00104)	(0.00104)	(0.00102)	(0.00102)	(0.00998)	(0.00995)	(0.0102)	(0.0102)	(0.00618)	(0.00617)	(0.00606)	(0.00606)	(0.00468)	(0.00469)	(0.00471)	(0.00470)	(0.00162)	(0.00162)	(0.00160)	(0.00160)	(0.0155)	(0.0155)	(0.0156)	(0.0156)	(0.00877)	(0.00879)	(0.00861)	(0.00861)
agefirstbirth	-0.0985	-0.0972	-0.114	-0.114	0.0602**	0.0600**	0.0522*	0.0522*	0.430	0.425	0.333	0.333	0.507**	0.505**	0.480**	0.480**	0.339***	0.336***	0.190**	0.0636	0.107***	0.107***	0.0771***	0.0883***	1.545***	1.537***	1.175***	0.687**	0.373***	0.362***	0.220	0.402**
	(0.168)	(0.168)	(0.159)	(0.159)	(0.0290)	(0.0289)	(0.0272)	(0.0272)	(0.386)	(0.386)	(0.369)	(0.369)	(0.221)	(0.221)	(0.220)	(0.220)	(0.0849)	(0.0852)	(0.0852)	(0.100)	(0.0231)	(0.0232)	(0.0231)	(0.0264)	(0.248)	(0.250)	(0.264)	(0.298)	(0.138)	(0.139)	(0.139)	(0.159)
_mother_edu1			-1.244	-1.244			-0.743*	-0.743*			-3.254	-3.254			2.214	2.214			-0.298	-0.323			-0.451	-0.451			-2.448	-2.428			3.321	3.312
			(1.634)	(1.634)			(0.394)	(0.394)			(4.957)	(4.957)			(2.374)	(2.374)			(1.388)	(1.403)			(0.443)	(0.444)			(3.888)	(3.904)			(2.342)	(2.321)
_mother_edu2			0.370	0.370			0.126	0.126			4.513	4.513			6.203***	6.203***			1.549	1.481			0.254	0.258			2.618	2.446			7.273***	7.344***
			(1.552)	(1.552)			(0.346)	(0.346)			(4.632)	(4.632)			(2.118)	(2.118)			(1.294)	(1.314)			(0.391)	(0.391)			(3.387)	(3.398)			(2.059)	(2.040)
_mother_edu3			1.815	1.815			0.137	0.137			6.368	6.368			7.073***	7.073***			3.077**	2.964**			0.123	0.132			3.381	3.008			6.960***	7.103***
			(1.579)	(1.579)			(0.357)	(0.357)			(4.675)	(4.675)			(2.237)	(2.237)			(1.334)	(1.356)			(0.400)	(0.401)			(3.500)	(3.507)			(2.273)	(2.262)
_mother_edu4			2.696*	2.696*			0.635*	0.635*			11.53**	11.53**			9.208***	9.208***			4.654***	4.490***			0.810**	0.824**			10.97***	10.38***			10.01***	10.23***
			(1.549)	(1.549)			(0.344)	(0.344)			(4.567)	(4.567)			(2.169)	(2.169)			(1.311)	(1.339)			(0.388)	(0.389)			(3.429)	(3.453)			(2.089)	(2.077)
_mother_edu5			5.211***	5.211***			1.275***	1.275***			17.30***	17.30***			13.45***	13.45***			6.588***	6.373***			1.374***	1.391***			14.88***	14.15***			12.51***	12.78***
			(1.635)	(1.635)			(0.395)	(0.395)			(4.896)	(4.896)			(2.445)	(2.445)			(1.498)	(1.525)			(0.440)	(0.442)			(4.328)	(4.375)			(2.538)	(2.528)
height		1.681	1.049	1.049		0.641	0.544	0.544		13.64*	11.93	11.93		4.746	3.493	3.493		1.632	-0.0724	-0.114		-0.135	-0.483	-0.489		5.980	1.963	2.256		8.829	6.481	6.396
		(2.673)	(2.646)	(2.646)		(0.771)	(0.753)	(0.753)		(8.098)	(7.940)	(7.940)		(4.714)	(4.635)	(4.635)		(3.172)	(3.137)	(3.137)		(1.001)	(0.995)	(0.995)		(10.37)	(10.43)	(10.42)		(5.780)	(5.676)	(5.653)
