	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																
fert	-0.235	-0.250	-0.132	-0.132	-0.268**	-0.270**	-0.227*	-0.227*	-2.001	-2.103	-1.667	-1.667	-1.072	-1.103	-0.648	-0.648	-1.261**	-1.215**	-1.091**	-0.846*	0.102	0.120	0.168	0.147	-1.804	-1.817	-1.378	-0.981	0.105	0.166	0.605	0.405
	(0.397)	(0.399)	(0.400)	(0.400)	(0.124)	(0.124)	(0.124)	(0.124)	(1.494)	(1.481)	(1.420)	(1.420)	(0.732)	(0.731)	(0.702)	(0.702)	(0.491)	(0.486)	(0.498)	(0.492)	(0.159)	(0.157)	(0.161)	(0.162)	(1.584)	(1.588)	(1.641)	(1.661)	(0.907)	(0.903)	(0.870)	(0.890)
motherage	-18.90	-19.36	-17.44	-17.44	-9.471***	-9.570***	-8.417***	-8.417***	-87.08*	-88.27*	-78.26*	-78.26*	-32.05*	-34.22*	-27.32	-27.32	-20.55	-19.93	-15.54	-15.59	-4.563	-4.803	-3.238	-3.235	-41.82	-38.65	-25.98	-25.97	-18.05	-17.97	-8.963	-8.929
	(12.96)	(12.70)	(12.32)	(12.32)	(3.186)	(3.166)	(3.133)	(3.133)	(51.49)	(49.58)	(46.67)	(46.67)	(18.30)	(17.94)	(16.80)	(16.80)	(17.42)	(16.46)	(15.93)	(15.84)	(4.576)	(4.631)	(4.579)	(4.586)	(59.42)	(56.80)	(56.29)	(56.23)	(28.29)	(28.08)	(27.12)	(27.20)
motheragesq	0.510	0.522	0.454	0.454	0.362***	0.366***	0.326***	0.326***	3.150*	3.196*	2.869*	2.869*	1.158*	1.234*	1.007	1.007	0.610	0.587	0.415	0.431	0.195	0.205	0.147	0.146	1.453	1.322	0.850	0.873	0.664	0.660	0.320	0.308
	(0.478)	(0.469)	(0.454)	(0.454)	(0.120)	(0.119)	(0.117)	(0.117)	(1.856)	(1.794)	(1.700)	(1.700)	(0.694)	(0.682)	(0.642)	(0.642)	(0.643)	(0.608)	(0.588)	(0.585)	(0.170)	(0.172)	(0.170)	(0.170)	(2.204)	(2.115)	(2.094)	(2.092)	(1.075)	(1.070)	(1.033)	(1.036)
motheragecub	-0.00412	-0.00426	-0.00351	-0.00351	-0.00434***	-0.00439***	-0.00395***	-0.00395***	-0.0372*	-0.0379*	-0.0345*	-0.0345*	-0.0134	-0.0144*	-0.0120	-0.0120	-0.00584	-0.00559	-0.00336	-0.00360	-0.00261	-0.00273	-0.00205	-0.00202	-0.0170	-0.0154	-0.00956	-0.00995	-0.00781	-0.00776	-0.00362	-0.00341
	(0.00573)	(0.00564)	(0.00547)	(0.00547)	(0.00146)	(0.00145)	(0.00142)	(0.00142)	(0.0219)	(0.0212)	(0.0202)	(0.0202)	(0.00852)	(0.00837)	(0.00792)	(0.00792)	(0.00772)	(0.00732)	(0.00708)	(0.00703)	(0.00205)	(0.00207)	(0.00205)	(0.00205)	(0.0267)	(0.0257)	(0.0255)	(0.0254)	(0.0133)	(0.0132)	(0.0128)	(0.0128)
agefirstbirth	-0.0862	-0.0602	-0.0341	-0.0341	0.0364	0.0356	0.0355	0.0355	0.328	0.259	0.261	0.261	0.454*	0.455*	0.479*	0.479*	0.325***	0.312***	0.101	-0.172	0.0891***	0.0888***	0.0507	0.0692*	1.125***	1.034***	0.560	0.211	0.416**	0.387**	0.129	0.304
	(0.174)	(0.171)	(0.169)	(0.169)	(0.0393)	(0.0386)	(0.0368)	(0.0368)	(0.431)	(0.431)	(0.415)	(0.415)	(0.273)	(0.269)	(0.257)	(0.257)	(0.109)	(0.110)	(0.112)	(0.120)	(0.0323)	(0.0322)	(0.0329)	(0.0363)	(0.344)	(0.350)	(0.373)	(0.419)	(0.186)	(0.187)	(0.182)	(0.205)
miss_motherage	-221.2*	-226.1**	-205.4*	-205.4*	-78.32***	-79.24***	-66.91**	-66.91**	-800.4*	-813.9*	-699.7*	-699.7*	-276.1*	-295.8*	-217.9	-217.9	-223.0	-217.6	-180.0	-174.9	-34.01	-35.95	-21.27	-21.68	-429.9	-410.3	-297.4	-289.2	-145.7	-146.9	-64.79	-68.59
	(115.6)	(113.2)	(109.6)	(109.6)	(27.83)	(27.67)	(27.65)	(27.65)	(470.6)	(451.2)	(420.2)	(420.2)	(157.5)	(153.7)	(142.8)	(142.8)	(153.2)	(144.8)	(140.0)	(139.4)	(40.13)	(40.61)	(40.33)	(40.41)	(522.7)	(498.3)	(494.9)	(494.6)	(240.6)	(238.2)	(230.5)	(231.4)
miss_agefirstbirth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)
_mother_edu1			-6.502***	-6.502***			-2.282***	-2.282***			-26.39***	-26.39***			-17.83***	-17.83***			-7.394***	-6.891***			-1.865***	-1.894***			-14.98**	-14.42**			-14.25***	-14.52***
			(1.533)	(1.533)			(0.535)	(0.535)			(5.311)	(5.311)			(2.887)	(2.887)			(1.615)	(1.570)			(0.528)	(0.534)			(6.354)	(6.397)			(3.119)	(3.126)
_mother_edu2			-7.015***	-7.015***			-1.985***	-1.985***			-20.58***	-20.58***			-13.51***	-13.51***			-6.041***	-5.585***			-1.507***	-1.533***			-15.82**	-15.31**			-9.283***	-9.533***
			(1.404)	(1.404)			(0.480)	(0.480)			(5.147)	(5.147)			(2.944)	(2.944)			(1.567)	(1.535)			(0.561)	(0.564)			(6.515)	(6.562)			(3.347)	(3.364)
_mother_edu3			-4.548***	-4.548***			-1.104***	-1.104***			-13.69***	-13.69***			-7.288***	-7.288***			-4.323***	-3.935***			-0.486	-0.505			-9.293*	-8.930			-5.305*	-5.469*
			(1.018)	(1.018)			(0.368)	(0.368)			(3.565)	(3.565)			(2.197)	(2.197)			(1.302)	(1.275)			(0.432)	(0.435)			(5.624)	(5.685)			(2.858)	(2.872)
