	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																
fert	-0.0625	-0.0678	-0.0451	-0.0451	-0.246*	-0.249*	-0.235*	-0.235*	-0.411	-0.484	-0.359	-0.359	-0.808	-0.851	-0.672	-0.672	-1.472***	-1.476***	-1.466***	-1.195**	0.212	0.212	0.226	0.207	-0.781	-0.789	-0.576	0.0274	0.246	0.236	0.489	0.365
	(0.461)	(0.461)	(0.461)	(0.461)	(0.129)	(0.129)	(0.127)	(0.127)	(1.461)	(1.454)	(1.426)	(1.426)	(0.806)	(0.807)	(0.782)	(0.782)	(0.554)	(0.554)	(0.550)	(0.554)	(0.169)	(0.169)	(0.173)	(0.176)	(1.679)	(1.682)	(1.729)	(1.760)	(0.993)	(1.001)	(0.993)	(1.020)
motherage	-19.36	-19.56	-16.45	-16.45	-10.23***	-10.36***	-9.307***	-9.307***	-17.63	-21.71	-13.79	-13.79	-21.45	-23.82	-19.27	-19.27	-7.790	-7.294	-3.371	-4.725	-3.085	-3.082	-2.528	-2.489	6.001	6.117	15.71	14.61	-7.110	-7.033	-5.409	-5.142
	(12.47)	(12.47)	(12.27)	(12.27)	(3.579)	(3.569)	(3.450)	(3.450)	(35.78)	(35.11)	(36.26)	(36.26)	(18.63)	(18.66)	(18.19)	(18.19)	(14.28)	(14.25)	(13.95)	(13.53)	(5.050)	(5.055)	(5.011)	(5.028)	(53.22)	(53.27)	(54.76)	(54.27)	(30.07)	(30.21)	(30.02)	(30.17)
motheragesq	0.531	0.536	0.429	0.429	0.383***	0.388***	0.351***	0.351***	0.739	0.876	0.616	0.616	0.751	0.830	0.680	0.680	0.115	0.0957	-0.0456	0.0114	0.138	0.138	0.120	0.117	-0.353	-0.366	-0.703	-0.634	0.218	0.209	0.155	0.139
	(0.460)	(0.460)	(0.452)	(0.452)	(0.131)	(0.131)	(0.126)	(0.126)	(1.318)	(1.298)	(1.336)	(1.336)	(0.701)	(0.700)	(0.684)	(0.684)	(0.532)	(0.531)	(0.519)	(0.504)	(0.184)	(0.184)	(0.182)	(0.183)	(1.972)	(1.976)	(2.023)	(2.007)	(1.136)	(1.141)	(1.131)	(1.136)
motheragecub	-0.00447	-0.00452	-0.00333	-0.00333	-0.00455***	-0.00460***	-0.00418***	-0.00418***	-0.00998	-0.0116	-0.00880	-0.00880	-0.00873	-0.00966	-0.00805	-0.00805	0.000268	0.000515	0.00229	0.00163	-0.00190	-0.00189	-0.00167	-0.00164	0.00520	0.00543	0.00954	0.00860	-0.00206	-0.00190	-0.00123	-0.00102
	(0.00552)	(0.00552)	(0.00543)	(0.00543)	(0.00157)	(0.00157)	(0.00151)	(0.00151)	(0.0159)	(0.0157)	(0.0161)	(0.0161)	(0.00853)	(0.00851)	(0.00833)	(0.00833)	(0.00645)	(0.00643)	(0.00630)	(0.00612)	(0.00219)	(0.00219)	(0.00217)	(0.00217)	(0.0239)	(0.0240)	(0.0245)	(0.0243)	(0.0139)	(0.0140)	(0.0138)	(0.0139)
agefirstbirth	-0.198	-0.193	-0.196	-0.196	0.0544	0.0541	0.0451	0.0451	0.367	0.356	0.244	0.244	0.720**	0.714**	0.673**	0.673**	0.267**	0.259**	0.0432	-0.218	0.0904***	0.0891***	0.0645**	0.0812**	1.247***	1.215***	0.752*	0.234	0.358*	0.334*	0.149	0.255
	(0.230)	(0.226)	(0.208)	(0.208)	(0.0378)	(0.0375)	(0.0356)	(0.0356)	(0.506)	(0.503)	(0.482)	(0.482)	(0.284)	(0.287)	(0.290)	(0.290)	(0.123)	(0.124)	(0.126)	(0.145)	(0.0316)	(0.0318)	(0.0322)	(0.0369)	(0.366)	(0.369)	(0.398)	(0.461)	(0.201)	(0.201)	(0.202)	(0.234)
_mother_edu1			-2.720	-2.720			-0.421	-0.421			-1.830	-1.830			0.780	0.780			-0.840	-0.819			-0.343	-0.350			-2.659	-2.443			3.786	3.738
			(2.387)	(2.387)			(0.582)	(0.582)			(7.839)	(7.839)			(3.746)	(3.746)			(1.891)	(1.907)			(0.625)	(0.624)			(5.557)	(5.560)			(3.683)	(3.666)
_mother_edu2			-0.0608	-0.0608			0.538	0.538			7.824	7.824			6.975**	6.975**			1.390	1.350			0.545	0.544			3.591	3.622			7.347**	7.344**
			(2.241)	(2.241)			(0.507)	(0.507)			(7.269)	(7.269)			(3.269)	(3.269)			(1.684)	(1.711)			(0.545)	(0.544)			(4.766)	(4.776)			(3.284)	(3.269)
_mother_edu3			1.514	1.514			0.278	0.278			8.233	8.233			5.745*	5.745*			2.705	2.528			0.0961	0.107			3.239	2.893			5.223	5.291
			(2.273)	(2.273)			(0.524)	(0.524)			(7.330)	(7.330)			(3.453)	(3.453)			(1.704)	(1.739)			(0.564)	(0.563)			(4.896)	(4.916)			(3.583)	(3.584)
_mother_edu4			2.378	2.378			1.120**	1.120**			15.71**	15.71**			8.928***	8.928***			5.750***	5.533***			0.849	0.861			13.22***	12.82***			10.56***	10.64***
			(2.243)	(2.243)			(0.512)	(0.512)			(7.170)	(7.170)			(3.355)	(3.355)			(1.730)	(1.767)			(0.554)	(0.553)			(4.928)	(4.955)			(3.385)	(3.382)
_mother_edu5			4.513*	4.513*			1.603***	1.603***			22.02***	22.02***			14.23***	14.23***			6.038***	5.647***			0.963	0.978			12.64*	12.15*			12.82***	12.91***
			(2.358)	(2.358)			(0.597)	(0.597)			(7.660)	(7.660)			(3.802)	(3.802)			(1.993)	(2.011)			(0.654)	(0.655)			(6.751)	(6.831)			(4.159)	(4.164)
height		5.103	3.708	3.708		0.952	0.554	0.554		28.11**	22.51*	22.51*		17.08**	14.26**	14.26**		5.167	2.231	2.839		0.816	0.288	0.231		21.07	13.76	15.60		15.47*	11.53	11.17
		(4.009)	(3.937)	(3.937)		(1.095)	(1.077)	(1.077)		(13.00)	(12.77)	(12.77)		(7.037)	(6.891)	(6.891)		(4.672)	(4.571)	(4.523)		(1.475)	(1.488)	(1.490)		(16.07)	(16.34)	(16.31)		(8.652)	(8.572)	(8.553)
Constant	282.3**	277.1**	247.0**	247.0**	109.4***	109.4***	99.08***	99.08***	225.1	218.7	151.7	151.7	331.4*	333.7*	288.2	288.2	164.1	152.2	125.9	135.4	30.56	29.42	23.57	23.39	91.37	60.94	-38.37	-39.16	193.3	169.6	148.0	146.6
