	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																
fert	-0.0755	0.0614	-0.0262	-0.0262	-0.0128	0.0194	0.00245	0.00245	-0.0176	0.398	0.148	0.148	-1.004	-0.793	-0.843	-0.843	-1.399***	-1.273***	-0.941**	-0.983**	-0.101	-0.0992	-0.0323	-0.0371	-2.936**	-2.804**	-2.316*	-1.853	-1.170	-1.209	-0.396	-0.534
	(0.385)	(0.374)	(0.374)	(0.374)	(0.110)	(0.111)	(0.109)	(0.109)	(1.169)	(1.168)	(1.165)	(1.165)	(0.693)	(0.701)	(0.691)	(0.691)	(0.504)	(0.461)	(0.469)	(0.474)	(0.150)	(0.152)	(0.153)	(0.155)	(1.354)	(1.352)	(1.368)	(1.386)	(0.865)	(0.850)	(0.886)	(0.885)
motherage	-0.149	-0.324	0.788	0.788	-1.405	-1.461	-1.343	-1.343	-36.27	-36.87	-34.59	-34.59	-14.41	-14.76	-13.94	-13.94	-11.80	-12.36	-10.93	-11.25	-6.355	-6.361	-5.395	-5.404	-77.97*	-78.36*	-69.99*	-69.11	10.18	10.46	10.55	10.34
	(10.36)	(10.30)	(10.31)	(10.31)	(2.861)	(2.841)	(2.792)	(2.792)	(27.42)	(27.48)	(27.34)	(27.34)	(19.03)	(19.01)	(18.49)	(18.49)	(12.45)	(12.39)	(12.45)	(12.46)	(4.407)	(4.413)	(4.481)	(4.481)	(41.07)	(41.16)	(41.76)	(42.12)	(27.05)	(26.75)	(25.33)	(25.23)
motheragesq	0.0630	0.0717	0.0168	0.0168	0.0525	0.0554	0.0454	0.0454	1.537	1.567	1.429	1.429	0.646	0.664	0.594	0.594	0.426	0.442	0.385	0.396	0.251	0.251	0.214	0.214	2.913*	2.924*	2.609*	2.578*	-0.371	-0.383	-0.387	-0.380
	(0.405)	(0.403)	(0.401)	(0.401)	(0.109)	(0.108)	(0.106)	(0.106)	(1.049)	(1.051)	(1.042)	(1.042)	(0.743)	(0.741)	(0.720)	(0.720)	(0.470)	(0.468)	(0.469)	(0.469)	(0.161)	(0.161)	(0.164)	(0.164)	(1.514)	(1.518)	(1.533)	(1.547)	(0.993)	(0.983)	(0.933)	(0.929)
motheragecub	-0.00158	-0.00169	-0.000963	-0.000963	-0.000656	-0.000695	-0.000540	-0.000540	-0.0206	-0.0210	-0.0191	-0.0191	-0.00881	-0.00903	-0.00796	-0.00796	-0.00530	-0.00546	-0.00473	-0.00486	-0.00324*	-0.00325*	-0.00278	-0.00278	-0.0349*	-0.0350*	-0.0311*	-0.0306*	0.00392	0.00415	0.00423	0.00411
	(0.00509)	(0.00507)	(0.00501)	(0.00501)	(0.00132)	(0.00131)	(0.00128)	(0.00128)	(0.0128)	(0.0129)	(0.0127)	(0.0127)	(0.00922)	(0.00920)	(0.00893)	(0.00893)	(0.00580)	(0.00578)	(0.00578)	(0.00577)	(0.00191)	(0.00191)	(0.00194)	(0.00194)	(0.0182)	(0.0182)	(0.0183)	(0.0185)	(0.0118)	(0.0117)	(0.0112)	(0.0111)
agefirstbirth	-0.0643	-0.0268	0.0237	0.0237	-0.0737	-0.0636	-0.0406	-0.0406	0.161	0.292	0.464	0.464	-0.603**	-0.538*	-0.325	-0.325	0.303***	0.309***	0.199**	0.234**	0.0747**	0.0750**	0.0398	0.0437	1.681***	1.693***	1.409***	1.034***	0.376**	0.360**	0.207	0.320
	(0.160)	(0.154)	(0.152)	(0.152)	(0.0507)	(0.0493)	(0.0461)	(0.0461)	(0.440)	(0.441)	(0.443)	(0.443)	(0.297)	(0.290)	(0.286)	(0.286)	(0.0983)	(0.0982)	(0.0974)	(0.113)	(0.0325)	(0.0328)	(0.0324)	(0.0373)	(0.331)	(0.334)	(0.326)	(0.372)	(0.163)	(0.164)	(0.171)	(0.201)
miss_motherage	-0.350	1.225	8.367	8.367	-15.34	-14.92	-14.72	-14.72	-270.7	-265.5	-253.6	-253.6	-105.3	-102.9	-102.0	-102.0	-118.8	-126.5	-113.4	-116.7	-57.56	-57.64	-48.99	-49.09	-687.5*	-694.3*	-618.1*	-608.5	71.51	73.05	77.05	74.62
	(85.70)	(85.14)	(85.55)	(85.55)	(24.10)	(23.89)	(23.45)	(23.45)	(230.6)	(231.1)	(231.3)	(231.3)	(154.5)	(154.4)	(150.9)	(150.9)	(108.7)	(108.3)	(109.1)	(109.4)	(39.33)	(39.40)	(40.01)	(40.00)	(363.6)	(364.5)	(371.1)	(374.2)	(240.1)	(237.4)	(224.3)	(223.5)
miss_agefirstbirth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)
_mother_edu1			-6.777***	-6.777***			-2.232***	-2.232***			-18.48***	-18.48***			-13.65***	-13.65***			-6.855***	-6.924***			-1.971***	-1.979***			-14.59***	-13.85***			-10.73***	-10.95***
			(1.420)	(1.420)			(0.437)	(0.437)			(3.853)	(3.853)			(3.008)	(3.008)			(1.407)	(1.427)			(0.438)	(0.440)			(4.688)	(4.731)			(3.083)	(3.082)
_mother_edu2			-5.582***	-5.582***			-1.719***	-1.719***			-15.12***	-15.12***			-8.370***	-8.370***			-6.734***	-6.799***			-2.138***	-2.146***			-17.95***	-17.22***			-10.08***	-10.31***
			(1.319)	(1.319)			(0.397)	(0.397)			(3.740)	(3.740)			(2.055)	(2.055)			(1.484)	(1.497)			(0.470)	(0.472)			(4.733)	(4.766)			(2.750)	(2.742)
_mother_edu3			-5.443***	-5.443***			-1.190***	-1.190***			-10.54***	-10.54***			-7.111***	-7.111***			-5.082***	-5.129***			-1.716***	-1.722***			-14.01***	-13.44***			-5.046**	-5.221**
			(1.051)	(1.051)			(0.299)	(0.299)			(2.833)	(2.833)			(1.712)	(1.712)			(1.287)	(1.303)			(0.344)	(0.347)			(4.013)	(4.047)			(2.350)	(2.341)
_mother_edu4			-3.988***	-3.988***			-0.732**	-0.732**			-6.011**	-6.011**			-4.048**	-4.048**			-3.487**	-3.526**			-1.511***	-1.517***			-10.14**	-9.571**			-3.620	-3.789
