	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																								
fert	-0.0487*	-0.0507*	-0.0398	-0.0398	-0.00755	-0.00967	1.85e-05	1.85e-05	-0.0530*	-0.0562*	-0.0432	-0.0432	-0.0341	-0.0360	-0.0253	-0.0253	-0.00896	-0.0109	-0.0146	-0.0146	-0.0438	-0.0429	-0.0476	-0.0476	0.0286	0.0274	0.0354	0.0354	-0.110***	-0.108***	-0.0968***	-0.0976***	0.00184	0.00564	0.0233	0.0236	-0.0880***	-0.0781**	-0.0485	-0.0499	0.00898	0.0131	0.0256	0.0272	-0.0196	-0.0228	-0.0147	-0.0179	-0.0390	-0.0444	-0.0491	-0.0536	-0.0152	-0.0185	-0.00871	-0.00887
	(0.0277)	(0.0280)	(0.0275)	(0.0275)	(0.0294)	(0.0295)	(0.0296)	(0.0296)	(0.0309)	(0.0309)	(0.0306)	(0.0306)	(0.0302)	(0.0304)	(0.0310)	(0.0310)	(0.0301)	(0.0302)	(0.0310)	(0.0310)	(0.0311)	(0.0313)	(0.0317)	(0.0317)	(0.0311)	(0.0313)	(0.0313)	(0.0313)	(0.0330)	(0.0334)	(0.0334)	(0.0333)	(0.0340)	(0.0341)	(0.0346)	(0.0346)	(0.0341)	(0.0335)	(0.0342)	(0.0342)	(0.0344)	(0.0343)	(0.0351)	(0.0350)	(0.0334)	(0.0338)	(0.0341)	(0.0341)	(0.0324)	(0.0327)	(0.0330)	(0.0329)	(0.0315)	(0.0322)	(0.0327)	(0.0325)
motherage	-0.651	-0.606	-0.424	-0.424	-1.247	-1.203	-1.071	-1.071	-1.730*	-1.702*	-1.488	-1.488	0.615	0.678	0.722	0.722	0.146	0.151	0.228	0.228	0.638	0.580	0.589	0.589	-0.607	-0.497	-0.528	-0.528	-1.169	-1.190	-1.033	-1.023	-1.231	-1.270	-1.043	-1.046	-2.839**	-2.870**	-2.758**	-2.746**	0.553	0.609	0.727	0.715	0.542	0.594	0.539	0.579	2.475**	2.497**	2.515**	2.569**	-2.092	-2.113	-2.171	-2.169
	(1.026)	(1.039)	(1.014)	(1.014)	(1.191)	(1.194)	(1.170)	(1.170)	(0.956)	(0.950)	(0.959)	(0.959)	(1.018)	(1.025)	(1.042)	(1.042)	(1.188)	(1.191)	(1.164)	(1.164)	(1.124)	(1.128)	(1.124)	(1.124)	(1.161)	(1.159)	(1.141)	(1.141)	(1.093)	(1.106)	(1.070)	(1.071)	(1.384)	(1.383)	(1.335)	(1.335)	(1.198)	(1.178)	(1.146)	(1.141)	(1.216)	(1.214)	(1.178)	(1.178)	(1.380)	(1.389)	(1.362)	(1.361)	(1.246)	(1.258)	(1.249)	(1.238)	(1.469)	(1.484)	(1.477)	(1.478)
motheragesq	0.0149	0.0135	0.00702	0.00702	0.0435	0.0421	0.0372	0.0372	0.0549	0.0543	0.0464	0.0464	-0.0209	-0.0230	-0.0253	-0.0253	-0.00786	-0.00817	-0.0112	-0.0112	-0.0232	-0.0215	-0.0218	-0.0218	0.0156	0.0120	0.0128	0.0128	0.0360	0.0365	0.0303	0.0300	0.0453	0.0468	0.0385	0.0386	0.0955**	0.0968**	0.0916**	0.0912**	-0.0207	-0.0224	-0.0271	-0.0267	-0.0248	-0.0264	-0.0248	-0.0260	-0.0922**	-0.0929**	-0.0935**	-0.0952**	0.0703	0.0710	0.0729	0.0728
	(0.0366)	(0.0371)	(0.0362)	(0.0362)	(0.0415)	(0.0416)	(0.0406)	(0.0406)	(0.0345)	(0.0342)	(0.0343)	(0.0343)	(0.0358)	(0.0361)	(0.0366)	(0.0366)	(0.0418)	(0.0418)	(0.0410)	(0.0410)	(0.0397)	(0.0397)	(0.0397)	(0.0397)	(0.0433)	(0.0432)	(0.0425)	(0.0425)	(0.0392)	(0.0396)	(0.0385)	(0.0385)	(0.0482)	(0.0481)	(0.0463)	(0.0463)	(0.0435)	(0.0427)	(0.0413)	(0.0412)	(0.0434)	(0.0433)	(0.0420)	(0.0420)	(0.0484)	(0.0487)	(0.0478)	(0.0477)	(0.0439)	(0.0442)	(0.0440)	(0.0435)	(0.0521)	(0.0526)	(0.0522)	(0.0522)
motheragecub	-8.42e-05	-7.12e-05	7.51e-06	7.51e-06	-0.000493	-0.000479	-0.000417	-0.000417	-0.000562	-0.000559	-0.000461	-0.000461	0.000232	0.000254	0.000290	0.000290	0.000121	0.000125	0.000165	0.000165	0.000243	0.000228	0.000232	0.000232	-0.000129	-9.10e-05	-9.72e-05	-9.72e-05	-0.000353	-0.000356	-0.000276	-0.000272	-0.000555	-0.000571	-0.000474	-0.000475	-0.00105**	-0.00106**	-0.000987**	-0.000982**	0.000258	0.000276	0.000335	0.000330	0.000328	0.000344	0.000328	0.000345	0.00107**	0.00108**	0.00108**	0.00111**	-0.000769	-0.000777	-0.000799	-0.000798
