	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																								
fert	-0.0536*	-0.0567*	-0.0335	-0.0335	-0.0551	-0.0554	-0.0283	-0.0283	-0.122***	-0.124***	-0.0939**	-0.0939**	-0.0582	-0.0601*	-0.0298	-0.0298	-0.0136	-0.0128	-0.0161	-0.0161	-0.0364	-0.0350	-0.0371	-0.0371	-0.00666	-0.0106	-0.0158	-0.0158	-0.0860**	-0.0863**	-0.0757**	-0.0817**	0.0198	0.0153	0.0409	0.0434	-0.105**	-0.101**	-0.0684	-0.0676	-0.00474	-0.00444	0.0147	0.0181	-0.0313	-0.0315	-0.0437	-0.0461	-0.00824	-0.0114	-0.0213	-0.0260	-0.0229	-0.0315	-0.0179	-0.0207
	(0.0297)	(0.0300)	(0.0294)	(0.0294)	(0.0335)	(0.0337)	(0.0334)	(0.0334)	(0.0375)	(0.0376)	(0.0367)	(0.0367)	(0.0356)	(0.0358)	(0.0360)	(0.0360)	(0.0322)	(0.0320)	(0.0319)	(0.0319)	(0.0321)	(0.0321)	(0.0325)	(0.0325)	(0.0355)	(0.0357)	(0.0367)	(0.0367)	(0.0383)	(0.0383)	(0.0377)	(0.0372)	(0.0412)	(0.0412)	(0.0413)	(0.0414)	(0.0440)	(0.0445)	(0.0448)	(0.0447)	(0.0466)	(0.0468)	(0.0459)	(0.0459)	(0.0397)	(0.0399)	(0.0396)	(0.0398)	(0.0375)	(0.0381)	(0.0392)	(0.0392)	(0.0465)	(0.0471)	(0.0460)	(0.0465)
motherage	-2.276**	-2.276***	-2.126**	-2.126**	-1.656**	-1.645**	-1.301	-1.301	-1.155	-1.108	-0.798	-0.798	-0.240	-0.219	0.113	0.113	0.459	0.454	0.563	0.563	1.452*	1.425*	1.397*	1.397*	-1.135	-1.117	-1.221	-1.221	-2.522**	-2.451**	-2.214**	-2.089**	0.456	0.342	0.708	0.670	0.105	0.0535	0.237	0.225	0.414	0.398	0.685	0.632	-2.940***	-2.906***	-2.934***	-2.887***	-0.131	-0.143	-0.191	-0.0984	-1.882*	-1.945*	-1.933*	-1.876*
	(0.913)	(0.877)	(0.837)	(0.837)	(0.819)	(0.816)	(0.799)	(0.799)	(0.944)	(0.927)	(0.922)	(0.922)	(0.746)	(0.747)	(0.706)	(0.706)	(0.825)	(0.835)	(0.831)	(0.831)	(0.802)	(0.805)	(0.806)	(0.806)	(0.858)	(0.856)	(0.868)	(0.868)	(1.221)	(1.168)	(1.081)	(1.065)	(1.153)	(1.135)	(1.088)	(1.091)	(1.125)	(1.109)	(1.063)	(1.064)	(1.047)	(1.053)	(1.013)	(1.018)	(0.965)	(0.971)	(0.977)	(0.973)	(0.959)	(0.964)	(0.956)	(0.947)	(1.065)	(1.066)	(1.076)	(1.072)
motheragesq	0.0694**	0.0691**	0.0644**	0.0644**	0.0608**	0.0605**	0.0490*	0.0490*	0.0390	0.0369	0.0263	0.0263	0.00534	0.00421	-0.00739	-0.00739	-0.0104	-0.0100	-0.0145	-0.0145	-0.0479*	-0.0470*	-0.0462	-0.0462	0.0267	0.0254	0.0288	0.0288	0.0821*	0.0791*	0.0697*	0.0661*	-0.0119	-0.00814	-0.0218	-0.0210	-0.00743	-0.00633	-0.0133	-0.0130	-0.0158	-0.0154	-0.0267	-0.0255	0.0990***	0.0975***	0.0989***	0.0978***	-0.00144	-0.00153	0.000861	-0.00129	0.0581	0.0603	0.0591	0.0578
	(0.0312)	(0.0300)	(0.0286)	(0.0286)	(0.0285)	(0.0284)	(0.0277)	(0.0277)	(0.0326)	(0.0321)	(0.0317)	(0.0317)	(0.0266)	(0.0267)	(0.0253)	(0.0253)	(0.0288)	(0.0291)	(0.0290)	(0.0290)	(0.0281)	(0.0282)	(0.0281)	(0.0281)	(0.0311)	(0.0310)	(0.0314)	(0.0314)	(0.0424)	(0.0406)	(0.0373)	(0.0368)	(0.0393)	(0.0385)	(0.0368)	(0.0369)	(0.0387)	(0.0382)	(0.0363)	(0.0364)	(0.0362)	(0.0364)	(0.0349)	(0.0351)	(0.0333)	(0.0334)	(0.0336)	(0.0334)	(0.0328)	(0.0330)	(0.0327)	(0.0324)	(0.0371)	(0.0372)	(0.0375)	(0.0373)
motheragecub	-0.000686**	-0.000679**	-0.000627**	-0.000627**	-0.000674**	-0.000672**	-0.000541*	-0.000541*	-0.000404	-0.000377	-0.000254	-0.000254	-2.22e-05	-6.33e-06	0.000130	0.000130	4.63e-05	4.03e-05	9.70e-05	9.70e-05	0.000505	0.000495	0.000488	0.000488	-0.000198	-0.000178	-0.000215	-0.000215	-0.000853*	-0.000815*	-0.000698*	-0.000663	0.000110	7.24e-05	0.000234	0.000228	0.000126	0.000119	0.000205	0.000203	0.000206	0.000204	0.000343	0.000334	-0.00108***	-0.00106***	-0.00107***	-0.00107***	9.54e-05	9.93e-05	6.55e-05	8.27e-05	-0.000586	-0.000609	-0.000589	-0.000579
