	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction
																																
fert	-0.0723**	-0.0638**	-0.0402	-0.0402	-0.0330	-0.0262	-0.00124	-0.00124	-0.0616**	-0.0519*	-0.0160	-0.0160	-0.0522	-0.0492	-0.0184	-0.0184	-0.126***	-0.115***	-0.0816**	-0.0819**	-0.0455	-0.0428	-0.0127	-0.0132	-0.0869***	-0.0799**	-0.0390	-0.0375	0.00381	0.00411	0.0421	0.0415
	(0.0324)	(0.0318)	(0.0318)	(0.0318)	(0.0337)	(0.0334)	(0.0328)	(0.0328)	(0.0297)	(0.0294)	(0.0294)	(0.0294)	(0.0321)	(0.0316)	(0.0316)	(0.0316)	(0.0392)	(0.0378)	(0.0378)	(0.0378)	(0.0402)	(0.0401)	(0.0402)	(0.0401)	(0.0328)	(0.0324)	(0.0342)	(0.0341)	(0.0381)	(0.0379)	(0.0377)	(0.0377)
motherage	0.196	0.0448	0.414	0.414	-0.0126	-0.120	0.314	0.314	-0.693	-0.816	-0.352	-0.352	0.299	0.198	0.628	0.628	-1.059	-1.336	-1.050	-1.061	-0.890	-1.109	-0.653	-0.661	-2.617**	-2.950**	-2.588**	-2.562**	1.584	1.263	1.630	1.620
	(0.926)	(0.913)	(0.891)	(0.891)	(0.916)	(0.910)	(0.900)	(0.900)	(0.805)	(0.790)	(0.767)	(0.767)	(0.902)	(0.918)	(0.936)	(0.936)	(1.172)	(1.173)	(1.185)	(1.188)	(1.436)	(1.421)	(1.383)	(1.384)	(1.277)	(1.270)	(1.256)	(1.262)	(1.418)	(1.399)	(1.352)	(1.352)
motheragesq	-0.00764	-0.00230	-0.0170	-0.0170	-0.00198	0.00197	-0.0157	-0.0157	0.0244	0.0291	0.0102	0.0102	-0.0110	-0.00758	-0.0256	-0.0256	0.0380	0.0476	0.0355	0.0359	0.0333	0.0415	0.0243	0.0246	0.0961**	0.108**	0.0937**	0.0926**	-0.0578	-0.0457	-0.0590	-0.0586
	(0.0355)	(0.0351)	(0.0343)	(0.0343)	(0.0343)	(0.0341)	(0.0337)	(0.0337)	(0.0303)	(0.0298)	(0.0288)	(0.0288)	(0.0342)	(0.0346)	(0.0350)	(0.0350)	(0.0431)	(0.0431)	(0.0437)	(0.0438)	(0.0520)	(0.0514)	(0.0500)	(0.0500)	(0.0470)	(0.0466)	(0.0458)	(0.0460)	(0.0513)	(0.0505)	(0.0489)	(0.0489)
motheragecub	8.18e-05	2.36e-05	0.000204	0.000204	1.44e-05	-3.08e-05	0.000190	0.000190	-0.000292	-0.000348	-0.000107	-0.000107	0.000120	8.41e-05	0.000317	0.000317	-0.000460	-0.000564	-0.000412	-0.000418	-0.000432	-0.000525	-0.000322	-0.000327	-0.00114**	-0.00126**	-0.00109**	-0.00108**	0.000652	0.000510	0.000666	0.000659
	(0.000440)	(0.000434)	(0.000424)	(0.000424)	(0.000412)	(0.000409)	(0.000404)	(0.000404)	(0.000368)	(0.000361)	(0.000348)	(0.000348)	(0.000413)	(0.000416)	(0.000419)	(0.000419)	(0.000517)	(0.000516)	(0.000525)	(0.000526)	(0.000611)	(0.000603)	(0.000586)	(0.000586)	(0.000565)	(0.000557)	(0.000545)	(0.000547)	(0.000598)	(0.000587)	(0.000569)	(0.000568)
agefirstbirth	0.0262***	0.0238***	0.0102*	0.0102*	0.0299***	0.0276***	0.0146**	0.0146**	0.0380***	0.0349***	0.0209***	0.0209***	0.0234***	0.0205***	0.00728	0.00728	0.0342***	0.0304***	0.0101	0.0105	0.0353***	0.0303***	0.00792	0.00817	0.0489***	0.0419***	0.0219***	0.0210***	0.0350***	0.0278***	0.0106	0.0110
