	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																								
fert	-0.0271	-0.0280	-0.0345	-0.0345	0.0144	0.0120	0.0140	0.0140	-0.00369	-0.00747	-0.00567	-0.00567	-0.0532	-0.0598	-0.0567	-0.0567	-0.0147	-0.0157	-0.0113	-0.0113	-0.101**	-0.0978**	-0.103**	-0.103**	0.0617	0.0625	0.0572	0.0572	-0.136***	-0.125***	-0.108**	-0.107**	-0.0509	-0.0451	-0.0278	-0.0282	-0.0986**	-0.0861**	-0.0625	-0.0639	-0.00765	-0.00262	0.0278	0.0278	0.0166	0.0107	0.0267	0.0258	-0.0667	-0.0712	-0.0705	-0.0715	0.0635	0.0643	0.0652	0.0663
	(0.0433)	(0.0427)	(0.0433)	(0.0433)	(0.0427)	(0.0427)	(0.0431)	(0.0431)	(0.0393)	(0.0391)	(0.0394)	(0.0394)	(0.0419)	(0.0415)	(0.0428)	(0.0428)	(0.0466)	(0.0471)	(0.0483)	(0.0483)	(0.0479)	(0.0480)	(0.0482)	(0.0482)	(0.0417)	(0.0414)	(0.0408)	(0.0408)	(0.0445)	(0.0428)	(0.0435)	(0.0436)	(0.0496)	(0.0492)	(0.0491)	(0.0490)	(0.0431)	(0.0417)	(0.0421)	(0.0419)	(0.0456)	(0.0454)	(0.0466)	(0.0465)	(0.0508)	(0.0512)	(0.0523)	(0.0518)	(0.0485)	(0.0482)	(0.0481)	(0.0481)	(0.0496)	(0.0495)	(0.0500)	(0.0501)
motherage	-1.518	-1.591	-1.130	-1.130	-2.596*	-2.588*	-2.119	-2.119	-1.928	-1.924	-1.439	-1.439	-1.023	-1.007	-0.720	-0.720	1.097	1.100	0.854	0.854	1.322	1.320	1.340	1.340	-1.684	-1.688	-1.237	-1.237	-1.998	-2.351	-1.798	-1.814	-3.759**	-3.911**	-3.210*	-3.248*	-4.393***	-4.499***	-3.983**	-4.117***	-1.438	-1.639	-1.057	-1.060	3.949**	3.982**	4.081**	3.974**	4.277**	4.371**	4.379**	4.252**	-3.360	-3.415	-3.478	-3.337
	(1.409)	(1.436)	(1.446)	(1.446)	(1.554)	(1.571)	(1.640)	(1.640)	(1.248)	(1.252)	(1.246)	(1.246)	(1.515)	(1.524)	(1.568)	(1.568)	(1.761)	(1.763)	(1.812)	(1.812)	(1.697)	(1.707)	(1.700)	(1.700)	(1.312)	(1.311)	(1.318)	(1.318)	(1.539)	(1.533)	(1.514)	(1.513)	(1.747)	(1.751)	(1.755)	(1.753)	(1.594)	(1.590)	(1.549)	(1.544)	(1.738)	(1.718)	(1.716)	(1.715)	(1.855)	(1.871)	(1.808)	(1.820)	(1.853)	(1.851)	(1.793)	(1.798)	(2.141)	(2.156)	(2.114)	(2.108)
motheragesq	0.0542	0.0566	0.0391	0.0391	0.0878	0.0871	0.0697	0.0697	0.0615	0.0607	0.0429	0.0429	0.0413	0.0394	0.0275	0.0275	-0.0382	-0.0365	-0.0289	-0.0289	-0.0460	-0.0456	-0.0468	-0.0468	0.0661	0.0667	0.0513	0.0513	0.0699	0.0825	0.0621	0.0626	0.129**	0.134**	0.109*	0.111*	0.150***	0.154***	0.135**	0.140**	0.0480	0.0559	0.0356	0.0357	-0.141**	-0.141**	-0.145**	-0.142**	-0.152**	-0.156**	-0.156**	-0.151**	0.120	0.121	0.123*	0.118
	(0.0508)	(0.0515)	(0.0519)	(0.0519)	(0.0543)	(0.0548)	(0.0571)	(0.0571)	(0.0441)	(0.0441)	(0.0439)	(0.0439)	(0.0542)	(0.0544)	(0.0557)	(0.0557)	(0.0635)	(0.0636)	(0.0652)	(0.0652)	(0.0602)	(0.0603)	(0.0605)	(0.0605)	(0.0483)	(0.0483)	(0.0490)	(0.0490)	(0.0557)	(0.0554)	(0.0550)	(0.0550)	(0.0614)	(0.0615)	(0.0613)	(0.0613)	(0.0570)	(0.0567)	(0.0549)	(0.0549)	(0.0628)	(0.0620)	(0.0619)	(0.0618)	(0.0659)	(0.0663)	(0.0642)	(0.0646)	(0.0656)	(0.0653)	(0.0634)	(0.0634)	(0.0749)	(0.0754)	(0.0738)	(0.0739)
motheragecub	-0.000629	-0.000655	-0.000447	-0.000447	-0.000995	-0.000985	-0.000780	-0.000780	-0.000648	-0.000635	-0.000426	-0.000426	-0.000505	-0.000470	-0.000317	-0.000317	0.000435	0.000399	0.000323	0.000323	0.000472	0.000465	0.000482	0.000482	-0.000826	-0.000836	-0.000668	-0.000668	-0.000802	-0.000942	-0.000702	-0.000709	-0.00147**	-0.00153**	-0.00125*	-0.00127*	-0.00167**	-0.00170**	-0.00149**	-0.00154**	-0.000539	-0.000630	-0.000402	-0.000403	0.00159**	0.00159**	0.00164**	0.00160**	0.00168**	0.00172**	0.00172**	0.00167**	-0.00140	-0.00142	-0.00144*	-0.00138
