	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																								
fert	-0.00602	-0.00664	0.00374	0.00374	-0.0191	-0.0203	-0.0172	-0.0172	-0.0118	-0.0119	-0.00320	-0.00320	-0.0235	-0.0239	-0.0152	-0.0152	-0.0334	-0.0332	-0.0283	-0.0283	-0.0585*	-0.0564*	-0.0576*	-0.0576*	0.0479	0.0506	0.0457	0.0457	-0.115***	-0.111***	-0.0750**	-0.0643*	0.0127	0.0142	0.0475	0.0424	-0.0991***	-0.0951***	-0.0517	-0.0394	-0.0165	-0.0157	0.0207	0.0126	-0.0137	-0.0140	-0.0113	-0.00190	-0.0364	-0.0407	-0.0575	-0.0372	-0.0314	-0.0313	-0.0132	-0.00482
	(0.0280)	(0.0279)	(0.0276)	(0.0276)	(0.0291)	(0.0293)	(0.0289)	(0.0289)	(0.0300)	(0.0299)	(0.0297)	(0.0297)	(0.0293)	(0.0294)	(0.0292)	(0.0292)	(0.0300)	(0.0300)	(0.0304)	(0.0304)	(0.0301)	(0.0302)	(0.0306)	(0.0306)	(0.0341)	(0.0343)	(0.0353)	(0.0353)	(0.0367)	(0.0345)	(0.0350)	(0.0351)	(0.0390)	(0.0390)	(0.0398)	(0.0397)	(0.0345)	(0.0345)	(0.0352)	(0.0357)	(0.0375)	(0.0373)	(0.0368)	(0.0371)	(0.0360)	(0.0361)	(0.0368)	(0.0371)	(0.0356)	(0.0358)	(0.0364)	(0.0368)	(0.0337)	(0.0340)	(0.0347)	(0.0359)
motherage	-1.148*	-1.208*	-1.100*	-1.100*	-1.528***	-1.565***	-1.479***	-1.479***	-0.681	-0.744	-0.607	-0.607	-0.867*	-0.925*	-0.809	-0.809	0.403	0.372	0.429	0.429	0.521	0.510	0.484	0.484	-0.955*	-0.985*	-0.869	-0.869	-1.953	-2.035*	-1.872	-1.849	-1.204	-1.264	-0.924	-0.923	-1.440	-1.533	-1.234	-1.237	0.143	0.0288	0.151	0.156	-1.509	-1.484	-1.551	-1.547	0.585	0.586	0.510	0.518	-0.914	-0.891	-1.071	-1.068
	(0.655)	(0.629)	(0.617)	(0.617)	(0.540)	(0.538)	(0.527)	(0.527)	(0.575)	(0.571)	(0.571)	(0.571)	(0.508)	(0.513)	(0.502)	(0.502)	(0.547)	(0.546)	(0.545)	(0.545)	(0.554)	(0.557)	(0.554)	(0.554)	(0.568)	(0.557)	(0.548)	(0.548)	(1.223)	(1.184)	(1.181)	(1.187)	(1.147)	(1.141)	(1.113)	(1.114)	(1.110)	(1.090)	(1.103)	(1.107)	(1.043)	(1.042)	(1.001)	(0.997)	(1.090)	(1.094)	(1.082)	(1.081)	(1.006)	(1.014)	(1.011)	(0.999)	(1.113)	(1.106)	(1.096)	(1.096)
motheragesq	0.0372*	0.0391*	0.0350*	0.0350*	0.0551***	0.0564***	0.0531***	0.0531***	0.0253	0.0275	0.0222	0.0222	0.0314*	0.0331*	0.0285	0.0285	-0.0148	-0.0139	-0.0163	-0.0163	-0.0158	-0.0154	-0.0147	-0.0147	0.0273	0.0280	0.0237	0.0237	0.0645	0.0670	0.0602	0.0598	0.0504	0.0520	0.0390	0.0388	0.0531	0.0561	0.0443	0.0449	-0.00588	-0.00191	-0.00661	-0.00708	0.0506	0.0497	0.0519	0.0522	-0.0267	-0.0266	-0.0241	-0.0236	0.0259	0.0247	0.0311	0.0313
	(0.0222)	(0.0214)	(0.0210)	(0.0210)	(0.0189)	(0.0188)	(0.0184)	(0.0184)	(0.0203)	(0.0202)	(0.0201)	(0.0201)	(0.0183)	(0.0184)	(0.0180)	(0.0180)	(0.0198)	(0.0198)	(0.0197)	(0.0197)	(0.0199)	(0.0200)	(0.0199)	(0.0199)	(0.0202)	(0.0199)	(0.0196)	(0.0196)	(0.0452)	(0.0438)	(0.0438)	(0.0440)	(0.0422)	(0.0419)	(0.0410)	(0.0411)	(0.0412)	(0.0405)	(0.0410)	(0.0411)	(0.0389)	(0.0389)	(0.0374)	(0.0372)	(0.0411)	(0.0412)	(0.0407)	(0.0406)	(0.0372)	(0.0374)	(0.0374)	(0.0369)	(0.0416)	(0.0413)	(0.0409)	(0.0408)
motheragecub	-0.000389	-0.000407*	-0.000359	-0.000359	-0.000620***	-0.000634***	-0.000596***	-0.000596***	-0.000293	-0.000318	-0.000254	-0.000254	-0.000351*	-0.000367*	-0.000313	-0.000313	0.000159	0.000150	0.000181	0.000181	0.000127	0.000123	0.000117	0.000117	-0.000253	-0.000257	-0.000207	-0.000207	-0.000714	-0.000737	-0.000646	-0.000642	-0.000678	-0.000689	-0.000527	-0.000524	-0.000646	-0.000673	-0.000524	-0.000530	6.40e-05	2.16e-05	8.09e-05	8.69e-05	-0.000556	-0.000546	-0.000574	-0.000578	0.000346	0.000343	0.000315	0.000307	-0.000255	-0.000240	-0.000313	-0.000316
