	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction
																																
fert	-0.0195	-0.0276	-0.00941	-0.00941	-0.0665	-0.0680	-0.0439	-0.0439	-0.0695	-0.0700	-0.0426	-0.0426	-0.0405	-0.0420	-0.00931	-0.00931	-0.104**	-0.102**	-0.0705	-0.0505	0.0600	0.0550	0.0884	0.0806	-0.0566	-0.0586	-0.00559	0.00895	0.0227	0.0208	0.0488	0.0410
	(0.0392)	(0.0395)	(0.0391)	(0.0391)	(0.0431)	(0.0433)	(0.0435)	(0.0435)	(0.0496)	(0.0491)	(0.0473)	(0.0473)	(0.0420)	(0.0419)	(0.0413)	(0.0413)	(0.0490)	(0.0483)	(0.0493)	(0.0489)	(0.0561)	(0.0559)	(0.0569)	(0.0571)	(0.0536)	(0.0541)	(0.0561)	(0.0565)	(0.0528)	(0.0527)	(0.0507)	(0.0519)
motherage	-2.299*	-2.330*	-2.181*	-2.181*	-3.623***	-3.635***	-3.244***	-3.244***	-3.058*	-3.003*	-2.586*	-2.586*	-1.977*	-1.882*	-1.375	-1.375	-2.116	-2.068	-1.671	-1.676	-1.728	-1.675	-1.125	-1.120	-1.485	-1.414	-0.973	-0.981	-1.168	-0.948	-0.467	-0.461
	(1.275)	(1.214)	(1.155)	(1.155)	(1.113)	(1.105)	(1.075)	(1.075)	(1.689)	(1.589)	(1.497)	(1.497)	(1.067)	(1.036)	(0.968)	(0.968)	(1.735)	(1.610)	(1.564)	(1.556)	(1.620)	(1.591)	(1.560)	(1.562)	(1.958)	(1.832)	(1.806)	(1.806)	(1.644)	(1.589)	(1.530)	(1.532)
motheragesq	0.0676	0.0683	0.0638	0.0638	0.137***	0.138***	0.125***	0.125***	0.112*	0.110*	0.0957*	0.0957*	0.0701*	0.0665*	0.0492	0.0492	0.0637	0.0618	0.0462	0.0476	0.0739	0.0708	0.0503	0.0497	0.0526	0.0491	0.0318	0.0329	0.0435	0.0346	0.0164	0.0157
	(0.0469)	(0.0448)	(0.0426)	(0.0426)	(0.0419)	(0.0416)	(0.0403)	(0.0403)	(0.0609)	(0.0576)	(0.0547)	(0.0547)	(0.0405)	(0.0395)	(0.0371)	(0.0371)	(0.0641)	(0.0595)	(0.0580)	(0.0577)	(0.0600)	(0.0588)	(0.0577)	(0.0577)	(0.0725)	(0.0682)	(0.0675)	(0.0675)	(0.0623)	(0.0603)	(0.0580)	(0.0581)
motheragecub	-0.000617	-0.000625	-0.000579	-0.000579	-0.00164***	-0.00165***	-0.00150***	-0.00150***	-0.00132*	-0.00130*	-0.00115*	-0.00115*	-0.000799	-0.000762	-0.000568	-0.000568	-0.000624	-0.000599	-0.000395	-0.000416	-0.000999	-0.000944	-0.000695	-0.000685	-0.000623	-0.000572	-0.000352	-0.000370	-0.000529	-0.000411	-0.000186	-0.000175
	(0.000562)	(0.000539)	(0.000513)	(0.000513)	(0.000513)	(0.000509)	(0.000493)	(0.000493)	(0.000718)	(0.000683)	(0.000654)	(0.000654)	(0.000498)	(0.000486)	(0.000459)	(0.000459)	(0.000769)	(0.000717)	(0.000701)	(0.000696)	(0.000722)	(0.000707)	(0.000696)	(0.000696)	(0.000877)	(0.000830)	(0.000826)	(0.000826)	(0.000766)	(0.000743)	(0.000717)	(0.000717)
