	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																								
fert	-0.0176	-0.0236	-0.0181	-0.0181	-0.0731*	-0.0769*	-0.0649	-0.0649	0.0128	0.00951	0.0211	0.0211	-0.0252	-0.0318	-0.0174	-0.0174	0.000309	0.00482	0.00623	0.00623	-0.0390	-0.0326	-0.0258	-0.0258	0.0620	0.0620	0.0563	0.0563	-0.120**	-0.121**	-0.0901	-0.0651	0.0388	0.0418	0.0799	0.0732	-0.0321	-0.0319	0.0201	0.0392	-0.00490	-0.00353	0.0104	0.00678	-0.0415	-0.0432	-0.0533	-0.0412	0.00699	0.000380	-0.0262	-0.00129	-0.108**	-0.114**	-0.0891*	-0.0687
	(0.0455)	(0.0458)	(0.0452)	(0.0452)	(0.0444)	(0.0448)	(0.0437)	(0.0437)	(0.0483)	(0.0486)	(0.0476)	(0.0476)	(0.0463)	(0.0466)	(0.0463)	(0.0463)	(0.0486)	(0.0485)	(0.0492)	(0.0492)	(0.0476)	(0.0473)	(0.0477)	(0.0477)	(0.0543)	(0.0547)	(0.0561)	(0.0561)	(0.0561)	(0.0551)	(0.0550)	(0.0551)	(0.0594)	(0.0594)	(0.0603)	(0.0605)	(0.0590)	(0.0592)	(0.0602)	(0.0610)	(0.0595)	(0.0588)	(0.0583)	(0.0596)	(0.0549)	(0.0555)	(0.0554)	(0.0561)	(0.0550)	(0.0556)	(0.0570)	(0.0572)	(0.0480)	(0.0484)	(0.0507)	(0.0529)
motherage	-2.441**	-2.475**	-2.264**	-2.264**	-3.699***	-3.727***	-3.401***	-3.401***	-0.825	-0.958	-0.708	-0.708	-1.372	-1.473	-1.236	-1.236	-0.432	-0.204	0.128	0.128	-0.740	-0.649	-0.591	-0.591	0.368	0.442	0.417	0.417	-0.255	-0.137	0.117	-0.0653	-1.525	-1.460	-1.363	-1.337	0.203	0.161	0.378	0.305	0.122	0.182	0.212	0.227	-3.381**	-3.418**	-3.012*	-3.058*	1.516	1.469	1.865	1.772	0.00507	-0.0535	-0.525	-0.602
	(1.154)	(1.161)	(1.124)	(1.124)	(1.242)	(1.241)	(1.192)	(1.192)	(1.158)	(1.149)	(1.184)	(1.184)	(1.044)	(1.041)	(1.005)	(1.005)	(1.419)	(1.425)	(1.423)	(1.423)	(1.259)	(1.248)	(1.262)	(1.262)	(1.249)	(1.248)	(1.273)	(1.273)	(1.447)	(1.476)	(1.420)	(1.382)	(1.743)	(1.743)	(1.724)	(1.729)	(1.730)	(1.756)	(1.814)	(1.803)	(1.683)	(1.691)	(1.695)	(1.699)	(1.680)	(1.685)	(1.670)	(1.678)	(1.496)	(1.519)	(1.543)	(1.538)	(1.925)	(1.933)	(1.908)	(1.899)
motheragesq	0.0720*	0.0730*	0.0665	0.0665	0.139***	0.140***	0.129***	0.129***	0.0316	0.0361	0.0277	0.0277	0.0469	0.0502	0.0422	0.0422	0.0261	0.0176	0.00426	0.00426	0.0391	0.0352	0.0325	0.0325	-0.0276	-0.0308	-0.0301	-0.0301	-0.00629	-0.0105	-0.0204	-0.0134	0.0620	0.0597	0.0562	0.0550	-0.0104	-0.00900	-0.0183	-0.0150	-0.00379	-0.00604	-0.00734	-0.00801	0.117*	0.118*	0.104*	0.106*	-0.0616	-0.0602	-0.0739	-0.0696	-0.0138	-0.0117	0.00510	0.00865
	(0.0425)	(0.0427)	(0.0413)	(0.0413)	(0.0457)	(0.0457)	(0.0438)	(0.0438)	(0.0427)	(0.0424)	(0.0437)	(0.0437)	(0.0397)	(0.0395)	(0.0384)	(0.0384)	(0.0533)	(0.0534)	(0.0536)	(0.0536)	(0.0471)	(0.0466)	(0.0471)	(0.0471)	(0.0489)	(0.0488)	(0.0496)	(0.0496)	(0.0541)	(0.0550)	(0.0531)	(0.0517)	(0.0631)	(0.0630)	(0.0624)	(0.0626)	(0.0639)	(0.0648)	(0.0670)	(0.0667)	(0.0629)	(0.0631)	(0.0631)	(0.0632)	(0.0619)	(0.0620)	(0.0613)	(0.0615)	(0.0551)	(0.0558)	(0.0567)	(0.0564)	(0.0730)	(0.0733)	(0.0721)	(0.0716)
motheragecub	-0.000668	-0.000681	-0.000613	-0.000613	-0.00164***	-0.00166***	-0.00153***	-0.00153***	-0.000393	-0.000446	-0.000347	-0.000347	-0.000532	-0.000573	-0.000482	-0.000482	-0.000425	-0.000320	-0.000146	-0.000146	-0.000619	-0.000567	-0.000527	-0.000527	0.000424	0.000465	0.000459	0.000459	0.000212	0.000261	0.000400	0.000325	-0.000803	-0.000778	-0.000727	-0.000713	0.000129	0.000115	0.000251	0.000211	3.06e-05	5.66e-05	8.28e-05	9.08e-05	-0.00131*	-0.00133*	-0.00116	-0.00119	0.000803	0.000789	0.000939	0.000887	0.000267	0.000241	4.56e-05	3.03e-06
