	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Verbal_Similarities	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Number_Skills	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Word_Reading	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Pattern_Construction	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Reading_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Help_Writing_Freq	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection	ZQ_Proactive_School_Selection
																																																								
fert	0.00687	0.0166	0.0190	0.0190	0.0246	0.0284	0.0201	0.0201	0.0109	0.0191	0.0201	0.0201	-0.0114	-0.00735	-0.00874	-0.00874	-0.0517	-0.0545	-0.0422	-0.0422	-0.0736*	-0.0742*	-0.0765*	-0.0765*	0.0407	0.0441	0.0314	0.0314	-0.122**	-0.111**	-0.0770	-0.0809	-0.0277	-0.0219	0.000838	0.00132	-0.127***	-0.115**	-0.0753	-0.0600	-0.0261	-0.0295	0.00855	0.00283	0.0237	0.0280	0.0516	0.0677	-0.0745	-0.0760	-0.0809	-0.0565	0.00827	0.0143	0.0256	0.0258
	(0.0390)	(0.0383)	(0.0384)	(0.0384)	(0.0398)	(0.0398)	(0.0391)	(0.0391)	(0.0399)	(0.0391)	(0.0390)	(0.0390)	(0.0420)	(0.0419)	(0.0420)	(0.0420)	(0.0414)	(0.0414)	(0.0418)	(0.0418)	(0.0441)	(0.0443)	(0.0445)	(0.0445)	(0.0462)	(0.0467)	(0.0472)	(0.0472)	(0.0546)	(0.0505)	(0.0500)	(0.0507)	(0.0546)	(0.0545)	(0.0555)	(0.0558)	(0.0470)	(0.0466)	(0.0482)	(0.0488)	(0.0538)	(0.0533)	(0.0538)	(0.0541)	(0.0494)	(0.0496)	(0.0520)	(0.0522)	(0.0507)	(0.0512)	(0.0524)	(0.0530)	(0.0512)	(0.0509)	(0.0524)	(0.0541)
motherage	0.731	0.571	0.838	0.838	-0.197	-0.317	-0.294	-0.294	0.139	0.00573	0.167	0.167	-0.174	-0.300	-0.139	-0.139	0.292	0.311	0.408	0.408	0.205	0.289	0.332	0.332	-0.948	-1.097	-0.790	-0.790	-1.052	-1.203	-0.955	-0.980	-2.267	-2.390	-1.914	-1.914	-2.541*	-2.781**	-2.382*	-2.387*	0.325	0.153	0.328	0.333	0.000584	-0.0516	-0.0252	-0.00135	0.443	0.493	0.221	0.258	-0.830	-0.818	-1.100	-1.099
	(0.690)	(0.681)	(0.676)	(0.676)	(0.717)	(0.716)	(0.705)	(0.705)	(0.653)	(0.656)	(0.649)	(0.649)	(0.734)	(0.753)	(0.739)	(0.739)	(0.771)	(0.768)	(0.777)	(0.777)	(0.757)	(0.771)	(0.772)	(0.772)	(0.713)	(0.699)	(0.693)	(0.693)	(1.276)	(1.278)	(1.310)	(1.311)	(1.525)	(1.528)	(1.530)	(1.531)	(1.349)	(1.345)	(1.359)	(1.374)	(1.529)	(1.522)	(1.490)	(1.484)	(1.558)	(1.567)	(1.555)	(1.552)	(1.510)	(1.518)	(1.511)	(1.496)	(1.586)	(1.584)	(1.572)	(1.573)
motheragesq	-0.0238	-0.0183	-0.0292	-0.0292	0.00647	0.0105	0.00784	0.00784	-0.00300	0.00207	-0.00576	-0.00576	0.00998	0.0142	0.00622	0.00622	-0.0171	-0.0181	-0.0224	-0.0224	-0.0106	-0.0131	-0.0146	-0.0146	0.0328	0.0375	0.0261	0.0261	0.0386	0.0435	0.0326	0.0334	0.0891	0.0932*	0.0745	0.0745	0.0950*	0.103**	0.0868*	0.0872*	-0.0127	-0.00700	-0.0135	-0.0138	-0.000918	0.000651	-0.00166	-0.00229	-0.0179	-0.0196	-0.0107	-0.0117	0.0256	0.0252	0.0356	0.0356
	(0.0246)	(0.0244)	(0.0241)	(0.0241)	(0.0253)	(0.0252)	(0.0249)	(0.0249)	(0.0232)	(0.0232)	(0.0228)	(0.0228)	(0.0266)	(0.0271)	(0.0265)	(0.0265)	(0.0277)	(0.0276)	(0.0280)	(0.0280)	(0.0276)	(0.0280)	(0.0279)	(0.0279)	(0.0262)	(0.0257)	(0.0257)	(0.0257)	(0.0482)	(0.0482)	(0.0496)	(0.0496)	(0.0556)	(0.0558)	(0.0559)	(0.0559)	(0.0497)	(0.0496)	(0.0500)	(0.0505)	(0.0561)	(0.0557)	(0.0547)	(0.0544)	(0.0590)	(0.0593)	(0.0588)	(0.0587)	(0.0563)	(0.0564)	(0.0564)	(0.0558)	(0.0577)	(0.0575)	(0.0571)	(0.0571)
motheragecub	0.000232	0.000172	0.000301	0.000301	-7.89e-05	-0.000121	-8.28e-05	-8.28e-05	1.49e-05	-4.24e-05	5.79e-05	5.79e-05	-0.000141	-0.000184	-8.05e-05	-8.05e-05	0.000223	0.000237	0.000293	0.000293	0.000127	0.000149	0.000166	0.000166	-0.000351	-0.000398	-0.000265	-0.000265	-0.000495	-0.000545	-0.000400	-0.000410	-0.00115*	-0.00119*	-0.000952	-0.000952	-0.00115*	-0.00122**	-0.00102*	-0.00102*	0.000137	8.21e-05	0.000165	0.000166	-1.23e-05	-2.70e-05	6.56e-06	1.66e-05	0.000153	0.000170	6.87e-05	8.39e-05	-0.000284	-0.000283	-0.000402	-0.000402
