	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction
																																
fert	-0.634***	-0.612***	-0.402*	-0.402*	-0.104	-0.0968	-0.0212	-0.0212	-2.719***	-2.619***	-1.610**	-1.610**	-0.905**	-0.839**	-0.324	-0.324	-1.084***	-1.019***	-0.803***	-0.812***	-0.0142	0.00184	0.0738	0.0740	-2.789***	-2.539***	-1.502*	-1.502*	0.0657	0.197	0.654	0.656
	(0.220)	(0.219)	(0.215)	(0.215)	(0.0670)	(0.0670)	(0.0667)	(0.0667)	(0.777)	(0.780)	(0.749)	(0.749)	(0.420)	(0.416)	(0.412)	(0.412)	(0.279)	(0.275)	(0.274)	(0.274)	(0.0822)	(0.0828)	(0.0833)	(0.0832)	(0.812)	(0.823)	(0.845)	(0.845)	(0.499)	(0.492)	(0.487)	(0.486)
motherage	2.720**	2.749**	2.398**	2.398**	0.383	0.383	0.256	0.256	8.332**	8.291**	6.962**	6.962**	0.628	0.679	-0.0101	-0.0101	1.754*	2.124**	2.102**	2.078**	0.408	0.425	0.415	0.418	7.912**	8.262**	8.337**	8.329**	2.510	2.454	2.492	2.517
	(1.090)	(1.079)	(1.049)	(1.049)	(0.299)	(0.300)	(0.293)	(0.293)	(3.374)	(3.383)	(3.249)	(3.249)	(1.717)	(1.711)	(1.705)	(1.705)	(1.051)	(1.051)	(1.031)	(1.036)	(0.302)	(0.306)	(0.314)	(0.312)	(3.209)	(3.208)	(3.239)	(3.239)	(1.703)	(1.689)	(1.733)	(1.723)
motheragesq	-0.183**	-0.182**	-0.171**	-0.171**	-0.0164	-0.0156	-0.0119	-0.0119	-0.397*	-0.386*	-0.358	-0.358	-0.0612	-0.0601	-0.0469	-0.0469	-0.128*	-0.144*	-0.157**	-0.155**	-0.00760	-0.00779	-0.00955	-0.00982	-0.368	-0.373	-0.410*	-0.409*	-0.159	-0.149	-0.170	-0.172
	(0.0746)	(0.0737)	(0.0714)	(0.0714)	(0.0199)	(0.0199)	(0.0196)	(0.0196)	(0.226)	(0.225)	(0.219)	(0.219)	(0.112)	(0.112)	(0.112)	(0.112)	(0.0772)	(0.0763)	(0.0748)	(0.0749)	(0.0218)	(0.0219)	(0.0218)	(0.0218)	(0.243)	(0.241)	(0.241)	(0.241)	(0.124)	(0.123)	(0.122)	(0.122)
motheragecub	0.00299**	0.00297**	0.00289**	0.00289**	0.000232	0.000216	0.000187	0.000187	0.00563	0.00540	0.00536	0.00536	0.00113	0.00109	0.00109	0.00109	0.00218*	0.00241*	0.00270**	0.00267**	-6.34e-06	3.20e-07	4.18e-05	4.50e-05	0.00511	0.00518	0.00595	0.00594	0.00256	0.00241	0.00284	0.00286
	(0.00120)	(0.00119)	(0.00115)	(0.00115)	(0.000316)	(0.000316)	(0.000311)	(0.000311)	(0.00365)	(0.00363)	(0.00354)	(0.00354)	(0.00174)	(0.00174)	(0.00174)	(0.00174)	(0.00127)	(0.00126)	(0.00123)	(0.00123)	(0.000356)	(0.000357)	(0.000352)	(0.000352)	(0.00416)	(0.00410)	(0.00409)	(0.00408)	(0.00204)	(0.00202)	(0.00199)	(0.00200)
agefirstbirth	0.278***	0.245***	0.126***	0.126***	0.0748***	0.0655***	0.0291**	0.0291**	1.054***	0.923***	0.496***	0.496***	0.414***	0.367***	0.139*	0.139*	0.372***	0.322***	0.112**	0.101*	0.0970***	0.0833***	0.0299*	0.0323**	1.399***	1.150***	0.550***	0.544***	0.545***	0.435***	0.155	0.180*
	(0.0386)	(0.0403)	(0.0424)	(0.0424)	(0.0118)	(0.0122)	(0.0125)	(0.0125)	(0.134)	(0.139)	(0.143)	(0.143)	(0.0745)	(0.0779)	(0.0772)	(0.0772)	(0.0506)	(0.0526)	(0.0558)	(0.0565)	(0.0145)	(0.0152)	(0.0160)	(0.0162)	(0.158)	(0.164)	(0.177)	(0.180)	(0.0936)	(0.0995)	(0.0982)	(0.0993)
miss_motherage	-3.158	-1.676	-3.999	-3.999	1.255	1.464	1.763	1.763	51.00***	53.88***	56.18***	56.18***	-0.976	1.101	-0.729	-0.729	-1.272	-0.239	-2.603	-2.443	1.853	2.151	1.946	1.931	50.30***	54.25***	50.38***	50.42***	-0.777	1.258	-0.401	-0.540
	(3.900)	(3.826)	(3.914)	(3.914)	(1.704)	(1.729)	(1.601)	(1.601)	(15.73)	(15.89)	(14.35)	(14.35)	(5.861)	(5.796)	(6.737)	(6.737)	(4.341)	(4.496)	(4.507)	(4.546)	(1.718)	(1.740)	(1.823)	(1.804)	(14.00)	(14.01)	(15.10)	(15.12)	(6.836)	(6.843)	(7.494)	(7.339)
miss_agefirstbirth	7.564***	6.748***	3.120**	3.120**	2.068***	1.823***	0.703*	0.703*	30.40***	26.88***	13.61***	13.61***	10.47***	9.323***	2.262	2.262	9.095***	8.011***	2.168	1.621	2.325***	2.014***	0.506	0.632	36.78***	31.18***	14.28***	13.98***	12.85***	10.43***	2.483	3.760
	(1.134)	(1.180)	(1.254)	(1.254)	(0.356)	(0.364)	(0.375)	(0.375)	(4.105)	(4.272)	(4.409)	(4.409)	(2.205)	(2.294)	(2.278)	(2.278)	(1.373)	(1.433)	(1.541)	(1.608)	(0.400)	(0.415)	(0.442)	(0.459)	(4.563)	(4.721)	(5.177)	(5.391)	(2.567)	(2.671)	(2.656)	(2.765)
_mother_edu1			-5.092***	-5.092***			-1.982***	-1.982***			-19.31***	-19.31***			-12.99***	-12.99***			-6.103***	-6.094***			-1.399***	-1.399***			-11.49***	-11.49***			-10.40***	-10.40***
			(0.984)	(0.984)			(0.312)	(0.312)			(3.466)	(3.466)			(1.864)	(1.864)			(1.100)	(1.096)			(0.364)	(0.364)			(3.992)	(3.994)			(2.088)	(2.084)
_mother_edu2			-5.096***	-5.096***			-1.675***	-1.675***			-13.91***	-13.91***			-8.225***	-8.225***			-5.079***	-5.033***			-1.373***	-1.384***			-10.59***	-10.57***			-7.350***	-7.476***
			(0.910)	(0.910)			(0.310)	(0.310)			(3.295)	(3.295)			(1.792)	(1.792)			(1.081)	(1.081)			(0.374)	(0.374)			(3.976)	(3.983)			(2.133)	(2.129)
_mother_edu3			-3.153***	-3.153***			-0.886***	-0.886***			-7.794***	-7.794***			-5.565***	-5.565***			-2.934***	-2.893***			-0.504	-0.513			-4.582	-4.556			-3.551**	-3.655**
			(0.721)	(0.721)			(0.255)	(0.255)			(2.698)	(2.698)			(1.518)	(1.518)			(0.910)	(0.909)			(0.316)	(0.316)			(3.455)	(3.457)			(1.811)	(1.810)
_mother_edu4			-2.127***	-2.127***			-0.992***	-0.992***			-7.517***	-7.517***			-4.886***	-4.886***			-1.572*	-1.536			-0.640**	-0.651**			-5.503	-5.473			-3.934**	-4.057**
			(0.757)	(0.757)			(0.262)	(0.262)			(2.759)	(2.759)			(1.570)	(1.570)			(0.948)	(0.946)			(0.322)	(0.324)			(3.491)	(3.496)			(1.912)	(1.914)
_mother_edu5			-1.433**	-1.433**			-0.466**	-0.466**			-2.584	-2.584			-3.316**	-3.316**			-0.754	-0.731			-0.141	-0.144			0.365	0.377			-1.534	-1.578
			(0.650)	(0.650)			(0.235)	(0.235)			(2.506)	(2.506)			(1.397)	(1.397)			(0.836)	(0.833)			(0.290)	(0.290)			(3.158)	(3.161)			(1.677)	(1.676)
_mother_edu7			-4.849***	-4.849***			-0.718**	-0.718**			-13.10***	-13.10***			-10.09***	-10.09***			-5.292***	-5.185***			-0.792*	-0.811*			-13.62***	-13.57***			-9.361***	-9.562***
			(1.401)	(1.401)			(0.358)	(0.358)			(4.469)	(4.469)			(2.373)	(2.373)			(1.329)	(1.336)			(0.427)	(0.428)			(4.588)	(4.585)			(2.497)	(2.493)
_inc1			2.089	2.089			-0.809	-0.809			-9.747	-9.747			2.284	2.284			0.332	0.354			-0.251	-0.266			-3.565	-3.529			0.855	0.709
			(2.674)	(2.674)			(0.904)	(0.904)			(6.674)	(6.674)			(5.809)	(5.809)			(2.604)	(2.601)			(0.969)	(0.970)			(8.663)	(8.670)			(5.442)	(5.492)
_inc2			-2.402***	-2.402***			-0.564***	-0.564***			-8.883***	-8.883***			-3.876***	-3.876***			-2.751***	-2.775***			-0.602***	-0.594***			-9.812***	-9.831***			-2.027	-1.945
			(0.648)	(0.648)			(0.188)	(0.188)			(2.049)	(2.049)			(1.184)	(1.184)			(0.737)	(0.738)			(0.226)	(0.226)			(2.352)	(2.350)			(1.384)	(1.384)
_inc3			-1.741***	-1.741***			-0.469***	-0.469***			-8.250***	-8.250***			-4.068***	-4.068***			-2.666***	-2.711***			-0.585***	-0.573***			-9.148***	-9.176***			-3.121**	-3.001**
			(0.600)	(0.600)			(0.173)	(0.173)			(1.888)	(1.888)			(1.079)	(1.079)			(0.682)	(0.684)			(0.206)	(0.206)			(2.224)	(2.227)			(1.259)	(1.263)
_inc4			-0.361	-0.361			-0.230	-0.230			-2.073	-2.073			-0.814	-0.814			-2.099***	-2.145***			-0.399**	-0.390**			-3.765*	-3.788*			-1.268	-1.168
			(0.527)	(0.527)			(0.144)	(0.144)			(1.507)	(1.507)			(0.882)	(0.882)			(0.648)	(0.648)			(0.192)	(0.193)			(2.044)	(2.048)			(1.136)	(1.138)
_inc6			1.316***	1.316***			0.304**	0.304**			1.962	1.962			0.327	0.327			0.519	0.507			0.642***	0.644***			5.637***	5.631***			1.486	1.511
			(0.463)	(0.463)			(0.140)	(0.140)			(1.465)	(1.465)			(0.909)	(0.909)			(0.643)	(0.641)			(0.184)	(0.185)			(2.047)	(2.047)			(1.220)	(1.218)
height		3.974	1.828	1.828		0.931	0.271	0.271		21.63**	13.65*	13.65*		6.708	2.302	2.302		5.783*	2.573	2.763		1.670*	0.872	0.826		27.00***	17.93*	18.04*		14.02***	9.692*	9.246*
		(2.566)	(2.457)	(2.457)		(0.736)	(0.709)	(0.709)		(8.573)	(8.042)	(8.042)		(4.532)	(4.365)	(4.365)		(3.151)	(2.946)	(2.954)		(0.897)	(0.889)	(0.888)		(10.36)	(10.01)	(10.04)		(5.270)	(5.059)	(5.055)
bmi		-0.122***	-0.111***	-0.111***		-0.0204*	-0.0161	-0.0161		-0.261**	-0.214*	-0.214*		-0.188***	-0.170**	-0.170**		-0.139***	-0.133**	-0.130**		-0.0167	-0.0114	-0.0119		-0.303*	-0.250	-0.249		-0.219**	-0.207**	-0.212**
		(0.0422)	(0.0415)	(0.0415)		(0.0121)	(0.0118)	(0.0118)		(0.128)	(0.125)	(0.125)		(0.0726)	(0.0716)	(0.0716)		(0.0537)	(0.0525)	(0.0526)		(0.0148)	(0.0148)	(0.0147)		(0.156)	(0.154)	(0.154)		(0.0864)	(0.0847)	(0.0846)
daily_cig_before_preg		-0.0467**	0.0143	0.0143		-0.0158**	0.00144	0.00144		-0.210***	0.00496	0.00496		-0.0612	0.0426	0.0426		-0.0689**	-0.000332	-0.00523		-0.0173*	7.30e-05	0.00123		-0.351***	-0.144	-0.147		-0.123**	-0.0315	-0.0197
		(0.0231)	(0.0236)	(0.0236)		(0.00723)	(0.00716)	(0.00716)		(0.0760)	(0.0750)	(0.0750)		(0.0414)	(0.0421)	(0.0421)		(0.0285)	(0.0280)	(0.0283)		(0.00932)	(0.00918)	(0.00922)		(0.0904)	(0.0905)	(0.0908)		(0.0487)	(0.0492)	(0.0496)
weekly_alcohol_b_preg		-0.0413	-0.0412	-0.0412		-0.00154	0.000775	0.000775		-0.0763	-0.0507	-0.0507		-0.0641	-0.0478	-0.0478		0.0134	0.0136	0.0141		-0.00156	-0.00303	-0.00328		-0.0926	-0.109	-0.108		0.000355	-0.00258	-0.00496
		(0.0261)	(0.0254)	(0.0254)		(0.00696)	(0.00690)	(0.00690)		(0.0868)	(0.0815)	(0.0815)		(0.0551)	(0.0531)	(0.0531)		(0.0234)	(0.0225)	(0.0227)		(0.00686)	(0.00685)	(0.00687)		(0.0859)	(0.0867)	(0.0866)		(0.0540)	(0.0524)	(0.0525)
complications_during_preg		-0.401	-0.433	-0.433		-0.110	-0.127	-0.127		-0.623	-0.869	-0.869		-0.533	-0.700	-0.700		0.124	-0.0223	-0.0247		-0.0492	-0.0618	-0.0614		-1.798	-1.936	-1.937		-0.751	-0.968	-0.966
		(0.365)	(0.357)	(0.357)		(0.105)	(0.102)	(0.102)		(1.174)	(1.141)	(1.141)		(0.632)	(0.615)	(0.615)		(0.432)	(0.420)	(0.420)		(0.127)	(0.124)	(0.124)		(1.372)	(1.359)	(1.359)		(0.759)	(0.735)	(0.735)
miss_height		3.834	0.408	0.408		1.303	0.406	0.406		33.47**	22.20	22.20		11.78	5.834	5.834		6.328	1.353	1.712		2.990*	1.675	1.587		41.60**	26.65	26.86		26.07***	19.37**	18.51**
		(4.593)	(4.450)	(4.450)		(1.325)	(1.266)	(1.266)		(15.32)	(14.68)	(14.68)		(8.562)	(8.224)	(8.224)		(5.447)	(5.160)	(5.176)		(1.570)	(1.536)	(1.531)		(17.73)	(17.20)	(17.26)		(9.504)	(9.151)	(9.145)
miss_bmi		-4.750***	-3.879***	-3.879***		-0.824*	-0.578	-0.578		-11.04**	-8.140*	-8.140*		-9.400***	-8.153**	-8.153**		-4.843***	-3.807**	-3.686**		-1.087**	-0.745	-0.766		-12.62**	-9.056*	-9.004*		-9.834***	-8.514**	-8.739**
		(1.469)	(1.429)	(1.429)		(0.463)	(0.447)	(0.447)		(4.824)	(4.613)	(4.613)		(3.350)	(3.217)	(3.217)		(1.652)	(1.607)	(1.615)		(0.517)	(0.513)	(0.513)		(5.314)	(5.206)	(5.209)		(3.524)	(3.468)	(3.475)
miss_daily_cig_before_preg		-8.028***	-8.297***	-8.297***		-0.909***	-1.423***	-1.423***		13.30***	8.151***	8.151***		-3.170	-5.186	-5.186		0.688	1.044	0.961		1.903*	1.821*	1.849*		1.200	1.767	1.699		-0.875	-1.029	-0.735
		(1.484)	(1.134)	(1.134)		(0.333)	(0.348)	(0.348)		(2.837)	(2.889)	(2.889)		(3.435)	(3.590)	(3.590)		(1.901)	(2.145)	(2.176)		(1.114)	(1.106)	(1.117)		(7.657)	(7.003)	(6.975)		(8.466)	(8.209)	(8.202)
miss_weekly_alcohol_b_preg		2.956	4.196	4.196		0.223	0.616	0.616		-25.77***	-20.69**	-20.69**		-0.904	2.358	2.358		0	0	0		0	0	0		0	0	0		0	0	0
		(2.789)	(2.598)	(2.598)		(1.096)	(1.062)	(1.062)		(9.301)	(8.600)	(8.600)		(6.704)	(6.962)	(6.962)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)
miss_complications_during_preg		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)
Constant	2.269	0.607	13.15	13.15	-3.003	-3.576	0.787	0.787	-62.25	-82.87	-35.49	-35.49	76.90***	72.29**	98.22***	98.22***	40.37***	32.34**	48.38***	47.31***	6.795	4.163	8.139	8.262	10.37	-19.10	22.69	22.50	122.0***	107.2***	132.2***	131.7***
	(18.93)	(19.35)	(18.79)	(18.79)	(5.361)	(5.455)	(5.240)	(5.240)	(59.07)	(60.28)	(57.34)	(57.34)	(28.47)	(28.94)	(28.57)	(28.57)	(14.56)	(15.04)	(14.64)	(14.56)	(5.054)	(5.215)	(5.099)	(5.120)	(16.40)	(21.83)	(22.18)	(22.16)	(9.347)	(12.65)	(13.77)	(13.77)
																																
Observations	4,579	4,579	4,579	4,579	4,247	4,247	4,247	4,247	4,190	4,190	4,190	4,190	4,233	4,233	4,233	4,233	3,437	3,437	3,437	3,437	3,157	3,157	3,157	3,157	3,110	3,110	3,110	3,110	3,141	3,141	3,141	3,141
R-squared	0.102	0.112	0.147	0.147	0.089	0.094	0.137	0.137	0.138	0.147	0.193	0.193	0.092	0.099	0.141	0.141	0.102	0.114	0.161	0.162	0.097	0.104	0.146	0.147	0.160	0.176	0.217	0.217	0.099	0.110	0.145	0.147
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
