	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
fert	-0.640***	-0.636***	-0.415*	-0.415*	-0.113*	-0.109*	-0.0389	-0.0389	-2.579***	-2.526***	-1.618**	-1.618**	-0.881**	-0.873**	-0.397	-0.397	-0.0585	-0.0579	-0.0504	-0.0504	-0.108**	-0.110**	-0.118***	-0.118***	0.00835	0.00809	0.00844	0.00844	-1.105***	-1.067***	-0.835***	-0.842***	-0.0384	-0.0314	0.0538	0.0543	-2.985***	-2.776***	-1.682**	-1.686**	-0.0955	-0.0337	0.462	0.469	-0.0740	-0.0765	-0.0730	-0.0738	-0.0477	-0.0530	-0.0726	-0.0735	0.00158	0.00104	0.00390	0.00388
	(0.218)	(0.218)	(0.213)	(0.213)	(0.0656)	(0.0657)	(0.0650)	(0.0650)	(0.731)	(0.731)	(0.721)	(0.721)	(0.397)	(0.398)	(0.398)	(0.398)	(0.0471)	(0.0471)	(0.0475)	(0.0475)	(0.0422)	(0.0426)	(0.0429)	(0.0429)	(0.00691)	(0.00695)	(0.00706)	(0.00706)	(0.278)	(0.274)	(0.273)	(0.273)	(0.0793)	(0.0793)	(0.0801)	(0.0802)	(0.802)	(0.805)	(0.826)	(0.826)	(0.483)	(0.483)	(0.481)	(0.481)	(0.0563)	(0.0564)	(0.0569)	(0.0567)	(0.0492)	(0.0498)	(0.0504)	(0.0508)	(0.00795)	(0.00806)	(0.00811)	(0.00812)
motherage	-11.03*	-11.29*	-9.814*	-9.814*	-2.625*	-2.714*	-2.170	-2.170	-21.79	-23.18	-15.99	-15.99	-3.584	-4.224	-1.134	-1.134	0.817	0.763	0.882	0.882	1.446	1.427	1.369	1.369	-0.256	-0.260	-0.244	-0.244	-18.20**	-19.28**	-17.45**	-17.13**	0.261	-0.0689	0.579	0.568	-21.66	-26.09	-19.00	-18.93	11.84	10.37	13.36	13.22	-2.585*	-2.584*	-2.617*	-2.572*	1.572	1.608	1.454	1.508	-0.252	-0.252	-0.262	-0.261
	(6.198)	(6.026)	(5.781)	(5.781)	(1.535)	(1.535)	(1.512)	(1.512)	(16.48)	(16.37)	(16.29)	(16.29)	(8.684)	(8.774)	(8.771)	(8.771)	(1.079)	(1.079)	(1.076)	(1.076)	(0.958)	(0.962)	(0.958)	(0.958)	(0.160)	(0.158)	(0.157)	(0.157)	(8.929)	(8.749)	(8.240)	(8.193)	(2.407)	(2.397)	(2.269)	(2.272)	(24.52)	(24.36)	(23.65)	(23.63)	(13.19)	(13.22)	(12.51)	(12.53)	(1.501)	(1.515)	(1.498)	(1.492)	(1.291)	(1.306)	(1.304)	(1.295)	(0.228)	(0.228)	(0.229)	(0.229)
motheragesq	0.342	0.350*	0.296	0.296	0.0928*	0.0963*	0.0758	0.0758	0.716	0.770	0.495	0.495	0.104	0.125	0.00202	0.00202	-0.0281	-0.0266	-0.0315	-0.0315	-0.0496	-0.0492	-0.0474	-0.0474	0.00733	0.00737	0.00677	0.00677	0.600*	0.636**	0.560*	0.551*	-0.00432	0.00694	-0.0175	-0.0174	0.691	0.846	0.574	0.572	-0.449	-0.398	-0.520	-0.518	0.0850	0.0852	0.0861	0.0851	-0.0672	-0.0683	-0.0624	-0.0636	0.00696	0.00696	0.00718	0.00716
	(0.211)	(0.206)	(0.198)	(0.198)	(0.0541)	(0.0541)	(0.0532)	(0.0532)	(0.579)	(0.576)	(0.571)	(0.571)	(0.313)	(0.316)	(0.314)	(0.314)	(0.0392)	(0.0392)	(0.0391)	(0.0391)	(0.0345)	(0.0346)	(0.0345)	(0.0345)	(0.00570)	(0.00567)	(0.00563)	(0.00563)	(0.312)	(0.306)	(0.287)	(0.285)	(0.0839)	(0.0833)	(0.0789)	(0.0790)	(0.861)	(0.855)	(0.826)	(0.825)	(0.463)	(0.464)	(0.439)	(0.440)	(0.0529)	(0.0533)	(0.0527)	(0.0525)	(0.0449)	(0.0454)	(0.0454)	(0.0452)	(0.00798)	(0.00799)	(0.00801)	(0.00800)
motheragecub	-0.00344	-0.00353	-0.00288	-0.00288	-0.00102*	-0.00106*	-0.000812	-0.000812	-0.00727	-0.00790	-0.00449	-0.00449	-0.000826	-0.00105	0.000514	0.000514	0.000268	0.000254	0.000317	0.000317	0.000521	0.000518	0.000499	0.000499	-6.96e-05	-6.92e-05	-6.21e-05	-6.21e-05	-0.00639*	-0.00678**	-0.00580*	-0.00571*	-7.83e-06	-0.000127	0.000165	0.000165	-0.00688	-0.00857	-0.00528	-0.00527	0.00534	0.00479	0.00633	0.00633	-0.000915	-0.000920	-0.000931	-0.000925	0.000859*	0.000870*	0.000796	0.000803	-6.26e-05	-6.28e-05	-6.41e-05	-6.39e-05
