	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																
fert	-0.480*	-0.502*	-0.394	-0.394	-0.0341	-0.0398	-0.0111	-0.0111	-1.746*	-1.858**	-1.406	-1.406	-0.584	-0.617	-0.426	-0.426	-1.093***	-1.072***	-0.956***	-0.964***	0.0188	0.0263	0.0718	0.0726	-2.474**	-2.229**	-1.348	-1.376	0.337	0.396	0.595	0.621
	(0.274)	(0.276)	(0.273)	(0.273)	(0.0839)	(0.0843)	(0.0845)	(0.0845)	(0.934)	(0.936)	(0.930)	(0.930)	(0.522)	(0.526)	(0.534)	(0.534)	(0.326)	(0.330)	(0.330)	(0.330)	(0.0964)	(0.0965)	(0.0981)	(0.0982)	(1.026)	(1.017)	(1.042)	(1.040)	(0.597)	(0.595)	(0.605)	(0.603)
motherage	-6.660	-6.192	-4.264	-4.264	-3.349	-3.180	-2.713	-2.713	-50.77*	-50.14*	-43.93	-43.93	16.97	18.33	19.28	19.28	-12.30	-12.52	-10.94	-10.84	-3.508	-3.555	-2.990	-3.001	-89.51**	-88.67**	-86.23**	-85.85**	12.73	14.29	16.29	16.01
	(10.28)	(10.41)	(10.17)	(10.17)	(3.469)	(3.479)	(3.402)	(3.402)	(30.07)	(29.97)	(30.13)	(30.13)	(17.52)	(17.74)	(18.08)	(18.08)	(10.85)	(10.96)	(10.60)	(10.61)	(3.951)	(3.957)	(3.815)	(3.815)	(36.11)	(35.53)	(34.56)	(34.42)	(20.83)	(20.90)	(20.32)	(20.34)
motheragesq	0.152	0.138	0.0691	0.0691	0.115	0.109	0.0916	0.0916	1.574	1.561	1.324	1.324	-0.594	-0.639	-0.688	-0.688	0.382	0.388	0.325	0.322	0.127	0.128	0.108	0.108	3.002**	2.975**	2.848**	2.835**	-0.493	-0.545	-0.626	-0.616
	(0.367)	(0.371)	(0.362)	(0.362)	(0.121)	(0.122)	(0.119)	(0.119)	(1.088)	(1.082)	(1.081)	(1.081)	(0.621)	(0.629)	(0.639)	(0.639)	(0.389)	(0.392)	(0.380)	(0.381)	(0.138)	(0.138)	(0.133)	(0.133)	(1.310)	(1.285)	(1.245)	(1.241)	(0.748)	(0.751)	(0.728)	(0.729)
motheragecub	-0.000879	-0.000747	8.76e-05	8.76e-05	-0.00129	-0.00123	-0.00100	-0.00100	-0.0157	-0.0156	-0.0127	-0.0127	0.00678	0.00726	0.00803	0.00803	-0.00378	-0.00381	-0.00301	-0.00297	-0.00154	-0.00155	-0.00130	-0.00131	-0.0328**	-0.0325**	-0.0306**	-0.0304**	0.00619	0.00677	0.00782	0.00769
	(0.00429)	(0.00434)	(0.00423)	(0.00423)	(0.00139)	(0.00139)	(0.00135)	(0.00135)	(0.0128)	(0.0127)	(0.0127)	(0.0127)	(0.00714)	(0.00723)	(0.00733)	(0.00733)	(0.00455)	(0.00459)	(0.00447)	(0.00447)	(0.00157)	(0.00157)	(0.00150)	(0.00150)	(0.0155)	(0.0151)	(0.0146)	(0.0146)	(0.00870)	(0.00873)	(0.00845)	(0.00846)
agefirstbirth	0.345***	0.294***	0.156***	0.156***	0.0765***	0.0673***	0.0321**	0.0321**	1.218***	1.049***	0.646***	0.646***	0.405***	0.362***	0.192**	0.192**	0.336***	0.285***	0.117*	0.110*	0.103***	0.0926***	0.0469***	0.0477**	1.499***	1.266***	0.726***	0.698***	0.532***	0.420***	0.225*	0.250**
	(0.0446)	(0.0476)	(0.0513)	(0.0513)	(0.0147)	(0.0155)	(0.0159)	(0.0159)	(0.161)	(0.165)	(0.169)	(0.169)	(0.0877)	(0.0938)	(0.0942)	(0.0942)	(0.0535)	(0.0576)	(0.0611)	(0.0616)	(0.0163)	(0.0173)	(0.0181)	(0.0186)	(0.180)	(0.183)	(0.195)	(0.198)	(0.113)	(0.121)	(0.118)	(0.118)
_mother_edu1			0.0410	0.0410			-1.033**	-1.033**			-4.807	-4.807			3.502	3.502			-0.372	-0.394			-0.673	-0.672			2.261	2.223			2.610	2.636
			(1.593)	(1.593)			(0.425)	(0.425)			(5.544)	(5.544)			(2.448)	(2.448)			(1.248)	(1.253)			(0.436)	(0.437)			(4.485)	(4.485)			(2.563)	(2.569)
_mother_edu2			1.715	1.715			-0.209	-0.209			1.487	1.487			5.552**	5.552**			1.739	1.719			0.203	0.204			6.511	6.486			5.648**	5.668**
			(1.478)	(1.478)			(0.365)	(0.365)			(4.924)	(4.924)			(2.238)	(2.238)			(1.111)	(1.115)			(0.388)	(0.389)			(3.965)	(3.964)			(2.338)	(2.343)
_mother_edu3			3.263**	3.263**			-0.166	-0.166			2.729	2.729			7.838***	7.838***			3.550***	3.527***			0.169	0.169			6.137	6.139			6.150**	6.149**
			(1.523)	(1.523)			(0.375)	(0.375)			(5.027)	(5.027)			(2.315)	(2.315)			(1.169)	(1.172)			(0.392)	(0.393)			(4.034)	(4.033)			(2.410)	(2.412)
_mother_edu4			3.795**	3.795**			0.429	0.429			7.866	7.866			8.782***	8.782***			4.233***	4.208***			0.657*	0.659*			11.50***	11.44***			8.733***	8.779***
			(1.500)	(1.500)			(0.365)	(0.365)			(4.971)	(4.971)			(2.294)	(2.294)			(1.129)	(1.134)			(0.387)	(0.388)			(4.053)	(4.054)			(2.341)	(2.343)
_mother_edu5			5.154***	5.154***			0.863*	0.863*			9.917*	9.917*			11.92***	11.92***			5.239***	5.202***			0.753	0.756			11.30**	11.19**			10.83***	10.91***
			(1.625)	(1.625)			(0.445)	(0.445)			(5.548)	(5.548)			(2.695)	(2.695)			(1.352)	(1.357)			(0.476)	(0.477)			(4.919)	(4.933)			(2.792)	(2.794)
_inc1			-3.596***	-3.596***			-0.678**	-0.678**			-12.55***	-12.55***			-1.988	-1.988			-2.810***	-2.813***			-1.316***	-1.315***			-17.99***	-18.01***			-2.833*	-2.815*
			(0.898)	(0.898)			(0.275)	(0.275)			(2.859)	(2.859)			(1.726)	(1.726)			(0.862)	(0.863)			(0.253)	(0.253)			(2.822)	(2.827)			(1.601)	(1.598)
_inc2			-3.175***	-3.175***			-0.609**	-0.609**			-8.358***	-8.358***			-3.590**	-3.590**			-2.377***	-2.396***			-1.017***	-1.015***			-13.88***	-13.95***			-2.555*	-2.494
