	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
fert	-0.558*	-0.592**	-0.359	-0.359	-0.153	-0.153	-0.0794	-0.0794	-3.632***	-3.680***	-2.800**	-2.800**	-1.024*	-1.052*	-0.551	-0.551	-0.0274	-0.0261	-0.0319	-0.0319	-0.0650	-0.0626	-0.0657	-0.0657	-1.16e-05	-0.00110	-0.00270	-0.00270	-0.912**	-0.917**	-0.812**	-0.872**	0.0575	0.0451	0.116	0.123	-3.119**	-2.978**	-2.013	-1.995	-0.0905	-0.0794	0.247	0.303	-0.0636	-0.0641	-0.0881	-0.0927	-0.0146	-0.0204	-0.0377	-0.0458	-0.00612	-0.00858	-0.00464	-0.00549
	(0.295)	(0.298)	(0.294)	(0.294)	(0.0946)	(0.0952)	(0.0942)	(0.0942)	(1.147)	(1.151)	(1.124)	(1.124)	(0.608)	(0.611)	(0.615)	(0.615)	(0.0644)	(0.0640)	(0.0638)	(0.0638)	(0.0570)	(0.0569)	(0.0576)	(0.0576)	(0.0101)	(0.0102)	(0.0105)	(0.0105)	(0.380)	(0.381)	(0.376)	(0.372)	(0.116)	(0.116)	(0.116)	(0.117)	(1.341)	(1.359)	(1.370)	(1.368)	(0.791)	(0.796)	(0.782)	(0.782)	(0.0796)	(0.0800)	(0.0794)	(0.0797)	(0.0664)	(0.0675)	(0.0695)	(0.0694)	(0.0125)	(0.0127)	(0.0125)	(0.0126)
motherage	-21.51**	-21.50**	-20.08**	-20.08**	-4.452*	-4.421*	-3.477	-3.477	-33.11	-31.72	-22.68	-22.68	-3.076	-2.663	2.889	2.889	0.865	0.853	1.077	1.077	2.539*	2.488*	2.444*	2.444*	-0.298	-0.292	-0.322	-0.322	-25.10**	-24.37**	-22.08**	-20.82*	1.387	1.083	2.088	1.989	4.109	2.771	8.035	7.737	7.050	6.931	11.75	10.87	-5.967***	-5.904***	-5.954***	-5.862***	-0.209	-0.236	-0.318	-0.157	-0.535*	-0.550*	-0.546*	-0.530*
	(9.187)	(8.806)	(8.431)	(8.431)	(2.321)	(2.315)	(2.268)	(2.268)	(28.80)	(28.28)	(28.15)	(28.15)	(12.82)	(12.84)	(12.16)	(12.16)	(1.650)	(1.670)	(1.661)	(1.661)	(1.412)	(1.417)	(1.420)	(1.420)	(0.250)	(0.250)	(0.254)	(0.254)	(12.31)	(11.76)	(10.90)	(10.73)	(3.278)	(3.229)	(3.106)	(3.113)	(34.60)	(34.13)	(32.76)	(32.79)	(18.01)	(18.09)	(17.45)	(17.54)	(1.931)	(1.944)	(1.955)	(1.946)	(1.686)	(1.696)	(1.682)	(1.666)	(0.308)	(0.309)	(0.312)	(0.311)
motheragesq	0.651**	0.646**	0.603**	0.603**	0.164**	0.163**	0.132*	0.132*	1.115	1.052	0.744	0.744	0.0568	0.0360	-0.158	-0.158	-0.0191	-0.0184	-0.0276	-0.0276	-0.0840*	-0.0823*	-0.0812	-0.0812	0.00669	0.00629	0.00729	0.00729	0.817*	0.787*	0.696*	0.660*	-0.0370	-0.0269	-0.0645	-0.0623	-0.258	-0.233	-0.434	-0.427	-0.268	-0.266	-0.457	-0.437	0.201***	0.198***	0.201***	0.198***	-0.00353	-0.00349	0.000610	-0.00312	0.0165	0.0170	0.0166	0.0162
	(0.314)	(0.302)	(0.288)	(0.288)	(0.0806)	(0.0805)	(0.0784)	(0.0784)	(0.993)	(0.978)	(0.967)	(0.967)	(0.456)	(0.457)	(0.434)	(0.434)	(0.0577)	(0.0583)	(0.0579)	(0.0579)	(0.0495)	(0.0496)	(0.0496)	(0.0496)	(0.00898)	(0.00896)	(0.00908)	(0.00908)	(0.428)	(0.409)	(0.377)	(0.372)	(0.112)	(0.109)	(0.105)	(0.105)	(1.189)	(1.173)	(1.118)	(1.119)	(0.622)	(0.625)	(0.600)	(0.603)	(0.0665)	(0.0669)	(0.0671)	(0.0668)	(0.0577)	(0.0580)	(0.0575)	(0.0570)	(0.0107)	(0.0107)	(0.0108)	(0.0108)
motheragecub	-0.00638*	-0.00630*	-0.00580*	-0.00580*	-0.00182**	-0.00181**	-0.00146*	-0.00146*	-0.0115	-0.0107	-0.00711	-0.00711	1.67e-05	0.000300	0.00258	0.00258	7.62e-05	6.43e-05	0.000180	0.000180	0.000888	0.000870	0.000860	0.000860	-4.66e-05	-4.08e-05	-5.15e-05	-5.15e-05	-0.00847*	-0.00809*	-0.00696*	-0.00661	0.000345	0.000246	0.000692	0.000677	0.00417	0.00406	0.00654	0.00649	0.00349	0.00352	0.00586	0.00571	-0.00218***	-0.00215***	-0.00218***	-0.00216***	0.000182	0.000187	0.000129	0.000159	-0.000166	-0.000171	-0.000165	-0.000162
