	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
fert	-0.477	-0.513	-0.279	-0.279	-0.0906	-0.0946	-0.0436	-0.0436	-2.898**	-3.080**	-2.320	-2.320	-0.261	-0.268	0.119	0.119	0.0243	0.0149	0.00212	0.00212	-0.0113	-0.0154	-0.0266	-0.0266	0.00389	0.00254	0.00433	0.00433	-0.939**	-0.926**	-0.880*	-0.901**	0.0863	0.0964	0.136	0.143	-1.766	-1.496	-0.520	-0.472	0.439	0.543	0.473	0.545	-0.0617	-0.0609	-0.0740	-0.0822	-0.0286	-0.0382	-0.0516	-0.0635	-0.0224*	-0.0246*	-0.0191	-0.0207
	(0.377)	(0.381)	(0.371)	(0.371)	(0.115)	(0.115)	(0.117)	(0.117)	(1.437)	(1.440)	(1.419)	(1.419)	(0.751)	(0.752)	(0.771)	(0.771)	(0.0820)	(0.0817)	(0.0816)	(0.0816)	(0.0723)	(0.0724)	(0.0733)	(0.0733)	(0.0129)	(0.0129)	(0.0133)	(0.0133)	(0.448)	(0.451)	(0.456)	(0.455)	(0.136)	(0.137)	(0.142)	(0.143)	(1.588)	(1.584)	(1.637)	(1.637)	(0.860)	(0.856)	(0.874)	(0.876)	(0.0889)	(0.0894)	(0.0883)	(0.0889)	(0.0756)	(0.0769)	(0.0789)	(0.0790)	(0.0123)	(0.0129)	(0.0132)	(0.0132)
motherage	0.796	3.992	5.502	5.502	-1.561	-0.776	-0.722	-0.722	-45.25	-38.73	-37.26	-37.26	37.37	43.36*	40.31	40.31	0.391	-0.124	0.389	0.389	1.755	1.254	1.615	1.615	-0.292	-0.178	-0.248	-0.248	-6.074	-2.880	-2.820	-2.284	3.890	4.004	2.966	2.783	-34.16	-30.77	-41.38	-42.59	45.45	49.79*	48.95*	47.19	-5.019	-4.803	-4.684	-4.442	2.721	2.880	3.209	3.562	-0.514	-0.530	-0.550	-0.502
	(15.55)	(15.75)	(14.92)	(14.92)	(5.125)	(5.021)	(4.758)	(4.758)	(45.56)	(46.03)	(45.66)	(45.66)	(25.25)	(25.51)	(25.78)	(25.78)	(3.433)	(3.504)	(3.234)	(3.234)	(2.682)	(2.690)	(2.656)	(2.656)	(0.560)	(0.555)	(0.551)	(0.551)	(14.53)	(14.73)	(13.78)	(13.79)	(5.080)	(5.090)	(4.895)	(4.895)	(55.71)	(55.87)	(54.49)	(54.71)	(28.54)	(29.13)	(28.67)	(28.74)	(3.465)	(3.517)	(3.517)	(3.506)	(2.614)	(2.644)	(2.646)	(2.594)	(0.609)	(0.632)	(0.633)	(0.634)
motheragesq	-0.192	-0.308	-0.352	-0.352	0.0651	0.0397	0.0358	0.0358	1.378	1.165	1.078	1.078	-1.360	-1.570*	-1.457	-1.457	-0.0233	-0.00603	-0.0276	-0.0276	-0.0637	-0.0474	-0.0609	-0.0609	0.00619	0.00217	0.00484	0.00484	0.119	0.000639	-0.0102	-0.0287	-0.115	-0.119	-0.0856	-0.0796	1.030	0.904	1.196	1.236	-1.612	-1.770*	-1.734*	-1.675	0.163	0.155	0.150	0.142	-0.108	-0.114	-0.124	-0.136	0.0158	0.0163	0.0170	0.0154
	(0.552)	(0.561)	(0.532)	(0.532)	(0.178)	(0.175)	(0.166)	(0.166)	(1.651)	(1.658)	(1.645)	(1.645)	(0.884)	(0.894)	(0.902)	(0.902)	(0.118)	(0.120)	(0.112)	(0.112)	(0.0950)	(0.0950)	(0.0942)	(0.0942)	(0.0204)	(0.0202)	(0.0200)	(0.0200)	(0.515)	(0.522)	(0.490)	(0.490)	(0.178)	(0.179)	(0.171)	(0.171)	(2.024)	(2.019)	(1.965)	(1.971)	(1.018)	(1.038)	(1.017)	(1.021)	(0.121)	(0.123)	(0.123)	(0.123)	(0.0937)	(0.0946)	(0.0949)	(0.0927)	(0.0215)	(0.0222)	(0.0221)	(0.0222)
motheragecub	0.00395	0.00529	0.00579	0.00579	-0.000768	-0.000501	-0.000409	-0.000409	-0.0130	-0.0107	-0.00905	-0.00905	0.0158	0.0181*	0.0169	0.0169	0.000352	0.000158	0.000444	0.000444	0.000722	0.000546	0.000704	0.000704	-3.23e-05	1.26e-05	-1.95e-05	-1.95e-05	-0.000160	0.00124	0.00154	0.00177	0.00107	0.00112	0.000780	0.000707	-0.0106	-0.00901	-0.0114	-0.0119	0.0190	0.0209*	0.0205*	0.0198*	-0.00171	-0.00161	-0.00154	-0.00144	0.00138	0.00145	0.00154	0.00168	-0.000152	-0.000159	-0.000167	-0.000148
