	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
fert	-0.270	-0.280	-0.349	-0.349	0.0462	0.0400	0.0433	0.0433	-0.0800	-0.187	-0.157	-0.157	-0.820	-0.929	-0.884	-0.884	-0.0300	-0.0322	-0.0230	-0.0230	-0.178**	-0.173**	-0.182**	-0.182**	0.0173	0.0176	0.0161	0.0161	-1.314***	-1.210***	-1.036**	-1.035**	-0.139	-0.122	-0.0723	-0.0736	-2.820**	-2.445**	-1.720	-1.761	-0.0827	0.00349	0.532	0.530	0.0299	0.0181	0.0494	0.0477	-0.124	-0.132	-0.131	-0.133	0.0176	0.0180	0.0182	0.0185
	(0.436)	(0.431)	(0.438)	(0.438)	(0.121)	(0.121)	(0.122)	(0.122)	(1.182)	(1.176)	(1.185)	(1.185)	(0.710)	(0.704)	(0.723)	(0.723)	(0.0931)	(0.0940)	(0.0965)	(0.0965)	(0.0848)	(0.0849)	(0.0853)	(0.0853)	(0.0118)	(0.0117)	(0.0116)	(0.0116)	(0.448)	(0.431)	(0.437)	(0.437)	(0.139)	(0.138)	(0.138)	(0.138)	(1.281)	(1.240)	(1.252)	(1.245)	(0.780)	(0.777)	(0.797)	(0.796)	(0.102)	(0.103)	(0.105)	(0.104)	(0.0858)	(0.0852)	(0.0851)	(0.0851)	(0.0141)	(0.0140)	(0.0141)	(0.0142)
motherage	-16.90	-17.62	-13.02	-13.02	-7.086	-7.064	-5.678	-5.678	-55.08	-54.95	-39.32	-39.32	-14.74	-14.46	-9.534	-9.534	2.165	2.171	1.666	1.666	2.307	2.304	2.327	2.327	-0.421	-0.422	-0.297	-0.297	-21.91	-25.61*	-20.12	-20.19	-10.62**	-11.02**	-9.056*	-9.177*	-133.0***	-135.7***	-120.4***	-124.5***	-22.34	-25.58	-15.95	-16.10	7.980**	8.035**	8.229**	8.014**	7.647**	7.804**	7.808**	7.579**	-0.940	-0.952	-0.977	-0.937
	(14.13)	(14.43)	(14.55)	(14.55)	(4.458)	(4.498)	(4.690)	(4.690)	(37.37)	(37.45)	(37.16)	(37.16)	(26.15)	(26.27)	(26.95)	(26.95)	(3.532)	(3.535)	(3.635)	(3.635)	(2.990)	(3.008)	(3.000)	(3.000)	(0.379)	(0.378)	(0.382)	(0.382)	(15.28)	(15.19)	(15.03)	(15.00)	(4.990)	(5.001)	(5.006)	(5.001)	(48.40)	(48.19)	(46.62)	(46.48)	(29.99)	(29.68)	(29.54)	(29.54)	(3.711)	(3.744)	(3.622)	(3.646)	(3.240)	(3.241)	(3.145)	(3.151)	(0.628)	(0.632)	(0.620)	(0.619)
motheragesq	0.595	0.619	0.445	0.445	0.241	0.239	0.188	0.188	1.765	1.743	1.173	1.173	0.627	0.594	0.393	0.393	-0.0755	-0.0721	-0.0563	-0.0563	-0.0804	-0.0796	-0.0812	-0.0812	0.0169	0.0171	0.0128	0.0128	0.768	0.901	0.698	0.701	0.364**	0.378**	0.310*	0.314*	4.574***	4.653***	4.106**	4.254**	0.755	0.883	0.547	0.552	-0.284**	-0.285**	-0.293**	-0.285**	-0.273**	-0.278**	-0.278**	-0.270**	0.0336	0.0340	0.0347	0.0333
	(0.508)	(0.516)	(0.520)	(0.520)	(0.156)	(0.157)	(0.163)	(0.163)	(1.325)	(1.325)	(1.313)	(1.313)	(0.936)	(0.937)	(0.957)	(0.957)	(0.127)	(0.127)	(0.131)	(0.131)	(0.106)	(0.106)	(0.107)	(0.107)	(0.0139)	(0.0139)	(0.0141)	(0.0141)	(0.552)	(0.548)	(0.544)	(0.544)	(0.175)	(0.175)	(0.175)	(0.175)	(1.736)	(1.724)	(1.657)	(1.657)	(1.081)	(1.069)	(1.063)	(1.063)	(0.132)	(0.133)	(0.129)	(0.130)	(0.115)	(0.115)	(0.111)	(0.111)	(0.0219)	(0.0220)	(0.0216)	(0.0216)
motheragecub	-0.00684	-0.00710	-0.00505	-0.00505	-0.00275	-0.00272	-0.00213	-0.00213	-0.0188	-0.0184	-0.0117	-0.0117	-0.00787	-0.00728	-0.00473	-0.00473	0.000862	0.000787	0.000632	0.000632	0.000823	0.000809	0.000835	0.000835	-0.000216	-0.000218	-0.000172	-0.000172	-0.00881	-0.0103	-0.00792	-0.00794	-0.00419**	-0.00434**	-0.00356*	-0.00361*	-0.0509**	-0.0516**	-0.0454**	-0.0470**	-0.00858	-0.0101	-0.00629	-0.00635	0.00321**	0.00321**	0.00331**	0.00323**	0.00300**	0.00306**	0.00306**	0.00297**	-0.000393	-0.000397	-0.000406*	-0.000390
