	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction
																																
fert	-0.0904	-0.0971	0.00336	0.00336	-0.0622	-0.0642	-0.0532	-0.0532	-0.937	-0.947	-0.579	-0.579	-0.588	-0.595	-0.380	-0.380	-1.205***	-1.165***	-0.806**	-0.700**	0.0718	0.0677	0.156	0.145	-2.684**	-2.704**	-1.354	-0.965	-0.0533	-0.0922	0.531	0.379
	(0.282)	(0.281)	(0.277)	(0.277)	(0.0827)	(0.0833)	(0.0826)	(0.0826)	(0.972)	(0.973)	(0.948)	(0.948)	(0.503)	(0.504)	(0.496)	(0.496)	(0.363)	(0.343)	(0.348)	(0.349)	(0.114)	(0.114)	(0.116)	(0.116)	(1.094)	(1.080)	(1.108)	(1.122)	(0.663)	(0.655)	(0.642)	(0.645)
motherage	-13.19	-13.75	-12.26	-12.26	-5.900***	-5.921***	-5.393***	-5.393***	-68.54**	-69.55**	-62.07**	-62.07**	-23.34*	-23.46*	-19.76	-19.76	-21.10*	-21.90*	-20.21*	-19.97*	-4.152	-4.137	-3.083	-3.083	-68.70	-68.88*	-60.63	-60.60	-0.998	-1.563	0.841	0.888
	(9.078)	(8.751)	(8.551)	(8.551)	(2.096)	(2.086)	(2.035)	(2.035)	(29.50)	(28.58)	(27.40)	(27.40)	(13.10)	(12.98)	(12.58)	(12.58)	(12.08)	(11.69)	(11.68)	(11.74)	(3.238)	(3.215)	(3.131)	(3.134)	(42.08)	(40.01)	(40.03)	(40.18)	(19.49)	(19.13)	(18.06)	(18.00)
motheragesq	0.442	0.458	0.400	0.400	0.220***	0.221***	0.201***	0.201***	2.619**	2.654**	2.364**	2.364**	0.875*	0.873*	0.730	0.730	0.702	0.726*	0.656	0.652	0.171	0.169	0.128	0.128	2.514	2.509*	2.174	2.186	0.0326	0.0504	-0.0432	-0.0502
	(0.336)	(0.326)	(0.318)	(0.318)	(0.0788)	(0.0785)	(0.0766)	(0.0766)	(1.074)	(1.041)	(1.001)	(1.001)	(0.500)	(0.496)	(0.480)	(0.480)	(0.447)	(0.433)	(0.434)	(0.436)	(0.119)	(0.118)	(0.116)	(0.116)	(1.536)	(1.463)	(1.465)	(1.470)	(0.726)	(0.713)	(0.675)	(0.672)
motheragecub	-0.00480	-0.00494	-0.00423	-0.00423	-0.00258***	-0.00259***	-0.00236**	-0.00236**	-0.0321**	-0.0324***	-0.0290**	-0.0290**	-0.0103*	-0.0103*	-0.00857	-0.00857	-0.00783	-0.00805	-0.00711	-0.00708	-0.00227	-0.00222	-0.00171	-0.00171	-0.0301*	-0.0298*	-0.0254	-0.0256	-0.000592	-0.000726	0.000468	0.000564
	(0.00406)	(0.00394)	(0.00384)	(0.00384)	(0.000955)	(0.000951)	(0.000929)	(0.000929)	(0.0127)	(0.0123)	(0.0119)	(0.0119)	(0.00613)	(0.00607)	(0.00590)	(0.00590)	(0.00539)	(0.00523)	(0.00525)	(0.00528)	(0.00143)	(0.00142)	(0.00139)	(0.00140)	(0.0183)	(0.0174)	(0.0175)	(0.0176)	(0.00877)	(0.00861)	(0.00819)	(0.00816)
agefirstbirth	-0.107	-0.110	-0.120	-0.120	0.00648	0.00517	0.00779	0.00779	0.150	0.0953	0.0991	0.0991	0.114	0.102	0.102	0.102	0.321***	0.284***	0.0760	-0.0281	0.0878***	0.0817***	0.0289	0.0384	1.305***	1.138***	0.524**	0.196	0.419***	0.340***	0.0843	0.213
	(0.126)	(0.122)	(0.120)	(0.120)	(0.0308)	(0.0300)	(0.0281)	(0.0281)	(0.332)	(0.334)	(0.324)	(0.324)	(0.195)	(0.191)	(0.191)	(0.191)	(0.0725)	(0.0731)	(0.0751)	(0.0853)	(0.0226)	(0.0230)	(0.0230)	(0.0259)	(0.238)	(0.244)	(0.254)	(0.290)	(0.119)	(0.120)	(0.121)	(0.139)
miss_motherage	-131.5	-136.5*	-123.9*	-123.9*	-50.89***	-50.98***	-45.52***	-45.52***	-576.3**	-583.4**	-506.2**	-506.2**	-189.7*	-191.5*	-153.3	-153.3	-212.4**	-222.8**	-206.8**	-203.2**	-37.03	-37.27	-27.72	-27.85	-629.7*	-635.0*	-562.0	-557.2	-21.98	-27.75	-3.115	-4.517
	(80.66)	(77.34)	(75.28)	(75.28)	(18.08)	(17.98)	(17.53)	(17.53)	(264.7)	(256.3)	(243.4)	(243.4)	(110.6)	(109.7)	(106.7)	(106.7)	(106.5)	(102.9)	(102.5)	(103.1)	(28.71)	(28.56)	(27.75)	(27.78)	(375.2)	(355.9)	(355.9)	(357.3)	(170.4)	(167.2)	(157.6)	(157.2)
miss_agefirstbirth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)
_mother_edu1			-5.241***	-5.241***			-1.966***	-1.966***			-22.20***	-22.20***			-14.08***	-14.08***			-5.937***	-5.766***			-1.432***	-1.447***			-10.65**	-10.13**			-10.31***	-10.52***
			(1.180)	(1.180)			(0.347)	(0.347)			(3.731)	(3.731)			(2.152)	(2.152)			(1.132)	(1.134)			(0.363)	(0.366)			(4.178)	(4.193)			(2.276)	(2.280)
_mother_edu2			-5.111***	-5.111***			-1.849***	-1.849***			-17.08***	-17.08***			-10.99***	-10.99***			-5.123***	-4.956***			-1.522***	-1.538***			-10.18**	-9.620**			-8.015***	-8.240***
			(0.996)	(0.996)			(0.324)	(0.324)			(3.227)	(3.227)			(1.911)	(1.911)			(1.138)	(1.137)			(0.374)	(0.376)			(4.193)	(4.200)			(2.214)	(2.216)
_mother_edu3			-3.638***	-3.638***			-1.023***	-1.023***			-10.94***	-10.94***			-7.100***	-7.100***			-3.586***	-3.459***			-0.810***	-0.821***			-5.796	-5.402			-4.171**	-4.323**
			(0.769)	(0.769)			(0.255)	(0.255)			(2.397)	(2.397)			(1.537)	(1.537)			(0.948)	(0.947)			(0.292)	(0.294)			(3.525)	(3.538)			(1.866)	(1.868)
