	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Verbal_Similarities	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Number_Skills	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Word_Reading	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Pattern_Construction	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Reading_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Help_Writing_Freq	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection	Q_Proactive_School_Selection
																																																								
fert	0.0612	0.160	0.181	0.181	0.0709	0.0810	0.0575	0.0575	0.313	0.552	0.578	0.578	-0.189	-0.123	-0.135	-0.135	-0.107	-0.112	-0.0874	-0.0874	-0.133*	-0.133*	-0.138*	-0.138*	0.0120	0.0130	0.00952	0.00952	-1.296**	-1.187**	-0.833*	-0.864*	-0.0825	-0.0660	-0.00206	-0.000351	-3.730***	-3.377**	-2.182	-1.731	-0.457	-0.511	0.142	0.0485	0.0478	0.0560	0.103	0.135	-0.132	-0.135	-0.144	-0.101	0.00423	0.00615	0.00907	0.00916
	(0.394)	(0.386)	(0.387)	(0.387)	(0.112)	(0.112)	(0.110)	(0.110)	(1.201)	(1.176)	(1.174)	(1.174)	(0.712)	(0.710)	(0.710)	(0.710)	(0.0828)	(0.0828)	(0.0836)	(0.0836)	(0.0777)	(0.0782)	(0.0784)	(0.0784)	(0.0132)	(0.0134)	(0.0135)	(0.0135)	(0.531)	(0.496)	(0.491)	(0.500)	(0.152)	(0.152)	(0.155)	(0.156)	(1.379)	(1.367)	(1.418)	(1.436)	(0.913)	(0.904)	(0.914)	(0.919)	(0.0991)	(0.0996)	(0.104)	(0.105)	(0.0897)	(0.0905)	(0.0927)	(0.0937)	(0.0146)	(0.0145)	(0.0149)	(0.0154)
motherage	6.009	4.396	6.972	6.972	-0.799	-1.135	-1.074	-1.074	0.267	-3.767	1.083	1.083	-4.387	-6.482	-3.925	-3.925	0.618	0.656	0.850	0.850	0.357	0.505	0.578	0.578	-0.276	-0.316	-0.234	-0.234	-14.91	-16.56	-13.99	-14.19	-6.916	-7.242*	-5.861	-5.862	-84.52**	-91.50**	-78.95*	-79.12*	4.601	1.775	4.732	4.814	0.228	0.118	0.153	0.200	0.896	0.980	0.501	0.564	-0.242	-0.238	-0.319	-0.319
	(6.921)	(6.826)	(6.772)	(6.772)	(2.030)	(2.027)	(1.993)	(1.993)	(19.76)	(19.86)	(19.61)	(19.61)	(12.64)	(12.96)	(12.70)	(12.70)	(1.543)	(1.538)	(1.554)	(1.554)	(1.336)	(1.362)	(1.364)	(1.364)	(0.201)	(0.198)	(0.196)	(0.196)	(12.63)	(12.67)	(12.97)	(12.98)	(4.264)	(4.272)	(4.284)	(4.286)	(40.49)	(40.36)	(40.68)	(41.12)	(26.04)	(25.91)	(25.35)	(25.27)	(3.112)	(3.130)	(3.104)	(3.099)	(2.651)	(2.665)	(2.655)	(2.628)	(0.457)	(0.456)	(0.453)	(0.453)
motheragesq	-0.190	-0.135	-0.241	-0.241	0.0263	0.0376	0.0303	0.0303	0.0415	0.194	-0.0408	-0.0408	0.220	0.290	0.162	0.162	-0.0350	-0.0370	-0.0456	-0.0456	-0.0182	-0.0225	-0.0251	-0.0251	0.00959	0.0108	0.00778	0.00778	0.548	0.603	0.491	0.498	0.271*	0.281*	0.227	0.227	3.160**	3.386**	2.885*	2.895*	-0.164	-0.0707	-0.181	-0.185	-0.01000	-0.00664	-0.0106	-0.0118	-0.0356	-0.0384	-0.0227	-0.0244	0.00750	0.00737	0.0104	0.0104
	(0.247)	(0.244)	(0.242)	(0.242)	(0.0716)	(0.0715)	(0.0705)	(0.0705)	(0.703)	(0.704)	(0.692)	(0.692)	(0.458)	(0.467)	(0.456)	(0.456)	(0.0554)	(0.0553)	(0.0560)	(0.0560)	(0.0487)	(0.0494)	(0.0494)	(0.0494)	(0.00735)	(0.00723)	(0.00723)	(0.00723)	(0.477)	(0.478)	(0.491)	(0.491)	(0.156)	(0.156)	(0.156)	(0.157)	(1.496)	(1.491)	(1.499)	(1.516)	(0.955)	(0.949)	(0.930)	(0.927)	(0.118)	(0.118)	(0.117)	(0.117)	(0.0988)	(0.0992)	(0.0991)	(0.0981)	(0.0166)	(0.0165)	(0.0164)	(0.0164)
motheragecub	0.00178	0.00117	0.00243	0.00243	-0.000310	-0.000428	-0.000324	-0.000324	-0.001000	-0.00272	0.000285	0.000285	-0.00293	-0.00366	-0.00198	-0.00198	0.000454	0.000482	0.000595	0.000595	0.000217	0.000256	0.000285	0.000285	-0.000103	-0.000115	-7.93e-05	-7.93e-05	-0.00692	-0.00748	-0.00602	-0.00610	-0.00347*	-0.00358*	-0.00289	-0.00289	-0.0381**	-0.0403**	-0.0338*	-0.0339*	0.00157	0.000675	0.00207	0.00210	7.05e-05	3.86e-05	9.75e-05	0.000118	0.000314	0.000342	0.000164	0.000191	-8.31e-05	-8.26e-05	-0.000117	-0.000117
