	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction
																																
fert	-0.722**	-0.664**	-0.420	-0.420	-0.0919	-0.0724	-0.00278	-0.00278	-1.865**	-1.631*	-0.529	-0.529	-0.878	-0.801	-0.271	-0.271	-1.242***	-1.052***	-0.719*	-0.723*	-0.129	-0.0860	-0.00805	-0.00930	-2.635***	-2.292**	-1.075	-1.042	0.0856	0.393	1.019	1.009
	(0.327)	(0.319)	(0.319)	(0.319)	(0.0951)	(0.0937)	(0.0925)	(0.0925)	(0.905)	(0.896)	(0.896)	(0.896)	(0.550)	(0.535)	(0.536)	(0.536)	(0.394)	(0.385)	(0.383)	(0.383)	(0.113)	(0.113)	(0.113)	(0.113)	(0.995)	(1.009)	(1.058)	(1.055)	(0.650)	(0.638)	(0.636)	(0.635)
motherage	1.910	1.235	4.790	4.790	-0.0256	-0.493	0.727	0.727	-21.40	-24.06	-10.20	-10.20	4.836	4.106	11.19	11.19	-9.672	-11.19	-8.180	-8.341	-2.614	-3.091	-1.787	-1.814	-78.78**	-86.34**	-74.80*	-74.11*	27.64	24.55	31.00	30.79
	(9.315)	(9.223)	(8.973)	(8.973)	(2.587)	(2.578)	(2.544)	(2.544)	(24.50)	(24.14)	(23.38)	(23.38)	(15.45)	(15.72)	(15.98)	(15.98)	(11.76)	(11.62)	(11.71)	(11.74)	(4.058)	(4.026)	(3.923)	(3.923)	(38.99)	(38.57)	(38.14)	(38.28)	(24.37)	(23.94)	(23.14)	(23.12)
motheragesq	-0.0750	-0.0559	-0.198	-0.198	-0.00571	0.0117	-0.0380	-0.0380	0.749	0.849	0.281	0.281	-0.178	-0.156	-0.453	-0.453	0.340	0.386	0.260	0.266	0.0988	0.118	0.0690	0.0702	2.892**	3.150**	2.706*	2.673*	-1.015	-0.884	-1.120	-1.110
	(0.357)	(0.353)	(0.345)	(0.345)	(0.0969)	(0.0965)	(0.0951)	(0.0951)	(0.923)	(0.909)	(0.878)	(0.878)	(0.586)	(0.591)	(0.597)	(0.597)	(0.433)	(0.428)	(0.432)	(0.433)	(0.147)	(0.145)	(0.141)	(0.142)	(1.436)	(1.415)	(1.392)	(1.397)	(0.883)	(0.863)	(0.836)	(0.835)
motheragecub	0.000805	0.000661	0.00240	0.00240	3.90e-05	-0.000166	0.000459	0.000459	-0.00894	-0.0101	-0.00286	-0.00286	0.00193	0.00174	0.00560	0.00560	-0.00407	-0.00442	-0.00285	-0.00292	-0.00129	-0.00152	-0.000939	-0.000957	-0.0342**	-0.0369**	-0.0316*	-0.0311*	0.0115	0.00993	0.0127	0.0125
	(0.00442)	(0.00437)	(0.00427)	(0.00427)	(0.00116)	(0.00116)	(0.00114)	(0.00114)	(0.0112)	(0.0110)	(0.0106)	(0.0106)	(0.00707)	(0.00710)	(0.00713)	(0.00713)	(0.00520)	(0.00512)	(0.00520)	(0.00520)	(0.00173)	(0.00170)	(0.00166)	(0.00166)	(0.0173)	(0.0169)	(0.0166)	(0.0166)	(0.0103)	(0.0100)	(0.00970)	(0.00969)
agefirstbirth	0.262***	0.232***	0.0971*	0.0971*	0.0842***	0.0780***	0.0413**	0.0413**	1.153***	1.058***	0.633***	0.633***	0.397***	0.344***	0.122	0.122	0.342***	0.287***	0.0888	0.0934	0.100***	0.0862***	0.0243	0.0253	1.492***	1.261***	0.660***	0.635***	0.597***	0.466***	0.185	0.193
	(0.0552)	(0.0557)	(0.0577)	(0.0577)	(0.0159)	(0.0162)	(0.0167)	(0.0167)	(0.160)	(0.161)	(0.160)	(0.160)	(0.0960)	(0.100)	(0.102)	(0.102)	(0.0725)	(0.0731)	(0.0749)	(0.0747)	(0.0192)	(0.0202)	(0.0214)	(0.0217)	(0.193)	(0.197)	(0.206)	(0.207)	(0.127)	(0.137)	(0.137)	(0.136)
miss_motherage	2.758	-1.877	22.30	22.30	-7.974	-11.42	-0.751	-0.751	-214.3	-228.1	-112.2	-112.2	27.65	23.79	79.60	79.60	-97.31	-113.4	-89.86	-91.21	-27.85	-31.09	-19.91	-20.04	-701.3**	-769.8**	-671.9**	-668.4*	225.5	206.0	264.1	263.1
	(79.48)	(78.63)	(76.09)	(76.09)	(22.36)	(22.34)	(22.10)	(22.10)	(210.5)	(207.3)	(201.6)	(201.6)	(130.6)	(134.3)	(139.0)	(139.0)	(104.8)	(103.9)	(104.3)	(104.6)	(36.55)	(36.43)	(35.57)	(35.57)	(345.7)	(343.1)	(341.0)	(342.1)	(218.3)	(215.5)	(208.0)	(207.8)
miss_agefirstbirth	7.222***	6.408***	2.542	2.542	2.091***	1.920***	0.832	0.832	32.08***	29.29***	16.40***	16.40***	9.515***	8.100***	1.500	1.500	7.770***	6.776***	1.562	1.816	2.241***	1.916***	0.299	0.356	38.69***	33.81***	17.49***	15.99***	13.84***	11.02***	3.067	3.542
	(1.574)	(1.572)	(1.642)	(1.642)	(0.483)	(0.489)	(0.508)	(0.508)	(4.766)	(4.787)	(4.764)	(4.764)	(2.788)	(2.906)	(2.953)	(2.953)	(1.901)	(1.890)	(1.942)	(1.948)	(0.542)	(0.564)	(0.604)	(0.625)	(5.357)	(5.382)	(5.583)	(5.731)	(3.435)	(3.614)	(3.600)	(3.631)
_mother_edu1			-5.752***	-5.752***			-1.999***	-1.999***			-16.91***	-16.91***			-10.59***	-10.59***			-6.572***	-6.581***			-1.454***	-1.455***			-12.21***	-12.17***			-6.244**	-6.256**
			(1.311)	(1.311)			(0.385)	(0.385)			(3.451)	(3.451)			(2.195)	(2.195)			(1.441)	(1.446)			(0.421)	(0.420)			(4.458)	(4.465)			(2.756)	(2.749)
_mother_edu2			-4.858***	-4.858***			-1.555***	-1.555***			-9.828***	-9.828***			-6.308***	-6.308***			-5.823***	-5.865***			-1.659***	-1.669***			-10.91**	-10.65**			-8.104***	-8.192***
			(1.317)	(1.317)			(0.377)	(0.377)			(3.491)	(3.491)			(2.019)	(2.019)			(1.505)	(1.514)			(0.432)	(0.431)			(4.509)	(4.528)			(2.829)	(2.821)
_mother_edu3			-4.536***	-4.536***			-1.100***	-1.100***			-6.941**	-6.941**			-5.651***	-5.651***			-4.335***	-4.387***			-1.131***	-1.144***			-6.511*	-6.169			-2.267	-2.379
			(1.053)	(1.053)			(0.307)	(0.307)			(2.814)	(2.814)			(1.769)	(1.769)			(1.284)	(1.294)			(0.348)	(0.349)			(3.933)	(3.959)			(2.376)	(2.394)
_mother_edu4			-3.792***	-3.792***			-0.820***	-0.820***			-5.965**	-5.965**			-3.659**	-3.659**			-3.181**	-3.228**			-1.137***	-1.150***			-6.874*	-6.540			-2.477	-2.585
			(1.120)	(1.120)			(0.315)	(0.315)			(2.929)	(2.929)			(1.848)	(1.848)			(1.338)	(1.349)			(0.350)	(0.352)			(4.161)	(4.194)			(2.485)	(2.501)
_mother_edu5			-2.391**	-2.391**			-0.594**	-0.594**			-2.506	-2.506			-2.200	-2.200			-2.681**	-2.718**			-0.586*	-0.596*			-3.680	-3.419			-1.509	-1.595
			(0.979)	(0.979)			(0.279)	(0.279)			(2.534)	(2.534)			(1.588)	(1.588)			(1.180)	(1.187)			(0.310)	(0.311)			(3.562)	(3.591)			(2.165)	(2.170)
_mother_edu7			-7.277***	-7.277***			-0.672	-0.672			-5.967	-5.967			-10.04***	-10.04***			-6.438***	-6.501***			-1.129**	-1.141**			-9.690*	-9.385			-8.721***	-8.823***
			(2.144)	(2.144)			(0.489)	(0.489)			(5.033)	(5.033)			(3.087)	(3.087)			(1.997)	(2.002)			(0.497)	(0.501)			(5.736)	(5.751)			(3.084)	(3.088)
_inc1			4.221	4.221			-1.351	-1.351			-4.164	-4.164			4.384	4.384			-1.704	-1.677			-0.354	-0.351			1.817	1.723			8.470	8.496
			(3.914)	(3.914)			(1.109)	(1.109)			(8.306)	(8.306)			(5.781)	(5.781)			(3.018)	(2.986)			(1.350)	(1.346)			(9.624)	(9.611)			(7.761)	(7.709)
_inc2			-3.773***	-3.773***			-0.624**	-0.624**			-12.75***	-12.75***			-5.101***	-5.101***			-3.150***	-3.157***			-0.796**	-0.797**			-11.94***	-11.92***			-4.596**	-4.602**
			(0.905)	(0.905)			(0.271)	(0.271)			(2.413)	(2.413)			(1.671)	(1.671)			(1.051)	(1.052)			(0.316)	(0.316)			(2.972)	(2.960)			(1.918)	(1.921)
_inc3			-2.139***	-2.139***			-0.506**	-0.506**			-9.637***	-9.637***			-4.666***	-4.666***			-2.474***	-2.457**			-0.719***	-0.714***			-8.807***	-8.924***			-3.966**	-3.929**
			(0.814)	(0.814)			(0.240)	(0.240)			(2.269)	(2.269)			(1.451)	(1.451)			(0.951)	(0.953)			(0.266)	(0.267)			(2.742)	(2.730)			(1.613)	(1.627)
_inc4			-0.598	-0.598			-0.455**	-0.455**			-5.065***	-5.065***			-1.617	-1.617			-2.287**	-2.250**			-0.391	-0.381			-3.771	-4.045			-1.798	-1.712
			(0.744)	(0.744)			(0.195)	(0.195)			(1.945)	(1.945)			(1.178)	(1.178)			(0.946)	(0.949)			(0.253)	(0.255)			(2.712)	(2.713)			(1.480)	(1.504)
_inc6			0.506	0.506			-0.0108	-0.0108			-0.610	-0.610			-1.403	-1.403			-0.736	-0.741			0.489*	0.487*			3.922	3.945			1.751	1.744
			(0.632)	(0.632)			(0.194)	(0.194)			(1.886)	(1.886)			(1.306)	(1.306)			(0.899)	(0.900)			(0.254)	(0.254)			(2.498)	(2.493)			(1.635)	(1.634)
height		0.625	-1.412	-1.412		1.165	0.736	0.736		8.409	1.218	1.218		1.359	-2.101	-2.101		-1.855	-3.613	-3.737		1.578	1.185	1.163		6.426	0.185	0.750		13.35**	10.80*	10.61*
		(3.196)	(3.088)	(3.088)		(1.018)	(0.971)	(0.971)		(9.203)	(8.721)	(8.721)		(5.708)	(5.567)	(5.567)		(3.652)	(3.638)	(3.641)		(1.223)	(1.194)	(1.191)		(11.29)	(11.23)	(11.21)		(6.573)	(6.402)	(6.387)
bmi		-0.113**	-0.0953*	-0.0953*		0.0217	0.0251	0.0251		-0.0951	-0.0571	-0.0571		-0.159	-0.135	-0.135		-0.217***	-0.222***	-0.224***		0.00533	0.0117	0.0113		-0.365*	-0.327*	-0.314		-0.157	-0.151	-0.156
		(0.0548)	(0.0544)	(0.0544)		(0.0163)	(0.0160)	(0.0160)		(0.162)	(0.161)	(0.161)		(0.0991)	(0.0968)	(0.0968)		(0.0725)	(0.0713)	(0.0715)		(0.0191)	(0.0194)	(0.0194)		(0.190)	(0.192)	(0.193)		(0.110)	(0.111)	(0.111)
daily_cig_before_preg		-0.0749**	-0.0106	-0.0106		-0.0183*	-0.00170	-0.00170		-0.283***	-0.0680	-0.0680		-0.131**	-0.0256	-0.0256		-0.125***	-0.0729*	-0.0698*		-0.0267**	-0.0112	-0.0105		-0.454***	-0.272**	-0.290***		-0.212***	-0.124*	-0.118*
		(0.0331)	(0.0334)	(0.0334)		(0.0106)	(0.0107)	(0.0107)		(0.0959)	(0.0945)	(0.0945)		(0.0601)	(0.0606)	(0.0606)		(0.0421)	(0.0415)	(0.0416)		(0.0135)	(0.0135)	(0.0135)		(0.109)	(0.110)	(0.110)		(0.0699)	(0.0709)	(0.0712)
weekly_alcohol_b_preg		-0.0687**	-0.0690**	-0.0690**		-0.0137	-0.0111	-0.0111		-0.113	-0.0989	-0.0989		-0.0846	-0.0784	-0.0784		-0.0262	-0.0292	-0.0295		-0.0149	-0.0163*	-0.0165*		-0.159	-0.177	-0.171		-0.0253	-0.0256	-0.0273
		(0.0319)	(0.0328)	(0.0328)		(0.0102)	(0.00996)	(0.00996)		(0.0871)	(0.0869)	(0.0869)		(0.0606)	(0.0593)	(0.0593)		(0.0325)	(0.0323)	(0.0323)		(0.00957)	(0.00941)	(0.00943)		(0.122)	(0.125)	(0.125)		(0.0600)	(0.0568)	(0.0570)
complications_during_preg		0.0553	-0.0117	-0.0117		-0.122	-0.143	-0.143		-0.737	-1.083	-1.083		-0.478	-0.664	-0.664		0.258	0.0348	0.0488		0.00258	-0.0173	-0.0147		-2.257	-2.522	-2.590		0.221	-0.180	-0.157
		(0.495)	(0.478)	(0.478)		(0.145)	(0.142)	(0.142)		(1.418)	(1.385)	(1.385)		(0.856)	(0.843)	(0.843)		(0.586)	(0.564)	(0.562)		(0.178)	(0.175)	(0.175)		(1.727)	(1.736)	(1.739)		(1.022)	(0.984)	(0.983)
miss_height		-6.485	-8.727	-8.727		0.426	0.241	0.241		-15.57	-22.25	-22.25		-2.207	-5.335	-5.335		-4.632	-7.023	-7.249		3.738*	3.135	3.099		5.231	-4.617	-3.678		30.87**	27.01**	26.70**
		(5.931)	(5.723)	(5.723)		(1.893)	(1.804)	(1.804)		(17.36)	(16.53)	(16.53)		(11.05)	(10.74)	(10.74)		(6.724)	(6.630)	(6.619)		(2.194)	(2.122)	(2.114)		(20.27)	(19.91)	(19.89)		(12.00)	(11.73)	(11.70)
miss_bmi		-1.881	-1.502	-1.502		0.269	0.335	0.335		4.947	5.602	5.602		-5.107	-4.563	-4.563		-7.475***	-7.275***	-7.340***		-1.040	-0.754	-0.774		-11.41*	-9.220	-8.681		-12.71***	-12.00***	-12.18***
		(1.936)	(1.887)	(1.887)		(0.722)	(0.694)	(0.694)		(6.527)	(6.268)	(6.268)		(4.613)	(4.471)	(4.471)		(2.184)	(2.131)	(2.133)		(0.721)	(0.714)	(0.713)		(6.720)	(6.687)	(6.683)		(4.526)	(4.552)	(4.584)
miss_daily_cig_before_preg		-4.407**	-6.387***	-6.387***		-0.576	-1.076	-1.076		19.48***	12.64**	12.64**		-8.882**	-11.98***	-11.98***		-0.972	-0.0115	0.0824		-0.772	-0.320	-0.294		-3.915	-0.423	-1.102		-17.24**	-15.78**	-15.56**
		(1.907)	(1.885)	(1.885)		(0.981)	(0.845)	(0.845)		(5.434)	(5.156)	(5.156)		(3.488)	(3.229)	(3.229)		(3.443)	(3.956)	(4.021)		(1.075)	(1.303)	(1.312)		(5.655)	(7.313)	(7.101)		(7.830)	(7.759)	(7.647)
miss_weekly_alcohol_b_preg		-3.218	1.339	1.339		-0.858	-0.289	-0.289		-34.21***	-23.44**	-23.44**		-1.497	5.651	5.651		0	0	0		0	0	0		0	0	0		0	0	0
		(2.923)	(3.343)	(3.343)		(1.350)	(1.503)	(1.503)		(10.88)	(11.37)	(11.37)		(6.079)	(8.098)	(8.098)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)
miss_complications_during_preg		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)		(0)	(0)	(0)
Constant	39.78	45.89	22.74	22.74	12.28	14.50	5.216	5.216	342.4	355.7	240.4	240.4	58.70	66.76	4.692	4.692	183.0	202.1*	171.0	197.8*	28.95	31.84	24.20	22.61	829.1**	899.4**	839.8**	830.7**	-120.1	-111.8	-156.3	-152.4
	(109.6)	(108.6)	(104.9)	(104.9)	(28.68)	(28.43)	(28.06)	(28.06)	(280.1)	(274.1)	(264.7)	(264.7)	(170.4)	(173.8)	(177.9)	(177.9)	(118.2)	(117.1)	(118.5)	(118.8)	(33.71)	(33.59)	(32.76)	(32.67)	(395.3)	(390.8)	(386.7)	(387.8)	(237.9)	(234.8)	(225.8)	(225.5)
																																
Observations	2,249	2,249	2,249	2,249	2,110	2,110	2,110	2,110	2,081	2,081	2,081	2,081	2,103	2,103	2,103	2,103	1,677	1,677	1,677	1,677	1,559	1,559	1,559	1,559	1,538	1,538	1,538	1,538	1,553	1,553	1,553	1,553
R-squared	0.121	0.135	0.178	0.178	0.097	0.107	0.146	0.146	0.145	0.162	0.216	0.216	0.105	0.113	0.153	0.153	0.130	0.152	0.185	0.185	0.120	0.132	0.169	0.169	0.179	0.201	0.240	0.241	0.134	0.157	0.190	0.191
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
