	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)
VARIABLES	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Number_Skills	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Word_Reading	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction	Quality_Pattern_Construction
																																
fert	-0.808**	-0.752*	-0.577	-0.577	-0.0663	-0.0503	0.00843	0.00843	-1.160	-1.160	-0.708	-0.708	-0.157	-0.143	0.320	0.320	-0.911**	-0.902**	-0.777*	-0.777*	0.173	0.182	0.208	0.200	-1.469	-1.260	-0.864	-0.916	0.344	0.378	0.632	0.539
	(0.400)	(0.404)	(0.404)	(0.404)	(0.130)	(0.130)	(0.132)	(0.132)	(1.466)	(1.455)	(1.450)	(1.450)	(0.709)	(0.732)	(0.740)	(0.740)	(0.429)	(0.440)	(0.429)	(0.430)	(0.134)	(0.140)	(0.140)	(0.139)	(1.218)	(1.244)	(1.257)	(1.259)	(0.664)	(0.688)	(0.672)	(0.664)
motherage	0.264	-5.494	-5.782	-5.782	-10.81**	-12.04***	-11.89***	-11.89***	-71.85	-76.97	-79.77	-79.77	16.23	13.36	11.59	11.59	-12.75	-15.11	-11.86	-11.86	-2.325	-2.879	-2.236	-2.290	-9.685	-15.88	-10.48	-10.86	48.86	44.16	47.35*	46.51
	(14.93)	(14.76)	(14.15)	(14.15)	(4.533)	(4.483)	(4.297)	(4.297)	(57.66)	(58.06)	(57.43)	(57.43)	(27.00)	(26.67)	(24.82)	(24.82)	(17.24)	(17.08)	(16.84)	(16.76)	(5.673)	(5.676)	(5.443)	(5.463)	(58.67)	(58.20)	(57.57)	(57.55)	(30.14)	(29.74)	(27.83)	(28.34)
motheragesq	-0.0987	0.125	0.140	0.140	0.437**	0.487***	0.481***	0.481***	2.724	2.908	3.041	3.041	-0.678	-0.571	-0.496	-0.496	0.335	0.440	0.300	0.300	0.0966	0.121	0.0953	0.0960	0.154	0.408	0.237	0.243	-1.896	-1.694	-1.818*	-1.802*
	(0.609)	(0.603)	(0.576)	(0.576)	(0.183)	(0.181)	(0.173)	(0.173)	(2.305)	(2.320)	(2.291)	(2.291)	(1.081)	(1.069)	(0.987)	(0.987)	(0.683)	(0.677)	(0.667)	(0.665)	(0.220)	(0.220)	(0.211)	(0.212)	(2.347)	(2.317)	(2.283)	(2.282)	(1.159)	(1.142)	(1.071)	(1.091)
motheragecub	0.00235	-0.000373	-0.000708	-0.000708	-0.00559**	-0.00624***	-0.00617***	-0.00617***	-0.0330	-0.0353	-0.0375	-0.0375	0.00893	0.00772	0.00650	0.00650	-0.00234	-0.00378	-0.00196	-0.00196	-0.00119	-0.00151	-0.00121	-0.00121	0.00188	-0.00165	1.98e-05	4.92e-05	0.0243*	0.0216	0.0231*	0.0230*
	(0.00786)	(0.00776)	(0.00739)	(0.00739)	(0.00230)	(0.00228)	(0.00217)	(0.00217)	(0.0290)	(0.0292)	(0.0288)	(0.0288)	(0.0134)	(0.0133)	(0.0122)	(0.0122)	(0.00852)	(0.00847)	(0.00835)	(0.00834)	(0.00274)	(0.00275)	(0.00263)	(0.00264)	(0.0304)	(0.0298)	(0.0293)	(0.0293)	(0.0141)	(0.0138)	(0.0130)	(0.0133)
agefirstbirth	0.130	0.119	0.0719	0.0719	0.0260	0.0297	0.00598	0.00598	1.068***	0.956**	0.816**	0.816**	0.173	0.194	0.0218	0.0218	0.186	0.178	0.0510	0.0513	0.0236	0.0283	0.00636	0.0105	0.567	0.479	0.341	0.368	-0.0171	-0.0532	-0.233	-0.183
	(0.126)	(0.126)	(0.125)	(0.125)	(0.0369)	(0.0373)	(0.0380)	(0.0380)	(0.377)	(0.388)	(0.400)	(0.400)	(0.198)	(0.204)	(0.201)	(0.201)	(0.132)	(0.133)	(0.133)	(0.134)	(0.0397)	(0.0412)	(0.0413)	(0.0416)	(0.392)	(0.406)	(0.396)	(0.403)	(0.188)	(0.196)	(0.199)	(0.203)
miss_motherage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.68	40.87	32.88	32.89	5.395	7.213	5.678	5.745	71.89	94.25	84.70	85.21	-107.0	-92.52	-99.22*	-98.02
	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(38.11)	(37.86)	(37.21)	(37.06)	(12.25)	(12.21)	(11.72)	(11.76)	(129.0)	(127.9)	(126.5)	(126.5)	(65.44)	(64.06)	(60.04)	(61.11)
miss_agefirstbirth	3.051	2.971	1.782	1.782	0.944	1.078	0.412	0.412	31.11***	27.93***	24.00**	24.00**	2.643	2.953	-2.063	-2.063	5.409*	5.044*	1.988	1.999	0.734	0.762	0.241	0.407	20.24**	16.90*	14.32	15.41	-2.006	-2.785	-6.907	-4.907
	(2.874)	(2.895)	(2.858)	(2.858)	(0.891)	(0.906)	(0.921)	(0.921)	(9.449)	(9.699)	(9.927)	(9.927)	(4.764)	(4.961)	(4.904)	(4.904)	(2.816)	(2.811)	(2.860)	(2.967)	(0.910)	(0.933)	(0.945)	(0.967)	(8.993)	(9.255)	(9.127)	(9.506)	(4.332)	(4.424)	(4.551)	(4.830)
_mother_edu1			-9.199	-9.199			-2.087	-2.087			-23.42	-23.42			-19.88*	-19.88*			-8.167**	-8.163**			0.389	0.451			-25.70	-25.28			-25.82***	-25.07***
			(5.743)	(5.743)			(2.147)	(2.147)			(20.30)	(20.30)			(11.57)	(11.57)			(3.599)	(3.620)			(2.238)	(2.253)			(20.18)	(20.30)			(4.661)	(4.700)
_mother_edu2			-7.555	-7.555			-1.212	-1.212			-18.37	-18.37			-14.10	-14.10			-7.089*	-7.085*			0.324	0.367			-28.63	-28.34			-24.91***	-24.40***
			(5.719)	(5.719)			(2.147)	(2.147)			(20.34)	(20.34)			(11.56)	(11.56)			(3.678)	(3.694)			(2.267)	(2.281)			(20.25)	(20.37)			(4.701)	(4.718)
_mother_edu3			-7.925	-7.925			-0.970	-0.970			-14.58	-14.58			-10.22	-10.22			-4.695	-4.691			1.095	1.143			-22.89	-22.57			-19.47***	-18.90***
			(5.663)	(5.663)			(2.138)	(2.138)			(20.28)	(20.28)			(11.48)	(11.48)			(3.667)	(3.679)			(2.251)	(2.266)			(20.32)	(20.43)			(4.599)	(4.615)
_mother_edu4			-6.965	-6.965			-1.132	-1.132			-19.13	-19.13			-10.74	-10.74			-1.337	-1.334			0.971	1.000			-22.75	-22.54			-21.76***	-21.40***
			(5.784)	(5.784)			(2.163)	(2.163)			(20.53)	(20.53)			(11.56)	(11.56)			(3.878)	(3.880)			(2.277)	(2.289)			(20.61)	(20.72)			(5.116)	(5.114)
_mother_edu5			-4.695	-4.695			-0.464	-0.464			-10.71	-10.71			-10.14	-10.14			-0.381	-0.379			1.681	1.711			-15.32	-15.11			-16.80***	-16.39***
			(5.734)	(5.734)			(2.147)	(2.147)			(20.36)	(20.36)			(11.52)	(11.52)			(3.737)	(3.745)			(2.269)	(2.282)			(20.46)	(20.58)			(4.783)	(4.799)
_mother_edu7			-12.20**	-12.20**			-0.847	-0.847			-28.92	-28.92			-16.13	-16.13			-7.994**	-7.992**			0.820	0.848			-35.32*	-35.13*			-27.80***	-27.47***
			(6.079)	(6.079)			(2.190)	(2.190)			(21.38)	(21.38)			(11.86)	(11.86)			(3.950)	(3.953)			(2.281)	(2.293)			(20.76)	(20.87)			(5.242)	(5.268)
_inc1			0	0			0	0			0	0			0	0			0	0			0	0			0	0			0	0
			(0)	(0)			(0)	(0)			(0)	(0)			(0)	(0)			(0)	(0)			(0)	(0)			(0)	(0)			(0)	(0)
