	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
VARIABLES	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	ZQuality_EVSTSCO	ZQuality_EVSTSCO	ZQuality_EVSTSCO	ZQuality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	ZQuality_EVSTSCO	ZQuality_EVSTSCO	ZQuality_EVSTSCO	ZQuality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	Quality_EVSTSCO	ZQuality_EVSTSCO	ZQuality_EVSTSCO	ZQuality_EVSTSCO	ZQuality_EVSTSCO
																								
fert	-0.904***	-0.894***	-0.728***	-0.544***	-0.0898***	-0.0888***	-0.0723***	-0.0540***	-0.631**	-0.639**	-0.474*	-0.404	-0.0626**	-0.0634**	-0.0471*	-0.0401	-0.853***	-0.838***	-0.756***	-0.625***	-0.0847***	-0.0832***	-0.0750***	-0.0621***
	(0.109)	(0.109)	(0.108)	(0.132)	(0.0109)	(0.0109)	(0.0107)	(0.0131)	(0.251)	(0.250)	(0.247)	(0.292)	(0.0249)	(0.0249)	(0.0245)	(0.0289)	(0.139)	(0.139)	(0.138)	(0.167)	(0.0138)	(0.0138)	(0.0137)	(0.0166)
motherage	-10.78**	-10.58**	-10.51**	-10.12**	-1.070**	-1.051**	-1.043**	-1.004**	-8.878	-8.576	-9.436	-9.354	-0.881	-0.851	-0.937	-0.929	-17.07***	-16.71***	-16.51***	-15.88**	-1.695***	-1.659***	-1.639***	-1.577**
	(4.385)	(4.383)	(4.319)	(4.312)	(0.435)	(0.435)	(0.429)	(0.428)	(9.730)	(9.690)	(9.694)	(9.778)	(0.966)	(0.962)	(0.962)	(0.971)	(6.278)	(6.242)	(6.264)	(6.248)	(0.623)	(0.620)	(0.622)	(0.620)
motheragesq	0.349**	0.344**	0.340**	0.327**	0.0346**	0.0342**	0.0338**	0.0324**	0.280	0.268	0.304	0.300	0.0278	0.0266	0.0301	0.0298	0.551**	0.539**	0.535**	0.512**	0.0547**	0.0535**	0.0531**	0.0509**
	(0.152)	(0.152)	(0.150)	(0.150)	(0.0151)	(0.0151)	(0.0149)	(0.0149)	(0.363)	(0.361)	(0.362)	(0.366)	(0.0360)	(0.0358)	(0.0359)	(0.0363)	(0.214)	(0.213)	(0.213)	(0.212)	(0.0213)	(0.0211)	(0.0211)	(0.0211)
motheragecub	-0.00359**	-0.00355**	-0.00349**	-0.00333**	-0.000357**	-0.000353**	-0.000347**	-0.000331**	-0.00256	-0.00243	-0.00293	-0.00287	-0.000254	-0.000241	-0.000291	-0.000284	-0.00572**	-0.00560**	-0.00558**	-0.00531**	-0.000568**	-0.000556**	-0.000554**	-0.000527**
	(0.00172)	(0.00172)	(0.00170)	(0.00169)	(0.000171)	(0.000170)	(0.000169)	(0.000168)	(0.00433)	(0.00431)	(0.00432)	(0.00438)	(0.000430)	(0.000428)	(0.000429)	(0.000435)	(0.00240)	(0.00238)	(0.00238)	(0.00237)	(0.000239)	(0.000236)	(0.000237)	(0.000236)
_mother_edu1			-7.187***	-7.052***			-0.714***	-0.700***			0.398	0.413			0.0395	0.0410			-5.349***	-5.279***			-0.531***	-0.524***
			(0.593)	(0.596)			(0.0588)	(0.0592)			(1.181)	(1.198)			(0.117)	(0.119)			(0.874)	(0.878)			(0.0868)	(0.0871)
_mother_edu2			-5.656***	-5.541***			-0.562***	-0.550***			1.681	1.668			0.167	0.166			-4.259***	-4.191***			-0.423***	-0.416***
			(0.475)	(0.477)			(0.0471)	(0.0474)			(1.032)	(1.052)			(0.102)	(0.104)			(0.755)	(0.756)			(0.0750)	(0.0750)
_mother_edu3			-4.056***	-3.989***			-0.403***	-0.396***			3.055**	3.024**			0.303**	0.300**			-2.651***	-2.634***			-0.263***	-0.262***
			(0.501)	(0.502)			(0.0497)	(0.0499)			(1.208)	(1.220)			(0.120)	(0.121)			(0.775)	(0.774)			(0.0769)	(0.0769)
_mother_edu4			-2.821***	-2.783***			-0.280***	-0.276***			5.266***	5.217***			0.523***	0.518***			-1.834**	-1.816**			-0.182**	-0.180**
			(0.456)	(0.457)			(0.0453)	(0.0454)			(1.234)	(1.252)			(0.123)	(0.124)			(0.747)	(0.748)			(0.0742)	(0.0742)
_mother_edu5			0	0			0	0			5.348	5.276			0.531	0.524			0	0			0	0
			(0)	(0)			(0)	(0)			(3.276)	(3.225)			(0.325)	(0.320)			(0)	(0)			(0)	(0)
_mother_edu6			-6.401***	-6.277***			-0.635***	-0.623***			0	0			0	0			-4.014***	-3.934***			-0.398***	-0.391***
			(0.800)	(0.803)			(0.0794)	(0.0797)			(0)	(0)			(0)	(0)			(1.168)	(1.161)			(0.116)	(0.115)
height		2.088	0.665	0.462		0.207	0.0660	0.0459		3.548	2.628	2.560		0.352	0.261	0.254		-0.495	-1.478	-1.740		-0.0491	-0.147	-0.173
		(1.607)	(1.585)	(1.583)		(0.160)	(0.157)	(0.157)		(4.076)	(3.982)	(3.997)		(0.405)	(0.395)	(0.397)		(2.055)	(2.050)	(2.046)		(0.204)	(0.204)	(0.203)
bmi		-0.124***	-0.0985***	-0.0958***		-0.0123***	-0.00978***	-0.00951***		0.0788	0.0742	0.0784		0.00783	0.00737	0.00778		-0.168***	-0.156***	-0.156***		-0.0167***	-0.0155***	-0.0155***
		(0.0261)	(0.0259)	(0.0259)		(0.00259)	(0.00257)	(0.00257)		(0.0578)	(0.0567)	(0.0577)		(0.00574)	(0.00563)	(0.00573)		(0.0321)	(0.0320)	(0.0320)		(0.00319)	(0.00318)	(0.00318)
Constant	167.6***	164.8***	169.0***	170.1***	10.81**	10.54**	10.96**	11.07**	119.1	109.7	122.5	100.9	6.001	5.063	6.331	4.190	262.3***	264.3***	267.1***	276.5***	20.22***	20.42***	20.69***	21.63***
	(48.69)	(48.75)	(47.71)	(47.85)	(4.834)	(4.840)	(4.736)	(4.750)	(92.31)	(92.84)	(93.15)	(94.97)	(9.164)	(9.217)	(9.248)	(9.429)	(78.74)	(78.20)	(78.53)	(78.35)	(7.818)	(7.764)	(7.797)	(7.778)
																								
Observations	9,899	9,899	9,899	9,899	9,899	9,899	9,899	9,899	1,455	1,455	1,455	1,455	1,455	1,455	1,455	1,455	6,227	6,227	6,227	6,227	6,227	6,227	6,227	6,227
R-squared	0.053	0.057	0.087	0.090	0.053	0.057	0.087	0.090	0.089	0.091	0.112	0.113	0.089	0.091	0.112	0.113	0.044	0.051	0.069	0.072	0.044	0.051	0.069	0.072
Robust standard errors in parentheses																								
*** p<0.01, ** p<0.05, * p<0.1																								
