="Twins regressions MCS data"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="twin",="twin",="twin",="twin",="twin",="twin",="twin",="twin",="twin"

="malec",="-0.000934",="-0.00146",="-0.00146",="-0.00163",="",="-0.00161",="-0.00160",="-0.00162",="-0.00162"
="",="(0.00387)",="(0.00383)",="(0.00380)",="(0.00380)",="",="(0.00382)",="(0.00384)",="(0.00382)",="(0.00383)"

="_country1",="0",="-0.0234",="0",="0",="",="0",="-0.0185",="0",="0"
="",="(.)",="(0.0400)",="(.)",="(.)",="",="(.)",="(0.0355)",="(.)",="(.)"

="_country2",="0.0467",="-0.00275",="0.0726",="0.148",="",="0.0941",="-0.00675",="0.0675",="0.0691"
="",="(0.0562)",="(0.00867)",="(0.0533)",="(0.0939)",="",="(0.0836)",="(0.00791)",="(0.0518)",="(0.0523)"

="_country3",="0.0404",="-0.00871",="0.0656",="0.142",="",="0.0887",="-0.0125",="0.0609",="0.0629"
="",="(0.0566)",="(0.00964)",="(0.0534)",="(0.0938)",="",="(0.0837)",="(0.00914)",="(0.0516)",="(0.0521)"

="_country4",="0.0541",="0.00467",="0.0796",="0.155*",="",="0.102",="0.00261",="0.0766",="0.0775"
="",="(0.0568)",="(0.0111)",="(0.0538)",="(0.0940)",="",="(0.0839)",="(0.0110)",="(0.0519)",="(0.0525)"

="_country5",="0.0485",="0",="0.0723",="0.150",="",="0.0989",="0",="0.0710",="0.0731"
="",="(0.0564)",="(.)",="(0.0534)",="(0.0934)",="",="(0.0833)",="(.)",="(0.0515)",="(0.0521)"

="_yb1",="0.0801",="-0.457*",="-0.448*",="-0.447*",="",="-0.458*",="-0.457*",="-0.444*",=""
="",="(0.0533)",="(0.258)",="(0.256)",="(0.257)",="",="(0.259)",="(0.254)",="(0.252)",=""

="_yb2",="0.998***",="1.284***",="1.320***",="1.325***",="",="1.300***",="1.273***",="1.304***",=""
="",="(0.0316)",="(0.148)",="(0.141)",="(0.142)",="",="(0.146)",="(0.138)",="(0.134)",=""

="_yb3",="0",="0",="0",="0",="",="0",="0",="0",=""
="",="(.)",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""

="_yb4",="0.00506",="-0.0436",="-0.0283",="-0.0238",="",="-0.0304",="-0.0518",="-0.0402",=""
="",="(0.0329)",="(0.0506)",="(0.0524)",="(0.0518)",="",="(0.0519)",="(0.0444)",="(0.0443)",=""

="_yb5",="0.00719",="-0.0442",="-0.00909",="-0.0125",="",="-0.0490",="-0.0701",="-0.0313",=""
="",="(0.0338)",="(0.0513)",="(0.0547)",="(0.0580)",="",="(0.0570)",="(0.0467)",="(0.0477)",=""

="_yb6",="0.00488",="-0.183*",="-0.151",="-0.140",="",="-0.163",="-0.178*",="-0.151",=""
="",="(0.0266)",="(0.102)",="(0.103)",="(0.103)",="",="(0.103)",="(0.102)",="(0.102)",=""

="_yb7",="0.00882",="-0.226*",="-0.202",="-0.194",="",="-0.217*",="-0.233*",="-0.207*",=""
="",="(0.0313)",="(0.127)",="(0.127)",="(0.127)",="",="(0.127)",="(0.125)",="(0.125)",=""

="_yb8",="0.00953",="-0.292*",="-0.268*",="-0.259*",="",="-0.280*",="-0.296*",="-0.271*",=""
="",="(0.0303)",="(0.155)",="(0.154)",="(0.154)",="",="(0.156)",="(0.154)",="(0.153)",=""

="_yb9",="0.00945",="-0.322*",="-0.302*",="-0.298*",="",="-0.317*",="-0.330**",="-0.308*",=""
="",="(0.0309)",="(0.168)",="(0.168)",="(0.168)",="",="(0.169)",="(0.168)",="(0.167)",=""

