="Twins regressions MCS data"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="twin",="twin",="twin",="twin",="twin",="twin",="twin",="twin",="twin"

="malec",="0",="0",="0",="0",="",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",="(.)"

="_country1",="-0.0984",="0",="0",="0",="",="0",="0",="0",="0"
="",="(0.0923)",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",="(.)"

="_country2",="0.00690",="0.0720",="0.111",="0.214",="",="0.171",="0.0576",="0.101",="0.108"
="",="(0.00972)",="(0.0755)",="(0.0859)",="(0.134)",="",="(0.122)",="(0.0697)",="(0.0814)",="(0.0835)"

="_country3",="-0.0111",="0.0541",="0.0911",="0.195",="",="0.153",="0.0399",="0.0818",="0.0908"
="",="(0.00965)",="(0.0755)",="(0.0859)",="(0.134)",="",="(0.122)",="(0.0689)",="(0.0807)",="(0.0829)"

="_country4",="0.00817",="0.0734",="0.113",="0.216",="",="0.173",="0.0630",="0.106",="0.114"
="",="(0.0126)",="(0.0761)",="(0.0864)",="(0.134)",="",="(0.122)",="(0.0698)",="(0.0814)",="(0.0835)"

="_country5",="0",="0.0671",="0.102",="0.206",="",="0.166",="0.0570",="0.0965",="0.103"
="",="(.)",="(0.0754)",="(0.0857)",="(0.133)",="",="(0.121)",="(0.0690)",="(0.0807)",="(0.0827)"

="_yb1",="0.111",="-1.918***",="-1.871***",="-1.886***",="",="-1.941***",="-1.884***",="-1.831***",=""
="",="(0.0802)",="(0.562)",="(0.540)",="(0.545)",="",="(0.563)",="(0.558)",="(0.541)",=""

="_yb2",="0.978***",="0",="0",="0",="",="0",="0",="0",=""
="",="(0.0155)",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""

="_yb3",="0",="0",="0",="0",="",="0",="0",="0",=""
="",="(.)",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""

="_yb4",="0",="0",="0",="0",="",="0",="0",="0",=""
="",="(.)",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""

="_yb5",="0",="0",="0",="0",="",="0",="0",="0",=""
="",="(.)",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""

="_yb6",="-0.0174",="-1.578***",="-1.548***",="-1.552***",="",="-1.587***",="-1.557***",="-1.523***",=""
="",="(0.0183)",="(0.365)",="(0.350)",="(0.352)",="",="(0.365)",="(0.360)",="(0.348)",=""

="_yb7",="-0.0000473",="-1.604***",="-1.583***",="-1.593***",="",="-1.628***",="-1.605***",="-1.571***",=""
="",="(0.00930)",="(0.388)",="(0.371)",="(0.376)",="",="(0.388)",="(0.386)",="(0.374)",=""

="_yb8",="-0.0151",="-1.706***",="-1.675***",="-1.677***",="",="-1.716***",="-1.686***",="-1.648***",=""
="",="(0.0106)",="(0.435)",="(0.417)",="(0.420)",="",="(0.434)",="(0.431)",="(0.417)",=""

="_yb9",="-0.0102",="-1.746***",="-1.714***",="-1.724***",="",="-1.764***",="-1.732***",="-1.694***",=""
="",="(0.00945)",="(0.458)",="(0.440)",="(0.444)",="",="(0.459)",="(0.456)",="(0.441)",=""

="_yb10",="0.0546",="-1.722***",="-1.687***",="-1.697***",="",="-1.741***",="-1.704***",="-1.662***",=""
="",="(0.0621)",="(0.480)",="(0.460)",="(0.464)",="",="(0.479)",="(0.476)",="(0.461)",=""

="_yb11",="0.0544",="-1.766***",="-1.727***",="-1.738***",="",="-1.785***",="-1.746***",="-1.700***",=""
="",="(0.0619)",="(0.507)",="(0.486)",="(0.490)",="",="(0.508)",="(0.504)",="(0.487)",=""

