="Twins regressions MCS data"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="twin",="twin",="twin",="twin",="twin",="twin",="twin",="twin",="twin"

="malec",="0",="0",="0",="0",="",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",="(.)"

="_country1",="0.0181***",="0.0179***",="0.00147",="-0.000132",="",="-0.00438",="-0.00484",="-0.00132",="0.00112"
="",="(0.00529)",="(0.00526)",="(0.0104)",="(0.0105)",="",="(0.0100)",="(0.00908)",="(0.00950)",="(0.00948)"

="_country2",="0",="0",="-0.0157",="-0.0162",="",="-0.0190*",="-0.0191**",="-0.0167*",="-0.0138"
="",="(.)",="(.)",="(0.0102)",="(0.0103)",="",="(0.0102)",="(0.00935)",="(0.00949)",="(0.00928)"

="_country3",="0.0234*",="0.0233*",="0.0117",="0.0101",="",="0.00492",="0.00491",="0.00987",="0.0109"
="",="(0.0127)",="(0.0127)",="(0.0139)",="(0.0140)",="",="(0.0139)",="(0.0139)",="(0.0139)",="(0.0141)"

="_country4",="0.0161*",="0.0177*",="0",="0",="",="0",="0",="0",="0"
="",="(0.00952)",="(0.00944)",="(.)",="(.)",="",="(.)",="(.)",="(.)",="(.)"

="_yb1",="0.983***",="0",="0",="1.815***",="",="0",="0",="0",=""
="",="(0.0158)",="(.)",="(.)",="(0.615)",="",="(.)",="(.)",="(.)",=""

="_yb2",="0",="0",="0",="0",="",="0",="0",="0",=""
="",="(.)",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""

="_yb3",="0",="0",="0",="0",="",="0",="0",="0",=""
="",="(.)",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""

="_yb4",="0",="0",="0",="0",="",="0",="0",="0",=""
="",="(.)",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""

="_yb5",="-0.0170",="-1.519***",="-1.494***",="0.336",="",="-1.557***",="-1.514***",="-1.442***",=""
="",="(0.0195)",="(0.378)",="(0.397)",="(0.243)",="",="(0.417)",="(0.407)",="(0.392)",=""

="_yb6",="0.00459",="-1.535***",="-1.516***",="0.311",="",="-1.587***",="-1.592***",="-1.513***",=""
="",="(0.0100)",="(0.401)",="(0.427)",="(0.210)",="",="(0.451)",="(0.445)",="(0.430)",=""

="_yb7",="-0.00838",="-1.625***",="-1.579***",="0.250",="",="-1.656***",="-1.659***",="-1.572***",=""
="",="(0.00828)",="(0.447)",="(0.467)",="(0.177)",="",="(0.491)",="(0.485)",="(0.468)",=""

="_yb8",="-0.00618",="-1.664***",="-1.615***",="0.209",="",="-1.700***",="-1.704***",="-1.613***",=""
="",="(0.0101)",="(0.474)",="(0.496)",="(0.152)",="",="(0.522)",="(0.516)",="(0.498)",=""

="_yb9",="0.0646",="-1.631***",="-1.573***",="0.255*",="",="-1.663***",="-1.665***",="-1.567***",=""
="",="(0.0660)",="(0.500)",="(0.520)",="(0.153)",="",="(0.547)",="(0.540)",="(0.522)",=""

="_yb10",="0.0585",="-1.676***",="-1.616***",="0.213",="",="-1.712***",="-1.713***",="-1.608***",=""
="",="(0.0622)",="(0.525)",="(0.546)",="(0.131)",="",="(0.575)",="(0.567)",="(0.548)",=""

="_yb11",="0.0183",="-1.743***",="-1.694***",="0.134",="",="-1.788***",="-1.789***",="-1.686***",=""
="",="(0.0236)",="(0.547)",="(0.572)",="(0.0997)",="",="(0.600)",="(0.592)",="(0.573)",=""

="_yb12",="0.0781**",="-1.706***",="-1.666***",="0.162*",="",="-1.762***",="-1.765***",="-1.660***",=""
