="Twins regressions MCS data"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="twin",="twin",="twin",="twin",="twin",="twin",="twin",="twin",="twin"

="malec",="0",="0",="0",="0",="",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",="(.)"

="_country1",="-0.0104",="-0.00758",="-0.0106",="-0.00959",="",="-0.0118",="-0.0101",="-0.0101",="-0.00830"
="",="(0.0125)",="(0.00971)",="(0.0103)",="(0.0123)",="",="(0.0121)",="(0.0104)",="(0.0102)",="(0.0103)"

="_country2",="-0.00342",="0",="0",="0.00173",="",="-0.000486",="0",="0",="0"
="",="(0.0149)",="(.)",="(.)",="(0.0152)",="",="(0.0151)",="(.)",="(.)",="(.)"

="_country3",="0.00141",="0.00400",="0.00353",="0.00589",="",="0.00479",="0.00497",="0.00564",="0.00798"
="",="(0.0161)",="(0.0172)",="(0.0189)",="(0.0169)",="",="(0.0168)",="(0.0168)",="(0.0167)",="(0.0168)"

="_country4",="0",="0.00290",="-0.00344",="0",="",="0",="-0.000288",="-0.000557",="0.00204"
="",="(.)",="(0.0149)",="(0.0153)",="(.)",="",="(.)",="(0.0146)",="(0.0147)",="(0.0144)"

="_yb1",="0.963***",="1.581***",="1.708***",="0",="",="1.880***",="0",="1.821***",=""
="",="(0.0223)",="(0.535)",="(0.542)",="(.)",="",="(0.510)",="(.)",="(0.465)",=""

="_yb2",="-0.0339",="0.290",="0.339",="-1.444***",="",="0.449",="-1.356***",="0.446",=""
="",="(0.0380)",="(0.384)",="(0.401)",="(0.168)",="",="(0.378)",="(0.154)",="(0.338)",=""

="_yb3",="-0.000617",="0.270",="0.338",="-1.454***",="",="0.435",="-1.420***",="0.393",=""
="",="(0.0139)",="(0.342)",="(0.361)",="(0.201)",="",="(0.341)",="(0.197)",="(0.304)",=""

="_yb4",="0",="0.269",="0",="0",="",="0",="0",="0",=""
="",="(.)",="(0.341)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""

="_yb5",="-0.0242",="0.112",="0.171",="-1.636***",="",="0.241",="-1.604***",="0.221",=""
="",="(0.0186)",="(0.282)",="(0.308)",="(0.269)",="",="(0.291)",="(0.264)",="(0.257)",=""

="_yb6",="-0.0294",="0.0442",="0.0861",="-1.733***",="",="0.145",="-1.696***",="0.130",=""
="",="(0.0183)",="(0.252)",="(0.280)",="(0.307)",="",="(0.265)",="(0.301)",="(0.234)",=""

="_yb7",="-0.0251",="-0.00711",="0.0188",="-1.812***",="",="0.0663",="-1.763***",="0.0608",=""
="",="(0.0183)",="(0.231)",="(0.260)",="(0.336)",="",="(0.247)",="(0.328)",="(0.216)",=""

="_yb8",="-0.0187",="-0.0238",="-0.00413",="-1.849***",="",="0.0317",="-1.806***",="0.0166",=""
="",="(0.0158)",="(0.220)",="(0.251)",="(0.348)",="",="(0.238)",="(0.341)",="(0.207)",=""

="_yb9",="-0.0206",="-0.0856",="-0.0735",="-1.918***",="",="-0.0423",="-1.860***",="-0.0320",=""
="",="(0.0172)",="(0.200)",="(0.233)",="(0.381)",="",="(0.222)",="(0.370)",="(0.194)",=""

="_yb10",="0.00192",="-0.0856",="-0.101",="-1.955***",="",="-0.0781",="-1.904***",="-0.0753",=""
="",="(0.0247)",="(0.188)",="(0.223)",="(0.395)",="",="(0.213)",="(0.384)",="(0.185)",=""

="_yb11",="-0.0146",="-0.130",="-0.137",="-1.996***",="",="-0.117",="-1.939***",="-0.112",=""
="",="(0.0158)",="(0.179)",="(0.214)",="(0.413)",="",="(0.204)",="(0.402)",="(0.179)",=""

